SA3_CODE_2021,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
50101,0,52,3,58,0,43,0,44,3,55,3,59,9,42,5,50,7,34,5,46,3,26,0,36,0,31,0,31,22,279,14,320,4,44,3,51,3,30,0,32,6,50,0,61,8,55,0,60,14,39,4,59,3,17,0,26,5,27,4,35,41,265,9,319,4,101,3,109,3,74,3,76,11,102,3,117,15,98,5,112,21,76,3,101,10,46,3,60,5,56,4,63,65,550,29,643
50102,11,183,4,196,14,133,19,158,22,193,50,266,22,126,29,180,21,115,19,160,16,106,12,134,8,73,7,83,107,926,147,1177,12,186,10,213,11,136,7,153,35,201,7,243,39,164,7,208,41,147,3,191,27,113,10,140,9,85,7,102,173,1032,50,1254,22,369,18,411,20,271,18,317,54,392,58,505,63,289,43,393,62,265,25,354,46,215,17,275,12,157,16,188,282,1960,195,2434
50103,0,20,0,27,4,32,0,36,5,21,0,25,5,26,0,29,9,29,0,42,6,28,0,34,0,17,0,22,30,174,8,210,3,36,5,43,3,14,0,22,4,15,0,20,7,21,0,25,6,35,0,39,5,28,0,36,12,15,0,27,36,165,10,205,9,59,3,67,7,50,0,52,7,40,0,44,10,43,0,46,14,57,0,74,12,58,3,73,8,33,0,46,65,335,12,414
50201,17,148,7,174,11,104,0,115,24,160,11,195,17,117,11,144,17,86,10,108,22,81,4,112,4,65,4,75,121,755,48,924,13,149,13,173,18,110,3,132,30,166,7,201,35,117,8,154,36,91,8,142,26,80,0,104,11,72,3,93,164,787,49,995,30,300,23,349,28,211,9,246,53,330,15,393,53,233,18,300,54,179,14,251,50,160,6,215,17,137,11,166,284,1543,96,1925
50301,4,45,4,49,0,32,0,33,0,23,0,23,4,10,0,11,3,20,0,24,0,6,0,9,0,13,0,13,15,147,4,166,4,52,0,59,3,33,0,38,8,23,0,28,0,11,0,14,5,16,0,20,5,8,0,15,0,10,0,10,23,160,6,181,10,97,0,106,7,65,3,71,8,53,0,56,5,21,0,31,8,36,0,44,5,15,0,16,0,18,0,21,36,305,6,352
50302,3,14,0,20,6,53,0,58,3,85,0,93,6,64,5,71,5,50,4,60,6,31,4,38,4,20,4,32,36,319,19,374,8,32,0,39,4,59,0,62,12,97,0,109,0,49,7,53,15,42,0,58,11,28,3,38,9,25,3,33,50,331,14,391,5,49,0,54,9,113,0,120,11,181,3,205,13,115,6,129,21,86,8,118,15,61,4,79,7,44,6,59,84,655,34,768
50401,10,62,4,73,9,70,3,79,5,101,0,115,8,61,5,69,5,50,3,58,9,48,5,56,7,20,0,25,46,412,21,484,4,64,0,76,6,64,4,80,21,102,5,121,15,60,5,74,20,65,3,86,6,48,6,56,6,49,0,56,75,447,25,546,11,133,4,144,15,133,7,157,27,205,7,239,20,122,7,147,25,119,5,144,10,91,6,112,11,66,4,81,123,857,37,1026
50402,0,70,10,80,10,44,86,137,8,68,262,337,9,52,153,207,11,43,62,125,8,43,23,74,0,23,9,33,43,340,604,989,6,52,0,56,10,55,0,60,15,58,0,68,6,43,4,50,14,56,6,70,15,36,3,54,0,30,3,36,61,320,10,395,8,119,14,139,9,92,86,195,19,125,265,409,12,92,153,257,27,102,65,193,21,77,25,125,6,53,9,69,105,663,616,1385
50403,8,214,16,234,9,169,7,192,25,311,7,342,20,216,8,245,24,169,11,196,20,113,13,143,6,52,7,71,117,1245,69,1427,15,211,15,246,13,153,26,191,70,329,73,470,52,181,38,269,46,159,21,230,36,116,11,162,14,85,8,105,247,1232,193,1674,21,427,29,487,25,324,33,379,88,635,82,807,73,399,45,520,71,330,29,430,56,229,20,307,16,141,15,174,366,2478,256,3103
50501,0,69,0,69,3,45,0,46,4,86,3,93,7,67,3,80,16,51,3,72,7,43,0,50,9,34,0,39,50,400,13,462,4,55,0,61,0,41,0,43,9,66,5,83,18,70,0,85,13,47,0,68,6,37,0,47,6,25,6,34,71,353,17,428,11,125,0,135,5,87,0,94,21,153,4,182,25,136,3,170,30,104,6,144,16,86,0,103,17,60,5,79,119,748,26,892
