SA3_CODE_2021,R_Tot_Dw_s_S_Hou_Oth_h,R_Tot_Dw_s_SDRTHT_Oth_h,R_Tot_Dw_s_Fl_Ap_Oth_h,R_Tot_Dw_s_Oth_d_Car_Oth_h,R_Tot_Dw_s_Oth_d_Cab_h_Oth_h,R_Tot_Dw_s_Oth_d_IHTSO_Oth_h,R_Tot_Dw_s_Oth_d_HFASO_Oth_h,R_Tot_Dw_s_Oth_d_Tot_Oth_h,R_Tot_Dw_s_Ns_Oth_h,R_Tot_Tot_Oth_h,Oth_TT_Dw_s_S_Hou_Oth_h,Oth_TT_Dw_s_SDRTHT_Oth_h,Oth_TT_Dw_s_Fl_Ap_Oth_h,Oth_TT_Dw_s_Ot_d_Car_Oth_h,Oth_TT_Dw_s_Ot_d_Cab_h_Oth_h,Oth_TT_Dw_s_Ot_d_IHTSO_Oth_h,Oth_TT_Dw_s_Ot_d_HFASO_Oth_h,Oth_TT_Dw_s_Ot_d_Tot_Oth_h,Oth_TT_Dw_s_Ns_Oth_h,Oth_TT_Tot_Oth_h,TT_ns_Dw_s_S_Hou_Oth_h,TT_ns_Dw_s_SDRTHT_Oth_h,TT_ns_Dw_s_Fl_Ap_Oth_h,TT_ns_Dw_s_Oth_d_Car_Oth_h,TT_ns_Dw_s_Oth_d_Cab_h_Oth_h,TT_ns_Dw_s_Oth_d_IHTSO_Oth_h,TT_ns_Dw_s_Oth_d_HFASO_Oth_h,TT_ns_Dw_s_Oth_d_Tot_Oth_h,TT_ns_Dw_s_Ns_Oth_h,TT_ns_Tot_Oth_h,Tot_Dw_s_S_Hou_Oth_h,Tot_Dw_s_SDRTHT_Oth_h,Tot_Dw_s_Fl_Ap_Oth_h,Tot_Dw_s_Oth_d_Car_Oth_h,Tot_Dw_s_Oth_d_Cab_h_Oth_h,Tot_Dw_s_Oth_d_IHTSO_Oth_h,Tot_Dw_s_Oth_d_HFASO_Oth_h,Tot_Dw_s_Oth_d_Tot_Oth_h,Tot_Dw_s_Ns_Oth_h,Tot_Tot_Oth_h,Ow_o_Dw_s_S_Hou_Tot_h,Ow_o_Dw_s_SDRTHT_Tot_h,Ow_o_Dw_s_Fl_Ap_Tot_h,Ow_o_Dw_s_Oth_d_Car_Tot_h,Ow_o_Dw_s_Oth_d_Cab_h_Tot_h,Ow_o_Dw_s_Oth_d_IHTSO_Tot_h,Ow_o_Dw_s_Oth_d_HFASO_Tot_h,Ow_o_Dw_s_Oth_d_Tot_Tot_h,Ow_o_Dw_s_Ns_Tot_h,Ow_o_Tot_Tot_h,Ow_wm_Dw_s_S_Hou_Tot_h,Ow_wm_Dw_s_SDRTHT_Tot_h,Ow_wm_Dw_s_Fl_Ap_Tot_h,Ow_wm_Dw_s_Oth_d_Car_Tot_h,Ow_wm_Dw_s_Oth_d_Cab_h_Tot_h,Ow_wm_Dw_s_Oth_d_IHTSO_Tot_h,Ow_wm_Dw_s_Oth_d_HFASO_Tot_h,Ow_wm_Dw_s_Oth_d_Tot_Tot_h,Ow_wm_Dw_s_Ns_Tot_h,Ow_wm_Tot_Tot_h,R_RAg_Dw_s_S_Hou_Tot_h,R_RAg_Dw_s_SDRTHT_Tot_h,R_RAg_Dw_s_Fl_Ap_Tot_h,R_RAg_Dw_s_Oth_d_Car_Tot_h,R_RAg_Dw_s_Oth_d_Cab_h_Tot_h,R_RAg_Dw_s_Oth_d_IHTSO_Tot_h,R_RAg_Dw_s_Oth_d_HFASO_Tot_h,R_RAg_Dw_s_Oth_d_Tot_Tot_h,R_RAg_Dw_s_Ns_Tot_h,R_RAg_Tot_Tot_h,R_STHA_Dw_s_S_Hou_Tot_h,R_STHA_Dw_s_SDRTHT_Tot_h,R_STHA_Dw_s_Fl_Ap_Tot_h,R_STHA_Dw_s_Ot_d_Car_Tot_h,R_STHA_Dw_s_Ot_d_Cab_h_Tot_h,R_STHA_Dw_s_Ot_d_IHTSO_Tot_h,R_STHA_Dw_s_Ot_d_HFASO_Tot_h,R_STHA_Dw_s_Ot_d_Tot_Tot_h,R_STHA_Dw_s_Ns_Tot_h,R_STHA_Tot_Tot_h,R_Pnsh_Dw_s_S_Hou_Tot_h,R_Pnsh_Dw_s_SDRTHT_Tot_h,R_Pnsh_Dw_s_Fl_Ap_Tot_h,R_Pnsh_Dw_s_Ot_d_Car_Tot_h,R_Pnsh_Dw_s_Ot_d_Cab_h_Tot_h,R_Pnsh_Dw_s_Ot_d_IHTSO_Tot_h,R_Pnsh_Dw_s_Ot_d_HFASO_Tot_h,R_Pnsh_Dw_s_Oth_d_Tot_Tot_h,R_Pnsh_Dw_s_Ns_Tot_h,R_Pnsh_Tot_Tot_h,R_CHP_Dw_s_S_Hou_Tot_h,R_CHP_Dw_s_SDRTHT_Tot_h,R_CHP_Dw_s_Fl_Ap_Tot_h,R_CHP_Dw_s_Oth_d_Car_Tot_h,R_CHP_Dw_s_Oth_d_Cab_h_Tot_h,R_CHP_Dw_s_Oth_d_IHTSO_Tot_h,R_CHP_Dw_s_Oth_d_HFASO_Tot_h,R_CHP_Dw_s_Oth_d_Tot_Tot_h,R_CHP_Dw_s_Ns_Tot_h,R_CHP_Tot_Tot_h,R_othLT_Dw_s_S_Hou_Tot_h,R_othLT_Dw_s_SDRTHT_Tot_h,R_othLT_Dw_s_Fl_Ap_Tot_h,R_othLT_Dw_s_O_d_Car_Tot_h,R_othLT_Dw_s_O_d_Cab_h_Tot_h,R_othLT_Dw_s_O_d_IHTSO_Tot_h,R_othLT_Dw_s_O_d_HFASO_Tot_h,R_othLT_Dw_s_O_d_Tot_Tot_h,R_othLT_Dw_s_Ns_Tot_h,R_othLT_Tot_Tot_h,R_LTns_Dw_s_S_Hou_Tot_h,R_LTns_Dw_s_SDRTHT_Tot_h,R_LTns_Dw_s_Fl_Ap_Tot_h,R_LTns_Dw_s_Ot_d_Car_Tot_h,R_LTns_Dw_s_Ot_d_Cab_h_Tot_h,R_LTns_Dw_s_Ot_d_IHTSO_Tot_h,R_LTns_Dw_s_Ot_d_HFASO_Tot_h,R_LTns_Dw_s_Ot_d_Tot_Tot_h,R_LTns_Dw_s_Ns_Tot_h,R_LTns_Tot_Tot_h,R_Tot_Dw_s_S_Hou_Tot_h,R_Tot_Dw_s_SDRTHT_Tot_h,R_Tot_Dw_s_Fl_Ap_Tot_h,R_Tot_Dw_s_Oth_d_Car_Tot_h,R_Tot_Dw_s_Oth_d_Cab_h_Tot_h,R_Tot_Dw_s_Oth_d_IHTSO_Tot_h,R_Tot_Dw_s_Oth_d_HFASO_Tot_h,R_Tot_Dw_s_Oth_d_Tot_Tot_h,R_Tot_Dw_s_Ns_Tot_h,R_Tot_Tot_Tot_h,Oth_TT_Dw_s_S_Hou_Tot_h,Oth_TT_Dw_s_SDRTHT_Tot_h,Oth_TT_Dw_s_Fl_Ap_Tot_h,Oth_TT_Dw_s_Ot_d_Car_Tot_h,Oth_TT_Dw_s_Ot_d_Cab_h_Tot_h,Oth_TT_Dw_s_Ot_d_IHTSO_Tot_h,Oth_TT_Dw_s_Ot_d_HFASO_Tot_h,Oth_TT_Dw_s_Ot_d_Tot_Tot_h,Oth_TT_Dw_s_Ns_Tot_h,Oth_TT_Tot_Tot_h,TT_ns_Dw_s_S_Hou_Tot_h,TT_ns_Dw_s_SDRTHT_Tot_h,TT_ns_Dw_s_Fl_Ap_Tot_h,TT_ns_Dw_s_Oth_d_Car_Tot_h,TT_ns_Dw_s_Oth_d_Cab_h_Tot_h,TT_ns_Dw_s_Oth_d_IHTSO_Tot_h,TT_ns_Dw_s_Oth_d_HFASO_Tot_h,TT_ns_Dw_s_Oth_d_Tot_Tot_h,TT_ns_Dw_s_Ns_Tot_h,TT_ns_Tot_Tot_h,Tot_Dw_s_S_Hou_Tot_h,Tot_Dw_s_SDRTHT_Tot_h,Tot_Dw_s_Fl_Ap_Tot_h,Tot_Dw_s_Oth_d_Car_Tot_h,Tot_Dw_s_Oth_d_Cab_h_Tot_h,Tot_Dw_s_Oth_d_IHTSO_Tot_h,Tot_Dw_s_Oth_d_HFASO_Tot_h,Tot_Dw_s_Oth_d_Tot_Tot_h,Tot_Dw_s_Ns_Tot_h,Tot_Tot_Tot_h
50101,3802,719,43,39,67,8,11,116,26,4705,342,190,23,6,14,0,5,27,7,587,269,52,4,0,13,0,0,12,15,346,18213,1609,116,124,194,14,14,345,66,20356,6803,388,33,71,101,8,5,183,12,7418,7231,269,14,8,5,3,3,16,5,7536,1949,286,10,0,4,0,0,4,8,2254,317,250,10,0,0,0,0,0,0,578,1489,120,16,0,10,0,3,17,10,1647,28,69,0,0,0,0,0,0,0,103,186,19,5,38,47,3,3,98,5,312,18,8,0,0,0,0,0,0,0,20,3986,747,42,38,69,8,5,121,27,4921,348,190,23,11,14,0,5,31,7,596,278,51,4,3,13,0,0,13,17,368,18648,1649,114,127,196,17,16,358,73,20841
50102,6518,1956,489,66,31,7,16,124,21,9101,470,270,21,5,3,3,0,10,9,781,416,118,14,13,13,0,0,28,11,589,33756,3473,703,231,117,20,30,390,77,38405,11712,717,112,143,70,7,5,222,16,12780,15384,436,63,5,3,6,3,20,17,15922,3746,839,288,5,4,0,8,9,8,4889,546,572,67,0,0,0,0,0,0,1189,2431,371,64,6,3,3,6,17,3,2881,87,198,74,0,0,0,0,0,4,363,272,65,14,61,25,3,8,96,3,456,45,19,5,0,0,0,0,0,0,69,7125,2065,507,71,31,7,15,124,21,9850,486,270,21,5,3,3,0,10,9,794,456,119,14,18,13,0,0,24,11,635,35163,3611,724,244,118,20,31,408,77,39978
50103,1385,206,40,4,5,0,0,10,13,1653,255,34,5,0,0,0,0,0,4,305,121,4,0,0,0,0,0,5,4,138,8358,294,51,26,7,17,7,64,53,8817,3855,35,3,19,4,8,8,37,17,3943,2909,19,3,3,3,6,0,18,13,2956,589,85,13,0,0,0,0,0,0,685,165,67,6,0,0,0,0,0,0,238,583,17,6,0,0,0,0,0,0,611,19,46,11,0,0,0,0,0,0,78,131,9,4,0,0,0,0,4,8,154,9,4,0,0,0,0,0,0,0,12,1501,222,40,4,5,0,0,10,13,1785,263,34,5,0,0,0,0,0,4,314,133,8,0,0,0,0,0,5,4,146,8653,318,53,33,12,17,7,69,53,9142
50201,7008,1923,502,40,25,8,11,77,24,9527,506,884,15,7,0,0,0,9,0,1413,440,149,20,12,29,0,0,38,10,652,34168,4709,990,228,153,18,8,403,45,40319,12325,1235,297,164,100,0,0,266,11,14138,14544,539,165,11,3,6,0,19,5,15271,4483,954,327,5,0,5,4,12,3,5779,320,405,37,0,0,0,0,0,5,766,2366,360,75,10,0,0,0,9,3,2812,178,165,70,0,0,0,0,0,9,415,190,103,8,27,18,0,6,51,5,359,46,26,6,0,0,0,0,0,0,76,7577,2012,522,43,25,8,11,81,24,10209,517,884,17,7,0,0,0,9,0,1434,475,151,20,12,28,0,0,37,6,689,35441,4824,1017,230,156,16,8,415,45,41734
50301,2440,1299,2637,0,0,0,3,3,3,6383,205,156,278,0,0,0,0,0,3,638,116,47,53,0,0,0,0,0,0,219,17369,3426,4468,0,0,0,5,5,14,25287,8603,1216,973,0,0,0,0,0,5,10790,6059,720,545,0,0,0,0,0,3,7326,1577,753,1906,0,0,0,0,0,3,4243,59,177,137,0,0,0,0,0,0,375,630,295,511,0,0,0,0,0,0,1438,12,51,45,0,0,0,0,0,0,109,188,39,64,0,0,0,0,0,3,294,4,10,8,0,0,0,0,0,0,21,2474,1319,2669,0,0,0,3,3,7,6478,208,152,278,0,0,0,0,0,3,642,120,47,53,0,0,0,0,0,0,222,17461,3456,4513,0,0,0,5,5,18,25459
50302,3350,3571,14429,0,0,0,40,49,40,21435,231,224,414,0,0,0,0,0,0,872,116,53,234,0,0,0,0,0,15,415,17351,7674,21561,0,0,0,75,70,75,46731,6937,1692,2510,0,0,0,8,14,9,11156,6803,2150,4024,0,0,0,18,18,12,13010,2141,2327,10741,0,0,0,28,28,15,15252,50,366,876,0,0,0,0,0,0,1299,1162,795,2408,0,0,0,14,14,10,4390,17,68,294,0,0,0,0,0,7,377,63,80,286,0,0,0,0,0,3,436,13,18,58,0,0,0,0,0,0,92,3436,3649,14669,0,0,0,40,49,40,21838,231,224,412,0,0,0,0,0,0,874,116,55,241,0,0,0,0,0,15,424,17529,7773,21855,0,0,0,75,70,73,47305
50401,5270,2980,1786,0,0,0,8,8,18,10065,250,164,35,0,0,0,0,0,0,454,254,113,32,0,0,0,0,0,6,404,24284,6247,2792,0,0,0,9,9,38,33365,8616,1175,332,0,0,0,0,0,6,10130,10084,1842,620,0,0,0,4,4,10,12552,3151,1691,1242,0,0,0,5,5,3,6098,352,553,160,0,0,0,0,0,0,1068,1773,652,366,0,0,0,0,0,4,2794,71,110,22,0,0,0,0,0,0,199,180,85,39,0,0,0,0,0,3,299,22,23,12,0,0,0,0,0,0,53,5546,3115,1837,0,0,0,8,8,18,10520,251,166,35,0,0,0,0,0,0,455,265,121,34,0,0,0,0,0,6,427,24758,6421,2861,0,0,0,9,9,35,34084
50402,1437,392,6,9,0,0,3,8,4,1843,142,20,5,0,0,0,0,0,3,173,150,23,0,0,0,0,0,0,0,174,14031,703,30,15,0,0,4,19,16,14794,5422,179,7,7,0,0,0,7,7,5625,7218,92,5,0,0,0,6,0,0,7318,779,106,0,0,0,0,0,0,0,889,105,183,0,0,0,0,0,0,0,287,631,59,0,0,0,0,3,4,4,697,11,46,0,0,0,0,0,0,0,56,50,20,0,0,0,0,0,0,0,73,10,9,0,0,0,0,0,0,0,20,1580,423,9,9,0,0,3,8,4,2025,141,21,5,0,0,0,0,0,3,180,151,23,0,0,0,0,0,0,0,178,14514,741,31,15,0,0,4,19,16,15316
50403,7313,2111,673,9,22,0,13,43,27,10174,360,82,20,0,0,0,3,5,0,466,486,89,18,4,3,4,0,9,8,617,43522,4156,891,60,135,5,27,224,66,48865,10062,789,65,40,108,0,5,162,13,11092,26286,1116,116,10,0,0,3,10,21,27549,4564,1207,535,0,0,0,3,3,11,6327,583,534,91,0,0,0,0,0,4,1218,2395,397,57,0,0,0,9,9,9,2867,115,90,22,0,0,0,0,4,0,232,294,43,5,9,23,0,0,33,3,379,45,11,0,0,5,0,0,5,0,63,8010,2292,712,9,27,0,9,51,27,11088,372,84,20,0,0,0,3,5,0,484,524,99,24,4,3,0,0,15,12,664,45253,4374,936,61,142,10,27,234,68,50874
50501,6637,1552,860,6,0,0,14,23,16,9080,311,257,35,4,0,0,0,3,0,607,347,92,57,4,4,0,0,14,10,514,50568,4861,1467,88,11,0,16,121,31,57047,18961,1633,251,74,3,0,3,79,6,20932,24727,1349,270,0,0,0,3,6,3,26348,4280,853,626,0,0,0,6,6,10,5778,141,187,24,0,0,0,0,0,0,359,2234,447,188,0,0,0,4,9,6,2875,35,54,14,0,0,0,0,0,0,101,120,22,20,3,0,0,5,8,0,174,26,14,3,0,0,0,0,0,0,51,6837,1583,870,6,0,0,9,19,17,9328,313,259,35,4,0,0,0,3,0,616,362,93,64,4,4,0,0,14,7,531,51198,4915,1483,88,11,0,21,120,32,57751
50502,9983,12043,3519,5,0,0,0,8,28,25582,554,615,375,0,0,0,0,9,3,1555,526,359,98,0,0,0,0,0,7,999,48503,26837,5877,46,7,6,5,59,56,81328,18438,5378,829,33,0,3,4,36,10,24693,19286,8540,1072,0,0,0,0,8,4,28908,5978,7062,2393,0,0,0,0,0,12,15450,762,1842,367,0,0,0,0,0,5,2972,3054,2767,601,0,0,0,0,0,8,6435,97,312,111,0,0,0,0,0,0,522,440,321,81,3,0,0,3,6,0,849,71,83,17,0,0,0,0,0,0,176,10402,12384,3578,5,0,0,3,7,28,26397,564,624,375,0,0,0,0,9,3,1569,542,385,105,0,0,0,0,0,7,1039,49230,27302,5957,46,7,6,8,58,56,82612
