SA3_CODE_2021,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
50101,8,9,10,252,336,586,33,35,63,289,376,663
50102,122,14,139,718,449,1166,88,99,188,925,565,1491
50103,3,3,9,152,153,308,35,17,56,193,182,374
50201,19,23,44,283,558,841,30,42,69,342,619,961
50301,72,92,159,1141,1275,2417,167,144,307,1375,1503,2880
50302,42,44,86,1579,1735,3316,612,359,971,2234,2134,4371
50401,6,5,12,219,375,598,70,87,152,289,465,759
50402,597,3,600,1314,102,1418,13,16,29,1926,127,2047
50403,44,165,207,513,637,1147,37,29,71,591,831,1421
50501,13,5,16,311,554,867,61,86,146,385,646,1032
50502,27,13,38,911,1356,2266,104,105,209,1046,1465,2513
50503,13,14,24,368,703,1069,13,22,37,395,739,1132
50601,0,3,5,140,212,346,10,20,29,147,235,383
50602,31,27,55,376,383,755,102,64,168,498,481,978
50603,12,23,35,530,885,1413,16,25,40,555,931,1485
50604,338,106,449,895,546,1444,23,22,45,1257,673,1930
50605,16,33,49,227,269,497,20,30,49,261,335,595
50606,53,0,53,339,39,381,5,4,14,402,46,444
50607,81,30,110,627,594,1216,49,68,110,752,693,1441
50701,11,8,23,239,429,664,84,96,182,333,533,864
50702,11,6,21,381,407,781,159,96,254,552,508,1059
50703,503,7,510,783,103,888,0,3,5,1288,115,1406
50704,8,19,28,387,984,1369,119,158,274,517,1162,1675
50705,26,21,43,431,417,847,366,143,508,818,581,1398
50901,149,13,162,605,492,1103,60,46,108,817,558,1368
50902,57,38,102,842,402,1234,244,96,335,1134,533,1670
50903,8,15,23,203,197,397,33,20,51,249,227,469
51001,336,165,507,537,437,974,297,234,530,1167,843,2010
51002,148,63,210,2005,558,2562,1673,378,2053,3828,994,4828
51003,274,67,341,1520,518,2038,1059,269,1323,2856,852,3711
51101,10,9,15,141,118,260,37,5,49,190,132,322
51102,7,13,24,134,127,260,79,36,112,222,175,399
51103,224,58,280,1107,338,1443,1013,264,1276,2341,652,2997
51104,177,44,221,757,350,1108,558,181,739,1487,578,2067
59797,0,0,0,0,0,0,0,0,0,0,0,0
59999,0,0,0,0,0,0,0,0,0,0,0,0
