SA3_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
50101,26,1474,1895,3372,16,18,33,650,847,1493,13,10,19,680,869,1548,125,137,254,7052,8439,15497,60,75,132,7242,8646,15887,48,37,83,987,1009,1996,1747,1448,3197,2782,2490,5272,530,497,1030,25647,27131,52780,1905,1627,3529,28080,29249,57332
50102,53,3054,4100,7161,51,85,137,1519,1973,3491,14,20,34,1583,2082,3663,495,607,1100,14267,17175,31438,85,118,202,14850,17898,32742,208,138,348,2551,2044,4592,2883,2287,5167,5638,4468,10105,1838,1848,3689,48327,49863,98185,3116,2567,5680,53276,54279,107549
50103,22,746,942,1690,15,12,20,345,456,793,4,7,12,360,475,831,96,107,202,3306,3841,7150,42,40,76,3443,3990,7424,13,15,29,381,362,740,881,762,1643,1271,1144,2414,306,301,611,10630,10787,21419,977,857,1830,11911,11949,23863
50201,78,3641,4648,8290,43,79,124,2095,2381,4476,18,26,42,2155,2488,4645,410,531,947,15682,18729,34410,112,148,262,16208,19413,35619,116,113,220,2166,2301,4467,2928,2249,5176,5205,4664,9868,1508,1590,3097,47282,51523,98809,3187,2541,5733,51979,55660,107641
50301,22,1468,1785,3255,0,10,10,628,639,1263,4,6,15,632,657,1285,53,75,128,7932,9219,17154,31,45,84,8022,9342,17358,11,8,19,1080,1129,2211,1179,1102,2285,2270,2240,4504,215,261,479,33413,35348,68763,1278,1218,2495,34905,36829,71735
50302,27,2088,2747,4834,9,23,33,885,1037,1919,9,7,11,898,1067,1969,143,191,333,11720,13766,25489,64,56,114,11928,14016,25944,47,12,61,1526,1458,2984,3232,2421,5659,4806,3890,8700,461,474,937,51284,52397,103684,3370,2538,5908,55115,55410,110530
50401,29,2038,2750,4783,9,38,52,976,1274,2244,5,7,10,987,1317,2306,192,255,452,10274,12568,22845,36,57,97,10511,12884,23391,46,47,95,1360,1306,2669,1814,1431,3246,3221,2791,6009,733,740,1472,39129,40380,79511,1929,1553,3483,41790,42676,84462
50402,14,1179,1528,2709,11,22,37,554,677,1229,8,0,9,572,698,1270,147,190,335,5617,6637,12255,25,37,66,5785,6861,12650,637,41,678,2009,713,2722,1019,744,1758,3662,1497,5159,1207,592,1802,20325,19720,40043,1103,839,1948,22643,21152,43792
50403,33,3085,4463,7551,50,94,143,1430,1950,3380,6,16,29,1489,2063,3550,592,717,1303,16398,19660,36060,68,88,153,17059,20461,37518,175,282,456,2700,2731,5433,3221,2431,5656,6098,5447,11545,2392,2542,4939,67818,69449,137271,3457,2654,6111,73672,74650,148324
50501,38,3797,4740,8532,25,25,49,1549,1896,3443,14,15,25,1582,1935,3515,207,193,399,19568,22868,42436,77,88,167,19857,23152,43003,47,40,92,2735,2845,5581,2401,1676,4075,5181,4561,9749,706,682,1384,76182,78542,154724,2619,1915,4536,79502,81136,160641
