SA3_CODE_2021,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,HnsQ_PgDL_Ind_M,HnsQ_PgDL_Ind_F,HnsQ_PgDL_Ind_P,HnsQ_PgDL_No_Ind_M,HnsQ_PgDL_No_Ind_F,HnsQ_PgDL_No_Ind_P,HnsQ_PgDL_IndSt_nsM,HnsQ_PgDL_IndSt_nsF,HnsQ_PgDL_IndSt_nsP,HnsQ_PgDL_TotM,HnsQ_PgDL_TotF,HnsQ_PgDL_TotP,HnsQ_GD_GCL_Ind_M,HnsQ_GD_GCL_Ind_F,HnsQ_GD_GCL_Ind_P,HnsQ_GD_GCL_No_In_M,HnsQ_GD_GCL_No_In_F,HnsQ_GD_GCL_No_In_P,HnsQ_GD_GCL_In_st_nsM,HnsQ_GD_GCL_In_st_nsF,HnsQ_GD_GCL_In_st_nsP,HnsQ_GD_GCL_TotM,HnsQ_GD_GCL_TotF,HnsQ_GD_GCL_TotP,HnsQ_BDL_Ind_M,HnsQ_BDL_Ind_F,HnsQ_BDL_Ind_P,HnsQ_BDL_No_Ind_M,HnsQ_BDL_No_Ind_F,HnsQ_BDL_No_Ind_P,HnsQ_BDL_IndSt_nsM,HnsQ_BDL_IndSt_nsF,HnsQ_BDL_IndSt_nsP,HnsQ_BDL_TotM,HnsQ_BDL_TotF,HnsQ_BDL_TotP,HnsQ_AD_DL_Ind_M,HnsQ_AD_DL_Ind_F,HnsQ_AD_DL_Ind_P,HnsQ_AD_DL_No_In_M,HnsQ_AD_DL_No_In_F,HnsQ_AD_DL_No_In_P,HnsQ_AD_DL_In_st_nsM,HnsQ_AD_DL_In_st_nsF,HnsQ_AD_DL_In_st_nsP,HnsQ_AD_DL_TotM,HnsQ_AD_DL_TotF,HnsQ_AD_DL_TotP,HnsQ_Cer_III_IV_Ind_M,HnsQ_Cer_III_IV_Ind_F,HnsQ_Cer_III_IV_Ind_P,HnsQ_Cer_III_IV_No_Ind_M,HnsQ_Cer_III_IV_No_Ind_F,HnsQ_Cer_III_IV_No_Ind_P,HnsQ_Cer_III_IV_IndSt_nsM,HnsQ_Cer_III_IV_IndSt_nsF
50101,320,319,643,20540,22242,42780,1595,1303,2894,22448,23859,46314,188,170,358,13514,13216,26730,58,62,123,13766,13450,27214,28,21,45,415,370,787,5,4,3,445,392,833,215,190,399,13928,13590,27516,68,67,131,14203,13844,28050,97,130,226,6397,8429,14822,40,82,117,6532,8631,15165,7,3,13,211,226,439,1490,1153,2647,1713,1389,3102,11.8,10.1,11,3,2.7,2.9,4.6,4.6,4.6,3.1,2.8,3,66.5,59.1,62.8,67.8,61.1,64.3,4.1,5,4.5,63.3,58,60.6,58.6,53.1,55.9,65.8,59.4,62.5,3.9,4.8,4.3,61.3,56.4,58.8,11,30,49,915,1851,2770,0,9,8,934,1891,2819,171,134,302,12461,11236,23694,58,52,111,12686,11419,24107,11,10,22,1558,1182,2741,11,9,16,1580,1200,2782,0,8,9,580,661,1244,0,0,0,585,671,1256,3,7,8,303,750,1054,0,0,0,304,758,1061,3,20,31,2477,4088,6557,5,15,19,2482,4130,6609,10,19,33,1867,2771,4637,11,7,20,1888,2797,4690,99,68,164,6308,3202,9513,34,21
50102,1177,1254,2434,38655,40930,79583,2661,2144,4803,42497,44325,86826,582,568,1155,25044,23073,48120,88,82,169,25717,23722,49439,111,98,204,1215,1158,2370,8,3,14,1330,1260,2590,693,668,1362,26255,24228,50487,99,85,185,27052,24975,52029,459,557,1015,11951,16211,28161,102,132,234,12510,16900,29408,24,27,54,447,483,938,2460,1927,4393,2939,2445,5383,15.9,14.4,15.2,4.6,4.8,4.7,7.1,6,6.6,4.9,5,5,59,53.2,56,67.9,59.2,63.4,3.7,3.9,3.8,63.6,56.4,59.9,49.6,45.5,47.5,64.8,56.4,60.5,3.4,3.6,3.5,60.5,53.5,56.9,46,135,184,1894,4441,6341,8,8,16,1948,4583,6533,525,421,945,22868,18416,41283,79,64,148,23470,18907,42377,16,19,36,1343,1016,2361,5,3,8,1366,1035,2399,8,4,14,741,813,1549,0,3,9,745,828,1569,6,14,15,401,987,1392,3,0,4,413,1003,1413,18,72,87,2998,5339,8336,3,15,17,3018,5424,8438,36,69,100,2677,3992,6664,7,12,15,2714,4070,6782,265,244,509,12862,7566,20423,49,21
50103,210,205,414,8848,9119,17967,822,725,1543,9879,10042,19922,117,101,218,5521,4992,10508,42,30,71,5683,5117,10802,18,13,35,224,176,402,0,0,0,248,191,442,141,114,257,5746,5172,10914,46,28,75,5927,5309,11241,66,89,152,2996,3837,6832,34,48,83,3102,3968,7075,6,5,3,106,111,216,737,651,1386,845,761,1610,14.9,12.3,13.7,3.9,3.4,3.7,2.3,6.9,4.2,4.2,3.6,3.9,67.1,55.9,61.6,64.9,56.7,60.8,5.3,4,4.7,60,52.9,56.4,57.1,49,53.1,62.4,54.8,58.5,5.1,3.7,4.5,57.5,51,54.2,8,19,27,509,950,1464,4,4,3,523,976,1493,105,77,184,4920,3965,8880,34,22,58,5060,4064,9125,5,6,13,599,414,1008,0,0,6,604,422,1025,0,3,4,159,207,369,0,0,0,164,212,371,0,4,4,85,246,332,0,0,0,86,244,335,6,8,11,684,1264,1949,0,6,10,689,1279,1967,6,17,23,597,980,1579,3,0,0,613,1003,1609,60,42,107,2583,1368,3950,18,11
50201,924,995,1925,38834,43194,82036,2754,2102,4856,42513,46298,88811,452,419,870,21660,20535,42189,80,53,129,22193,21005,43190,96,72,169,1594,1435,3031,4,9,10,1689,1515,3206,554,490,1041,23251,21971,45223,82,58,136,23882,22518,46404,352,482,838,14991,20464,35458,150,181,330,15493,21130,36622,19,25,47,596,764,1355,2521,1864,4389,3136,2648,5785,17.6,15.1,16.4,6.8,6.5,6.7,2.4,12.5,6.5,7.1,6.7,6.9,59.6,49.2,54.2,59.9,50.9,55.1,3,2.7,2.9,56.2,48.6,52.2,49.1,41.8,45.3,55.8,47.5,51.4,2.9,2.3,2.7,52.2,45.4,48.6,39,74,113,1503,3043,4545,3,4,7,1544,3117,4662,406,337,740,19882,17291,37168,73,37,112,20362,17656,38020,13,10,23,1353,1093,2452,0,6,3,1367,1111,2481,8,7,14,732,751,1484,4,0,3,740,763,1505,0,9,17,352,910,1261,0,0,0,352,924,1276,18,50,62,2635,4735,7365,7,10,23,2657,4797,7454,39,65,101,3110,4631,7743,12,18,33,3163,4712,7875,238,220,450,12540,6880,19419,67,18
50301,166,181,352,27200,29554,56755,1141,1076,2224,28511,30813,59324,69,89,158,18092,16787,34874,37,42,74,18203,16907,35109,13,15,32,830,771,1603,7,0,7,852,792,1639,86,104,189,18922,17555,36474,40,42,82,19044,17697,36747,77,81,157,8116,11772,19889,52,60,111,8246,11912,20163,0,0,0,165,223,386,1049,982,2029,1214,1200,2420,16.3,16.3,16.3,4.4,4.4,4.4,7.1,0,3.8,4.5,4.5,4.5,51.8,56.2,54.1,69.6,59.4,64.3,3.7,3.5,3.6,66.8,57.4,61.9,43.4,47,45.3,66.5,56.8,61.4,3.4,3.5,3.5,63.8,54.9,59.2,16,17,32,2236,3272,5508,3,12,13,2255,3298,5553,57,67,126,15735,13389,29122,35,26,63,15827,13486,29312,0,4,3,1048,1160,2203,0,0,6,1048,1164,2218,12,4,17,4949,3974,8923,3,5,12,4967,3993,8955,4,5,8,873,1675,2551,0,3,3,881,1686,2563,23,30,53,9449,10164,19609,31,30,64,9506,10217,19723,4,8,13,1948,2854,4806,13,11,25,1960,2878,4844,20,25,50,1919,1055,2969,7,3
50302,374,391,768,43934,45374,89305,3135,2326,5461,47440,48092,95536,249,229,476,32730,31027,63758,59,44,103,33033,31306,64338,26,28,53,1488,1318,2803,5,3,7,1522,1347,2863,275,260,533,34216,32345,66558,60,50,109,34551,32651,67205,88,124,210,9248,12602,21851,50,58,107,9382,12788,22168,17,8,24,473,423,895,3021,2220,5246,3509,2650,6164,10.2,10.9,10.5,4.3,4.1,4.2,6.3,6.4,6.4,4.4,4.1,4.3,72.9,65.8,69.3,77.9,71.3,74.5,2,2,2,72.8,67.9,70.3,65.5,58.7,62,74.5,68.4,71.4,1.9,1.9,1.9,69.6,65.1,67.3,40,59,103,4280,6414,10696,9,7,11,4329,6483,10811,204,168,368,28175,24405,52583,46,34,89,28427,24614,53043,11,7,19,1826,1665,3491,4,0,5,1837,1674,3511,15,29,41,6442,6121,12563,9,4,10,6467,6150,12615,10,10,21,1476,2371,3856,0,5,3,1488,2392,3880,70,61,130,14018,15321,29341,20,25,41,14105,15403,29510,29,35,67,4145,4759,8901,3,6,17,4177,4799,8978,72,62,131,5273,2888,8163,21,7
50401,484,546,1026,32469,34204,66672,1676,1342,3021,34620,36095,70713,278,223,502,22453,21191,43645,45,35,84,22780,21451,44234,49,40,94,1197,1071,2266,3,7,8,1249,1124,2366,325,269,590,23648,22264,45913,52,43,93,24024,22576,46597,149,259,405,8507,11637,20143,52,70,128,8705,11968,20675,4,15,25,312,302,612,1570,1232,2803,1892,1554,3440,14.8,15.7,15.2,5,4.8,4.9,7.7,12.5,9.8,5.2,5,5.1,67.7,49.2,57.9,72.8,65.1,68.9,3.1,3,3,69.4,62.5,65.9,57.7,41.5,49.1,69.2,62,65.5,2.9,2.6,2.7,65.8,59.4,62.6,41,59,99,2845,4606,7449,0,0,3,2893,4668,7554,232,164,398,19369,16399,35777,36,34,67,19636,16598,36238,8,3,13,1549,1025,2568,3,0,5,1555,1030,2589,3,10,16,2030,2369,4396,0,4,4,2029,2385,4414,4,12,13,716,1332,2046,0,4,4,719,1350,2066,37,43,85,6309,7734,14037,3,9,13,6347,7784,14134,33,34,59,3240,3641,6884,11,7,18,3283,3677,6960,112,85,196,7000,3616,10610,21,9
50402,989,395,1385,16844,16486,33326,953,707,1664,18784,17590,36378,214,202,421,10375,9663,20038,42,32,73,10638,9898,20535,31,28,62,491,426,916,0,6,7,522,454,979,248,231,480,10861,10094,20956,42,35,77,11157,10355,21517,733,155,886,5805,6194,12002,30,50,80,6573,6399,12969,12,16,24,170,198,370,871,624,1500,1053,839,1895,12.9,11.8,12.4,4.5,4.2,4.4,4.3,5.9,5,4.7,4.4,4.5,25,58,34.4,64.5,61.2,62.9,4.8,4.8,4.8,59.4,58.9,59.1,21.8,51.1,30.2,61.6,58.6,60.1,4.6,4.5,4.6,56.6,56.3,56.5,24,64,88,1114,1987,3099,5,6,11,1142,2062,3198,178,131,319,9149,7588,16732,36,26,58,9363,7742,17106,9,0,7,826,627,1454,0,3,5,835,627,1466,0,11,13,569,633,1197,0,0,0,573,642,1210,0,3,8,284,562,845,0,0,0,284,571,853,16,29,47,1798,2803,4603,6,8,14,1821,2842,4662,21,44,68,1425,1935,3362,7,5,9,1449,1988,3439,111,72,186,4920,2350,7268,23,6
50403,1427,1674,3103,52585,55265,107848,2891,2128,5018,56904,59069,115971,835,737,1571,38123,34609,72734,106,63,162,39057,35409,74467,132,114,241,1999,1938,3939,8,10,17,2134,2066,4202,964,846,1814,40120,36553,76670,110,70,180,41186,37472,78663,426,780,1209,11911,18089,29998,94,115,210,12433,18987,31417,39,39,78,557,622,1181,2686,1945,4632,3286,2604,5889,13.4,13.3,13.4,5,5.3,5.1,5.6,15.5,9.5,5.2,5.5,5.3,67.3,50.9,58.5,76.3,66.1,71.1,3.7,3.3,3.6,72.4,63.4,67.8,58.3,44.1,50.6,72.5,62.6,67.4,3.5,2.8,3.2,68.6,59.9,64.2,100,208,309,3271,5633,8907,3,9,12,3379,5854,9229,711,508,1225,34319,28590,62911,93,49,143,35128,29147,64272,26,17,44,2299,1514,3817,9,3,8,2333,1534,3870,8,11,15,1663,1970,3631,0,0,0,1666,1982,3651,10,16,25,612,1270,1883,0,0,0,619,1290,1908,32,91,122,5689,8462,14149,8,8,12,5730,8558,14285,58,119,173,4712,6148,10867,11,10,24,4784,6282,11062,363,323,685,14940,8461,23397,40,21
50501,462,428,892,61247,64533,125783,2352,1643,3996,64062,66606,130669,295,247,542,42779,40591,83366,98,90,187,43172,40930,84100,34,21,48,2116,1698,3816,0,3,7,2155,1721,3871,324,271,593,44893,42287,87178,103,94,195,45320,42648,87970,123,157,281,15988,21807,37798,78,123,204,16197,22088,38281,10,7,19,362,444,807,2170,1423,3594,2545,1869,4415,9.8,7.1,8.6,4.7,4,4.4,3.9,6.4,5.1,4.7,4,4.4,70.3,62.4,66.5,73.3,65.5,69.3,4.4,5.7,4.9,70.7,64,67.3,63.4,58,60.8,69.8,62.9,66.3,4.2,5.4,4.7,67.4,61.4,64.4,41,73,111,5106,8583,13686,6,16,24,5158,8668,13823,249,173,426,37354,31727,69073,80,74,150,37686,31973,69649,7,5,16,3217,2252,5468,8,4,13,3233,2262,5499,11,16,22,3492,3106,6593,3,9,11,3505,3124,6627,6,12,21,1315,2597,3908,3,3,8,1323,2613,3937,32,45,78,10521,14076,24605,16,23,37,10573,14145,24720,34,34,69,6622,7944,14566,14,18,29,6668,7991,14662,122,81,201,16542,7396,23940,50,21
