SA3_CODE_2021,Arthritis_Age_0_14,Arthritis_Age_15_24,Arthritis_Age_25_34,Arthritis_Age_35_44,Arthritis_Age_45_54,Arthritis_Age_55_64,Arthritis_Age_65_over,Arthritis_Age_Tot,Asthma_Age_0_14,Asthma_Age_15_24,Asthma_Age_25_34,Asthma_Age_35_44,Asthma_Age_45_54,Asthma_Age_55_64,Asthma_Age_65_over,Asthma_Age_Tot,Cancer_inc_rem_Age_0_14,Cancer_inc_rem_Age_15_24,Cancer_inc_rem_Age_25_34,Cancer_inc_rem_Age_35_44,Cancer_inc_rem_Age_45_54,Cancer_inc_rem_Age_55_64,Cancer_inc_rem_Age_65_over,Cancer_inc_rem_Age_Tot,Dem_inc_Alz_Age_0_14,Dem_inc_Alz_Age_15_24,Dem_inc_Alz_Age_25_34,Dem_inc_Alz_Age_35_44,Dem_inc_Alz_Age_45_54,Dem_inc_Alz_Age_55_64,Dem_inc_Alz_Age_65_over,Dem_inc_Alz_Age_Tot,Dia_exc_ges_dia_Age_0_14,Dia_exc_ges_dia_Age_15_24,Dia_exc_ges_dia_Age_25_34,Dia_exc_ges_dia_Age_35_44,Dia_exc_ges_dia_Age_45_54,Dia_exc_ges_dia_Age_55_64,Dia_exc_ges_dia_Age_65_over,Dia_exc_ges_dia_Age_Tot,HD_inc_Ha_ang_Age_0_14,HD_inc_Ha_ang_Age_15_24,HD_inc_Ha_ang_Age_25_34,HD_inc_Ha_ang_Age_35_44,HD_inc_Ha_ang_Age_45_54,HD_inc_Ha_ang_Age_55_64,HD_inc_Ha_ang_Age_65_over,HD_inc_Ha_ang_Age_Tot,Kid_dis_Age_0_14,Kid_dis_Age_15_24,Kid_dis_Age_25_34,Kid_dis_Age_35_44,Kid_dis_Age_45_54,Kid_dis_Age_55_64,Kid_dis_Age_65_over,Kid_dis_Age_Tot,LC_inc_COPD_emph_Age_0_14,LC_inc_COPD_emph_Age_15_24,LC_inc_COPD_emph_Age_25_34,LC_inc_COPD_emph_Age_35_44,LC_inc_COPD_emph_Age_45_54,LC_inc_COPD_emph_Age_55_64,LC_inc_COPD_emph_Age_65_over,LC_inc_COPD_emph_Age_Tot,MHC_inc_dep_anx_Age_0_14,MHC_inc_dep_anx_Age_15_24,MHC_inc_dep_anx_Age_25_34,MHC_inc_dep_anx_Age_35_44,MHC_inc_dep_anx_Age_45_54,MHC_inc_dep_anx_Age_55_64,MHC_inc_dep_anx_Age_65_over,MHC_inc_dep_anx_Age_Tot,Stroke_Age_0_14,Stroke_Age_15_24,Stroke_Age_25_34,Stroke_Age_35_44,Stroke_Age_45_54,Stroke_Age_55_64,Stroke_Age_65_over,Stroke_Age_Tot,A_oth_LTHC_Age_0_14,A_oth_LTHC_Age_15_24,A_oth_LTHC_Age_25_34,A_oth_LTHC_Age_35_44,A_oth_LTHC_Age_45_54,A_oth_LTHC_Age_55_64,A_oth_LTHC_Age_65_over,A_oth_LTHC_Age_Tot,No_LTHC_Age_0_14,No_LTHC_Age_15_24,No_LTHC_Age_25_34,No_LTHC_Age_35_44,No_LTHC_Age_45_54,No_LTHC_Age_55_64,No_LTHC_Age_65_over,No_LTHC_Age_Tot,Not_st_Age_0_14,Not_st_Age_15_24,Not_st_Age_25_34,Not_st_Age_35_44,Not_st_Age_45_54,Not_st_Age_55_64,Not_st_Age_65_over,Not_st_Age_Tot,Tot_per_Age_0_14,Tot_per_Age_15_24,Tot_per_Age_25_34,Tot_per_Age_35_44,Tot_per_Age_45_54,Tot_per_Age_55_64,Tot_per_Age_65_over,Tot_per_Age_Tot
50101,0,0,5,3,10,12,18,52,32,23,14,15,14,9,6,113,0,4,0,0,4,3,9,19,0,0,0,0,0,0,5,7,0,0,0,3,7,11,13,32,0,0,0,0,4,11,12,23,0,0,0,0,0,0,0,10,0,0,0,0,0,6,11,19,11,21,18,22,23,6,10,122,0,0,0,0,0,0,4,6,19,15,6,7,23,6,8,88,292,122,72,68,45,28,20,643,42,9,8,9,12,3,0,83,386,186,117,112,101,60,63,1030
50102,5,0,15,27,54,64,55,215,120,91,65,70,46,44,31,470,4,0,3,3,10,27,30,69,0,0,0,0,0,10,9,17,0,7,16,35,59,65,71,246,3,0,3,6,26,34,37,113,0,0,0,0,10,5,16,31,5,0,0,6,11,21,15,55,38,110,93,62,79,52,19,441,0,0,0,3,6,11,7,26,81,44,21,25,34,33,18,268,960,437,257,194,145,83,28,2109,88,74,75,49,24,22,14,348,1260,725,505,393,354,275,188,3689
50103,0,0,4,0,18,19,14,55,25,18,7,9,10,7,8,69,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,3,0,0,4,3,4,6,4,34,0,0,0,3,4,4,10,30,0,0,0,0,0,0,5,12,0,0,0,3,0,3,3,17,4,22,13,12,15,13,8,90,0,0,0,0,0,0,3,4,5,5,4,5,8,13,6,49,152,81,26,25,43,24,12,360,12,3,0,0,0,0,0,29,198,124,44,46,74,73,46,611
50201,0,4,9,25,39,55,54,188,111,73,60,52,51,41,16,406,0,3,4,5,15,12,20,67,0,0,0,0,0,0,4,11,0,4,7,14,37,63,51,183,3,0,0,3,14,27,39,91,0,0,0,0,9,8,12,27,10,6,0,6,11,12,23,53,47,100,84,73,48,49,33,435,0,0,0,0,8,6,9,27,99,40,38,37,31,39,20,300,858,371,228,148,98,59,30,1790,90,56,26,20,14,12,9,220,1179,598,393,300,251,215,166,3097
50301,0,0,0,0,3,10,6,19,15,25,5,0,12,0,0,53,0,0,0,0,0,0,4,6,0,0,0,0,0,0,4,4,0,3,0,0,0,0,3,12,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,5,20,17,4,11,4,3,62,0,0,0,0,0,0,3,3,5,11,7,0,6,3,0,40,108,120,34,17,22,5,4,318,3,10,3,4,4,0,0,19,126,176,56,31,44,16,21,479
50302,0,0,4,8,6,15,15,44,16,19,33,21,14,13,7,121,0,3,0,0,3,8,7,18,0,0,0,0,0,0,5,4,0,0,6,7,15,14,11,51,0,3,0,6,0,6,13,27,0,0,0,0,0,0,7,12,0,0,0,7,0,5,8,19,4,46,50,36,21,6,4,177,0,0,0,0,0,0,0,3,10,17,11,13,14,14,7,84,125,101,121,61,60,29,14,510,18,9,5,5,4,12,3,61,166,174,205,129,118,79,59,937
50401,0,0,9,6,12,20,28,69,31,46,43,23,23,17,17,198,0,0,0,0,0,4,7,13,0,0,0,0,0,0,11,13,0,0,8,15,11,23,21,79,0,0,0,0,0,16,15,43,0,0,0,0,3,7,9,12,0,0,0,5,3,9,6,26,27,52,52,36,30,31,10,228,0,0,0,0,0,7,7,16,24,15,25,10,22,20,14,141,350,193,134,72,64,33,19,867,28,25,17,11,0,5,3,95,446,304,239,147,144,112,81,1472
50402,0,0,4,0,15,17,27,58,46,25,11,16,27,12,14,140,0,0,0,6,7,5,7,30,0,0,0,0,0,0,0,4,0,0,4,8,16,23,21,69,0,0,0,4,4,8,15,36,0,0,0,0,4,7,7,20,0,0,0,0,0,8,12,19,10,30,21,12,19,20,7,117,0,0,0,3,0,5,8,15,20,16,14,11,15,4,12,93,306,162,106,67,56,40,14,746,42,112,260,156,68,28,8,678,419,337,409,257,193,125,69,1802
50403,4,8,11,29,41,64,62,210,192,81,90,63,61,58,31,571,0,0,0,7,15,17,9,50,0,0,0,0,3,0,11,13,4,4,15,35,57,102,56,266,0,8,4,12,22,53,56,153,9,0,0,6,10,11,14,52,4,0,0,3,12,26,11,63,66,94,133,91,69,50,19,516,0,0,0,3,4,12,14,44,127,62,53,51,43,44,24,397,1353,585,473,268,187,87,28,2977,150,87,99,58,34,25,4,456,1834,865,807,520,430,307,174,4939
50501,0,3,4,6,13,21,27,79,53,22,20,19,20,20,22,173,0,0,0,0,0,6,6,16,0,0,0,0,0,0,4,6,0,3,0,7,8,22,19,66,0,0,0,0,6,8,15,43,0,0,0,0,0,0,0,9,0,0,0,5,3,0,8,22,32,30,32,26,28,22,14,178,0,0,0,0,0,0,7,7,16,17,16,14,17,15,8,99,367,146,111,96,74,31,16,852,27,19,8,16,8,4,6,92,491,228,182,170,144,103,79,1384
50502,0,0,11,21,30,44,44,142,70,46,64,57,36,41,24,332,0,0,4,7,5,16,19,47,0,0,0,0,0,0,12,17,0,4,15,28,39,56,49,189,0,3,3,7,19,37,42,110,4,0,0,0,3,10,15,29,3,0,3,5,13,18,16,66,32,71,90,57,63,44,12,377,0,0,0,0,9,3,9,23,40,28,35,25,34,28,19,207,492,307,242,131,126,52,24,1381,62,18,15,21,10,16,9,155,676,444,411,291,283,208,138,2453
