SA3_CODE_2021,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
50101,1954,3680,152,100,252,1914,2085,3998,24,26,48,1835,1951,3782,171,107,279,2027,2082,4110,20,28,47,1715,1852,3569,173,105,279,1911,1985,3888,19,13,28,1616,1770,3391,109,99,213,1747,1881,3630,14,13,33,1698,1992,3689,115,95,208,1829,2098,3929,31,35,63,5630,6091,11723,333,343,677,5989,6469,12463,530,497,1030,25647,27131,52780,1905,1627,3529,28080,29249,57332
50102,3164,6227,240,150,386,3381,3416,6793,82,105,190,3066,3298,6370,257,146,401,3402,3555,6954,80,90,167,3253,3545,6795,246,163,407,3576,3795,7372,70,88,158,3186,3384,6575,241,160,402,3501,3630,7131,56,59,112,3232,3476,6713,210,163,373,3501,3694,7198,83,102,188,9061,9802,18864,553,612,1168,9696,10522,20218,1838,1848,3689,48327,49863,98185,3116,2567,5680,53276,54279,107549
50103,610,1151,60,63,123,624,682,1308,27,21,41,642,681,1321,82,55,135,740,755,1499,17,19,37,738,764,1508,96,81,180,854,859,1720,22,28,52,852,939,1785,69,64,135,939,1026,1969,12,5,22,907,945,1853,68,81,145,983,1036,2024,22,27,46,2818,2756,5572,229,194,424,3069,2978,6039,306,301,611,10630,10787,21419,977,857,1830,11911,11949,23863
50201,2809,5223,243,142,381,2715,3019,5736,51,61,114,2772,3065,5837,268,180,452,3089,3308,6404,60,78,139,2912,3308,6213,250,140,393,3225,3521,6745,58,68,126,3134,3465,6601,237,160,395,3428,3690,7124,47,40,90,3104,3684,6785,175,147,329,3332,3875,7206,75,93,166,12293,13581,25878,603,600,1208,12973,14273,27246,1508,1590,3097,47282,51523,98809,3187,2541,5733,51979,55660,107641
50301,2099,3932,81,52,132,1907,2159,4068,15,12,26,2142,2443,4578,66,53,115,2225,2501,4725,10,11,17,2433,2643,5072,84,66,152,2522,2724,5245,6,4,12,2134,2279,4417,87,66,156,2230,2355,4587,0,4,5,1968,2167,4130,73,74,147,2042,2244,4282,13,10,21,6502,7478,13979,304,369,675,6824,7859,14679,215,261,479,33413,35348,68763,1278,1218,2495,34905,36829,71735
50302,3631,7485,288,157,448,4182,3819,8001,36,32,61,3237,3211,6450,223,126,342,3493,3366,6864,26,27,53,3079,3021,6101,229,136,366,3331,3186,6513,30,28,58,2859,2825,5684,200,132,323,3088,2981,6063,12,14,25,2599,2627,5230,153,100,255,2771,2741,5509,32,33,59,6814,7821,14631,429,388,814,7278,8241,15510,461,474,937,51284,52397,103684,3370,2538,5908,55115,55410,110530
50401,2764,5508,149,93,246,2916,2886,5804,30,51,83,2574,2697,5278,142,103,245,2746,2851,5602,26,32,58,2479,2484,4968,115,85,204,2624,2607,5228,32,31,65,2349,2413,4761,125,68,198,2505,2510,5020,22,30,52,2143,2322,4464,102,79,179,2271,2425,4694,25,56,81,6333,7631,13966,308,346,653,6669,8031,14702,733,740,1472,39129,40380,79511,1929,1553,3483,41790,42676,84462
50402,1251,2520,100,51,151,1463,1325,2788,72,29,100,1352,1349,2706,71,58,128,1500,1435,2932,51,42,96,1521,1525,3040,105,48,152,1676,1613,3289,35,34,66,1505,1502,3011,100,53,153,1642,1585,3225,38,25,60,1386,1406,2791,76,66,138,1497,1492,2992,33,36,69,3879,4208,8088,171,198,369,4088,4446,8528,1207,592,1802,20325,19720,40043,1103,839,1948,22643,21152,43792
50403,4889,9531,279,164,444,5017,5187,10205,111,130,236,4276,4658,8936,300,194,492,4684,4976,9668,87,102,191,4330,4617,8944,274,164,436,4697,4881,9573,87,86,170,4006,4215,8222,227,137,365,4321,4440,8755,58,74,135,3397,3636,7040,169,109,278,3632,3823,7451,71,105,174,7660,8476,16131,358,364,716,8086,8936,17026,2392,2542,4939,67818,69449,137271,3457,2654,6111,73672,74650,148324
50501,5389,10297,225,114,341,5166,5551,10715,44,34,78,5271,5560,10834,236,117,352,5554,5713,11264,28,31,58,5404,5742,11146,242,118,360,5677,5891,11570,27,23,49,5060,5661,10722,222,116,337,5311,5807,11118,21,25,47,4927,5418,10347,169,125,290,5120,5571,10687,39,34,79,13163,14662,27821,432,494,927,13637,15193,28827,706,682,1384,76182,78542,154724,2619,1915,4536,79502,81136,160641
50502,6931,13514,396,273,662,7026,7276,14299,65,78,143,6255,6487,12746,354,234,582,6666,6804,13474,52,86,139,5846,6111,11954,288,201,485,6185,6396,12580,44,68,113,5269,5653,10923,256,186,442,5568,5914,11480,45,49,95,4905,5380,10284,211,193,405,5160,5620,10781,54,82,138,15065,19346,34413,646,849,1489,15764,20280,36040,1184,1266,2453,95066,101627,196695,4790,4218,9005,101037,107110,208149
50503,7111,13700,376,199,575,7045,7398,14448,69,86,151,6643,7118,13767,380,228,607,7093,7436,14526,56,83,138,6509,6854,13363,379,211,585,6940,7152,14086,68,80,142,5585,5735,11320,295,190,478,5945,6001,11946,45,62,111,4419,4873,9290,242,135,375,4698,5070,9771,61,85,143,11093,13006,24095,397,467,870,11549,13564,25111,1910,2061,3969,96132,100611,196744,4478,3316,7794,102522,105984,208506
50601,3244,6471,178,132,305,3467,3429,6894,56,46,98,2672,2635,5308,171,121,291,2899,2802,5701,52,63,113,2452,2501,4949,169,110,279,2667,2670,5340,44,58,101,2221,2298,4518,159,91,250,2422,2445,4862,39,39,78,2009,2186,4199,120,83,196,2159,2307,4472,46,65,112,5067,5687,10752,203,240,439,5315,5989,11309,1366,1417,2785,42882,44187,87071,2352,1973,4327,46604,47583,94184
50602,2391,4899,210,114,323,2766,2545,5311,42,47,91,2139,2105,4247,164,109,279,2349,2267,4620,44,51,93,2146,1925,4073,182,107,285,2370,2084,4452,51,47,104,1968,1826,3801,154,95,253,2176,1977,4149,32,37,64,1821,1711,3530,110,85,195,1964,1831,3792,41,74,118,4375,5045,9418,227,226,454,4647,5342,9985,854,865,1717,34930,34404,69329,2393,1881,4266,38172,37142,75312
50603,3347,6583,149,95,241,3416,3477,6896,37,29,63,3011,3020,6034,131,80,216,3180,3135,6311,28,35,69,2660,2724,5386,113,73,191,2805,2840,5643,20,34,50,2444,2632,5078,93,81,175,2556,2743,5299,20,16,34,2248,2531,4781,109,61,168,2383,2600,4982,34,46,76,6674,8146,14818,208,272,481,6910,8468,15384,618,689,1301,46884,47516,94392,1894,1542,3438,49396,49742,99139
50604,4259,8717,240,160,397,4794,4521,9312,91,90,181,3978,3837,7815,233,157,390,4302,4082,8389,81,75,153,3682,3650,7329,219,138,355,3972,3865,7835,55,66,114,3236,3248,6481,145,85,237,3435,3405,6832,34,51,82,2775,3018,5797,129,104,230,2938,3173,6113,84,94,180,7662,8719,16383,311,332,646,8056,9150,17208,1777,1667,3448,58902,58843,117744,2807,2375,5182,63485,62887,126376
50605,1901,3737,118,64,176,1980,1995,3976,24,37,65,1839,1901,3743,91,56,142,1953,1992,3953,26,40,66,1845,1872,3714,93,62,156,1968,1969,3938,19,19,39,1757,1812,3578,106,72,179,1887,1911,3793,20,22,43,1552,1715,3265,69,40,115,1641,1782,3420,24,34,58,4999,5695,10701,161,189,352,5181,5924,11107,663,688,1350,27228,28031,55263,1216,938,2152,29108,29654,58762
50606,986,2003,67,38,99,1109,1043,2149,30,15,47,911,941,1852,54,28,82,991,989,1977,13,13,30,984,961,1944,80,42,126,1076,1019,2097,13,12,26,888,874,1757,59,33,96,961,921,1878,3,8,11,704,744,1448,36,31,66,744,781,1523,12,6,27,1598,1561,3162,74,75,151,1688,1646,3339,472,448,920,14864,15128,29997,770,557,1326,16103,16138,32242
50607,1260,2507,48,43,88,1308,1317,2624,13,17,35,1145,1271,2416,57,43,106,1220,1338,2553,18,17,36,1238,1341,2579,64,42,104,1314,1407,2723,10,11,22,1114,1311,2423,57,61,117,1180,1380,2564,10,11,17,1146,1333,2481,50,42,98,1207,1386,2591,17,15,30,3645,4424,8069,170,229,408,3827,4676,8505,335,312,644,20063,21010,41076,877,856,1733,21275,22177,43448
50701,4147,8116,212,132,342,4224,4330,8548,49,49,98,3764,3820,7582,181,133,310,3986,4005,7995,43,54,97,3474,3652,7128,195,114,304,3713,3818,7531,34,48,85,3065,3285,6347,143,110,254,3247,3440,6686,25,30,52,2687,2947,5637,119,85,204,2825,3064,5892,42,53,98,6860,7872,14734,320,355,672,7225,8282,15510,1111,1113,2224,53471,55707,109180,2471,1954,4424,57054,58771,115824
50702,1239,2439,105,56,158,1315,1313,2622,20,16,43,1175,1283,2452,90,64,155,1288,1359,2648,21,12,35,1301,1415,2715,102,55,158,1425,1483,2912,16,14,31,1342,1380,2725,90,52,136,1444,1447,2889,13,9,23,1178,1325,2502,61,44,110,1252,1382,2636,17,20,46,3492,4045,7539,186,197,381,3694,4270,7965,301,321,621,17864,19332,37197,1163,933,2092,19324,20592,39910
50703,1481,3120,103,54,153,1830,1577,3406,75,43,112,1369,1346,2719,88,58,140,1530,1447,2979,38,24,65,1311,1193,2509,76,46,124,1427,1271,2690,20,31,49,1034,1082,2113,68,48,110,1120,1158,2276,12,17,31,844,888,1731,48,42,85,908,946,1853,41,33,66,1992,2205,4202,77,97,171,2110,2339,4445,1267,751,2016,21030,20712,41740,1194,912,2107,23482,22379,45867
50704,3568,6701,128,81,208,3286,3678,6960,16,23,39,3198,3573,6773,131,87,222,3349,3682,7033,21,21,38,3208,3605,6814,124,90,214,3354,3722,7071,21,29,52,2944,3510,6453,127,98,224,3090,3626,6719,15,25,45,3069,3381,6450,114,82,202,3204,3487,6689,20,24,46,9667,11740,21400,384,431,814,10071,12193,22261,445,481,927,48779,53262,102037,1693,1469,3163,50918,55210,106127
50705,4246,8037,350,163,508,4226,4490,8718,76,75,149,3947,4310,8259,332,181,511,4343,4568,8916,59,79,141,4038,4327,8370,307,160,465,4403,4572,8972,55,51,109,3878,4044,7916,265,146,412,4197,4241,8435,38,53,92,3314,3388,6707,207,111,322,3560,3559,7124,60,76,131,8445,9734,18183,440,445,877,8948,10253,19198,1771,1829,3605,61083,63892,124966,4230,2872,7108,67085,68591,135678
