SA4_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
501,35713,18700,19718,23457,24694,24998,21763,11168,3938,184143
502,18841,10970,10293,11150,12292,13259,13743,8732,3054,102337
503,27766,23706,30810,26406,23669,20437,16307,9510,4535,183153
504,53474,32081,39898,39560,34969,30966,22875,12071,4421,270316
505,111338,68044,76475,81562,74817,63133,49614,27093,10834,562915
506,103196,65998,78589,78476,63638,54609,43371,22906,9105,519886
507,86543,52736,58167,61384,56617,49179,38073,21128,8823,432650
509,23781,13035,14180,15507,18130,20931,18033,9382,3243,136222
510,22249,11892,24330,23363,20138,17532,10391,2612,309,132822
511,23831,14472,20017,19219,19812,20196,15615,6688,1826,141673
597,3,137,518,957,896,533,176,32,0,3250
