SA4_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
501,10,51,7,59,39,0,168,3,82,17,27,23,0,152,47,711,74,205,75,12,1129,165,432,228,326,119,13,1281,293,176,68,446,108,4,1094,783,241,58,760,164,9,2003,2165,148,38,1447,172,13,3991,3063,48,25,1264,133,15,4548,976,3,0,288,33,6,1310,210,0,0,100,15,0,327,50,0,0,28,34,0,116,13,6,0,20,9,0,43,4,0,0,18,3,0,32,30,0,0,74,41,0,139,139,127,32,326,235,38,905,7948,2028,548,5387,1210,112,17243
502,12,22,6,21,4,0,65,0,35,5,9,11,0,57,20,243,72,98,21,11,457,154,214,134,163,38,4,706,184,82,47,240,33,8,595,797,77,53,524,57,7,1516,2041,25,32,881,78,14,3071,1859,17,40,589,74,13,2601,494,3,5,133,14,3,649,115,0,0,33,4,3,155,34,0,0,7,0,0,43,12,0,0,9,3,0,21,3,0,0,0,0,0,3,8,0,0,12,6,0,21,84,57,34,143,39,29,381,5811,776,420,2858,394,81,10345
503,20,94,9,20,3,3,145,0,137,24,19,0,0,182,44,854,50,144,18,6,1122,189,242,190,237,33,4,894,488,55,40,283,24,4,897,1737,102,64,581,177,6,2665,2896,58,38,957,147,13,4111,5329,35,31,1388,119,13,6926,3797,12,14,947,63,8,4842,1934,5,3,458,26,4,2434,1056,0,6,267,17,4,1350,678,4,3,153,15,0,852,440,5,0,95,6,4,553,880,0,0,219,20,4,1124,250,90,29,259,107,40,776,19743,1697,496,6035,778,112,28862
504,15,82,20,43,6,3,170,3,136,17,26,0,0,185,55,970,63,190,32,9,1315,176,470,127,266,32,6,1078,324,181,30,358,40,4,939,1167,263,65,739,121,9,2364,3662,214,57,1797,176,11,5917,5204,86,47,1959,220,23,7539,1936,16,12,546,48,6,2563,434,0,0,127,17,0,579,115,0,0,37,10,3,170,47,3,3,18,3,0,80,14,0,0,6,0,0,22,26,0,0,21,10,0,67,191,184,52,332,108,60,935,13381,2599,494,6471,824,143,23914
505,29,162,17,56,9,6,275,4,306,25,34,12,0,385,73,1819,113,335,66,16,2425,256,796,289,513,77,21,1951,375,341,99,553,72,9,1452,1720,474,129,1103,188,7,3634,7155,353,100,3376,418,47,11445,11605,150,59,4502,418,57,16792,5259,22,7,1517,113,9,6922,1958,3,4,495,30,8,2499,895,9,3,217,10,0,1141,445,5,4,112,10,0,578,205,0,0,49,13,0,272,255,5,0,59,28,6,343,457,275,60,594,173,115,1674,30681,4722,909,13531,1642,303,51789
506,24,196,24,70,13,10,334,13,297,47,66,11,3,442,169,1805,184,494,82,22,2746,360,853,393,642,129,28,2402,742,361,93,723,97,21,2035,2545,486,152,1446,201,25,4862,8329,370,101,3611,465,49,12925,12568,182,85,3869,491,38,17230,4840,33,21,1248,124,11,6280,1406,0,6,340,26,3,1782,517,7,0,125,19,0,669,228,0,0,66,8,0,310,97,4,0,36,5,0,141,142,0,3,86,21,0,251,508,304,80,729,201,159,1974,32487,4899,1193,13550,1888,363,54376
507,35,160,13,46,10,0,265,17,235,28,29,14,0,317,72,1587,142,259,47,8,2111,286,806,258,428,63,16,1853,561,286,75,518,67,10,1512,1554,395,97,1032,388,10,3474,5251,276,66,2340,271,12,8212,9578,97,25,2949,244,29,12920,4007,18,6,1036,86,6,5154,1486,11,0,364,14,3,1873,588,5,3,157,14,0,765,285,0,0,87,14,0,383,178,0,0,46,6,0,236,242,11,0,80,35,0,371,351,251,56,492,139,91,1384,24481,4142,764,9873,1399,184,40845
509,7,52,17,85,117,4,281,8,94,21,46,98,3,275,64,556,181,375,209,18,1404,201,382,260,491,197,18,1541,231,192,39,526,131,6,1115,544,268,98,660,168,14,1750,1093,186,40,837,176,5,2342,1001,39,16,516,83,10,1666,203,7,4,107,27,4,359,40,0,0,26,6,0,79,7,3,0,10,8,0,28,9,0,0,8,9,4,22,0,0,0,3,0,0,11,3,0,0,36,25,0,65,79,116,34,310,415,26,973,3475,1892,722,4034,1671,107,11910
510,66,482,405,21,1979,10,2964,9,339,274,6,247,8,886,26,696,238,38,1229,8,2242,41,530,94,56,482,7,1205,59,321,33,68,356,3,836,104,448,58,83,422,8,1123,303,386,74,161,411,3,1342,678,134,37,247,378,8,1480,738,35,3,176,180,3,1124,541,10,3,94,79,0,721,343,6,0,76,56,0,492,229,5,0,57,40,0,343,164,5,0,35,34,0,234,236,3,0,87,198,0,528,274,299,115,233,1287,34,2240,3807,3703,1337,1438,7383,95,17765
511,5,216,82,43,171,6,522,12,155,51,45,83,5,351,107,551,138,255,218,17,1292,391,356,132,387,260,27,1550,404,190,38,448,205,8,1289,834,309,48,630,312,15,2149,1504,177,40,754,283,7,2774,1318,43,13,554,182,5,2108,436,10,3,132,62,0,647,181,9,0,52,25,0,266,51,0,0,24,16,0,95,21,3,0,9,18,0,58,3,0,0,10,13,0,25,45,0,0,76,111,0,237,125,158,64,365,716,35,1470,5445,2185,610,3776,2679,124,14825
