SA4_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
501,46,57,145,166,235,395,989,1373,849,4243,4,14,84,58,64,88,77,78,59,521,561,454,1339,1379,1542,1538,1489,1169,749,10224,4700,7823,19715,23449,24683,24991,21753,11162,3938,142210
502,43,26,55,106,157,278,683,987,569,2905,9,6,23,29,40,42,54,40,15,262,280,253,538,547,596,544,756,881,646,5033,2809,5047,10283,11145,12290,13260,13740,8723,3051,80353
503,15,25,51,77,99,161,350,547,579,1896,4,19,79,61,49,99,75,88,122,598,362,792,2159,1649,1306,1154,1195,991,704,10317,4641,13275,30790,26396,23665,20424,16302,9507,4536,149538
504,75,67,300,475,602,882,1435,1670,972,6485,17,29,196,311,401,377,312,242,162,2064,580,699,1848,1711,1483,1254,1205,1051,721,10541,7068,16246,39869,39531,34944,30942,22858,12061,4420,207942
505,90,95,489,769,957,1303,2369,3135,1997,11202,25,48,369,623,725,740,606,493,354,3987,977,1228,3170,3022,2437,1967,2087,2256,1647,18792,14535,33667,76424,81506,74756,63085,49578,27063,10811,431437
506,154,154,569,877,1050,1425,2348,2506,1507,10595,31,90,541,680,720,702,585,422,248,4012,1240,1722,4120,3589,2844,2370,2197,2253,1913,22254,13938,35341,78495,78413,63578,54542,43336,22891,9101,399629
507,92,99,214,348,534,935,1950,2509,1516,8198,21,35,127,194,239,244,296,290,241,1692,935,1204,2867,2618,2184,1913,2098,2152,1758,17736,11826,26355,58136,61364,56583,49154,38039,21101,8815,331370
509,44,45,155,166,234,432,933,1204,691,3904,10,21,59,82,95,79,77,56,53,528,617,632,1586,1643,1896,2017,1766,1287,588,12037,3453,5806,14178,15504,18121,20926,18030,9379,3240,108628
510,110,61,177,218,327,402,539,324,62,2213,22,13,58,69,109,95,94,93,34,583,775,1558,5893,5574,5158,4030,1731,498,86,25316,2950,6919,24313,23336,20130,17521,10392,2612,309,108480
511,53,51,106,179,284,531,938,998,410,3555,6,15,48,68,72,73,83,79,53,500,783,1403,3929,3674,3568,3170,2097,1019,353,19995,3693,7759,20011,19201,19799,20186,15604,6682,1826,114761
597,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,44,223,434,399,218,49,8,0,1387,20,116,521,957,893,533,176,32,0,3245
