SA4_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
501,779,697,571,508,176,30,3258,32,341,628,661,587,410,114,20,2789,473,3118,4127,3590,2709,2112,790,191,17104,332,1583,2402,2590,2732,2097,877,202,12812,3263,6151,6736,6346,5692,3666,1380,296,33526,1200,595,412,356,296,198,65,17,3138,183,250,433,626,636,532,227,51,2938,4649,6995,7586,7325,6621,4393,1673,364,39610,42,109,151,160,181,244,126,35,1053,1289,1527,1670,1788,1878,1894,1498,831,12377,6848,14153,17350,16815,15275,11657,5245,1654,88999
502,324,321,288,210,80,15,1443,20,147,226,286,262,209,66,19,1239,346,1310,1547,1406,1119,980,427,97,7237,305,910,1267,1436,1538,1236,599,148,7450,1746,3246,3194,3287,3222,2475,1270,310,18727,631,276,203,162,159,134,50,10,1629,118,164,238,296,336,314,210,57,1731,2494,3681,3635,3737,3713,2922,1522,376,22084,34,56,86,82,116,149,127,36,687,668,671,718,755,755,1066,1110,731,6483,3892,6975,7808,8017,7794,6782,3943,1414,46619
503,5351,4224,2971,1970,800,220,21230,101,1211,1343,1453,1169,747,277,54,6365,3903,12666,10420,8492,6172,4279,1910,603,48449,1006,2282,2327,2348,2430,1900,1125,405,13820,1652,2531,2003,1775,1734,1126,580,241,11645,542,196,141,103,121,82,56,17,1260,117,182,228,366,403,364,226,101,1996,2314,2907,2375,2245,2261,1571,867,360,14895,96,234,224,205,172,226,179,86,1427,1284,2376,1852,1484,1355,1360,1159,827,11701,9084,26985,23896,20456,16528,12053,6321,2563,117887
504,2963,1636,1093,646,219,31,9035,94,964,1220,1077,802,414,150,24,4746,1962,9013,8758,5751,3554,2337,852,177,32410,1220,4072,4751,4203,3420,2207,929,194,20995,4320,9337,8136,7209,6311,3874,1604,367,41154,1418,743,530,427,297,197,60,9,3675,317,466,702,833,843,591,275,77,4101,6055,10546,9369,8464,7448,4661,1938,452,48929,122,248,340,259,282,252,162,53,1722,1606,2264,2123,1838,1672,1502,1359,815,13175,11217,29410,29532,23232,18261,12025,5602,1745,131013
505,7140,4833,2962,1610,563,113,23194,214,2292,3034,2765,2011,1099,324,52,11793,5487,20857,22035,15562,9471,6011,2325,541,82284,2616,8038,10101,10154,8181,5576,2328,619,47617,8010,16092,15312,14088,12388,7871,3399,942,78111,2550,1113,899,746,637,446,154,28,6574,633,880,1386,1905,1686,1317,693,226,8728,11202,18084,17604,16746,14705,9637,4248,1194,93417,230,544,714,712,552,634,427,146,3967,2877,4106,4082,3414,2866,2891,2807,1956,24991,23036,59472,64716,54185,40758,27461,13019,4618,287273
506,8779,4657,2685,1523,528,76,25931,231,1880,2372,1946,1494,907,274,28,9131,5395,20854,20689,12421,7503,4972,1859,467,74162,2947,7880,9107,7487,6197,4217,1861,462,40152,8276,14714,13563,11622,10156,6833,2919,783,68864,2925,1215,835,667,528,326,138,22,6661,529,806,1101,1391,1311,1054,516,177,6885,11729,16740,15504,13686,11989,8213,3575,981,82416,247,576,653,571,493,523,344,119,3523,3662,5012,4506,3569,3109,2923,2791,2107,27670,24666,60153,61607,44341,33470,23283,11225,4238,262979
507,5474,3971,2776,1719,564,102,18513,144,1662,2204,2055,1665,964,271,55,9016,3813,14536,15712,11289,7221,4817,1860,461,59716,1747,5344,7227,7266,5884,4012,1676,495,33661,6883,13690,12520,11487,9659,5705,2628,729,63307,2426,1098,740,615,514,312,113,25,5857,486,644,993,1335,1310,1001,496,156,6420,9790,15436,14255,13435,11485,7014,3242,909,75579,197,344,487,466,485,453,321,116,2880,2623,3441,3318,2947,2601,2690,2502,1890,22025,18551,44437,48688,41436,32120,21674,10444,4037,221394
509,417,379,452,347,124,20,2088,26,237,338,395,396,301,66,8,1773,425,2025,2380,2113,1853,1396,559,123,10872,231,928,1373,1713,2041,1636,700,136,8764,1912,3949,3802,3885,4080,2706,973,228,21537,776,386,297,271,266,159,45,8,2210,105,152,226,386,477,421,159,47,1966,2799,4488,4321,4543,4818,3290,1177,280,25712,28,66,99,116,128,171,100,40,743,1502,1698,1786,2121,2306,2195,1563,718,13895,5048,9764,10712,11369,12003,9334,4296,1329,63856
510,790,517,468,283,51,0,3015,26,396,449,371,339,216,21,0,1817,578,3626,2866,1827,1432,926,195,17,11464,221,1392,1876,1711,1610,1012,166,7,7998,1525,5767,5798,4581,3515,1717,322,24,23250,548,435,354,198,170,81,7,0,1798,94,238,289,290,293,213,48,4,1467,2170,6443,6441,5068,3969,2013,382,30,26517,28,84,79,79,75,66,26,0,431,2577,6111,5795,5347,4236,1903,576,90,26631,5654,18910,18290,14915,12127,6417,1422,140,77866
511,648,470,375,240,53,3,2487,25,314,361,371,344,237,37,7,1696,582,2799,2491,1954,1509,1068,327,48,10779,264,1185,1535,1655,1731,1265,360,76,8070,2076,5161,4666,4500,4068,2539,804,124,23925,777,466,305,249,201,125,39,3,2173,119,198,261,325,389,324,100,24,1733,2973,5823,5228,5080,4650,2991,942,155,27829,38,86,78,112,109,110,67,21,631,2380,4076,3825,3772,3402,2401,1237,450,21544,6327,14908,14176,13403,12130,8304,3020,766,73038
