SA4_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
501,1095,40,8,3,4,1144,541,29,8,0,4,582,466,29,7,0,0,500,910,37,8,7,0,970,1366,67,7,6,0,1447,4417,181,16,9,4,4632,5436,121,13,10,4,5586,5626,95,13,3,10,5745,2074,36,3,6,0,2113,1486,34,4,3,0,1532,926,29,4,3,4,953,1372,55,7,4,8,1446,25718,738,86,66,43,26651
502,571,47,13,3,0,636,256,25,5,5,0,297,229,37,6,0,0,267,444,40,7,3,0,496,611,59,14,3,0,684,2272,135,30,0,0,2441,3034,79,18,4,0,3136,3542,59,19,0,0,3625,1278,20,10,0,5,1311,920,16,21,0,0,959,600,8,11,0,0,623,872,31,11,0,0,913,14637,555,169,20,8,15377
503,764,146,219,0,4,1138,172,29,70,0,0,277,126,36,80,0,0,235,183,60,150,0,0,393,253,102,242,0,0,601,660,285,791,0,0,1739,658,377,966,5,0,2007,1468,566,905,5,0,2955,1245,354,389,4,0,1997,2193,428,359,5,0,2990,4377,347,251,3,3,4977,779,160,192,0,0,1135,12893,2891,4627,18,13,20440
504,1721,152,23,0,0,1891,580,64,13,0,0,659,509,48,20,0,0,581,928,118,50,0,0,1101,1390,172,60,0,0,1632,5166,632,233,0,0,6042,8309,723,148,0,4,9178,11966,618,99,5,9,12698,5177,185,26,0,6,5397,3542,146,23,0,0,3710,2034,67,13,0,0,2118,2409,126,32,0,6,2574,43729,3058,750,15,36,47579
505,3482,483,61,8,0,4034,1082,161,24,0,0,1263,949,168,32,0,0,1148,1631,342,66,0,0,2040,2440,472,86,8,0,3003,8517,1937,345,4,3,10803,13006,2495,325,5,3,15837,20720,2515,222,0,8,23471,10446,940,82,0,0,11467,8468,698,63,0,0,9228,5806,368,46,0,0,6223,4680,581,66,0,0,5331,81217,11153,1423,17,26,93840
506,2977,288,85,0,4,3352,997,107,31,0,0,1139,933,96,43,0,0,1069,1700,226,65,8,0,1992,2490,324,105,0,0,2928,9407,1177,428,0,13,11020,13620,1264,463,4,10,15363,18009,1134,389,6,10,19552,7895,412,139,0,5,8454,5766,334,126,4,0,6227,3948,231,88,3,7,4280,3941,276,120,4,4,4344,71681,5860,2080,43,55,79720
507,2502,244,80,0,3,2832,882,74,27,0,0,983,814,81,42,0,0,938,1399,148,60,5,0,1617,2039,217,149,0,0,2401,7826,770,407,6,0,9009,11738,940,385,3,5,13073,16155,984,309,3,19,17471,7181,430,134,4,4,7747,5777,367,112,0,5,6259,4190,250,100,0,7,4548,3517,261,100,3,4,3894,64019,4759,1905,26,52,70757
509,1068,11,0,5,7,1094,525,3,0,3,0,539,526,9,0,0,4,542,942,11,0,5,3,962,1100,13,3,6,8,1123,2848,40,3,10,4,2905,2640,25,6,10,7,2676,2485,26,0,4,9,2521,977,14,0,5,4,1002,688,14,0,0,0,704,441,8,0,0,4,454,903,12,0,6,6,924,15134,188,19,53,56,15450
510,135,11,6,16,3,170,44,7,0,5,4,62,39,15,0,6,3,58,126,25,0,18,0,166,158,24,8,21,0,208,478,64,8,31,0,585,575,53,4,25,0,662,820,62,11,35,4,931,460,23,0,17,4,504,473,12,0,13,5,506,358,8,0,20,14,393,228,11,3,21,5,270,3886,323,46,227,40,4526
511,553,26,0,32,9,615,289,8,0,5,0,307,275,19,4,7,0,309,634,39,6,11,6,692,815,59,3,21,0,901,2380,133,11,28,0,2556,2362,83,5,29,4,2481,2489,83,0,34,3,2615,888,11,0,12,0,913,697,18,0,9,3,732,402,14,0,14,7,446,761,19,4,23,0,802,12555,512,35,226,39,13368
