SA4_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
501,22848,1170,150,547,60,24776,25718,738,86,66,43,26651,6360,1230,321,21,22,7948,1035,909,79,0,3,2028,135,317,94,0,3,548,4688,530,95,48,22,5387,699,107,25,351,33,1210,76,26,5,0,0,112,12998,3114,614,425,93,17243,1201,511,51,70,36,1872,3335,541,107,491,65,4545,66102,6076,1017,1596,290,75085
502,12485,1254,298,292,14,14338,14637,555,169,20,8,15377,4500,966,331,12,3,5811,327,409,35,0,5,776,177,168,69,0,4,420,2401,372,73,14,3,2858,215,106,10,64,6,394,47,23,6,7,0,81,7657,2042,529,92,25,10345,548,895,25,14,0,1478,1464,356,87,138,10,2050,36786,5097,1105,548,59,43597
503,15649,2941,3557,12,19,22179,12893,2891,4627,18,13,20440,3742,3104,12849,30,22,19743,108,559,1031,0,3,1697,25,113,345,0,6,496,1823,1121,3059,20,17,6035,257,122,384,0,10,778,18,25,62,0,0,112,5979,5047,17726,50,61,28862,455,388,736,4,7,1593,771,430,1962,428,35,3633,35752,11707,28606,514,133,76713
504,24235,2156,413,192,21,27015,43729,3058,750,15,36,47579,8546,3024,1792,3,19,13381,1050,1274,264,0,3,2599,201,247,42,4,0,494,4857,1134,443,10,22,6471,558,158,46,57,9,824,80,50,14,5,0,143,15296,5886,2597,84,54,23914,813,278,63,9,3,1171,3017,842,276,485,64,4690,87087,12221,4099,786,175,104364
505,51434,8077,1139,274,23,60955,81217,11153,1423,17,26,93840,18581,8892,3177,9,25,30681,1616,2707,397,0,4,4722,262,520,125,0,0,909,9052,3597,845,26,16,13531,1023,419,114,75,15,1642,163,114,21,0,0,303,30700,16244,4680,110,59,51789,1706,1437,426,21,9,3595,5110,2110,692,221,72,8191,170161,39021,8363,644,184,218372
506,44338,4925,1483,476,49,51274,71681,5860,2080,43,55,79720,19252,8285,4862,35,49,32487,2376,2089,432,0,5,4899,319,631,239,0,0,1193,9623,2725,1142,37,25,13550,1175,374,156,151,30,1888,203,111,44,6,0,363,32948,14211,6877,228,113,54376,1769,1289,499,37,16,3615,5953,1736,869,283,79,8922,156692,28025,11811,1072,313,197902
507,40360,5046,1697,501,63,47665,64019,4759,1905,26,52,70757,16562,4216,3671,15,21,24481,1684,1769,680,0,6,4142,232,330,192,0,3,764,7270,1663,897,26,14,9873,944,170,122,150,15,1399,104,50,26,0,0,184,26788,8198,5583,203,70,40845,1232,887,436,17,8,2588,4563,1081,794,376,56,6874,136965,19970,10410,1122,252,168725
509,20603,369,19,556,106,21666,15134,188,19,53,56,15450,2993,407,49,15,8,3475,1349,516,13,9,11,1892,361,308,41,13,0,722,3781,180,20,33,20,4034,1283,123,20,190,58,1671,75,28,5,4,0,107,9838,1560,152,265,103,11910,2184,154,17,65,42,2466,4270,346,31,400,45,5092,52037,2617,234,1342,353,56577
510,1924,168,51,3943,354,6439,3886,323,46,227,40,4526,2355,835,554,35,31,3807,2914,629,116,18,27,3703,1181,96,27,20,19,1337,918,165,76,193,86,1438,4906,737,327,1145,264,7383,64,21,4,13,3,95,12339,2481,1096,1421,423,17765,1430,209,128,337,192,2298,2943,782,327,1352,367,5772,22525,3965,1653,7274,1383,36799
511,11196,653,74,3069,284,15279,12555,512,35,226,39,13368,3782,1384,241,19,14,5445,1428,623,104,13,18,2185,312,158,104,24,11,610,3056,447,54,159,60,3776,1260,289,44,944,145,2679,65,35,8,10,0,124,9907,2937,554,1177,248,14825,1399,223,32,206,145,2010,3810,771,182,1154,227,6138,38856,5102,875,5833,943,51619
