SA4_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
501,3216,1790,1938,2089,2269,2093,1647,950,459,16449,35713,18700,19718,23457,24694,24998,21763,11168,3938,184143
502,1679,970,806,867,982,870,812,669,451,8112,18841,10970,10293,11150,12292,13259,13743,8732,3054,102337
503,1638,1802,2627,2056,1863,1567,1275,820,532,14181,27766,23706,30810,26406,23669,20437,16307,9510,4535,183153
504,3783,2608,3320,3174,2747,2119,1387,776,430,20343,53474,32081,39898,39560,34969,30966,22875,12071,4421,270316
505,7151,4509,4823,4972,4627,3508,2524,1611,853,34580,111338,68044,76475,81562,74817,63133,49614,27093,10834,562915
506,7229,5031,6024,5540,4594,3565,2400,1724,1257,37374,103196,65998,78589,78476,63638,54609,43371,22906,9105,519886
507,6076,4110,4553,4386,3990,3077,2295,1664,1177,31333,86543,52736,58167,61384,56617,49179,38073,21128,8823,432650
509,2748,1680,2013,2082,2292,2345,1841,1015,369,16384,23781,13035,14180,15507,18130,20931,18033,9382,3243,136222
510,3832,2665,6287,6037,5520,4336,1843,490,82,31092,22249,11892,24330,23363,20138,17532,10391,2612,309,132822
511,3508,2689,4416,4105,4031,3498,2141,916,251,25556,23831,14472,20017,19219,19812,20196,15615,6688,1826,141673
597,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
