SA4_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
501,90270,94268,184540,5297,4999,10298,13163,12287,25450,5558,5326,10894,4130,3727,7860,9529,10327,19857,11047,12476,23522,11813,12911,24727,11980,13059,25038,10800,10989,21786,5388,5793,11184,1565,2377,3940,233,169,401,87000,91787,178790,3276,2480,5756,2557,2550,5107,40,46,82,58,51,104,2653,2644,5295,67672,69811,137483,16979,18994,35971,78248,82169,160417,5951,6781,12731,78480,82411,160894,1393,1324,2713,12217,11384,23606,3733,3713,7448,603,803,1408,1326,3448,4777,29733,37138,66877,8686,9068,17749,20915,19443,40364,4423,3712,8133,2314,2138,4454,304,217,521
502,48406,54038,102451,2846,2810,5663,6603,6587,13191,2984,2934,5921,2464,2594,5056,4696,5611,10308,5010,6158,11171,5641,6662,12309,6097,7181,13280,6569,7195,13763,4208,4524,8737,1269,1783,3055,51,59,116,47913,53228,101142,493,811,1304,1392,1496,2888,31,34,70,25,31,55,1449,1557,3009,33737,36761,70496,12275,14632,26904,43174,47610,90781,2851,3745,6593,42503,47093,89595,780,778,1559,6186,6150,12339,2039,2174,4214,546,772,1322,773,1979,2758,15851,19626,35474,4730,5456,10188,11567,12461,24026,2783,2664,5440,1529,1496,3025,138,124,262
503,91116,93409,184521,4323,4010,8334,9997,9512,19511,5139,5322,10461,6449,7005,13449,15430,15779,31210,13379,13229,26609,11860,12002,23863,10312,10271,20586,8000,8398,16401,4506,5040,9550,1713,2841,4547,817,551,1368,83600,86689,170289,7511,6724,14230,818,891,1711,22,19,45,12,21,34,856,933,1793,53452,54487,107933,31680,33981,65657,67740,68171,135913,16956,19909,36868,72398,74332,146724,1392,1214,2606,9530,9124,18654,4530,4725,9254,3603,4115,7710,4549,6069,10618,57193,59992,117189,4132,4087,8218,6289,7205,13492,1748,1699,3453,883,1222,2101,245,355,600
504,133745,137075,270821,9389,8731,18118,18384,16997,35376,8223,7585,15810,8440,7916,16354,19378,20596,39978,19527,20087,39609,16924,18081,35012,15081,16001,31075,11022,11939,22956,5693,6406,12098,1684,2745,4427,229,280,505,130450,135218,265664,3296,1860,5157,4258,3847,8102,105,80,185,117,97,213,4478,4022,8499,85496,85374,170867,42922,46468,89390,98636,100366,198998,27405,30657,58058,113204,116679,229880,2706,2403,5107,17356,16055,33418,6057,5875,11936,2655,2952,5604,3859,6559,10425,57456,64568,122024,10779,10523,21301,23297,21439,44736,4834,4512,9348,3109,3657,6760,921,1140,2058
505,273388,290554,563939,18288,17416,35700,38955,36761,75719,17719,16618,34337,17097,16700,33797,36407,40256,76665,39021,42660,81683,36032,38906,74939,30120,33209,63333,23348,26416,49767,12275,14886,27157,4131,6721,10850,468,560,1028,270945,287032,557975,2446,3519,5964,3546,3790,7340,138,106,240,94,104,197,3773,3998,7767,159999,166117,326114,104019,114732,218750,208296,217637,425927,54857,62147,117005,233369,246821,480193,5397,5166,10569,37136,35084,72214,13832,13657,27494,6597,7387,13985,8085,13795,21877,130987,147151,278141,20687,20774,41463,39450,40344,79792,8686,8700,17391,5164,6713,11876,1719,2283,4003
506,257934,263338,521268,17365,16579,33942,35741,33598,69338,15691,14897,30592,18333,17188,35523,38760,40040,78799,38818,39809,78625,31636,32156,63794,26584,28303,54888,20829,22825,43648,10639,12347,22986,3526,5606,9130,689,695,1379,252402,258828,511225,5531,4510,10041,5856,5897,11751,120,99,219,144,135,280,6118,6127,12246,146308,145693,292003,100130,106129,206256,172010,173480,345489,71996,76817,148816,205874,209209,415081,4736,4477,9212,33733,31657,65388,11924,11937,23863,7627,7800,15435,9312,14056,23369,119614,129278,248895,18623,18361,36982,38996,37390,76390,8759,8119,16878,5292,5879,11166,1850,2176,4023
507,210442,223210,433656,14450,13394,27843,29964,28826,58789,13398,12982,26379,13248,13212,26456,28006,30345,58347,29330,32167,61499,27160,29573,56736,23525,25830,49352,18024,20215,38238,9882,11292,21175,3457,5383,8839,527,471,998,205418,219162,424581,5023,4052,9074,4590,4279,8873,104,94,195,142,124,265,4839,4501,9340,134119,139303,273419,67175,74872,142050,166747,174855,341600,32716,38708,71423,178515,189640,368149,4231,3851,8082,28379,27339,55721,10081,10319,20402,4618,5517,10132,5821,10485,16302,93770,107979,201750,16796,16745,33541,34251,33928,68183,7185,7232,14414,3999,4720,8720,773,919,1690
509,69617,66909,136524,3636,3432,7074,8565,8149,16712,3811,3417,7228,3212,2648,5859,7382,6918,14303,7790,7777,15569,9140,9010,18149,10638,10306,20945,9359,8694,18054,4702,4695,9394,1381,1860,3246,194,106,301,64617,64534,129152,4995,2370,7370,2930,2855,5779,41,41,76,36,33,72,2999,2930,5927,50722,48334,99054,11782,12548,24330,58364,57096,115457,3816,4108,7917,58247,57195,115441,827,796,1623,7650,7290,14940,2312,2297,4609,384,493,880,806,2120,2928,22071,25110,47181,6034,6184,12217,16216,13746,29954,3577,2796,6371,2346,1687,4029,298,239,532
510,78204,55435,133634,3851,3507,7359,7611,7294,14904,2618,2340,4964,3737,3330,7068,14157,10487,24640,14929,8557,23486,13128,7089,20217,10665,6949,17613,5838,4616,10455,1507,1116,2620,156,150,313,475,335,814,48010,46529,94540,30194,8906,39095,11123,10865,21992,215,179,396,339,326,666,11679,11368,23049,45755,36492,82247,13692,9758,23450,49342,37602,86946,9266,8240,17507,53238,41509,94743,834,753,1589,6295,6002,12295,1183,1131,2312,286,386,667,1359,1941,3304,24221,20829,45042,7087,4715,11799,13313,8082,21395,2470,1530,4001,1381,945,2326,342,241,583
511,77371,64765,142138,3914,3742,7656,8364,7826,16188,3539,3179,6713,4227,3595,7827,11369,8839,20213,10876,8396,19275,11311,8547,19859,11125,9120,20247,8333,7317,15647,3522,3171,6695,794,1039,1832,299,168,469,61051,59731,120778,16323,5041,21361,5755,5783,11536,70,48,123,102,76,178,5926,5909,11837,50664,44986,95649,12905,11732,24635,56902,50544,107450,6148,6048,12194,57585,51573,109159,865,925,1784,7219,6778,13997,1898,1851,3756,461,571,1024,1240,2264,3501,22665,22964,45626,7114,6272,13386,16227,12261,28486,3515,2581,6088,2104,1554,3660,261,236,500
