SA4_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
501,1943,1728,1372,849,280,73,8570,593,1077,1544,1500,1271,776,190,21,6974,174,355,356,286,229,169,80,24,1672,412,831,748,646,417,259,91,15,3430,26,10,8,15,11,8,7,3,86,28,75,106,111,93,63,23,13,511,648,755,847,827,838,827,730,472,5953,3636,7590,9451,8775,7628,5323,2355,878,45637,83,294,495,485,367,319,105,18,2169,161,255,298,174,144,98,22,5,1157,963,2496,2953,2974,2892,2305,1021,218,15824,376,1057,1019,922,940,700,311,80,5414,275,462,735,666,538,335,150,37,3196,549,1504,1865,1698,1893,1355,601,172,9633,354,1000,1714,1918,1761,1427,515,116,8807,931,2194,2651,2538,2108,1462,535,120,12542,808,1375,1890,1846,1593,1090,316,52,8972,287,509,503,405,328,251,119,28,2422,558,1172,1182,1015,699,433,157,23,5241,54,34,8,14,22,15,13,4,171,80,149,236,265,229,160,61,19,1195,1371,1654,1786,1880,1774,1706,1323,769,12254,6848,14153,17350,16815
502,970,992,848,598,307,49,4854,369,718,841,778,776,405,117,19,4021,101,127,126,96,76,73,34,15,644,287,539,434,406,259,240,101,17,2286,17,8,7,7,5,7,0,0,58,21,31,42,43,43,15,10,5,226,355,374,386,394,338,464,548,448,3317,2110,3941,4452,4350,3914,3004,1685,730,24186,68,116,168,139,147,122,49,8,812,114,163,171,111,94,59,22,0,733,541,1249,1395,1486,1708,1651,881,229,9140,188,457,407,470,469,422,288,71,2774,80,136,204,203,141,99,60,16,947,328,720,740,803,896,710,358,101,4670,224,584,769,871,814,687,297,84,4336,495,971,1280,1362,1245,993,546,94,6987,506,894,1024,947,946,593,197,37,5143,185,189,159,132,111,115,64,32,986,365,687,627,578,414,338,164,22,3189,41,14,7,8,13,6,0,0,88,41,71,104,126,118,74,46,19,604,709,716,761,773,678,899,980,698,6209,3892,6975,7808,8017
503,3100,2651,1679,853,396,157,12807,764,2359,2178,1802,1404,1018,429,137,10092,506,1006,735,527,297,193,120,40,3416,298,515,364,311,218,164,73,40,1981,21,13,12,9,9,5,3,0,78,92,166,176,169,117,96,50,25,884,665,1095,792,603,523,582,536,471,5267,4930,13940,12018,10377,8061,5799,3075,1468,59672,889,1668,1313,1101,1006,716,355,93,7149,237,819,935,569,363,125,31,4,3070,743,3353,3032,2299,1932,1386,687,255,13693,231,1061,831,727,643,485,202,82,4267,122,356,327,282,213,127,99,36,1560,799,3973,3053,2855,2558,1719,1019,414,16390,234,1026,1133,1368,1554,1626,813,275,8026,1789,5471,5768,5224,3580,2054,955,308,25146,1199,3754,3381,2927,2313,1833,784,225,16418,872,1736,1220,772,498,356,175,50,5689,460,971,686,514,374,267,122,45,3425,37,34,18,20,5,16,10,3,150,150,304,320,294,207,158,92,39,1570,1309,2457,1884,1499,1280,1184,984,741,11333,9084,26985,23896,20456
504,3918,2912,1979,987,402,100,14828,906,2422,2611,2098,1621,908,244,41,10853,456,850,738,437,277,175,64,21,3003,733,1549,1132,798,513,296,115,25,5165,43,29,12,12,21,11,4,0,134,58,201,243,182,127,78,27,9,923,810,1160,1055,870,703,652,680,497,6422,5887,15709,15327,11909,8799,5342,2458,952,66375,363,959,1032,830,545,363,140,21,4247,294,970,1221,667,336,127,27,0,3637,1351,4776,4668,4052,3831,2802,1257,277,23013,505,1564,1309,1044,868,647,332,84,6352,168,498,461,446,308,195,79,12,2167,1022,3294,2803,2122,1816,1161,505,152,12866,486,2036,2104,2177,1869,1272,565,130,10622,1813,5246,6326,4590,3235,1739,704,154,23820,1423,3442,3590,2936,2217,1389,413,60,15468,843,1440,1254,733,461,323,105,23,5179,996,2231,1871,1266,861,475,182,36,7919,91,45,19,24,29,24,11,0,243,124,396,533,420,308,192,84,19,2085,1737,2500,2348,1932,1581,1329,1198,762,13386,11217,29410,29532,23232
505,9095,7357,4628,2627,1040,357,34267,2041,4842,5438,4421,3168,1891,544,117,22449,930,1639,1582,870,477,312,147,54,6003,1402,2816,2318,1945,1219,725,295,68,10790,105,33,22,22,31,30,14,3,265,152,373,430,336,246,145,61,18,1767,1384,2180,2061,1597,1226,1315,1415,1124,12305,12074,32140,34265,27840,19716,12361,5749,2423,146568,884,2122,2385,1974,1360,840,343,62,9970,683,1807,2700,1801,932,344,61,3,8330,2319,8681,9172,8261,7699,6021,2733,809,45688,1140,4084,3911,3223,2563,1692,771,232,17614,274,811,1057,742,562,293,114,34,3878,2398,7772,6936,5810,4637,2769,1308,391,32028,1181,4345,5102,5215,4440,3181,1363,341,25159,3835,11082,14680,12256,8060,5026,2091,583,57617,3171,6921,7477,6269,4582,2898,920,194,32430,1779,2719,2521,1444,833,529,233,74,10133,1873,3865,3459,2882,1885,1083,476,111,15639,200,67,43,35,50,42,24,9,487,297,764,896,784,564,347,169,58,3875,3001,4439,4373,3494,2576,2409,2428,1711,24427,23036,59472,64716,54185
506,8422,5856,3789,2071,785,235,30817,1882,4616,4948,3815,2832,1638,478,85,20292,935,1461,1212,659,383,219,120,38,5035,1378,2390,1980,1320,804,565,207,36,8681,94,41,27,24,31,24,17,7,259,144,399,445,306,209,145,53,21,1717,1748,2523,2219,1645,1352,1307,1449,1291,13531,12720,31671,31743,22094,16012,10393,5034,2248,131917,960,2419,2515,1844,1218,827,317,67,10157,854,2635,3432,1430,717,253,37,8,9365,2847,9790,10635,8243,6980,5218,2383,640,46744,957,2816,2294,1673,1519,1242,608,195,11310,345,828,945,734,536,330,153,43,3927,2458,7294,6224,4279,3404,2412,1105,309,27479,1096,3292,3755,3549,3270,2485,1129,274,18858,4225,11792,13852,9720,6426,3854,1455,368,51694,2927,6443,6782,5219,3947,2493,851,162,28817,1632,2434,1940,1064,602,404,195,59,8337,2026,4006,3478,2108,1377,881,337,66,14279,180,93,49,38,53,41,24,10,487,298,876,923,714,497,324,169,51,3863,3856,5429,4776,3731,2930,2511,2454,1979,27658,24666,60153,61607,44341
507,6417,5208,3484,1881,706,235,24411,1553,3770,4168,3759,2902,1650,533,81,18417,767,1222,1146,751,472,281,129,46,4827,1088,2099,1716,1374,845,527,203,51,7900,68,39,21,25,32,18,7,7,211,109,263,335,295,190,133,49,20,1402,1319,1793,1611,1338,1118,1212,1205,1111,10695,9868,23982,25868,21309,15776,9843,4574,2110,113331,664,1579,1769,1546,1195,803,315,72,7948,544,1231,1883,1084,594,221,57,4,5618,2319,7349,8233,7301,6408,4643,2179,605,39030,801,2385,2190,1882,1571,1099,598,206,10730,285,735,912,745,527,335,142,38,3718,1834,5941,5593,4512,3675,2265,1030,326,25175,1024,3205,3750,3820,3338,2428,1011,273,18852,2750,7447,10041,8512,5947,3556,1365,391,40015,2381,5325,5599,5138,3920,2394,870,165,25787,1360,1956,1808,1157,748,500,195,55,7776,1448,2858,2589,2095,1288,780,338,76,11466,127,66,43,34,44,30,13,7,360,247,583,718,673,465,303,138,50,3165,2781,3776,3569,2931,2397,2324,2202,1764,21749,18551,44437,48688,41436
509,1113,1034,988,565,216,52,5272,283,637,790,843,892,605,144,20,4213,92,175,152,174,147,114,66,12,931,231,437,374,393,241,166,56,14,1914,26,8,4,7,10,3,6,0,60,15,28,52,68,70,45,12,4,292,686,707,776,902,960,934,740,413,6107,2462,4897,5612,5785,5869,4294,2022,740,31678,82,196,283,263,222,185,69,9,1312,87,132,138,126,111,64,15,0,672,602,1719,1623,1751,2040,1637,664,150,10190,217,580,503,494,534,444,213,52,3050,398,617,847,805,748,475,185,43,4106,363,1019,1005,1091,1395,1002,476,146,6503,198,708,1006,1144,1221,1080,423,89,5865,619,1204,1507,1482,1473,963,368,85,7700,387,834,1014,1077,1200,875,229,38,5656,142,250,240,243,219,200,99,22,1419,315,638,552,582,434,278,120,21,2944,48,16,14,7,12,11,0,0,101,37,80,123,137,154,111,53,13,706,1557,1780,1862,2156,2242,2006,1379,655,13637,5048,9764,10712,11369
510,1260,847,731,376,72,3,4927,238,776,719,540,493,265,41,0,3073,54,245,163,105,73,40,11,0,688,189,518,372,299,196,105,13,0,1690,7,13,3,0,3,4,0,0,29,29,51,66,67,50,25,0,0,289,1138,2157,1541,1457,1252,734,225,46,8557,2634,7768,6278,4831,4370,2539,526,60,29004,91,431,358,241,178,116,19,0,1433,43,149,184,84,76,36,0,0,577,876,4329,4258,3256,2350,1203,253,18,16532,175,919,872,613,547,359,73,5,3561,122,321,366,310,220,129,33,7,1494,273,1345,1048,862,1013,588,119,4,5252,190,941,983,851,849,669,111,0,4606,455,1813,2035,1485,1285,743,140,12,7970,345,1107,1021,805,722,423,86,3,4505,85,361,261,172,119,90,11,0,1095,264,743,678,554,365,163,33,0,2803,17,15,11,9,5,3,0,0,72,61,166,246,223,173,70,17,0,953,2653,6259,5957,5454,4236,1836,530,86,27013,5654,18910,18290,14915
511,1166,1040,887,503,134,29,5359,293,719,720,653,652,374,79,8,3481,89,180,182,114,89,58,26,7,740,310,562,438,410,229,157,54,3,2167,24,17,4,9,7,7,0,4,63,20,38,53,43,54,28,9,4,252,1014,1358,1255,1176,1198,992,525,253,7776,3041,6362,6009,5464,5002,3465,1283,409,31038,150,549,457,301,208,144,35,4,1847,68,155,153,105,69,58,10,0,620,927,3196,2832,2678,2457,1703,553,114,14452,230,741,600,517,577,503,160,18,3354,185,390,440,422,352,244,80,14,2132,420,1180,1001,1037,1088,811,292,70,5898,204,817,965,1088,1063,765,227,42,5169,654,1473,1685,1602,1402,843,238,51,7941,399,979,985,869,859,514,131,16,4744,147,288,265,164,124,86,36,4,1125,415,812,716,654,403,242,96,10,3352,35,25,5,7,22,7,4,4,103,49,117,163,139,145,83,37,13,742,2437,4186,3920,3816,3361,2294,1131,410,21556,6327,14908,14176,13403
