SA4_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
501,37,113,222,220,201,218,83,9,1104,147,205,224,119,93,58,13,0,869,886,2296,2728,2832,2781,2242,986,202,14956,350,964,923,825,888,684,303,80,5016,145,263,428,442,377,274,135,36,2108,65,247,381,375,369,257,100,29,1828,51,151,276,356,420,428,164,29,1879,266,535,708,814,745,615,253,43,3973,212,300,348,352,324,319,121,34,1999,114,146,147,117,100,84,42,7,748,145,342,431,374,282,170,59,10,1811,32,21,3,3,10,4,4,0,86,49,80,134,154,135,97,36,5,687,724,896,939,1051,930,876,595,293,6303,3215,6559,7894,8035,7648,6333,2892,781,43363,50,183,272,265,168,98,26,8,1060,11,49,72,54,55,39,9,0,285,77,197,223,144,115,63,31,17,868,28,100,99,93,49,18,6,0,394,126,193,307,227,158,54,15,0,1091,484,1253,1487,1317,1519,1099,503,150,7812,300,849,1435,1566,1337,1003,355,88,6936,660,1662
502,28,35,67,55,79,82,28,5,384,108,132,121,80,64,38,17,0,552,493,1169,1310,1407,1657,1608,844,211,8694,185,428,383,448,442,408,275,71,2640,55,83,113,125,96,79,59,16,630,48,93,122,183,186,137,61,18,843,27,88,106,144,190,204,98,26,886,154,222,310,374,399,391,243,43,2133,144,178,182,170,169,184,78,16,1120,86,59,40,42,38,44,32,11,344,76,150,186,173,155,96,60,10,907,21,4,0,6,0,5,0,0,40,19,43,55,85,77,58,33,11,378,353,345,368,384,335,438,429,245,2892,1780,3029,3361,3668,3883,3774,2258,684,22434,35,80,98,85,67,44,15,5,431,14,30,46,30,30,24,3,0,181,49,84,90,80,52,44,32,16,448,10,28,31,22,28,15,11,0,132,24,53,89,76,51,18,0,0,311,285,633,617,623,716,578,294,86,3826,202,497,663,734,624,485,198,58,3456,340,745
503,406,829,686,582,617,487,257,55,3920,193,622,722,410,253,85,19,0,2311,591,2699,2494,1999,1766,1318,652,230,11760,158,676,590,515,506,421,183,81,3127,63,197,177,184,154,104,85,27,988,171,1225,999,961,831,541,351,112,5191,33,261,284,246,319,346,172,53,1719,848,2437,2665,2579,1907,1194,562,146,12336,434,1389,1205,1129,909,819,360,82,6332,368,730,488,248,201,165,56,8,2268,159,455,324,200,157,102,45,11,1453,23,21,8,9,0,5,4,6,75,63,139,150,125,95,66,44,18,686,648,1359,1094,897,759,603,444,268,6062,4158,13042,11873,10081,8470,6249,3248,1096,58213,488,842,631,520,386,226,100,39,3229,48,190,208,151,116,41,8,0,764,152,653,532,302,166,63,32,22,1930,75,386,238,216,139,71,18,0,1142,60,161,152,96,56,26,11,3,570,634,2748,2052,1891,1722,1181,665,302,11200,200,762,849,1123,1237,1279,632,226,6308,935,3034
504,137,377,456,417,316,236,108,15,2054,248,701,957,513,252,86,14,0,2774,1225,4330,4234,3783,3652,2679,1196,238,21351,452,1340,1131,925,807,621,327,81,5691,84,258,246,268,198,146,68,10,1283,156,650,587,431,360,217,93,30,2519,79,376,366,385,421,348,178,41,2188,731,1809,2410,1680,1260,748,303,55,8997,516,1022,980,842,599,473,166,21,4619,385,598,516,294,188,152,38,8,2178,261,678,741,468,347,176,71,9,2753,49,15,14,8,9,8,5,3,110,65,198,291,240,183,113,57,14,1157,925,1343,1291,1065,874,673,520,268,6963,5331,13699,14204,11321,9467,6678,3152,791,64640,226,583,578,407,227,129,30,10,2193,45,270,267,153,82,39,12,0,865,121,448,429,268,180,121,59,33,1661,50,220,185,116,55,25,12,3,660,85,238,213,181,115,45,8,3,891,862,2642,2211,1685,1458,947,411,125,10348,401,1657,1738,1794,1447,925,390,86,8440,1085,3444
505,383,909,1029,1025,795,554,268,45,5006,583,1351,2133,1367,680,261,44,0,6423,2108,7816,8304,7671,7300,5743,2601,710,42259,1003,3545,3453,2924,2393,1627,762,226,15927,135,422,626,513,429,242,100,26,2493,509,1572,1504,1327,920,564,277,68,6736,213,797,887,902,960,811,409,117,5099,1726,4025,5587,4905,3431,2399,1050,226,23348,1126,2087,2041,1848,1419,1007,373,81,9979,845,1084,937,579,356,217,85,23,4129,477,1053,1144,934,670,359,181,35,4844,101,33,23,17,22,19,8,3,227,147,392,464,452,313,201,104,36,2107,1617,2266,2307,1892,1349,1098,1010,590,12125,10963,27335,30448,26348,21042,15101,7269,2190,140699,506,1212,1353,947,561,278,77,22,4962,101,457,565,434,250,80,15,0,1908,212,861,870,587,401,275,124,102,3431,134,537,457,303,171,63,11,9,1685,136,391,431,230,132,50,7,9,1390,1891,6198,5434,4481,3724,2206,1035,324,25290,968,3539,4211,4311,3477,2371,956,222,20061,2110,7056
506,403,990,1008,920,701,554,245,47,4871,719,1754,2446,1080,510,188,26,7,6731,2545,8472,9355,7606,6595,5015,2279,577,42445,813,2331,1931,1497,1390,1182,597,188,9933,176,439,501,465,371,261,134,36,2386,513,1525,1456,1027,725,459,214,65,5990,170,622,623,677,722,678,327,82,3906,1864,4486,5433,3863,2638,1783,675,138,20881,1043,1832,1835,1406,1113,857,374,72,8526,693,978,724,408,222,191,69,24,3304,651,1620,1502,785,574,312,128,31,5601,84,49,27,18,18,13,10,4,224,158,481,473,408,288,186,122,33,2147,2109,2907,2556,2090,1578,1204,999,688,14131,11952,28484,29862,22243,17462,12886,6198,1989,131063,557,1426,1505,919,520,270,73,15,5292,137,873,989,347,207,65,11,5,2631,306,1320,1283,638,388,206,104,62,4297,145,484,367,179,126,62,13,6,1379,167,391,451,273,166,74,20,8,1543,1946,5769,4766,3251,2675,1946,890,243,21494,929,2670,3132,2871,2547,1810,799,192,14947,2360,7305
507,264,657,796,785,682,557,221,52,4020,459,941,1423,829,409,147,37,4,4249,2061,6594,7413,6816,6110,4458,2091,554,36111,723,2038,1832,1670,1442,1040,588,198,9534,137,366,507,469,369,255,128,30,2266,319,1282,1282,1140,794,519,221,61,5615,161,592,630,626,762,661,300,68,3805,1111,2594,3631,3303,2460,1674,664,156,15599,830,1555,1430,1377,1016,744,336,87,7369,592,735,655,409,274,220,58,12,2958,360,757,873,723,444,251,136,29,3570,61,29,14,10,13,13,5,0,147,131,320,375,381,274,170,84,30,1766,1465,1985,1960,1595,1282,1118,998,652,11055,8683,20450,22822,20125,16341,11828,5873,1928,108057,394,925,977,764,513,241,91,20,3933,82,294,459,254,182,74,19,0,1369,257,749,816,483,300,179,89,52,2919,80,340,360,214,125,57,8,3,1191,147,372,404,283,160,80,16,3,1450,1511,4655,4308,3371,2882,1748,809,272,19562,860,2608,3122,3198,2576,1773,714,208,15047,1633,4849
509,37,85,106,122,113,123,52,9,646,76,106,101,83,65,48,9,0,488,575,1608,1541,1668,1961,1584,624,132,9694,210,538,455,449,505,429,210,55,2849,256,360,518,534,542,390,168,41,2811,53,169,176,219,264,161,80,14,1146,21,108,153,232,260,303,104,19,1184,211,302,401,451,486,396,156,32,2430,106,200,226,238,309,267,83,17,1439,49,80,86,73,70,88,36,7,484,78,203,179,193,193,111,65,4,1027,23,10,7,0,4,3,0,0,43,27,51,68,72,79,68,45,4,413,881,1070,1086,1249,1287,1066,640,246,7525,2583,4872,5098,5586,6137,5040,2273,590,32181,42,112,181,141,106,66,14,0,665,11,30,35,47,41,20,5,0,180,28,119,83,80,82,53,39,21,499,7,41,55,46,25,20,0,0,205,142,257,323,269,209,78,17,5,1296,314,849,831,873,1133,841,398,129,5357,180,601,855,917,963,781,316,72,4677,403,898
510,36,219,196,147,107,87,8,0,801,36,95,129,65,46,24,0,0,398,756,3922,4024,3146,2299,1174,243,17,15573,167,857,826,569,517,344,77,5,3360,71,186,238,216,165,112,31,7,1022,36,281,283,306,281,147,42,0,1387,31,174,229,244,233,206,45,0,1161,123,506,777,645,554,368,68,7,3037,107,325,306,266,224,155,43,3,1434,32,120,95,67,43,47,3,0,410,73,220,307,259,170,55,20,0,1111,7,6,7,7,8,3,0,0,37,32,112,181,160,122,47,12,0,669,1511,4105,4410,3998,2981,1097,306,43,18454,3021,11145,12007,10089,7754,3871,894,79,48861,56,214,163,101,65,29,6,0,633,6,52,60,20,33,11,0,0,181,121,409,237,110,54,28,6,0,967,13,60,42,40,27,10,3,0,194,52,133,123,88,51,16,6,0,470,242,1066,762,560,724,436,77,0,3872,160,771,756,604,615,464,69,3,3440,335,1306
511,68,290,229,204,130,101,27,4,1046,66,125,108,71,38,35,9,0,441,850,2986,2688,2567,2392,1656,534,105,13777,221,696,559,481,549,487,159,18,3183,100,212,269,303,262,204,67,17,1438,54,214,225,274,270,163,50,10,1258,29,125,185,222,272,234,66,11,1133,161,372,521,565,516,341,103,16,2589,114,255,263,217,210,147,49,11,1265,58,106,82,54,36,37,11,0,386,107,248,272,243,180,91,37,0,1182,13,10,3,0,11,0,5,4,44,29,81,106,100,91,50,24,7,492,1418,2832,2659,2636,2164,1303,606,156,13778,3286,8541,8161,7939,7127,4845,1742,355,42003,82,263,229,105,80,48,4,0,809,11,31,42,33,27,25,4,0,176,73,211,144,104,67,44,25,10,675,14,40,40,33,26,13,4,0,175,86,179,173,121,91,41,9,0,697,369,966,777,763,816,647,245,58,4638,176,690,780,864,796,531,164,30,4035,489,1106
