SA4_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
501,2329,394,429,488,670,265,94,306,9379,33,3,4,0,4,0,5,0,0,157,208,20503,5726,4756,666,669,727,1016,460,161,1293,35971
502,1425,210,182,248,269,89,42,119,5266,15,3,3,0,0,0,0,0,0,45,72,14947,5040,4148,485,374,435,498,185,101,686,26904
503,5278,1500,1826,2419,3461,1663,361,585,29888,33,5,7,6,0,0,9,0,4,131,199,30353,8824,9325,2131,2583,3212,4636,2487,713,1385,65657
504,9217,1607,1294,1408,1705,728,178,823,43331,41,11,9,0,0,8,0,4,0,513,586,45608,17950,14413,2139,1765,1841,2189,950,296,2249,89390
505,17280,3481,3048,3388,4402,1851,402,1657,88535,121,43,23,4,4,7,7,9,0,220,439,107639,45457,36579,5559,4689,5055,6151,2869,780,3973,218750
506,28761,5616,4992,5847,7332,2917,637,1886,118449,86,26,29,12,10,10,10,4,3,504,689,86303,44467,38277,6802,6054,6998,8599,3554,921,4274,206256
507,11789,1904,1761,1711,2096,1079,273,905,55036,72,20,20,0,3,0,5,0,0,332,456,72931,27830,24106,3129,2813,2806,3237,1734,593,2870,142050
509,1249,308,221,334,461,206,233,171,5959,59,5,0,0,0,0,0,0,0,452,525,14816,3196,2423,497,329,483,649,297,297,1344,24330
510,2053,375,370,458,783,319,102,170,8360,29,11,9,0,0,0,12,4,0,46,125,9863,4889,4262,589,595,705,1235,493,193,622,23450
511,1963,334,366,451,650,306,138,167,8044,45,21,10,0,0,0,5,0,0,55,133,11768,4494,3917,561,623,769,1039,469,220,774,24635
597,36,9,4,7,8,9,0,19,200,0,0,0,0,0,0,0,0,0,0,5,352,156,115,17,6,18,14,10,3,28,717
