SA4_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
501,14,54,144,367,743,1549,2173,1367,423,6850,1512,743,732,853,766,702,671,329,91,6405,17,16,34,85,189,575,1013,714,218,2863,0,0,4,4,3,36,110,235,176,576,36,61,98,217,607,1060,1553,916,233,4788,23,21,34,89,323,829,1553,1210,460,4545,20,13,25,38,76,136,193,217,91,807,26,19,28,36,99,348,617,483,124,1785,451,798,930,1064,1146,1133,818,344,104,6781,6,3,13,7,65,162,313,273,105,949,854,507,384,604,791,1140,1096,577,214,6165,14166,6823,6400,7254,7087,5922,3939,1452,286,53331,1653,956,1073,1140,1244,1088,835,443,184,8621,18442,9667,9437,11001,11796,11962,10786,5380,1565,90039,27,71,210,592,1447,2686,3432,2223,1042,11728,969,826,1014,1290,1237,1249,1180,553,195,8510,14,12,64,176,394,727,957,600,206,3148,0,0,4,6,10,36,112,284,401,844,25,51,130,231,470,839,1180,684,299,3916,20,20,26,54,162,423,813,752,505,2777
502,9,24,65,168,372,844,1461,1226,368,4536,706,430,381,394,432,388,437,266,75,3506,15,14,22,60,107,348,733,701,206,2205,0,0,0,4,4,16,66,152,115,365,13,40,47,118,330,651,1119,812,210,3347,17,15,36,48,184,588,1199,1083,369,3534,4,6,3,18,34,71,156,218,115,625,18,8,11,25,58,202,468,415,144,1350,267,497,563,577,625,587,544,275,68,4006,8,4,7,24,45,96,227,251,94,751,558,300,230,323,475,631,742,435,151,3844,7198,3861,3190,3292,3311,2985,2150,972,218,27170,851,483,400,428,477,402,400,292,165,3897,9443,5450,4694,5006,5637,6089,6561,4207,1269,48355,9,45,115,309,737,1521,2392,1945,811,7880,543,481,597,682,656,791,805,488,143,5189,9,12,32,81,221,416,624,490,164,2052,0,0,0,0,3,14,71,169,193,462,17,45,66,147,260,556,808,596,205,2708,8,13,15,42,96,295,603,657,376,2100
503,6,35,123,207,435,773,1096,895,384,3958,689,847,1015,929,758,598,464,284,96,5680,30,26,53,88,195,457,761,686,277,2570,0,3,0,0,8,23,92,235,216,570,23,46,72,197,349,529,797,603,224,2836,10,21,40,60,259,657,1180,1048,470,3755,4,17,16,43,52,85,100,172,86,586,19,18,19,35,62,144,267,269,127,959,212,884,1350,1099,919,711,489,257,91,6012,4,9,11,17,49,95,166,258,118,733,574,479,577,608,772,937,893,506,266,5615,12015,8530,11050,9379,7735,5791,3281,1259,314,59353,846,906,1437,1175,1078,890,645,390,208,7572,14284,11477,15208,13236,11731,10213,7961,4491,1705,90297,26,78,192,245,655,1318,1978,1625,1046,7156,477,924,1191,929,882,823,646,372,184,6419,21,23,59,153,386,657,713,547,277,2841,3,0,0,3,3,28,85,274,526,925,29,53,88,118,217,374,562,432,244,2126,15,22,31,36,99,256,512,622,566,2162
504,23,63,214,471,909,1622,2001,1341,454,7088,1820,1283,1392,1448,1145,920,700,382,119,9209,27,27,68,162,282,606,963,774,243,3146,0,0,0,7,21,38,118,267,230,691,40,92,206,529,1033,1720,1906,1139,265,6936,41,44,63,136,505,1216,1789,1394,461,5649,29,19,38,69,111,198,260,262,123,1113,48,24,38,63,179,410,650,534,201,2151,565,1259,1786,1726,1522,1247,734,334,121,9290,7,11,9,36,90,232,323,348,143,1199,1380,829,894,1054,1373,1559,1274,657,271,9294,22226,12139,13519,13098,10183,7457,3939,1501,306,84373,2020,1418,1915,1887,1543,1180,695,353,163,11164,27758,16607,19348,19499,16906,15037,10990,5678,1686,133519,28,109,334,709,1589,2878,3433,2519,1139,12737,1273,1376,2021,1959,1828,1636,1232,681,211,12215,18,19,92,265,586,868,1016,665,248,3785,0,0,5,0,11,29,126,355,518,1050,39,60,208,420,870,1366,1531,1015,379,5890,21,31,50,102,255,582,964,1040,633,3683
505,33,132,395,842,1683,3106,4117,2879,1104,14289,3663,2549,2569,2779,2457,1753,1377,723,227,18090,60,69,128,281,581,1324,2277,1778,619,7128,0,5,5,10,22,75,236,667,599,1624,97,168,339,819,1732,2846,3664,2352,668,12686,87,80,101,307,996,2362,3808,2959,1172,11864,72,43,62,116,174,323,522,521,279,2117,66,43,82,119,294,658,1179,966,373,3783,1186,2422,2893,3034,2846,2244,1460,680,284,17054,9,18,25,76,173,343,663,693,344,2340,2624,1652,1526,1985,2501,2943,2736,1500,704,18169,46488,26334,27210,28125,23522,16149,8917,3261,727,180745,3697,2355,2362,2454,2305,1697,1170,675,337,17059,57200,34785,36302,38967,35973,30049,23279,12245,4126,272924,64,199,592,1312,3191,5614,7592,5758,2848,27171,2478,2633,3503,3754,3367,2905,2559,1401,539,23144,43,76,178,508,1181,1743,2285,1521,629,8165,5,9,3,9,14,79,250,826,1284,2477,78,165,306,687,1302,2192,2989,1996,750,10468,60,55,70,186,510,1169,2034,2123,1416,7623
506,41,132,363,824,1516,2718,3691,2483,898,12660,3090,2354,2471,2376,1897,1569,1263,649,199,15879,46,66,135,257,499,1086,1971,1412,494,5967,3,0,8,10,16,79,252,534,438,1342,97,167,371,1120,2151,3170,3820,2117,566,13576,74,73,121,347,982,2181,3418,2552,991,10735,71,33,71,133,189,307,523,512,225,2058,76,42,70,126,308,717,1125,961,304,3724,1004,2262,3065,2866,2488,2017,1294,601,241,15840,9,8,26,90,176,353,645,609,276,2197,2376,1534,1559,2090,2448,2703,2396,1237,493,16838,43333,25587,28550,27645,19745,13451,7470,2708,611,169101,3677,2735,3266,3001,2488,1866,1166,729,462,19394,53051,33965,38642,38731,31540,26479,20713,10603,3518,257243,50,206,578,1285,2776,5012,6519,4790,2231,23440,2156,2514,3270,3330,2897,2665,2321,1225,392,20771,39,64,156,498,957,1467,1923,1253,462,6822,4,3,5,14,14,51,199,658,846,1796,76,185,379,961,1722,2528,3000,1815,719,11383,42,64,108,204,472,1075,1860,1850,1191,6868
507,33,115,367,762,1464,2617,3200,2393,884,11830,3144,1966,2095,2160,1738,1331,1000,560,174,14183,42,58,122,214,465,1088,1776,1349,474,5594,0,3,4,11,18,61,207,444,419,1170,58,117,250,601,1438,2356,2849,1801,505,9982,53,37,113,216,744,1928,2874,2375,954,9300,40,36,59,107,171,276,389,445,246,1756,57,33,47,109,259,616,927,876,341,3256,1009,2122,2638,2613,2475,1923,1215,552,203,14754,14,10,24,54,132,318,503,535,247,1841,2270,1310,1364,1575,2133,2293,2038,1159,542,14683,35343,19435,19547,20196,16904,12101,6757,2527,627,133442,3116,2205,2538,2401,2115,1563,1086,773,456,16245,44379,26586,27903,29255,27101,23439,17944,9857,3451,209914,48,189,531,1229,2686,4523,5801,4344,2167,21513,2153,2234,2968,3019,2684,2336,1918,1016,397,18721,35,40,160,427,929,1464,1701,1135,462,6346,3,4,4,0,8,63,157,607,817,1661,72,168,302,596,1061,1817,2224,1486,664,8388,60,52,71,155,399,854,1549,1621,1090,5855
509,17,41,113,242,581,1381,1855,1184,386,5799,894,593,595,637,626,702,574,287,74,4973,11,18,27,49,150,456,847,620,185,2372,0,0,0,7,8,18,62,202,135,436,22,57,89,161,474,976,1336,811,182,4101,13,16,32,65,265,817,1379,1032,366,3987,12,11,14,22,60,119,191,159,77,672,22,7,13,22,102,315,566,399,116,1560,284,557,623,682,857,932,678,254,77,4940,5,4,6,19,46,121,270,248,100,822,556,325,287,383,662,923,850,472,159,4621,9172,4679,4588,4728,5093,4999,3325,1155,299,38033,1417,956,1251,1248,1338,1335,986,506,141,9185,12202,6982,7298,7748,9135,10634,9349,4693,1379,69422,19,38,133,342,970,2063,2602,1777,761,8697,620,606,747,815,1014,1038,880,430,135,6276,15,4,34,96,282,575,716,475,146,2346,0,0,0,3,10,23,85,211,321,652,11,31,87,173,391,763,962,591,217,3234,14,10,18,61,138,400,712,633,376,2368
510,0,15,92,204,423,792,868,281,34,2710,468,254,649,685,467,429,285,67,8,3319,0,10,28,63,121,322,390,152,19,1115,0,0,4,0,4,17,25,31,13,100,16,43,109,281,545,794,603,185,15,2591,30,24,43,96,267,591,664,286,30,2025,13,9,29,35,67,92,86,45,9,391,24,10,18,22,75,159,223,96,9,631,98,210,492,518,469,414,240,54,0,2499,0,0,6,18,44,67,97,57,6,290,311,142,283,393,477,526,419,99,16,2660,8574,4134,8313,8411,6692,4630,2230,460,31,43471,1981,1540,4177,4479,4073,3020,1080,271,43,20664,11454,6306,14005,14830,13060,10612,5804,1505,161,77727,7,24,98,178,408,860,976,319,36,2892,300,311,674,594,536,502,405,73,4,3407,7,5,24,98,158,268,279,89,7,932,0,0,0,3,5,15,26,35,15,106,14,32,90,203,384,482,404,124,23,1762,27,34,43,58,151,230,257,136,20,957
511,14,30,100,233,534,1104,1525,812,212,4570,822,532,638,666,571,592,473,203,43,4535,8,13,37,53,157,406,723,474,110,1997,0,4,0,5,6,20,58,123,99,322,28,38,106,253,569,1033,1160,610,131,3925,29,17,34,65,282,735,1210,748,222,3332,14,5,31,29,76,106,198,163,61,685,14,6,11,25,95,287,464,290,73,1269,194,415,575,662,718,709,474,162,53,3969,0,4,0,11,40,115,190,161,51,580,494,278,309,401,526,752,666,299,94,3807,9040,5009,6739,6116,5931,5018,2924,887,154,41810,1783,1569,2985,2765,2761,2246,1212,497,99,15919,12264,7726,11258,10834,11281,11091,8315,3513,794,77077,14,41,137,301,780,1503,1983,1104,395,6248,528,540,791,752,782,864,719,304,90,5374,3,15,28,105,230,427,518,322,111,1754,0,0,3,0,18,25,62,151,193,446,12,51,104,196,441,741,805,412,129,2888,22,21,34,56,162,414,538,408,229,1881
