SA4_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
501,1545,8527,7035,53622,683,71419,32,333,163,4453,72,5055,1286,54,100,154,10,1607,225,107,75,356,12,774,1894,581,386,1124,25,4001,21592,8543,6806,47293,881,85110,2011,27,211,57,8,2321,644,84,90,310,4,1136,2018,562,441,3359,50,6435,194,92,38,365,3,697,136,48,21,77,0,281,1060,82,67,127,3,1333,4172,1421,1057,11072,137,17861,2825,1195,508,5796,66,10391,248,4,37,3,0,289,82,17,15,16,0,135,153,33,26,134,0,346,87,51,34,83,0,259,1327,279,194,80,23,1901,1057,593,327,202,23,2202,739,181,154,481,10,1567,236,26,40,87,0,389,60,10,11,3,0,78,4773,1692,1368,10690,135,18659,91,12,9,32,0,153,1454,167,144,64,9,1824,341,48,44,251,3,687,98,24,14,18,0,153,254,12,25,9,3,306,735,214,117,517,14,1592,6930,1150,1117,1799,107,11103,417,122,98,926,10061,11627,45899,15276,11921,99227,11817,184143
502,993,4928,4086,27220,412,37634,24,186,118,2522,53,2903,738,34,41,92,3,912,173,80,37,200,9,494,1215,272,212,514,11,2226,17479,4725,3922,23118,516,49755,1284,23,179,33,7,1537,333,37,31,134,6,533,1072,243,224,1741,20,3306,98,46,15,135,0,297,107,20,3,37,3,172,731,42,45,58,0,886,3226,700,510,5342,81,9855,944,427,207,1724,30,3335,95,8,14,0,0,119,19,3,0,15,0,42,22,3,4,27,3,58,94,28,14,68,0,198,1166,207,111,80,9,1580,758,269,190,129,6,1354,349,50,45,193,0,646,140,19,13,37,3,219,115,22,0,0,0,149,3738,865,767,5112,70,10544,52,21,8,31,0,114,930,89,74,27,13,1132,220,23,16,112,4,375,71,10,8,6,0,98,161,0,25,6,0,193,708,110,85,230,7,1141,4399,640,624,923,56,6641,359,61,49,490,4314,5275,32760,8267,6673,49286,5350,102337
503,1692,8459,7059,31235,334,48777,44,124,80,1278,16,1541,12603,397,672,451,61,14189,707,240,171,905,16,2036,1747,527,357,858,18,3498,21670,7816,5982,29849,379,65690,1227,32,205,21,9,1497,1343,150,144,343,7,1986,2523,577,432,2567,29,6123,1016,402,204,1076,7,2703,327,58,70,99,0,556,4600,252,212,174,23,5258,6802,1846,1336,10803,92,20880,4813,1481,704,4132,55,11174,922,26,52,24,0,1017,172,27,30,67,0,296,459,89,68,220,5,843,128,70,14,108,0,330,432,77,54,31,3,596,817,324,219,96,0,1463,1320,231,192,486,8,2233,623,65,77,74,4,832,66,16,9,5,0,84,5912,1881,1384,9202,90,18479,520,49,45,70,8,684,1597,201,203,41,3,2041,914,42,63,154,10,1183,523,74,54,41,9,696,1662,61,106,48,0,1888,956,198,142,496,6,1791,20463,1955,2071,2088,147,26724,632,62,34,309,9666,10700,79619,15804,12558,64459,10720,183153
504,4284,12432,10176,51688,673,79256,90,479,313,6249,122,7254,8763,249,459,335,46,9853,1386,365,225,1099,23,3100,2510,739,475,1339,26,5091,33550,11079,8663,41839,801,95927,5979,99,418,83,24,6604,1211,142,123,331,12,1812,2843,703,584,3251,54,7429,778,300,141,691,13,1925,417,84,60,156,5,721,9433,404,249,283,27,10392,7652,2064,1360,10680,137,21891,6593,2276,1140,6785,96,16889,504,6,58,19,6,580,201,57,17,62,0,337,722,154,83,291,10,1264,388,116,65,228,7,797,2730,371,265,124,23,3523,1779,714,418,223,28,3169,1877,286,266,762,20,3208,505,45,65,102,6,727,256,50,18,10,5,331,7812,2274,1805,9949,127,21963,1183,111,59,105,5,1468,2106,250,206,72,10,2641,962,83,59,243,6,1352,634,82,45,63,3,833,5365,99,173,118,17,5763,1223,248,203,547,12,2230,33536,2761,2509,3001,311,42121,1843,146,139,730,11547,14406,121005,22459,17422,95786,13638,270316
505,8710,25782,21375,95359,956,152184,178,643,352,6219,103,7489,17957,465,854,736,82,20091,2763,767,366,2050,35,5979,5931,1383,870,2327,44,10549,98798,22211,17846,75540,1404,215791,5944,130,600,187,28,6890,2856,311,225,639,15,4044,7552,1371,1186,5963,95,16154,2657,769,392,1905,23,5755,1053,170,100,193,6,1520,15556,561,396,463,46,17022,25257,4296,3100,21618,295,54568,15645,4737,2269,13565,173,36393,1001,24,90,23,7,1146,466,107,57,136,4,763,4690,751,449,1376,39,7304,582,195,136,371,4,1285,4499,696,393,180,45,5809,3861,1517,892,385,21,6673,4122,538,480,1059,25,6227,1386,86,210,217,16,1917,467,79,37,16,0,597,23004,4428,3437,18660,249,49771,2177,182,91,196,12,2662,10023,683,604,137,24,11472,2129,194,174,479,16,2999,893,115,95,109,4,1215,9407,191,342,176,45,10157,4118,561,389,1080,16,6166,66994,5209,5407,5162,539,83307,4006,307,217,1383,16823,22739,285908,45543,35928,175185,20351,562915
506,8014,21450,17362,86696,1226,134748,158,791,513,9586,317,11371,41877,662,1365,758,227,44881,1089,356,247,1148,16,2863,5534,1641,1142,3154,53,11525,61907,19280,15427,71344,1443,169401,11530,149,683,152,37,12554,1914,205,181,543,20,2860,4814,1156,957,5638,106,12672,763,259,153,689,13,1872,648,119,67,180,6,1027,27804,581,437,446,70,29334,12855,3218,2364,17687,221,36345,7936,2667,1383,8892,114,20987,3391,34,107,27,0,3565,699,163,78,154,0,1093,224,51,44,182,0,498,384,152,76,269,4,882,4291,512,405,178,70,5452,2878,1193,635,314,36,5051,2266,430,291,959,23,3967,883,78,123,182,7,1272,701,68,17,20,3,814,13525,3905,3031,16766,227,37454,640,75,52,93,3,862,4193,501,414,162,23,5291,1667,112,115,323,13,2230,2446,103,65,86,10,2701,2834,96,167,49,12,3147,2044,452,305,891,9,3701,86237,4742,4611,4976,572,101141,3501,223,233,1267,22009,27231,267420,37395,30076,159011,25987,519886
507,5306,21263,17655,86935,901,132061,87,608,410,7202,132,8434,19647,461,899,620,107,21736,3325,879,402,2289,53,6951,4130,1236,894,2391,42,8686,64924,19318,15819,71882,1185,173126,8287,104,617,125,21,9165,2012,278,260,515,8,3068,5093,1230,1042,5741,79,13181,648,263,164,754,14,1848,529,102,68,191,6,894,8902,472,273,331,24,10004,13650,3292,2646,19303,218,39105,10033,3489,1674,11007,173,26374,1588,23,91,30,0,1730,349,87,65,87,6,598,260,57,37,194,3,558,419,146,72,340,10,987,5291,713,460,212,43,6715,2989,1108,721,345,21,5186,1893,360,316,757,21,3333,912,74,128,145,10,1262,662,83,31,9,3,793,16211,4246,3214,17746,203,41624,1846,131,89,149,13,2226,4786,537,459,159,32,5968,1788,178,136,460,14,2580,900,97,48,63,5,1113,1170,70,131,23,4,1398,2656,482,327,996,18,4481,38157,4196,4240,4896,350,51847,1931,222,194,1209,17577,21131,184194,37539,30219,160206,20494,432650
509,1053,5541,5021,41195,745,53562,7,275,124,4745,127,5276,600,27,54,141,10,835,152,66,46,271,12,536,1527,437,276,927,24,3194,14633,5416,4761,34501,824,60136,1749,15,134,32,17,1941,344,49,40,179,0,610,1382,339,402,2721,63,4902,100,40,14,131,4,294,127,26,16,45,0,212,539,43,26,63,9,675,2480,837,695,7610,147,11766,1095,482,233,2245,46,4096,46,5,10,4,0,65,15,7,4,16,0,38,39,11,5,43,0,108,73,21,11,51,4,153,731,116,121,40,27,1032,676,321,209,107,11,1330,549,110,81,336,12,1087,98,8,20,38,3,174,41,5,0,4,0,47,3351,1103,977,7696,128,13255,96,11,5,17,0,134,805,72,80,34,3,992,166,17,16,86,3,288,51,8,7,7,0,73,155,6,4,6,3,176,551,106,108,374,3,1134,4641,701,703,1319,111,7471,297,75,69,708,11862,13011,30227,9527,8194,74589,13688,136222
510,877,3637,3424,26099,288,34323,48,606,280,19855,437,21226,1154,61,79,254,14,1562,215,81,49,209,3,555,922,330,170,570,20,2011,10308,3409,2967,20942,386,37999,1889,33,185,71,7,2193,446,28,34,146,4,658,1071,293,226,2226,27,3842,136,52,30,162,0,388,93,23,17,32,0,173,1085,52,34,58,6,1230,2754,656,526,6136,83,10157,966,415,199,1632,21,3236,95,0,9,0,0,104,47,9,4,27,0,80,97,28,9,28,3,159,81,46,21,82,0,231,1659,166,124,81,27,2066,863,244,185,90,9,1386,296,72,57,183,3,611,110,10,16,53,0,194,158,10,12,3,6,187,2815,751,650,5317,56,9589,103,27,10,20,0,157,627,65,79,21,4,792,349,11,23,75,3,467,103,10,14,9,0,136,181,3,12,4,0,202,379,62,50,211,0,702,6255,767,772,2285,134,10217,366,47,38,565,26952,27958,28548,6891,5882,63336,28169,132822
511,956,4987,4198,37591,572,48308,42,349,183,9835,223,10634,901,49,58,166,12,1186,265,105,27,391,7,799,1054,334,211,582,15,2195,11906,4466,3646,29930,610,50551,1770,21,219,46,18,2073,372,43,37,169,6,626,1401,315,325,2778,41,4859,145,73,40,156,0,406,94,29,10,42,6,172,980,56,46,83,6,1166,2423,841,574,7878,91,11806,1137,512,246,2577,47,4524,86,0,5,4,0,94,31,8,7,16,0,57,79,21,15,64,0,181,67,50,14,70,0,202,1851,202,174,87,41,2355,983,308,206,103,18,1619,348,81,47,260,5,743,129,14,23,53,4,217,203,24,4,11,5,252,3034,1047,783,6986,95,11948,75,6,3,16,0,103,965,91,60,35,0,1152,284,34,17,116,0,464,90,3,15,10,0,118,400,11,31,0,0,435,407,117,71,309,0,914,6136,729,744,1595,93,9298,359,64,54,706,20896,22079,30540,8715,6909,73115,22394,141673
