SA4_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
501,2424,1189,1253,2446,1154,1247,2400,1222,1341,2567,1183,1376,2559,5935,6462,12400,1255,1405,2657,1175,1275,2448,1202,1315,2517,1191,1375,2563,1211,1201,2409,6029,6568,12596,1216,1257,2476,1122,1221,2342,1143,1131,2276,1052,1162,2211,1079,1042,2126,5612,5814,11428,1082,1086,2168,1002,1089,2089,1042,994,2033,1009,934,1941,1041,1057,2092,5175,5155,10329,764,814,1584,718,765,1484,693,688,1383,568,595,1164,557,611,1167,3305,3476,6782,2077,2312,4388,1019,1427,2446,437,732,1169,101,194,292,10,24,35,233,169,401,90270,94268,184540
502,1241,604,673,1278,643,766,1412,658,682,1343,595,733,1326,3083,3511,6597,614,761,1376,631,721,1351,579,706,1288,601,743,1341,585,726,1311,3006,3655,6663,645,760,1406,636,733,1371,631,674,1312,642,732,1373,646,744,1393,3198,3646,6848,657,658,1320,658,734,1388,611,673,1285,667,694,1369,761,780,1541,3357,3536,6895,553,560,1112,512,564,1078,495,536,1035,470,503,967,441,483,922,2471,2641,5113,1738,1881,3619,880,1135,2015,312,484,800,70,142,216,7,20,25,51,59,116,48406,54038,102451
503,2173,1094,1063,2154,1095,1090,2185,1116,1068,2185,1030,967,1996,5396,5300,10699,998,1021,2013,1014,994,2009,887,997,1885,970,962,1936,944,954,1899,4811,4924,9740,1019,916,1937,783,885,1668,796,900,1699,828,871,1699,800,822,1620,4228,4400,8628,823,832,1651,757,789,1542,735,794,1526,701,743,1449,716,794,1506,3734,3950,7679,629,674,1299,556,555,1108,537,593,1134,463,512,982,496,519,1018,2685,2856,5540,1802,2169,3968,1062,1524,2586,499,929,1428,133,318,452,8,57,68,817,551,1368,91116,93409,184521
504,3252,1533,1628,3160,1667,1737,3404,1571,1697,3267,1610,1672,3283,7994,8370,16361,1533,1683,3216,1465,1590,3052,1447,1517,2960,1323,1441,2764,1283,1331,2611,7047,7558,14606,1276,1393,2669,1268,1352,2616,1159,1307,2461,1126,1168,2299,1128,1174,2305,5960,6397,12353,1130,1154,2283,988,1078,2065,931,1077,2006,964,1055,2015,1019,1122,2146,5036,5484,10520,822,892,1716,748,792,1541,703,705,1410,589,666,1253,584,660,1248,3437,3723,7158,2235,2665,4907,1130,1612,2741,441,853,1302,101,237,335,10,36,47,229,280,505,133745,137075,270821
505,6691,3202,3473,6676,3123,3493,6611,3245,3462,6710,3113,3366,6479,15878,17288,33162,3058,3306,6368,2860,3271,6134,2858,3186,6045,2722,3004,5724,2670,3027,5698,14166,15801,29967,2628,2967,5594,2569,2958,5524,2443,2818,5262,2382,2697,5078,2285,2569,4852,12296,14017,26313,2261,2533,4791,2226,2551,4773,2120,2482,4606,2117,2325,4440,2268,2423,4693,10982,12320,23305,1658,1883,3533,1583,1860,3441,1564,1768,3328,1321,1491,2813,1285,1557,2843,7411,8556,15964,4834,6289,11128,2704,3972,6678,1126,2037,3161,274,615,889,26,86,110,468,560,1028,273388,290554,563939
506,5711,2834,2935,5772,2784,2870,5657,2776,3001,5777,2755,2814,5571,13955,14527,28484,2724,2828,5550,2519,2836,5353,2452,2677,5132,2450,2697,5151,2375,2559,4936,12523,13604,26120,2367,2607,4980,2214,2519,4729,2134,2448,4579,2107,2367,4476,2105,2285,4391,10931,12217,23153,2084,2228,4316,1946,2101,4047,1918,2058,3979,1887,1992,3881,1945,2060,4010,9784,10440,20222,1502,1556,3056,1376,1471,2846,1275,1486,2760,1133,1289,2421,1127,1223,2346,6418,7020,13435,4189,5280,9470,2278,3278,5560,1001,1708,2706,215,514,735,19,86,104,689,695,1379,257934,263338,521268
507,5164,2370,2729,5098,2560,2691,5252,2518,2722,5239,2413,2718,5142,12317,13586,25896,2373,2540,4912,2349,2523,4875,2256,2478,4737,2136,2312,4446,2002,2307,4308,11120,12163,23285,2145,2288,4435,1940,2203,4140,1854,2151,4006,1901,2129,4029,1776,2061,3837,9619,10830,20445,1678,1929,3605,1702,1836,3542,1617,1890,3508,1677,1795,3478,1652,1850,3502,8328,9303,17633,1336,1408,2746,1284,1377,2659,1253,1325,2578,1018,1205,2222,1077,1141,2217,5967,6451,12419,3890,4818,8710,2222,3113,5335,989,1699,2689,217,489,710,26,64,86,527,471,998,210442,223210,433656
509,2020,999,999,2004,1049,991,2045,1047,1042,2088,1082,1134,2223,5235,5137,10377,1129,1103,2230,1036,1027,2063,1115,1096,2212,1034,978,2014,1090,951,2040,5399,5156,10556,1078,985,2065,1024,933,1957,968,910,1883,965,923,1896,917,945,1859,4948,4703,9653,955,852,1802,903,805,1708,871,738,1607,827,788,1612,852,791,1647,4401,3981,8380,662,613,1275,617,562,1177,591,544,1139,502,524,1024,493,512,1015,2865,2762,5628,1830,1934,3754,922,1140,2062,373,533,916,77,157,236,7,27,32,194,106,301,69617,66909,136524
510,1809,1125,681,1804,1153,708,1864,1183,701,1890,1129,683,1812,5780,3397,9180,1082,737,1823,1041,696,1739,950,747,1705,868,643,1506,888,691,1579,4831,3523,8353,823,678,1499,746,601,1350,690,551,1240,616,522,1137,596,485,1076,3465,2837,6311,556,432,992,539,392,931,444,336,782,386,281,667,413,307,724,2339,1748,4089,250,231,482,286,164,447,211,177,384,160,119,284,148,120,267,1059,805,1863,444,307,751,121,100,216,33,41,72,9,11,17,0,4,7,475,335,814,78204,55435,133634
511,1953,1102,877,1979,1136,974,2112,1193,920,2113,1118,938,2056,5586,4617,10203,1227,885,2106,1146,920,2067,1047,900,1949,1043,902,1945,1035,879,1916,5505,4490,9988,984,874,1856,901,835,1741,859,809,1670,868,806,1678,832,803,1633,4449,4129,8576,824,697,1520,822,615,1439,781,689,1469,748,604,1350,692,567,1259,3868,3168,7039,498,456,960,510,441,950,466,423,888,373,351,717,431,333,768,2278,2007,4286,1238,1162,2400,571,687,1256,182,264,443,41,82,117,3,13,15,299,168,469,77371,64765,142138
