SA4_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
501,194,904,4751,24090,28931,3279,653,3299,66102,14,627,2000,1847,230,15,12,470,5211,0,68,177,425,111,17,0,64,869,19,696,2179,2271,343,33,13,537,6076,8,177,323,151,17,0,5,85,759,0,10,70,25,0,0,0,12,123,0,4,26,7,0,0,0,6,42,0,0,13,23,0,0,0,6,38,7,19,10,7,9,0,0,0,53,12,203,442,220,27,4,5,111,1017,162,471,311,77,61,3,4,501,1596,14,44,46,47,40,11,25,68,290,390,2306,7725,26707,29399,3329,696,4515,75085
502,63,449,2438,11658,18447,1935,345,1447,36786,9,411,1613,1556,72,9,8,269,3937,5,48,317,662,69,7,0,58,1163,13,456,1929,2210,140,19,8,324,5097,0,103,217,91,0,0,0,55,474,0,4,59,121,12,4,0,10,203,0,7,65,120,0,0,0,14,212,0,0,48,107,0,0,0,8,170,0,6,22,3,7,0,0,3,45,0,126,414,444,19,3,0,87,1105,43,219,121,25,9,0,0,138,548,4,10,16,6,8,0,0,10,59,118,1258,4924,14350,18624,1961,352,2017,43597
503,25,283,3708,13535,12861,3899,706,734,35752,15,383,1870,1845,321,33,10,185,4654,16,477,2111,3578,576,44,9,235,7048,31,853,3978,5423,898,74,19,420,11707,33,1217,2812,481,33,3,10,291,4880,175,2447,3624,794,37,3,4,505,7598,171,2894,4477,1129,47,4,9,679,9402,133,1514,3554,937,29,0,16,506,6692,0,12,9,7,8,0,0,3,38,511,8090,14476,3349,149,11,37,1984,28606,6,21,40,12,12,0,0,428,514,6,34,27,20,8,0,4,35,133,574,9291,22227,22342,13927,3985,765,3605,76713
504,115,580,4606,33212,39452,5143,982,3000,87087,10,678,2796,4363,469,29,9,589,8949,8,271,1241,1294,201,13,3,232,3269,20,951,4038,5659,666,45,16,822,12221,8,324,1189,369,6,0,0,128,2035,3,201,682,61,0,0,0,68,1012,7,228,303,11,0,0,0,52,596,0,158,141,25,0,0,0,21,348,3,30,39,11,15,3,4,11,115,21,934,2350,481,23,5,9,285,4099,43,122,98,20,12,4,0,483,786,10,9,16,38,23,8,6,64,175,208,2599,11112,39415,40176,5204,1009,4655,104364
505,116,698,5344,58450,86365,12298,1818,5066,170161,30,1654,9079,17124,1176,95,30,1705,30893,17,423,1892,4112,1157,99,20,400,8128,49,2079,10973,21236,2335,197,48,2107,39021,50,994,3010,580,20,0,4,410,5067,0,317,851,199,12,0,0,144,1523,4,287,712,288,0,0,0,109,1388,0,30,43,80,6,0,0,10,176,0,57,67,21,25,10,8,14,209,57,1674,4682,1163,61,15,13,696,8363,63,165,128,35,21,0,0,228,644,10,22,19,47,14,0,0,71,184,292,4640,21148,80926,88797,12508,1884,8171,218372
506,148,1062,7294,58798,71369,10072,2019,5922,156692,62,1481,5697,10175,1102,103,78,1324,20019,29,596,2273,3795,726,91,64,429,8008,90,2081,7972,13972,1824,190,137,1756,28025,12,825,1787,1139,142,16,11,347,4284,14,659,1476,274,0,0,0,184,2618,14,843,1080,376,14,0,3,209,2536,0,434,1157,420,24,3,3,95,2136,6,58,70,35,23,11,10,24,228,50,2820,5576,2239,209,34,29,857,11811,81,237,268,116,46,16,7,288,1072,14,49,55,51,52,12,8,74,313,389,6251,21167,75179,73501,10311,2203,8902,197902
507,133,834,5816,45268,70030,8891,1457,4531,136965,27,1033,5639,6592,814,82,22,783,14982,19,383,1381,2293,555,76,13,266,4992,41,1413,7019,8888,1369,155,31,1050,19970,18,680,2015,489,38,3,6,306,3563,8,508,1459,368,8,0,0,197,2557,50,824,1751,530,33,0,4,248,3444,0,143,377,65,0,0,0,31,623,8,45,63,42,34,13,4,18,228,91,2201,5667,1496,124,19,17,801,10410,77,295,288,58,19,7,0,381,1122,13,33,47,48,49,11,3,59,252,347,4774,18835,55767,71587,9079,1511,6824,168725
509,210,1175,6033,21265,15734,2649,768,4197,52037,10,460,999,519,106,18,10,313,2433,5,25,54,43,25,0,0,24,185,11,489,1057,560,133,16,7,335,2617,0,63,60,27,12,0,3,24,195,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,12,7,3,0,0,3,32,0,68,76,35,20,3,3,31,234,194,373,197,103,40,8,12,405,1342,29,60,52,82,57,14,17,49,353,446,2171,7415,22046,15987,2687,812,5019,56577
510,154,667,1861,9401,6677,691,149,2925,22525,33,394,1027,833,153,9,3,651,3098,14,100,240,314,77,6,0,118,867,44,494,1266,1145,231,16,5,770,3965,22,221,385,146,5,3,9,230,1025,0,65,104,24,0,0,3,26,224,0,44,72,30,0,0,0,58,204,0,83,77,14,0,0,0,18,192,0,0,3,0,0,0,0,0,7,23,417,639,217,5,8,10,333,1653,2034,2873,320,260,245,44,32,1462,7274,226,455,96,79,65,20,61,374,1383,2491,4903,4182,11101,7230,780,254,5864,36799
511,171,797,3016,15675,13285,1765,404,3744,38856,21,552,1722,1198,104,8,8,628,4249,3,31,213,300,158,33,5,112,854,26,582,1935,1494,264,42,13,745,5102,8,263,266,106,12,0,5,168,829,0,0,14,0,0,0,0,4,25,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,25,10,274,289,112,12,0,6,170,875,1537,2162,327,283,226,34,34,1232,5833,133,229,99,109,78,24,42,229,943,1875,4041,5668,17670,13864,1870,506,6123,51619
