SA4_CODE_2021,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24_yr,M_Adv_Dip_Dip_25_34_yr,M_Adv_Dip_Dip_35_44_yr,M_Adv_Dip_Dip_45_54_yr,M_Adv_Dip_Dip_55_64_yr,M_Adv_Dip_Dip_65_74_yr,M_Adv_Dip_Dip_75_84_yr,M_Adv_Dip_Dip_85_yr_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr_over,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85ov,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85_yr_over,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24_yr,F_Grad_Dip_Cer_25_34_yr,F_Grad_Dip_Cer_35_44_yr,F_Grad_Dip_Cer_45_54_yr,F_Grad_Dip_Cer_55_64_yr,F_Grad_Dip_Cer_65_74_yr,F_Grad_Dip_Cer_75_84_yr,F_Grad_Dip_Cer_85_yr_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr_over,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85ov,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24_yr,F_lvl_educ_ns_25_34_yr,F_lvl_educ_ns_35_44_yr,F_lvl_educ_ns_45_54_yr,F_lvl_educ_ns_55_64_yr,F_lvl_educ_ns_65_74_yr,F_lvl_educ_ns_75_84_yr,F_lvl_educ_ns_85_yr_over,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
501,9,169,293,329,266,286,125,26,1510,0,68,166,183,177,145,39,9,787,141,999,1308,1297,1087,993,356,79,6259,112,540,907,1016,1057,909,427,71,5040,1589,3639,4049,3941,3792,2779,1159,264,21214,603,230,121,86,66,47,16,6,1171,72,85,153,188,212,214,102,25,1046,2265,3957,4321,4212,4069,3045,1285,288,23435,24,57,76,71,96,110,58,6,503,661,761,822,929,897,845,601,302,5827,3215,6559,7894,8035,7648,6333,2892,781,43363,18,304,483,368,299,217,53,0,1750,31,269,462,474,404,265,70,14,2005,332,2118,2817,2299,1625,1115,431,111,10848,222,1040,1501,1578,1677,1187,448,132,7770,1671,2507,2692,2409,1894,881,218,33,12314,598,367,291,269,237,148,46,12,1966,119,169,282,435,424,317,121,26,1889,2385,3040,3265,3108,2554,1352,386,70,16168,23,51,78,85,86,136,72,27,551,627,760,850,860,982,1047,895,527,6547,3636,7590,9451,8775,7628,5323,2355,878,45637,27,479
502,10,62,134,147,154,136,60,9,705,3,22,52,66,76,73,28,8,333,119,375,444,451,450,457,199,43,2537,109,274,427,526,588,564,328,68,2889,851,1815,1814,1960,2118,1895,1070,266,11787,322,108,57,49,41,30,16,4,617,37,51,67,86,92,111,90,30,567,1208,1973,1934,2096,2246,2034,1176,298,12970,10,24,37,33,37,76,51,22,290,319,301,328,347,326,440,416,238,2718,1780,3029,3361,3668,3883,3774,2258,684,22434,11,130,192,165,136,75,24,5,739,17,125,179,222,183,135,33,8,898,229,936,1097,953,670,523,234,50,4702,199,635,838,910,951,681,266,83,4562,889,1424,1378,1327,1102,583,204,37,6941,309,170,147,113,122,105,32,5,1017,84,113,170,207,244,200,120,28,1163,1283,1712,1700,1643,1461,892,348,79,9117,23,31,47,46,78,79,79,15,400,351,375,398,408,432,623,693,491,3771,2110,3941,4452,4350,3914,3004,1685,730,24186,16,189
503,178,2494,2675,2231,1698,1206,579,161,11221,29,445,541,522,432,250,106,19,2344,1762,5827,4855,4049,3173,2281,949,253,23146,431,1073,1160,1030,982,833,491,153,6141,795,1604,1313,1125,1191,816,459,182,7479,244,107,64,32,45,20,9,4,526,42,84,85,127,113,120,62,13,647,1086,1792,1461,1281,1344,952,531,196,8653,54,119,113,95,85,98,87,30,677,621,1301,1066,870,752,640,501,286,6038,4158,13042,11873,10081,8470,6249,3248,1096,58213,202,2818,2674,1994,1267,767,226,60,10007,73,767,802,932,739,496,174,40,4027,2147,6847,5560,4439,2994,2003,956,352,25302,575,1206,1168,1320,1446,1067,635,257,7680,853,926,696,650,542,315,124,62,4168,299,92,75,70,83,57,49,18,734,71,100,141,241,290,246,169,85,1343,1227,1117,910,963,912,619,331,164,6241,42,116,114,113,91,131,93,59,751,661,1076,789,612,609,719,661,541,5665,4930,13940,12018,10377,8061,5799,3075,1468,59672,375,5308
504,70,902,1345,735,536,365,149,17,4107,26,263,395,375,319,152,59,10,1599,765,3456,3653,2447,1589,1112,392,69,13484,506,1706,2126,1801,1453,1053,474,78,9197,2220,5604,5018,4530,4333,2978,1365,301,26361,733,336,184,135,90,51,12,3,1547,123,197,236,250,254,231,102,24,1407,3077,6136,5443,4916,4679,3265,1473,327,29319,75,120,160,129,101,92,73,23,768,814,1115,1084,917,790,644,522,268,6161,5331,13699,14204,11321,9467,6678,3152,791,64640,86,1398,1620,901,558,281,71,16,4925,74,705,827,699,484,260,86,16,3150,1199,5558,5106,3311,1965,1224,456,109,18928,713,2368,2631,2403,1961,1157,453,120,11800,2096,3733,3117,2672,1974,896,235,66,14799,682,405,340,289,212,143,48,3,2129,195,270,467,580,590,360,176,51,2695,2973,4407,3928,3547,2772,1396,462,126,19614,48,125,181,130,182,160,89,30,950,790,1145,1040,923,878,862,835,545,7013,5887,15709,15327,11909,8799,5342,2458,952,66375,153,2297
505,192,2375,3297,2541,1695,1042,400,85,11631,50,645,920,984,732,436,148,25,3933,2287,7999,8917,6825,4481,2946,1168,253,34868,1100,3247,4440,4302,3432,2732,1210,279,20746,4207,10004,9701,8914,8540,6015,2851,793,51027,1273,498,296,215,152,116,41,0,2585,255,364,513,572,503,428,240,67,2940,5734,10862,10510,9698,9198,6559,3134,863,56550,122,254,358,340,246,260,166,57,1817,1476,1957,2006,1659,1248,1131,1045,631,11155,10963,27335,30448,26348,21042,15101,7269,2190,140699,224,3189,3839,2295,1265,573,166,24,11567,167,1643,2115,1788,1276,662,181,33,7866,3199,12857,13121,8735,4991,3064,1159,288,47414,1518,4791,5656,5850,4753,2843,1112,338,26875,3808,6087,5613,5184,3847,1860,543,155,27086,1275,614,612,536,478,334,121,22,3987,381,520,873,1333,1183,888,458,154,5788,5466,7225,7093,7051,5511,3078,1118,333,36863,107,283,356,371,308,373,257,91,2153,1400,2148,2073,1754,1617,1758,1756,1322,13838,12074,32140,34265,27840,19716,12361,5749,2423,146568,413,5558
506,222,3087,4295,2467,1536,939,379,63,12981,55,552,797,724,548,391,113,7,3197,2303,8574,8867,5609,3486,2501,902,227,32464,1367,3699,4222,3262,2598,1964,913,206,18229,4191,8795,8303,7340,7026,5231,2479,674,44053,1482,597,308,204,122,85,36,9,2841,233,351,419,462,437,368,212,61,2537,5906,9735,9032,8006,7587,5685,2727,742,49420,128,283,358,293,215,201,155,64,1687,1973,2545,2298,1873,1490,1203,1008,683,13076,11952,28484,29862,22243,17462,12886,6198,1989,131063,236,4131,4486,2188,1151,585,151,18,12947,174,1326,1579,1218,948,508,157,17,5929,3092,12280,11821,6809,4018,2479,958,238,41691,1583,4178,4886,4226,3600,2252,945,256,21921,4082,5921,5257,4279,3128,1600,441,110,24819,1444,622,524,463,405,242,101,18,3822,295,454,688,937,870,688,301,112,4351,5824,6998,6471,5677,4406,2528,849,234,32989,121,286,300,274,280,324,190,58,1839,1695,2466,2202,1697,1615,1718,1777,1429,14598,12720,31671,31743,22094,16012,10393,5034,2248,131917,460,7220
507,122,1441,2529,2013,1541,1058,410,79,9193,28,468,657,664,610,377,120,28,2947,1489,5556,6259,4728,3212,2316,911,226,24695,659,2141,3101,3122,2447,1923,804,212,14418,3499,8211,7723,7283,6541,4357,2248,626,40490,1229,460,241,177,136,100,39,5,2391,209,285,384,426,408,370,190,39,2308,4930,8951,8348,7893,7088,4827,2472,677,45188,112,175,250,241,227,186,144,55,1374,1344,1719,1678,1457,1213,1141,1017,665,10241,8683,20450,22822,20125,16341,11828,5873,1928,108057,117,2222,2946,1958,1238,660,159,29,9326,115,1191,1547,1394,1050,582,151,33,6069,2324,8980,9456,6559,4010,2497,957,240,35022,1087,3207,4126,4140,3436,2094,876,281,19244,3384,5483,4801,4201,3115,1345,375,101,22813,1200,648,496,436,374,210,81,22,3469,276,359,607,904,905,633,312,113,4111,4862,6482,5911,5547,4396,2189,762,235,30387,85,173,242,222,256,275,180,66,1498,1281,1724,1641,1488,1388,1550,1491,1230,11780,9868,23982,25868,21309,15776,9843,4574,2110,113331,236,3663
509,6,118,166,159,201,189,90,14,938,7,49,81,113,127,99,20,7,496,137,632,763,753,677,617,218,36,3832,78,318,513,631,742,733,319,50,3377,1104,2510,2359,2475,2815,2046,827,190,14323,371,147,97,76,91,52,14,0,842,38,61,81,130,177,187,65,24,765,1516,2713,2539,2677,3083,2292,908,213,15934,3,32,38,47,58,71,42,13,310,835,1011,1004,1208,1247,1058,685,255,7285,2583,4872,5098,5586,6137,5040,2273,590,32181,21,200,250,222,253,153,40,8,1145,22,186,259,280,274,205,40,6,1272,286,1389,1614,1358,1176,781,344,90,7041,156,613,859,1079,1302,906,386,82,5385,813,1442,1444,1407,1262,663,150,39,7214,412,241,198,200,175,111,32,3,1366,64,89,145,256,301,229,91,28,1196,1284,1771,1789,1863,1742,996,265,69,9777,21,34,61,57,69,104,57,23,433,675,690,782,912,1066,1136,880,465,6606,2462,4897,5612,5785,5869,4294,2022,740,31678,24,319
510,34,391,375,278,242,159,35,0,1512,7,101,149,137,115,91,13,0,612,171,1417,1249,848,635,436,124,5,4888,76,589,1050,989,799,520,96,0,4117,937,4322,4586,3676,2821,1416,292,23,18077,266,180,149,79,67,31,6,0,779,52,102,142,132,118,106,27,4,672,1255,4606,4879,3886,3006,1553,319,25,19531,21,40,46,52,34,29,12,0,236,1461,3986,4272,3904,2925,1078,299,44,17972,3021,11145,12007,10089,7754,3871,894,79,48861,17,461,415,240,221,120,19,0,1505,22,291,298,234,226,129,10,0,1206,405,2208,1611,982,789,487,76,8,6574,146,802,828,723,820,491,73,8,3881,588,1446,1212,903,685,300,33,0,5168,278,260,200,125,99,54,6,0,1021,50,132,146,157,175,107,26,0,795,919,1837,1559,1179,966,459,57,0,6985,12,40,37,27,39,28,14,0,197,1118,2127,1530,1441,1304,827,273,48,8661,2634,7768,6278,4831,4370,2539,526,60,29004,53,854
511,27,299,312,253,199,146,36,4,1272,3,70,102,122,112,83,6,3,511,186,1078,980,819,640,484,132,21,4347,78,443,683,727,772,580,179,32,3500,1210,3604,3258,3180,3013,2035,675,109,17099,341,191,109,85,71,53,11,5,865,43,74,104,117,144,144,49,12,696,1595,3865,3476,3390,3231,2233,741,126,18662,22,31,47,68,61,46,28,8,309,1381,2749,2564,2561,2111,1269,613,164,13402,3286,8541,8161,7939,7127,4845,1742,355,42003,31,333,334,214,176,101,15,0,1208,27,240,262,245,236,151,27,5,1189,396,1712,1514,1135,871,586,194,27,6435,192,742,850,922,965,681,183,47,4571,872,1557,1400,1316,1047,500,125,15,6832,437,279,194,164,122,73,24,0,1306,70,120,153,206,247,182,48,10,1033,1379,1954,1749,1687,1419,755,197,26,9172,19,51,32,45,52,66,40,9,324,1004,1325,1265,1208,1293,1129,624,287,8139,3041,6362,6009,5464,5002,3465,1283,409,31038,66,628
