SA4_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
501,63,4938,296,3,5297,683,11734,728,14,13163,264,4980,311,6,5558,146,3683,273,21,4130,223,8385,830,92,9529,221,9923,862,42,11047,338,10557,904,21,11813,573,10650,740,13,11980,779,9392,616,9,10800,853,4185,346,10,5388,573,825,165,0,1565,4720,79250,6066,233,90270,54,4681,265,0,4999,330,11201,743,13,12287,140,4890,291,8,5326,106,3392,212,16,3727,225,9421,630,47,10327,259,11524,672,24,12476,378,11811,706,14,12911,587,11792,660,22,13059,792,9635,544,12,10989,1027,4386,378,7,5793,1161,967,247,0,2377,5056,83691,5352,169,94268,118,9616,560,6,10298,1011,22937,1467,29,25450,402,9869,603,13,10894,254,7080,484,37,7860,453,17807,1456,142,19857,482,21437,1533,63,23522,719,22367,1608,34,24727,1153,22439,1404,38,25038,1573,19026,1162,29,21786,1876,8563,721,16,11184,1738,1792,411,0,3940,9783,162940,11419,401,184540
502,56,2628,167,3,2846,418,5832,354,0,6603,153,2683,143,0,2984,103,2238,127,0,2464,155,4296,244,5,4696,165,4597,242,10,5010,227,5134,274,8,5641,376,5490,228,6,6097,592,5699,268,12,6569,710,3295,210,6,4208,440,724,108,0,1269,3395,42600,2362,51,48406,31,2656,123,4,2810,200,6001,389,4,6587,88,2694,150,0,2934,64,2395,125,5,2594,138,5184,279,11,5611,182,5683,291,6,6158,288,6084,284,8,6662,419,6501,247,10,7181,628,6312,245,12,7195,788,3462,271,5,4524,772,779,226,5,1783,3599,47749,2632,59,54038,85,5286,286,3,5663,614,11835,736,7,13191,243,5376,301,4,5921,166,4627,251,3,5056,290,9474,521,19,10308,340,10273,534,15,11171,520,11215,561,12,12309,797,11993,476,16,13280,1222,12007,513,21,13763,1499,6753,475,4,8737,1216,1503,335,5,3055,6995,90349,4991,116,102451
503,47,4069,194,11,4323,306,9306,360,30,9997,82,4857,185,16,5139,78,5877,401,93,6449,165,13881,1164,222,15430,145,12149,941,141,13379,181,10772,774,126,11860,251,9291,667,94,10312,434,7014,505,41,8000,630,3525,336,19,4506,670,849,179,6,1713,2999,81599,5705,817,91116,34,3798,168,11,4010,152,9024,312,31,9512,77,4982,230,25,5322,101,6446,394,57,7005,164,14493,939,180,15779,140,12339,696,64,13229,212,11220,512,62,12002,334,9436,460,52,10271,476,7407,465,51,8398,905,3788,330,19,5040,1490,1074,270,4,2841,4077,84005,4769,551,93409,81,7867,366,25,8334,453,18332,674,58,19511,163,9838,414,44,10461,178,12324,791,152,13449,335,28375,2104,408,31210,286,24487,1634,204,26609,395,21991,1287,190,23863,590,18725,1134,147,20586,912,14425,973,95,16401,1532,7314,665,37,9550,2165,1926,449,15,4547,7074,165599,10477,1368,184521
504,174,8821,397,0,9389,970,16520,877,12,18384,353,7516,346,3,8223,218,7639,536,50,8440,382,17489,1475,28,19378,349,17747,1393,24,19527,501,15361,1047,22,16924,703,13592,743,37,15081,865,9664,464,31,11022,1028,4365,284,16,5693,703,825,151,4,1684,6247,119542,7729,229,133745,89,8258,371,8,8731,433,15810,748,6,16997,213,7035,329,9,7585,162,7382,362,18,7916,324,19240,983,46,20596,391,18789,883,24,20087,541,16807,714,19,18081,834,14576,516,71,16001,1011,10459,414,56,11939,1499,4579,311,14,6406,1507,963,269,6,2745,7009,123891,5901,280,137075,266,17082,767,5,18118,1403,32332,1628,17,35376,567,14550,678,11,15810,375,15016,896,68,16354,714,36730,2457,79,39978,740,36541,2281,51,39609,1042,32170,1755,41,35012,1539,28170,1258,110,31075,1871,20121,883,90,22956,2526,8940,606,29,12098,2210,1788,425,4,4427,13254,243434,13629,505,270821
505,285,17300,691,13,18288,1774,35687,1471,24,38955,615,16512,584,8,17719,451,15940,689,24,17097,630,34134,1536,107,36407,555,36869,1537,57,39021,771,33974,1231,60,36032,1111,28022,913,74,30120,1655,20912,713,68,23348,2004,9711,535,24,12275,1714,2108,302,4,4131,11563,251159,10198,468,273388,156,16620,619,15,17416,868,34476,1388,32,36761,404,15641,566,9,16618,279,15780,590,45,16700,536,38008,1631,86,40256,662,40411,1529,64,42660,994,36688,1167,63,38906,1445,30722,919,128,33209,1999,23511,832,79,26416,3126,11040,682,33,14886,3579,2651,481,11,6721,14042,265544,10408,560,290554,443,33922,1304,37,35700,2648,70158,2857,53,75719,1018,32155,1151,21,34337,731,31718,1281,66,33797,1164,72146,3169,193,76665,1214,77286,3064,120,81683,1768,70653,2398,122,74939,2555,58740,1835,199,63333,3649,44415,1548,147,49767,5126,20751,1215,61,27157,5292,4757,786,15,10850,25603,516707,20605,1028,563939
506,234,16321,786,24,17365,1709,32378,1616,35,35741,572,14362,748,11,15691,429,16790,1060,52,18333,599,35545,2489,117,38760,619,35913,2191,96,38818,782,29106,1650,93,31636,1159,24141,1180,106,26584,1683,18247,788,114,20829,1928,8121,559,37,10639,1356,1755,410,9,3526,11076,232685,13482,689,257934,157,15634,769,17,16579,797,31195,1581,19,33598,328,13874,669,16,14897,304,16038,806,37,17188,590,37329,2038,93,40040,702,37272,1776,56,39809,922,29849,1323,65,32156,1434,25655,1042,175,28303,1903,19984,770,160,22825,2676,8857,761,45,12347,2719,2153,717,15,5606,12541,237841,12260,695,263338,397,31954,1553,33,33942,2514,63579,3199,56,69338,904,28238,1416,25,30592,735,32828,1870,86,35523,1186,72875,4530,210,78799,1319,73189,3975,147,78625,1714,58955,2970,160,63794,2593,49786,2224,282,54888,3585,38232,1557,282,43648,4606,16977,1320,84,22986,4071,3908,1123,24,9130,23623,470527,25739,1379,521268
507,230,13599,597,15,14450,1605,27067,1268,22,29964,530,12278,568,22,13398,327,12048,834,34,13248,525,25476,1897,102,28006,455,27104,1698,71,29330,693,25134,1270,62,27160,999,21463,973,85,23525,1403,15802,736,81,18024,1709,7554,600,29,9882,1344,1702,405,6,3457,9822,189235,10858,527,210442,122,12683,564,21,13394,813,26744,1240,30,28826,392,12060,513,10,12982,266,12353,560,30,13212,527,28348,1385,79,30345,562,30295,1265,42,32167,841,27616,1061,59,29573,1147,23744,846,86,25830,1533,17819,779,87,20215,2361,8213,696,20,11292,2751,2003,621,10,5383,11328,201884,9527,471,223210,355,26287,1159,34,27843,2417,53815,2506,51,58789,922,24346,1083,36,26379,593,24401,1388,70,26456,1052,53825,3292,179,58347,1022,57401,2962,114,61499,1541,52750,2329,120,56736,2148,45212,1822,175,49352,2938,33618,1520,166,38238,4067,15766,1296,47,21175,4096,3707,1025,11,8839,21150,391122,20384,998,433656
509,45,3280,314,0,3636,413,7362,789,6,8565,143,3332,330,0,3811,100,2671,402,35,3212,172,6072,1055,81,7382,169,6540,1048,41,7790,265,7772,1095,5,9140,428,9152,1052,9,10638,626,7973,758,7,9359,732,3574,392,4,4702,465,792,124,0,1381,3557,58512,7350,194,69617,38,3103,289,0,3432,223,7191,735,0,8149,84,3045,284,0,3417,72,2311,256,11,2648,124,6130,628,40,6918,181,6877,696,19,7777,337,7896,761,11,9010,517,9023,760,11,10306,656,7376,648,11,8694,840,3451,396,3,4695,848,850,167,0,1860,3912,57261,5619,106,66909,82,6391,600,0,7074,635,14553,1522,3,16712,225,6377,616,4,7228,173,4989,657,48,5859,295,12199,1682,119,14303,350,13423,1740,63,15569,602,15665,1862,17,18149,948,18179,1804,11,20945,1284,15347,1409,18,18054,1575,7021,785,10,9394,1313,1639,289,4,3246,7472,115776,12970,301,136524
510,33,3317,500,4,3851,221,6268,1115,10,7611,60,2117,444,0,2618,41,2708,935,53,3737,68,9958,3977,150,14157,63,10557,4212,102,14929,120,9124,3817,71,13128,162,7634,2816,56,10665,241,4606,960,29,5838,163,1097,239,3,1507,41,84,33,0,156,1204,57480,19043,475,78204,14,3081,408,0,3507,116,6060,1110,7,7294,24,1971,341,4,2340,19,2585,648,77,3330,56,8274,1996,156,10487,79,7050,1403,23,8557,124,5621,1330,8,7089,191,5578,1156,29,6949,240,3694,656,27,4616,153,764,191,0,1116,79,46,31,0,150,1094,44724,9273,335,55435,45,6398,909,5,7359,337,12335,2223,12,14904,81,4089,784,4,4964,56,5294,1582,131,7068,124,18236,5971,306,24640,139,17604,5614,125,23486,242,14747,5153,80,20217,351,13210,3972,83,17613,482,8300,1608,60,10455,315,1860,439,5,2620,120,130,68,0,313,2293,102207,28316,814,133634
511,57,3430,425,0,3914,356,6961,1040,10,8364,110,2984,441,5,3539,84,3228,883,38,4227,117,8380,2760,119,11369,126,8140,2562,49,10876,172,8661,2453,29,11311,313,8808,1972,37,11125,493,6770,1053,11,8333,488,2616,418,4,3522,278,427,92,4,794,2591,60395,14093,299,77371,18,3292,434,0,3742,175,6705,938,3,7826,66,2740,370,0,3179,53,2986,532,24,3595,102,7395,1260,74,8839,130,7068,1192,6,8396,223,7260,1035,13,8547,370,7678,1059,18,9120,481,6055,764,16,7317,541,2306,321,4,3171,499,406,123,4,1039,2661,53901,8037,168,64765,71,6723,862,3,7656,531,13663,1981,15,16188,173,5727,810,7,6713,133,6211,1419,62,7827,225,15772,4013,195,20213,256,15215,3755,54,19275,395,15928,3484,41,19859,680,16489,3030,52,20247,977,12822,1813,29,15647,1029,4921,737,4,6695,780,835,216,8,1832,5247,114294,22123,469,142138
