SA4_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
501,378,57,94,4,526,201,16,38,3,262,150,23,100,4,279,120,21,205,4,349,675,56,368,19,1118,474,87,662,18,1242,2683,216,776,34,3711,1714,341,891,61,3007,1906,650,950,50,3562,2051,1012,714,58,3833,1062,1090,476,47,2679,1331,1200,369,35,2937,2598,2889,603,59,6153,1767,2548,242,25,4586,1339,2145,150,17,3658,674,1301,54,8,2036,1549,2830,125,14,4512,1701,3400,689,28,5818,334,157,100,12,605,22712,20035,7592,519,50858
502,286,32,84,5,416,122,5,35,3,168,98,6,65,8,175,81,15,137,9,241,424,30,248,15,711,306,76,537,20,936,2081,135,511,30,2760,1352,209,578,47,2177,1266,358,560,39,2224,1219,487,452,34,2193,577,487,293,17,1372,624,540,250,17,1438,1255,1337,378,42,3019,847,1143,184,13,2191,676,1094,109,10,1894,339,691,43,6,1081,896,1790,116,12,2813,1148,2126,409,16,3697,260,81,69,9,424,13868,10656,5062,349,29933
503,307,55,135,23,525,111,20,41,10,178,88,27,56,19,191,55,20,89,3,163,255,45,124,25,440,203,71,194,31,496,718,106,233,29,1077,714,140,337,65,1258,1002,266,408,79,1754,1288,359,371,81,2091,830,371,355,59,1619,1057,476,339,58,1937,2223,1271,605,96,4197,1889,1159,241,79,3367,1634,1425,235,40,3336,1159,1192,86,19,2460,5455,10527,639,67,16691,1320,1685,398,22,3417,149,84,30,4,265,20459,19293,4905,793,45456
504,526,98,227,12,869,188,17,72,6,294,132,46,171,11,365,97,50,276,12,441,585,112,456,32,1184,474,180,825,32,1507,2566,384,969,67,3979,1626,589,1216,104,3535,1877,1151,1304,102,4439,2120,1747,1203,135,5208,1272,1775,869,113,4028,1481,2006,772,108,4365,3483,4950,1305,181,9916,2612,4249,612,105,7584,2055,3693,375,61,6180,1304,2413,152,32,3899,2567,6221,304,58,9143,2051,4313,886,49,7295,343,248,155,18,763,27357,34242,12137,1247,74985
505,1148,246,375,39,1810,419,55,130,27,635,354,113,273,28,771,245,102,537,18,901,1308,234,929,57,2530,988,337,1578,74,2975,4939,755,1760,107,7551,3716,1106,2282,198,7316,4110,1970,2578,215,8876,4586,3036,2281,235,10131,2754,3321,1850,164,8092,3087,3592,1565,174,8417,6927,9245,2693,304,19170,5347,8624,1148,211,15331,4243,8365,796,133,13540,2622,5908,338,66,8934,6318,18923,874,91,26216,3900,8821,1862,81,14663,723,537,269,29,1555,57730,75306,24122,2259,159412
506,1230,247,417,58,1949,401,69,109,27,613,315,118,281,36,753,243,105,530,35,907,1085,279,891,90,2342,899,413,1435,77,2820,4579,838,1637,120,7180,3153,1352,1988,266,6754,3546,2442,2258,257,8505,4101,3487,2017,315,9917,2547,3640,1466,216,7869,2970,3896,1261,203,8328,6366,9379,2125,420,18293,4636,7684,936,231,13486,3489,6886,670,142,11187,2081,4471,253,86,6892,4819,12641,641,145,18248,3387,7347,1553,102,12382,621,385,303,38,1339,50463,65678,20778,2856,139783
507,841,140,315,24,1319,350,43,118,19,530,275,55,267,27,625,191,65,446,16,715,971,146,776,43,1931,734,210,1405,61,2403,3881,490,1475,105,5948,2793,719,1869,184,5561,2998,1300,2005,153,6453,3290,2025,1723,186,7224,2132,2329,1468,129,6050,2400,2713,1153,108,6376,5220,7073,1923,211,14428,3963,6491,859,114,11427,3341,6226,618,83,10268,2062,4303,260,47,6672,5057,13755,693,73,19582,3261,7159,1454,72,11936,492,313,267,29,1098,44251,55548,19086,1671,120558
509,304,50,58,12,420,154,17,30,11,215,115,28,69,4,208,97,16,121,0,245,502,60,286,17,855,352,82,440,14,881,2206,202,470,22,2898,1389,291,541,49,2266,1431,521,544,52,2549,1530,830,432,44,2831,782,789,295,21,1896,1025,857,226,18,2131,1972,1811,315,44,4137,1320,1514,138,16,2986,931,1162,80,21,2192,486,679,27,7,1192,1146,1515,76,8,2749,1310,2333,434,29,4103,355,116,117,21,613,17399,12872,4707,400,35380
510,61,14,51,9,141,18,21,23,4,68,23,18,159,5,210,9,14,184,11,216,161,154,204,31,542,58,112,199,25,392,197,195,228,42,662,119,175,221,32,545,178,192,231,35,636,184,189,212,23,601,114,182,195,8,509,201,278,174,25,678,625,829,288,29,1778,663,833,90,19,1599,736,1003,119,19,1874,536,694,37,4,1278,1404,2579,111,16,4111,670,1170,266,29,2140,112,128,141,24,406,6087,8781,3120,384,18373
511,204,36,73,9,316,82,12,35,3,128,63,20,108,6,202,43,11,156,6,215,299,56,262,16,628,198,66,352,26,644,1152,138,382,33,1702,714,188,452,51,1405,703,285,438,38,1456,885,452,334,46,1715,510,499,283,26,1322,624,567,238,25,1460,1456,1532,383,34,3410,1113,1315,182,33,2649,943,1243,117,31,2332,529,798,57,10,1391,1285,2055,119,21,3481,1094,1884,409,29,3421,268,114,130,12,524,12164,11267,4518,452,28400
