SA4_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
501,67672,69811,137483,93,38,134,27,27,46,156,246,404,142,233,374,33,20,54,30,16,46,38,28,71,357,512,869,31,29,52,39,70,108,503,422,925,89,218,310,35,25,64,22,24,44,352,357,710,474,384,851,52,121,165,116,110,227,30,22,50,154,212,370,42,45,82,348,357,702,2493,2383,4877,88,69,157,761,1132,1888,68,105,180,92,144,234,1222,1309,2529,70,71,142,91,208,296,72,297,365,6563,7233,13792,300,308,602,95,160,259,1898,2075,3973,5390,5303,10687,233,169,401,90270,94268,184540
502,33737,36761,70496,9,9,19,9,10,23,89,117,204,58,158,212,25,22,51,21,11,33,23,26,45,169,237,406,17,13,29,24,32,56,353,331,680,76,224,297,32,34,70,5,4,9,247,239,478,150,91,245,14,55,62,30,41,74,0,3,9,103,150,253,26,23,53,231,253,484,1710,1860,3569,25,20,49,421,798,1222,33,47,88,62,97,162,721,907,1628,46,54,100,18,21,34,83,309,391,6205,6938,13146,154,157,312,58,107,160,1026,1232,2254,2342,2587,4932,51,59,116,48406,54038,102451
503,53452,54487,107933,43,23,68,94,63,162,409,532,942,1776,2350,4123,114,144,255,100,81,187,37,41,80,417,518,934,149,184,330,481,536,1018,1829,1649,3477,436,738,1177,389,384,773,62,25,92,961,919,1884,913,875,1786,423,679,1102,336,469,805,37,34,79,1354,1801,3156,290,300,589,333,289,623,1657,1462,3111,215,130,347,393,700,1089,237,326,563,904,1074,1976,1476,1494,2972,315,335,653,165,314,484,214,467,683,8108,6811,14925,824,966,1789,549,796,1349,5621,6461,12082,5167,4389,9557,817,551,1368,91116,93409,184521
504,85496,85374,170867,498,348,843,121,110,232,241,264,495,902,1350,2250,304,340,643,124,94,217,57,71,131,542,623,1163,141,151,292,281,349,626,4523,4317,8842,293,592,882,345,306,660,411,375,788,904,769,1666,1229,1154,2378,92,315,404,157,247,399,67,58,125,1098,1360,2457,255,250,508,425,405,829,4213,3956,8167,442,250,693,2201,3032,5228,324,459,782,563,676,1244,1646,1724,3372,514,463,981,107,241,344,278,815,1099,9894,9930,19821,440,424,861,1921,2484,4403,7371,8195,15568,5096,4954,10056,229,280,505,133745,137075,270821
505,159999,166117,326114,696,557,1251,149,134,278,626,816,1443,1957,2864,4821,576,626,1200,473,495,966,98,110,214,1125,1445,2576,487,522,1012,593,728,1320,6049,5588,11640,546,1211,1759,1022,1007,2026,719,659,1377,3379,3288,6667,2826,2701,5530,292,835,1131,327,488,815,150,135,282,2256,2838,5085,298,264,564,799,877,1679,7505,7319,14820,932,560,1492,1980,3126,5104,821,1176,1991,1168,1437,2604,7728,8365,16091,637,596,1233,226,483,708,600,1528,2127,34469,35604,70066,1051,1095,2154,3425,4310,7733,18041,20941,38982,8907,9148,18047,468,560,1028,273388,290554,563939
506,146308,145693,292003,1783,1336,3117,818,787,1604,414,505,918,5097,6235,11329,218,216,438,355,285,639,144,176,321,834,928,1767,89,98,187,977,1065,2045,13591,12528,26118,2362,3357,5718,829,704,1534,541,498,1041,1375,1259,2637,1430,1339,2767,245,690,936,1227,1436,2669,275,221,492,6535,7729,14267,1110,1009,2116,914,1023,1934,7204,6577,13784,2418,1548,3972,4371,5861,10239,407,526,932,2773,3288,6060,3291,3487,6775,2350,2139,4492,469,817,1289,751,1821,2568,18853,18796,37646,869,842,1714,976,1473,2451,14222,15521,29752,10805,10824,21630,689,695,1379,257934,263338,521268
507,134119,139303,273419,52,35,89,191,166,357,490,690,1184,1801,2551,4352,827,847,1674,181,150,330,120,125,248,873,1132,2000,78,73,146,540,631,1174,3642,3509,7151,1188,1901,3088,550,560,1107,106,108,216,1310,1252,2563,1864,1818,3679,171,535,705,579,652,1231,83,94,178,2610,3218,5826,172,200,372,684,695,1378,7072,6851,13921,360,247,609,3227,4326,7558,341,453,792,1402,1784,3186,3535,3730,7258,534,579,1116,179,360,539,291,1151,1437,22008,22586,44594,934,952,1888,393,611,1004,8779,10309,19085,8623,8560,17183,527,471,998,210442,223210,433656
509,50722,48334,99054,96,48,146,15,8,30,110,151,255,74,112,183,17,16,33,24,11,38,57,13,66,258,412,678,18,11,27,29,26,55,251,224,477,55,140,196,47,9,54,24,8,26,186,173,362,222,160,386,24,49,71,21,30,51,11,7,15,136,112,251,24,14,36,311,307,613,1771,1573,3347,38,21,62,716,967,1681,51,67,118,52,93,144,638,693,1336,67,41,103,36,78,117,105,248,349,4579,5111,9691,172,210,387,97,89,190,1449,1303,2750,6918,5917,12835,194,106,301,69617,66909,136524
510,45755,36492,82247,18,5,24,31,11,44,84,126,204,234,220,447,40,23,61,27,6,36,87,45,136,230,221,447,26,11,36,34,42,75,592,338,929,145,211,354,40,16,60,14,6,19,463,238,702,161,89,253,15,54,68,43,33,77,17,6,18,176,139,315,46,28,73,155,139,297,3088,1844,4931,73,29,103,948,848,1797,39,46,87,116,89,206,699,471,1177,133,74,199,28,79,112,101,399,503,3400,2165,5564,133,152,285,75,89,168,2176,1465,3635,18281,8839,27120,475,335,814,78204,55435,133634
511,50664,44986,95649,21,12,38,26,12,34,78,140,221,177,147,320,51,35,86,26,16,41,86,86,167,256,308,566,22,11,34,28,27,54,467,338,808,101,177,277,63,26,87,15,3,24,248,186,430,169,149,318,13,50,59,34,40,79,5,3,7,138,134,274,37,25,62,190,167,354,2925,2215,5137,67,48,113,740,946,1687,49,34,84,79,70,150,890,799,1693,91,53,145,32,64,96,98,381,477,3491,3043,6536,186,184,374,153,192,342,1860,1588,3450,13504,7875,21382,299,168,469,77371,64765,142138
