SA4_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
501,889,3497,43,4429,19118,1444,38,25038,177,3070,19,3265,17213,1284,29,21786,49,461,0,516,9777,877,16,11184,6,25,4,35,3341,561,0,3940,29642,10718,1673,42037,96298,10093,366,148794
502,464,2125,15,2601,10181,481,16,13280,92,1693,11,1790,11393,564,21,13763,33,291,0,331,7791,615,4,8737,0,26,0,22,2567,464,5,3055,14861,6429,801,22090,56937,4466,100,83597
503,1447,1954,38,3442,15905,1089,147,20586,223,3844,16,4083,11219,1002,95,16401,63,1166,4,1236,7470,807,37,9550,4,63,0,68,3870,601,15,4547,27768,10078,1085,38928,106454,10006,1288,156670
504,1463,4353,81,5892,23797,1276,110,31075,300,4094,20,4413,17535,923,90,22956,49,836,7,889,10422,754,29,12098,10,48,0,52,3847,525,4,4427,46495,15376,1921,63796,141061,11987,474,217319
505,3049,9801,146,13002,48283,1847,199,63333,642,11469,60,12173,35885,1556,147,49767,118,2294,14,2430,23084,1584,61,27157,14,121,0,138,9643,1057,15,10850,100380,34815,4157,139353,294334,17894,942,452521
506,2679,7953,121,10759,41568,2282,282,54888,628,8531,50,9208,32382,1778,282,43648,114,1619,14,1745,19536,1624,84,22986,14,91,0,106,7594,1406,24,9130,89557,29127,3477,122166,271484,23046,1293,417991
507,2446,7658,110,10211,37174,1796,175,49352,492,8034,42,8570,27871,1638,166,38238,106,1671,18,1799,17698,1633,47,21175,22,91,0,113,7337,1368,11,8839,76565,26895,3582,107042,221076,17991,915,347021
509,688,2393,34,3120,15977,1837,11,20945,120,1837,4,1972,14543,1524,18,18054,30,308,0,340,8015,1027,10,9394,0,24,0,23,2734,483,4,3246,18853,7175,1037,27067,73721,11647,294,112735
510,416,1264,30,1713,11824,4002,83,17613,54,801,12,861,7888,1646,60,10455,6,120,3,129,2024,456,5,2620,3,9,3,13,227,71,0,313,18471,5598,1470,25544,59310,25719,796,111367
511,608,2071,29,2709,14447,3042,52,20247,97,1423,10,1530,12162,1921,29,15647,29,238,0,266,5553,862,4,6695,6,19,0,21,1518,289,8,1832,19266,6601,1101,26971,70946,19924,453,118291
597,9,15,0,30,290,221,29,560,0,15,0,15,103,56,0,178,0,3,0,3,19,12,0,32,0,0,0,0,0,0,4,3,310,58,9,371,1489,1380,164,3410
