SA4_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
501,0,0,0,0,0,8,40,55,0,4,0,11,0,3,10,134,0,0,0,0,0,0,10,21,0,6,9,0,0,0,0,46,0,0,30,52,36,62,99,55,11,7,19,14,3,3,15,404,4,0,0,0,6,14,105,88,14,23,31,66,3,0,16,374,3,9,25,3,3,5,0,0,0,0,0,0,0,0,5,54,0,4,0,3,3,0,6,6,0,0,6,9,0,0,0,46,0,5,5,13,8,10,6,5,0,0,3,9,7,6,0,71,133,90,74,69,126,66,156,68,11,9,9,16,10,0,30,869,3,18,12,10,0,0,0,8,0,5,0,0,0,0,5,52,0,0,12,4,11,5,15,26,4,3,3,3,7,6,0,108,29,8,71,38,24,27,242,251,42,41,55,58,14,3,24,925,4,13,0,3,14,27,77,73,21,13,20,6,12,0,14,310,0,0,0,0,3,0,9,28
502,0,0,0,0,5,0,0,7,0,4,0,0,0,0,0,19,0,0,3,0,0,0,8,13,0,0,0,0,0,0,0,23,0,3,17,29,20,17,58,30,6,4,0,11,3,0,0,204,0,0,0,0,17,17,66,51,10,9,9,20,3,0,0,212,4,6,21,6,0,3,0,0,0,0,0,0,0,0,3,51,5,0,4,4,3,0,3,3,0,0,0,3,0,0,0,33,4,0,0,0,7,10,5,14,0,0,4,0,0,0,0,45,63,71,57,42,49,19,39,29,4,0,6,4,7,0,13,406,0,10,10,6,0,0,0,0,0,0,0,0,0,0,0,29,0,0,9,5,7,5,10,8,3,0,0,0,0,0,5,56,19,11,61,32,19,20,168,178,35,27,33,47,14,11,19,680,0,8,3,0,20,38,83,44,25,20,8,19,11,12,4,297,0,0,0,0,6,0,12,38
503,0,0,0,0,8,9,17,7,7,4,0,4,4,18,0,68,0,0,0,3,5,9,49,30,7,8,11,13,15,5,0,162,0,7,44,93,107,157,204,148,25,28,43,45,27,13,18,942,8,6,14,41,183,317,884,849,268,341,361,526,229,19,84,4123,3,37,42,26,22,57,19,20,0,3,0,3,0,0,8,255,10,25,25,13,14,12,24,35,3,9,5,3,8,0,11,187,0,3,4,10,18,13,9,15,0,0,3,6,0,3,3,80,92,62,45,51,120,101,183,99,26,20,35,46,24,8,19,934,30,105,93,38,3,7,12,23,0,6,0,0,0,0,13,330,4,6,23,81,156,129,169,155,44,43,45,77,51,15,18,1018,30,26,170,116,140,196,696,610,170,245,314,426,208,63,65,3477,5,23,19,25,73,208,260,129,46,46,98,110,110,3,20,1177,0,0,0,8,127,50,143,217
504,0,0,0,4,11,100,318,240,32,33,20,30,23,9,24,843,0,0,4,34,14,16,71,58,6,7,3,13,0,0,4,232,3,0,54,72,49,78,113,69,12,16,5,16,6,0,4,495,3,0,10,33,171,198,901,480,94,83,63,101,38,9,65,2250,10,66,213,83,46,143,60,8,0,0,0,0,0,0,16,643,9,17,23,7,19,13,74,25,0,0,6,4,0,0,8,217,0,7,5,9,37,8,25,21,0,5,3,4,0,5,7,131,180,156,89,96,193,116,190,80,14,12,9,10,5,3,17,1163,9,59,103,36,12,6,7,26,0,0,0,6,0,0,3,292,0,6,12,46,94,135,142,95,18,12,13,14,13,0,17,626,55,29,449,437,373,409,3158,2076,430,290,383,437,154,30,134,8842,3,16,4,17,70,167,249,171,29,33,25,34,29,5,24,882,0,0,0,0,56,85,169,223
505,0,0,0,4,76,207,409,327,16,40,53,53,28,22,27,1251,0,0,4,34,19,22,89,61,13,5,7,15,21,0,8,278,3,9,60,154,182,172,405,253,42,34,36,43,17,10,20,1443,4,11,17,60,324,530,1840,1057,172,172,154,297,91,17,70,4821,25,146,328,119,76,273,148,47,7,4,0,4,3,0,27,1200,21,40,102,60,94,133,205,209,23,13,15,17,7,4,21,966,3,0,9,21,48,32,39,36,3,0,4,8,0,0,4,214,259,233,182,205,426,225,569,268,25,31,34,50,24,6,40,2576,60,287,347,109,51,18,36,48,3,4,0,8,0,0,28,1012,0,8,33,99,246,258,280,165,41,34,41,59,28,10,30,1320,87,69,600,464,449,625,3624,2666,577,439,660,847,293,37,206,11640,10,40,19,48,137,368,475,263,77,76,63,64,82,7,36,1759,3,0,3,21,215,294,497,686
506,0,0,0,4,55,291,1062,941,133,123,91,202,82,63,58,3117,0,0,0,11,27,81,674,500,57,66,69,69,35,4,16,1604,0,3,57,102,116,143,231,127,19,19,33,32,11,5,10,918,9,13,20,51,410,752,4684,2749,569,540,458,632,191,25,229,11329,9,55,131,40,17,105,31,16,0,0,0,0,0,0,31,438,14,22,34,30,31,45,146,164,42,44,21,15,11,8,19,639,0,10,14,29,61,34,85,46,4,7,3,12,0,6,8,321,232,229,201,150,289,150,256,121,23,20,19,22,10,4,38,1767,0,40,50,29,20,3,12,22,0,0,0,0,0,0,6,187,3,11,43,106,283,280,477,387,79,80,95,74,75,20,45,2045,93,75,635,668,617,933,8735,6816,1435,1111,1774,2091,632,108,394,26118,12,36,22,134,359,1205,1969,893,147,186,179,241,203,25,108,5718,0,0,0,11,123,139,386,566
507,0,0,0,0,8,30,31,12,5,7,0,0,0,0,5,89,0,0,3,10,13,28,130,73,11,23,31,21,14,0,4,357,0,14,64,119,129,160,294,169,37,46,32,46,43,16,14,1184,4,7,15,44,277,399,1758,1037,177,150,113,216,81,10,57,4352,24,210,562,172,131,308,161,32,4,5,0,5,4,0,66,1674,24,46,58,25,22,15,32,66,10,9,15,3,5,0,11,330,3,3,15,24,37,34,55,52,6,0,15,3,0,0,0,248,139,205,178,141,286,182,442,244,14,33,38,49,13,10,34,2000,7,22,43,22,9,9,9,18,4,0,0,0,0,0,6,146,5,4,35,129,232,201,213,147,42,32,43,37,30,17,13,1174,75,55,317,266,300,504,2453,1633,271,278,347,350,148,36,122,7151,10,18,27,57,447,845,773,354,85,65,84,99,133,13,74,3088,4,0,0,14,159,110,277,390
509,0,0,0,0,0,6,28,42,9,9,3,19,4,5,27,146,0,0,0,0,0,3,6,9,0,0,0,0,0,0,11,30,0,0,28,34,35,32,45,25,18,7,6,11,8,0,9,255,0,3,0,0,6,10,64,36,4,3,11,20,3,0,14,183,0,10,10,3,0,3,0,0,0,0,0,0,0,0,0,33,5,5,7,5,0,4,5,9,0,0,3,0,0,0,3,38,0,3,3,4,3,3,0,3,0,0,0,0,15,28,16,66,128,99,70,42,88,38,87,40,9,4,15,14,7,0,33,678,0,6,14,0,3,0,3,0,4,0,0,0,0,0,0,27,0,0,3,6,5,5,3,8,0,5,3,6,5,0,10,55,15,10,50,31,23,18,94,113,20,15,20,23,15,0,36,477,4,8,4,4,19,17,45,38,9,14,12,10,11,0,4,196,0,0,0,0,10,0,0,10
510,0,0,0,0,0,3,10,10,0,0,3,0,0,0,0,24,0,0,0,0,0,3,15,14,5,0,0,0,5,0,0,44,0,0,4,26,23,23,43,32,4,4,10,19,7,0,3,204,0,3,0,0,10,17,120,83,20,29,33,106,16,3,15,447,0,8,13,9,0,9,7,3,0,0,4,0,0,0,3,61,0,0,4,0,4,0,6,5,6,0,0,6,3,0,0,36,0,0,4,4,16,16,33,25,0,13,6,10,0,7,4,136,29,43,21,30,55,46,93,51,5,7,15,35,17,0,4,447,0,0,9,8,5,6,3,3,0,0,0,0,0,0,0,36,0,0,10,8,7,8,21,7,4,0,8,4,0,0,4,75,5,3,24,12,18,40,337,216,56,54,48,65,27,6,17,929,5,6,0,3,21,41,93,78,20,21,14,31,19,8,3,354,0,0,0,0,5,3,24,26
511,0,0,0,0,0,3,8,19,4,0,0,6,0,0,0,38,0,0,0,0,0,3,14,5,0,4,4,3,0,0,0,34,0,0,9,20,28,28,60,27,7,11,12,17,0,6,8,221,0,0,0,0,11,9,97,82,10,20,14,36,12,8,11,320,3,8,28,4,9,6,5,0,0,0,0,0,0,0,5,86,6,6,3,3,0,6,3,3,0,0,4,0,0,9,0,41,0,3,0,4,17,16,44,34,0,7,17,12,0,3,5,167,67,75,49,31,67,42,93,62,17,4,12,23,12,0,14,566,0,3,9,11,6,0,3,0,0,0,0,0,0,0,0,34,0,0,0,6,3,3,6,16,0,0,0,0,0,0,5,54,9,12,31,26,13,23,243,227,30,33,45,60,35,7,13,808,4,9,6,3,13,31,75,48,22,10,22,15,15,7,5,277,0,0,0,0,5,3,8,38
