SA4_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
501,1544,1515,3055,5552,5005,10561,1567,1496,3063,1109,1023,2129,8235,7527,15771,4331,4132,8463,1258,1381,2636,1011,1063,2073,6603,6580,13182,285,251,536,146,392,533,705,382,1078,496,1134,1622,8,5,17,1633,2160,3793,176,483,657,157,492,642,64,154,211,355,991,1348,0,3,8,744,2120,2864,2379,4287,6671,181,192,376,318,570,888,8,6,16,507,768,1281,6074,5397,11470,233,169,401,25580,26245,51824
502,788,781,1567,2727,2788,5515,692,711,1408,748,720,1462,4178,4226,8402,1993,1863,3852,603,691,1298,797,800,1594,3398,3350,6748,193,220,410,87,248,338,367,229,595,260,596,860,5,0,10,913,1290,2204,348,712,1064,111,353,460,72,134,205,202,481,677,0,5,5,736,1679,2416,1654,2978,4632,105,144,245,208,372,582,3,0,3,319,512,830,2433,2719,5152,51,59,116,12818,14629,27449
503,1441,1231,2669,4451,4235,8685,816,837,1655,1039,977,2018,6310,6058,12373,2449,2168,4618,1069,1145,2213,2383,2442,4827,5906,5762,11670,355,384,736,466,688,1157,243,187,424,546,912,1454,5,8,14,1616,2179,3794,4024,4713,8736,1751,1837,3580,453,544,992,1325,1854,3176,14,16,28,7562,8961,16524,9187,11148,20329,268,347,616,480,690,1168,3,9,16,754,1047,1801,5527,4657,10181,817,551,1368,29935,30449,60388
504,2712,2400,5108,8154,7466,15620,2182,2113,4290,1654,1585,3240,12014,11193,23209,5041,4596,9640,2162,2062,4229,2258,2036,4293,9472,8719,18195,606,603,1208,505,861,1364,827,490,1321,955,1623,2577,9,12,28,2913,3587,6495,2077,2748,4828,864,1222,2088,406,550,953,1012,1812,2819,17,12,31,4374,6345,10717,7300,9950,17252,400,446,848,716,1135,1849,13,12,22,1130,1590,2721,7399,5730,13130,229,280,505,40261,39856,80117
505,5301,4910,10215,17685,16382,34064,4553,4526,9077,3514,3447,6961,25787,24411,50196,11896,11062,22954,4232,4257,8487,4687,4564,9253,20831,19911,40746,1347,1275,2626,974,1705,2678,1708,930,2640,1798,3147,4953,20,17,38,5849,7078,12928,5677,7395,13075,2011,2844,4855,1050,1299,2349,2200,3878,6082,27,30,59,10972,15449,26419,16854,22568,39423,802,899,1703,1449,2373,3826,21,24,45,2279,3300,5573,9544,9938,19483,468,560,1028,81066,85596,166656
506,4824,4543,9370,16554,15453,32006,3357,3222,6577,3501,3515,7015,23454,22226,45676,11242,10590,21836,3506,2932,6437,3366,3436,6800,18131,16985,35113,1560,1302,2860,1274,2024,3299,1610,951,2565,1884,3282,5162,31,33,59,6359,7593,13946,6265,7609,13876,2748,3285,6037,972,1217,2182,2050,3273,5326,23,32,56,12058,15422,27473,18457,23044,41497,1075,1063,2135,1362,2043,3406,36,29,67,2468,3140,5611,13022,11965,24988,689,695,1379,81047,82595,163638
507,4157,3807,7962,14457,13750,28203,2997,3096,6094,1997,2074,4075,19483,18947,38426,8983,8404,17384,3704,3967,7669,2858,2742,5604,15563,15132,30697,855,855,1710,589,1107,1697,1475,845,2322,1345,2499,3843,26,20,46,4289,5320,9610,4006,5588,9601,1422,2284,3707,784,962,1746,1785,3183,4970,18,27,44,8019,12042,20068,12335,17393,29726,511,549,1060,1057,1666,2722,21,19,34,1592,2234,3827,10326,9092,19420,527,471,998,63979,67070,131052
509,967,910,1878,3930,3688,7615,689,707,1397,586,604,1195,5207,5004,10211,2940,2760,5700,411,447,860,617,738,1348,3979,3949,7928,183,170,354,84,189,279,442,243,685,303,794,1095,5,5,17,1019,1405,2423,128,256,383,92,230,329,50,128,179,210,636,846,0,3,4,485,1256,1737,1498,2655,4161,113,126,235,205,338,547,10,3,16,328,467,798,7500,5789,13291,194,106,301,19681,18889,38564
510,871,787,1656,3772,3516,7290,751,676,1424,251,231,481,4781,4428,9211,1934,1863,3796,387,404,785,121,140,263,2441,2414,4850,84,62,145,98,116,210,225,170,398,534,690,1229,13,3,17,954,1038,1997,55,171,224,115,234,347,33,85,129,442,667,1113,0,5,6,657,1162,1817,1610,2205,3818,90,101,191,168,273,437,4,4,7,264,377,635,18908,9131,28047,475,335,814,29347,19681,49027
511,997,1021,2014,3613,3292,6906,935,939,1877,460,483,937,5015,4722,9738,2153,1997,4153,891,936,1823,409,404,812,3456,3341,6799,174,208,379,102,151,256,418,292,706,481,874,1350,9,6,13,1177,1529,2707,140,247,384,144,259,398,53,110,161,339,698,1033,11,3,12,678,1314,1994,1861,2850,4714,122,100,222,219,337,560,14,3,15,355,441,793,13980,7892,21875,299,168,469,25958,20445,46404
