SA4_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
501,21,17,38,766,168,937,10,5,12,5,0,0,65,58,119,28565,27747,56307,2308,2267,4576,500,20,521,156,20,184,432,146,577,668,200,862,1034,985,2018,34518,31635,66154,7,0,9,0,0,0,0,0,0,16,14,26,0,0,6,0,0,0,20,20,40,0,0,0,0,0,0,240,69,310,23,17,43,42,3,46,303,93,393,413,182,597,737,292,1028,5,3,9,38,4,47,20,3,21,63,15,77,2711,3723,6438,5532,6150,11677,322,225,548,43881,42044,85928
502,271,300,570,312,181,493,5,0,3,0,0,0,40,36,76,12564,13065,25629,914,1021,1936,268,14,282,61,5,67,76,35,109,619,163,782,210,232,440,15345,15055,30397,99,87,185,0,0,0,0,0,0,154,140,291,21,23,39,14,3,14,285,248,526,0,0,0,0,0,0,40,9,45,12,31,47,16,10,29,71,50,119,226,88,309,574,391,965,84,81,160,12,9,18,13,3,14,100,94,194,1038,1698,2735,3417,3214,6634,134,102,231,20598,20553,41151
503,1533,1337,2869,4308,3939,8245,9,8,16,6,0,6,312,371,678,25526,22581,48112,1460,2508,3968,134,0,135,327,55,388,1631,570,2203,657,232,884,3228,2809,6035,39122,34407,73531,513,653,1170,4,5,10,0,0,3,101,89,194,36,48,83,77,35,113,725,840,1561,5,0,6,0,0,0,84,104,187,50,119,172,114,107,226,255,332,592,337,221,557,1320,1387,2713,120,148,273,61,36,102,25,8,31,211,199,406,5540,5586,11134,4406,6245,10653,203,163,361,50803,47995,98798
504,1205,1240,2448,1371,1332,2699,12,0,15,3,0,7,238,243,480,47451,41786,89239,2461,3434,5897,877,37,916,363,26,389,589,154,748,1278,314,1591,633,630,1257,56485,49198,105679,473,539,1008,0,0,0,0,0,0,594,605,1193,64,111,178,44,26,68,1179,1277,2458,0,0,0,0,0,3,106,113,220,56,122,186,60,44,104,222,278,506,534,323,853,1928,1878,3811,177,260,432,32,22,56,20,10,33,225,294,520,3936,5542,9479,6987,8785,15773,325,216,544,69893,65917,135811
505,3693,3667,7360,2372,2366,4745,34,18,51,3,8,13,480,358,836,96843,88329,185174,5106,6976,12082,1597,39,1633,711,51,764,976,190,1166,2533,526,3064,1029,1171,2203,115375,103710,219089,2232,1908,4146,6,0,6,0,0,0,1747,1587,3330,229,310,539,150,37,192,4361,3848,8206,0,0,0,0,0,0,198,204,393,120,186,306,81,53,137,397,440,836,1045,530,1576,5802,4815,10622,676,709,1387,59,49,114,54,19,72,794,777,1572,10200,13464,23665,13927,19075,33002,584,411,998,146687,142256,288942
506,2110,2303,4412,3767,3750,7517,44,37,85,11,3,14,614,473,1087,91812,75108,166916,4667,6728,11394,1424,52,1472,574,52,629,1068,248,1319,2250,586,2830,1236,1221,2453,109573,90571,200142,1741,1718,3455,0,0,9,0,3,3,1038,874,1910,150,193,348,93,29,122,3025,2818,5843,12,8,17,5,0,3,207,223,431,129,303,430,151,99,248,497,631,1127,1002,529,1530,4525,3974,8499,580,732,1308,88,72,161,48,28,71,719,828,1546,7426,9592,17013,12317,15652,27973,670,434,1102,135227,121044,256274
507,2666,2616,5284,1948,1653,3597,32,13,46,5,0,9,290,202,501,70809,64968,135778,3976,4985,8965,833,25,857,495,59,555,943,320,1267,1909,486,2395,1155,1293,2449,85075,76617,161698,1723,1676,3401,0,3,3,0,0,0,1069,989,2056,161,242,402,128,54,175,3082,2956,6041,0,3,5,3,0,4,114,124,235,85,120,207,76,45,117,282,285,570,848,433,1281,4210,3682,7893,518,623,1148,62,34,102,43,11,59,626,674,1300,6937,9453,16393,11460,14592,26058,434,327,763,108750,105350,214103
509,12,15,24,609,186,803,8,0,8,0,0,0,30,30,60,20586,17852,38438,1407,1479,2880,686,17,706,116,17,140,189,75,273,674,188,863,1739,1429,3169,26057,21299,47366,0,0,0,0,0,0,0,0,0,25,30,52,0,6,9,0,0,0,27,38,63,0,0,0,0,0,0,34,8,43,11,7,21,10,4,13,62,25,82,303,125,428,385,183,569,13,11,28,23,0,23,32,9,42,70,18,84,3262,3474,6733,2972,3480,6449,338,238,572,33086,28695,61780
510,26,16,45,5121,1038,6156,13,5,19,0,6,5,102,47,149,16834,11776,28611,3032,1666,4698,526,46,568,249,77,324,318,221,540,2775,718,3495,2274,2408,4683,31280,18008,49292,13,7,17,0,0,0,0,0,0,8,3,16,0,0,3,0,0,0,21,16,35,0,0,0,0,0,0,67,43,104,40,16,51,249,53,301,352,103,458,698,191,890,1068,310,1378,15,8,21,228,46,270,72,23,90,316,73,380,633,1076,1703,3764,3696,7459,364,232,597,37427,23391,60812
511,19,9,30,2248,432,2686,17,4,22,0,0,0,95,83,173,20481,16905,37381,2508,1777,4278,613,34,646,213,44,256,330,221,552,1726,461,2194,1584,1652,3235,29843,21623,51460,8,3,10,0,0,0,0,0,0,9,5,14,0,0,4,0,0,0,22,11,31,0,0,0,0,0,0,96,25,123,32,12,48,117,27,146,244,66,317,508,233,742,776,312,1088,5,4,13,84,16,101,47,14,59,139,29,171,1333,1849,3185,4127,3899,8028,282,196,478,36498,27906,64403
597,0,0,0,190,15,207,4,3,7,0,0,0,5,0,5,81,8,91,27,0,27,13,0,13,0,0,0,0,0,0,767,78,850,287,36,324,1390,143,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,8,6,11,38,4,39,46,8,50,0,0,0,5,0,10,0,0,0,8,0,11,17,4,23,31,34,64,23,0,24,1517,186,1697
