SA4_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
501,71596,76829,148427,31591,16718,48311,9170,22415,31581,3121,2910,6032,2021,1852,3876,45905,43894,89800,21206,28585,49792,4.4,4.2,4.3,64.1,57.1,60.5,61.3,54.7,57.9,1510,1750,3258,787,2005,2789,6259,10848,17104,5040,7770,12812,21214,12314,33526,1171,1966,3138,1046,1889,2938,23435,16168,39610,70308,73822,144134,12747,13946,26693,47240,48793,96031,31213,34700,65910
502,38908,44587,83493,14434,8202,22630,4496,10941,15431,1669,1416,3087,1670,1499,3169,22267,22055,44321,14728,20314,35037,7.5,6.8,7.2,57.2,49.5,53.1,52.9,46.1,49.3,705,739,1443,333,898,1239,2537,4702,7237,2889,4562,7450,11787,6941,18727,617,1017,1629,567,1163,1731,12970,9117,22084,38442,42786,81229,6975,8015,14990,24643,26842,51489,18311,21458,39770
503,76014,79371,155384,35999,23153,59153,12756,22183,34937,2046,2658,4703,2395,2182,4581,53193,50180,103372,17714,24903,42618,4.5,4.4,4.4,70,63.2,66.5,66.8,60.5,63.6,11221,10007,21230,2344,4027,6365,23146,25302,48449,6141,7680,13820,7479,4168,11645,526,734,1260,647,1343,1996,8653,6241,14895,67538,69946,137487,16411,17452,33865,39055,41129,80185,41276,42887,84160
504,105750,111088,216841,51501,31130,82636,14685,30770,45458,3700,4009,7714,3927,3660,7588,73819,69576,143397,27430,37024,64455,5.3,5.3,5.3,69.8,62.6,66.1,66.1,59.3,62.6,4107,4925,9035,1599,3150,4746,13484,18928,32410,9197,11800,20995,26361,14799,41154,1547,2129,3675,1407,2695,4101,29319,19614,48929,108389,112301,220685,16252,17364,33615,71763,74053,145821,44961,48376,93338
505,215718,235862,451582,107225,63506,170732,32284,70323,102599,7184,8429,15611,8006,7365,15367,154695,149618,304317,53242,77949,131198,5.2,4.9,5.1,71.7,63.4,67.4,68,60.3,64,11631,11567,23194,3933,7866,11793,34868,47414,82284,20746,26875,47617,51027,27086,78111,2585,3987,6574,2940,5788,8728,56550,36863,93417,226032,240029,466067,34207,37118,71324,149984,158585,308568,94963,103856,198822
506,204194,212503,416693,97894,56337,154233,30569,57511,88080,6760,7198,13959,8112,7610,15727,143344,128657,272002,51102,74118,125227,5.7,5.9,5.8,70.2,60.5,65.3,66.2,57,61.5,12981,12947,25931,3197,5929,9131,32464,41691,74162,18229,21921,40152,44053,24819,68864,2841,3822,6661,2537,4351,6885,49420,32989,82416,206817,212738,419554,34640,35450,70093,132060,135993,268058,94779,98190,192974
507,165539,180570,346110,80543,47023,127570,22343,52018,74357,5863,6309,12169,6506,6016,12522,115256,111367,226621,42773,61635,104404,5.6,5.4,5.5,69.6,61.7,65.5,65.7,58.3,61.9,9193,9326,18513,2947,6069,9016,24695,35022,59716,14418,19244,33661,40490,22813,63307,2391,3469,5857,2308,4111,6420,45188,30387,75579,168932,179937,348864,28282,31473,59758,109378,115741,225120,75645,84395,160041
509,57226,55217,112439,24238,12451,36687,6554,14176,20731,2290,2071,4358,1490,1115,2605,34579,29811,64384,17024,20650,37675,4.3,3.7,4,60.4,54,57.3,57.8,52,54.9,938,1145,2088,496,1272,1773,3832,7041,10872,3377,5385,8764,14323,7214,21537,842,1366,2210,765,1196,1966,15934,9777,25712,52494,51496,103993,8633,8806,17440,36947,35467,72407,21138,21942,43083
510,66273,44303,110573,29544,13792,43334,3867,6474,10339,4015,3128,7142,1129,912,2037,38552,24305,62856,10697,12376,23075,2.9,3.7,3.2,58.2,54.9,56.8,56.5,52.8,55,1512,1505,3015,612,1206,1817,4888,6574,11464,4117,3881,7998,18077,5168,23250,779,1021,1798,672,795,1467,19531,6985,26517,46213,35018,81234,11961,10496,22459,27276,19688,46969,27617,22924,50540
511,64811,53030,117842,27807,13983,41800,5240,11237,16479,3446,2684,6132,1486,1074,2561,37982,28988,66966,14519,17424,31940,3.9,3.7,3.8,58.6,54.7,56.8,56.3,52.6,54.7,1272,1208,2487,511,1189,1696,4347,6435,10779,3500,4571,8070,17099,6832,23925,865,1306,2173,696,1033,1733,18662,9172,27829,51699,46285,97989,10529,9628,20160,34738,30410,65144,24262,22467,46733
