SA4_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
501,565,960,1526,10378,13209,23588,0,0,0,1396,1506,2901,4,7,11,13759,15958,29727,257,335,594,248,264,515,501,712,1211,240,290,533,189,237,427,17,17,30,334,396,728,459,546,999,968,1100,2072,94,152,242,288,346,633,1556,2176,3736,2503,2894,5402,95,115,211,33294,40262,73558,360,326,689,572,505,1084,46,46,94,4,18,22,143,118,259,229,393,621,381,525,910,46554,44208,90767,276,193,469,132,219,350,46959,44624,91585,7853,6850,14701,233,169,401,90270,94268,184540
502,299,644,940,7004,9123,16127,0,0,0,913,1111,2030,7,7,19,7170,8713,15884,83,104,193,122,170,294,373,498,869,157,178,335,122,178,300,6,6,20,224,295,519,467,608,1068,719,806,1528,71,104,181,58,90,147,790,1217,2008,1418,1685,3104,38,57,100,19762,24961,44724,248,274,515,178,212,390,31,22,56,0,3,0,89,73,168,142,286,431,242,359,595,24198,23754,47943,130,108,243,80,182,268,24411,24049,48452,3191,3468,6662,51,59,116,48406,54038,102451
503,2407,3199,5605,9002,10820,19826,0,5,6,650,745,1402,0,0,0,16074,18742,34823,216,258,472,1465,1759,3217,134,153,291,40,25,71,201,241,444,71,59,130,345,446,787,376,491,868,858,1032,1890,46,62,106,71,71,142,1408,1955,3361,1765,2268,4030,51,66,113,32778,39195,71970,1943,1905,3847,1375,1286,2665,461,457,918,5,4,8,157,155,317,406,449,857,573,607,1180,42728,39491,82223,515,366,878,136,215,350,43377,40073,83448,7382,6134,13519,817,551,1368,91116,93409,184521
504,2905,4075,6985,10932,13555,24491,0,0,0,1928,2159,4093,99,89,191,26125,29186,55310,358,456,820,1625,1648,3275,488,613,1096,267,358,617,234,305,537,189,184,374,789,938,1725,1359,1657,3021,1215,1372,2590,160,238,403,280,352,633,1286,1825,3106,4449,5187,9641,185,202,392,51987,60332,112314,3427,3215,6640,4369,4134,8506,347,381,734,8,9,23,1666,1552,3219,480,680,1164,2162,2242,4404,57884,54138,112017,452,342,798,190,318,514,58525,54797,113322,9796,7616,17414,229,280,505,133745,137075,270821
505,5841,8021,13863,25415,32630,58040,13,13,22,4538,5119,9655,18,15,33,54915,63793,118711,662,878,1541,5335,5707,11045,951,1296,2244,774,914,1682,477,588,1064,683,690,1373,1638,2012,3654,3166,3824,6992,3040,3570,6610,207,293,500,363,474,834,3276,4721,7995,8968,10753,19719,250,271,520,114685,137548,252231,6083,5653,11733,7960,7724,15682,1430,1584,3019,11,12,20,1566,1444,3008,1009,1346,2356,2584,2804,5389,118847,111673,230524,847,612,1462,355,577,933,120050,112868,232916,14290,13789,28074,468,560,1028,273388,290554,563939
506,7968,10080,18052,19033,23816,42850,0,3,4,4535,5156,9690,402,372,771,42994,48040,91041,571,721,1294,1189,1268,2457,774,1014,1789,490,548,1037,443,589,1038,520,506,1023,1618,1827,3444,3276,3840,7116,4169,4656,8827,208,315,519,998,1250,2250,3118,4270,7389,9785,11365,21144,389,476,865,94510,110044,204559,10650,9988,20640,15818,14598,30417,149,143,292,28,18,40,4858,4297,9156,880,1290,2172,5769,5601,11372,103696,95544,199244,799,595,1395,281,447,729,104779,96587,201372,17589,15602,33191,689,695,1379,257934,263338,521268
507,2764,4415,7181,18941,24011,42952,0,0,0,2952,3551,6501,120,135,253,41818,48533,90354,392,517,908,1497,1716,3218,799,1040,1836,438,480,922,421,562,988,140,148,289,1163,1322,2485,2116,2458,4573,3035,3379,6413,196,306,505,337,378,715,2676,3855,6528,6572,7893,14463,218,262,475,83836,100537,184373,3005,3012,6012,2447,2485,4932,170,193,367,17,15,36,1109,981,2088,785,1089,1873,1913,2089,3993,100569,96473,197048,703,554,1259,347,613,964,101627,97644,199270,14159,12362,26518,527,471,998,210442,223210,433656
509,339,575,909,8670,9747,18418,0,0,0,1598,1677,3278,270,264,531,8366,9067,17431,298,307,609,141,140,276,338,459,796,91,103,196,199,277,481,17,16,34,271,305,580,291,330,618,1034,1120,2153,109,165,276,312,325,636,1778,2143,3920,2101,2432,4534,69,68,142,25958,28949,54904,172,154,334,419,357,775,28,30,55,15,12,19,51,35,89,192,331,530,264,377,637,33099,29174,62271,187,116,304,108,190,298,33390,29482,62873,8850,6883,15741,194,106,301,69617,66909,136524
510,576,761,1333,5190,4233,9423,0,0,0,816,707,1519,4,3,11,11598,9801,21405,96,98,190,235,168,406,173,174,350,127,101,226,265,234,505,23,6,29,771,792,1562,573,600,1175,694,481,1177,51,65,118,186,216,405,1079,1121,2204,1777,1668,3442,52,50,96,23717,20510,44229,576,330,909,727,453,1184,44,35,80,360,337,698,71,50,122,162,126,286,596,513,1110,30357,21765,52123,193,101,293,77,86,159,30624,21948,52575,20862,10544,31409,475,335,814,78204,55435,133634
511,516,752,1274,7347,7416,14763,0,0,0,818,833,1648,8,10,18,11730,11699,23436,292,349,637,197,145,338,291,380,673,156,188,350,304,352,655,23,7,25,368,372,738,542,587,1129,833,749,1587,87,116,205,309,352,666,1315,1576,2895,2194,2290,4482,66,72,133,26883,27498,54381,402,304,706,589,490,1080,33,44,71,121,118,234,82,66,146,159,210,374,360,397,755,32617,25942,58563,191,112,305,80,105,186,32886,26163,59049,15404,8949,24352,299,168,469,77371,64765,142138
