SA4_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
501,210,336,664,646,728,510,154,18,0,3257,236,277,581,706,673,548,234,78,15,3343,5822,5846,14655,18392,19511,16026,4905,695,62,85928
502,132,162,376,300,325,267,82,12,4,1659,127,172,343,345,363,281,114,34,7,1789,2919,3581,7214,8166,9151,7817,2040,241,21,41151
503,150,328,643,533,412,359,157,30,3,2617,151,395,990,841,791,500,212,66,12,3957,4534,9507,24777,21241,18915,13783,5059,903,80,98798
504,269,661,1524,1336,1157,839,272,26,3,6096,307,682,1595,1602,1360,968,290,54,9,6864,7387,12137,30758,31153,27438,20782,5525,589,37,135811
505,583,1280,3026,2698,2336,1693,520,73,4,12203,604,1274,2984,3126,2659,1819,541,121,19,13146,16402,26004,61647,66632,61409,43810,11730,1220,83,288942
506,507,1210,2577,2275,1892,1400,475,67,0,10404,587,1382,3447,3161,2453,1669,521,108,26,13359,13373,25570,59753,61084,49342,35826,10182,1072,82,256274
507,497,854,1941,1694,1546,1134,319,38,5,8027,514,946,2267,2385,2072,1419,452,85,20,10167,12800,19658,45224,48931,45144,32783,8627,876,60,214103
509,168,240,431,443,394,406,144,14,0,2242,184,185,371,363,488,510,225,83,21,2436,3326,4071,9974,11461,13459,13467,4967,942,112,61780
510,80,146,474,443,334,214,58,4,0,1752,103,192,548,529,429,313,95,26,0,2232,1940,3816,15170,15105,12722,9528,2331,202,5,60812
511,193,268,525,453,453,350,105,13,0,2356,161,224,491,444,502,425,175,43,8,2478,3312,5021,13230,13113,13765,12050,3392,478,36,64403
597,0,0,5,0,5,0,0,0,0,11,0,9,44,78,68,33,0,0,0,242,10,71,297,516,486,267,40,8,0,1697
