SA4_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
501,10481,13524,15121,9998,8870,7205,7661,11644,1426,85928
502,4033,5788,7628,5832,4303,3978,4384,4492,724,41151
503,16258,39911,7126,10152,10222,6291,2381,5097,1375,98798
504,15025,26443,21392,17272,18288,11376,10966,12635,2410,135811
505,35440,67174,42588,35533,38332,24530,15950,24721,4682,288942
506,26900,56139,38384,31178,32846,20140,21588,24494,4607,256274
507,25445,50203,32571,26315,26665,17269,13972,18182,3491,214103
509,12421,8259,9039,6422,6120,4229,5670,8530,1079,61780
510,6609,10233,13932,5298,5575,2449,9298,6170,1262,60812
511,8330,9708,12004,6299,6526,4191,9190,6993,1159,64403
597,96,324,627,58,45,6,172,344,23,1697
