SA4_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
501,66102,164275,5211,8233,869,1626,6076,9865,759,1158,123,194,42,67,38,62,53,112,1017,1593,671,1114,572,935,277,352,82,165,1596,2556,290,504,75085,178790,14706,..,89787,178790
502,36786,90419,3937,6026,1163,1955,5097,7979,474,686,203,378,212,385,170,321,45,79,1105,1846,291,423,169,244,68,102,20,21,548,785,59,101,43597,101142,8308,..,51906,101142
503,35752,98783,4654,9139,7048,14433,11707,23575,4880,8077,7598,12145,9402,15296,6692,11528,38,81,28606,47130,6,8,0,0,429,428,82,158,514,594,133,210,76713,170289,10455,..,87160,170289
504,87087,235308,8949,16487,3269,6151,12221,22637,2035,3173,1012,1554,596,886,348,551,115,211,4099,6374,120,199,178,248,440,470,42,86,786,1000,175,350,104364,265664,8344,..,112711,265664
505,170161,468196,30893,58287,8128,16992,39021,75280,5067,7821,1523,2390,1388,2278,176,319,209,424,8363,13236,306,454,68,109,230,272,46,111,644,946,184,321,218372,557975,15129,..,233499,557975
506,156692,433266,20019,39349,8008,16189,28025,55541,4284,7745,2618,4202,2536,4106,2136,3654,228,501,11811,20211,355,517,355,507,184,218,174,404,1072,1648,313,568,197902,511225,16229,..,214135,511225
507,136965,369681,14982,26801,4992,9925,19970,36724,3563,5182,2557,3896,3444,5578,623,986,228,482,10410,16127,202,308,555,835,261,275,101,177,1122,1605,252,446,168725,424581,14233,..,182961,424581
509,52037,121931,2433,3857,185,288,2617,4154,195,286,5,12,0,0,3,5,32,64,234,363,648,1062,338,511,269,352,82,152,1342,2079,353,626,56577,129152,14084,..,70664,129152
510,22525,66735,3098,6406,867,1743,3965,8147,1025,1733,224,333,204,332,192,280,7,18,1653,2687,6217,12545,390,664,499,907,163,435,7274,14546,1383,2414,36799,94540,7194,..,43990,94540
511,38856,97570,4249,7277,854,1680,5102,8958,829,1238,25,29,4,7,0,0,25,48,875,1315,4448,8891,834,1379,435,678,122,260,5833,11209,943,1718,51619,120778,9425,..,61042,120778
597,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,5,12,8,23,13,37,0,..,13,37
