SA4_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
501,22712,44441,347,1877,2070,9137,763,3324,11424,44079,14599,58425,813,3194,1314,4030,3308,10028,5433,17248,20035,75676,104,449,602,1972,345,1191,3296,8760,4352,12374,235,703,592,1232,2419,5033,3245,6964,7592,19337,519,1083,50858,140538
502,13868,27050,188,1011,1028,4628,417,1825,5617,21382,7248,28844,481,1918,847,2717,2077,6246,3405,10880,10656,39722,83,366,346,1244,238,874,2185,5985,2852,8467,165,499,387,861,1660,3495,2207,4854,5062,13325,349,724,29933,80820
503,20459,40178,145,757,2152,9609,141,586,11088,42018,13520,52963,954,3928,2590,9054,2230,6937,5770,19921,19293,72885,30,116,394,1218,64,201,1763,4140,2249,5683,201,625,893,2017,1567,3258,2662,5891,4905,11574,793,1647,45456,126283
504,27357,54006,649,3729,3096,14209,900,4118,19289,73245,23934,95299,1728,7270,2580,8711,5995,18970,10306,34954,34242,130249,193,906,814,2810,466,1714,4653,12285,6128,17720,521,1685,1078,2441,4410,9571,6011,13690,12137,31414,1247,2618,74985,218295
505,57730,113886,1243,6999,7140,32480,1763,7841,41291,157191,51434,204506,4163,17306,6673,23158,13033,41208,23872,81674,75306,286178,381,1785,1723,5807,745,2592,9093,23366,11938,33551,1158,3639,2553,5771,8466,18356,12181,27771,24122,61318,2259,4771,159412,466155
506,50463,99991,1164,6899,6495,30081,1672,7708,37518,144009,46854,188692,3213,13601,5212,17891,10398,33009,18822,64506,65678,253194,293,1403,1432,5008,746,2746,7884,21123,10359,30280,941,3033,1944,4429,7538,16410,10424,23870,20778,54150,2856,6026,139783,413360
507,44251,86993,874,4809,5366,24189,1518,6755,30949,117511,38708,153259,2847,11754,4670,15880,9321,29348,16834,56980,55548,210240,239,1090,1410,4774,720,2544,7626,19917,9995,28324,852,2653,1792,4016,6444,13873,9092,20541,19086,48869,1671,3496,120558,349598
509,17399,34116,282,1512,1285,5487,450,1991,7174,28285,9190,37271,467,1766,828,2374,2387,7264,3683,11398,12872,48671,73,329,355,1232,218,776,1905,5300,2546,7644,126,404,341,711,1694,3593,2159,4714,4707,12353,400,827,35380,95969
510,6087,11887,147,828,712,3264,385,1923,6200,24448,7448,30470,152,606,330,945,848,2732,1335,4281,8781,34748,56,291,203,726,257,1105,1593,4590,2103,6711,52,158,167,348,802,1927,1017,2428,3120,9144,384,913,18373,56691
511,12164,23779,196,1047,1028,4556,434,2019,6793,26419,8461,34047,360,1430,616,1804,1833,5599,2807,8836,11267,42880,58,302,312,1091,261,1002,2004,5631,2642,8031,127,383,293,606,1462,3108,1882,4101,4518,12135,452,952,28400,79732
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
