POW_SA3_CODE_2021,F_M2_TrnFer_15_24,F_M2_TrnFer_25_34,F_M2_TrnFer_35_44,F_M2_TrnFer_45_54,F_M2_TrnFer_55_64,F_M2_TrnFer_65_74,F_M2_TrnFer_75ov,F_M2_TrnFer_Tot,F_M2_TrnTrm_or_LR_15_24,F_M2_TrnTrm_or_LR_25_34,F_M2_TrnTrm_or_LR_35_44,F_M2_TrnTrm_or_LR_45_54,F_M2_TrnTrm_or_LR_55_64,F_M2_TrnTrm_or_LR_65_74,F_M2_TrnTrm_or_LR_75ov,F_M2_TrnTrm_or_LR_Tot,F_M2_TrnCarAsDriv_15_24,F_M2_TrnCarAsDriv_25_34,F_M2_TrnCarAsDriv_35_44,F_M2_TrnCarAsDriv_45_54,F_M2_TrnCarAsDriv_55_64,F_M2_TrnCarAsDriv_65_74,F_M2_TrnCarAsDriv_75ov,F_M2_TrnCarAsDriv_Tot,F_M2_TrnCarAsPas_15_24,F_M2_TrnCarAsPas_25_34,F_M2_TrnCarAsPas_35_44,F_M2_TrnCarAsPas_45_54,F_M2_TrnCarAsPas_55_64,F_M2_TrnCarAsPas_65_74,F_M2_TrnCarAsPas_75ov,F_M2_TrnCarAsPas_Tot,F_M2_TrnOth_15_24,F_M2_TrnOth_25_34,F_M2_TrnOth_35_44,F_M2_TrnOth_45_54,F_M2_TrnOth_55_64,F_M2_TrnOth_65_74,F_M2_TrnOth_75ov,F_M2_TrnOth_Tot,F_M2_Train_and_Tot_15_24,F_M2_Train_and_Tot_25_34,F_M2_Train_and_Tot_35_44,F_M2_Train_and_Tot_45_54,F_M2_Train_and_Tot_55_64,F_M2_Train_and_Tot_65_74,F_M2_Train_and_Tot_75ov,F_M2_Train_and_Tot_Tot,F_M2_BusFer_15_24,F_M2_BusFer_25_34,F_M2_BusFer_35_44,F_M2_BusFer_45_54,F_M2_BusFer_55_64,F_M2_BusFer_65_74,F_M2_BusFer_75ov,F_M2_BusFer_Tot,F_M2_BusTrm_or_LR_15_24,F_M2_BusTrm_or_LR_25_34,F_M2_BusTrm_or_LR_35_44,F_M2_BusTrm_or_LR_45_54,F_M2_BusTrm_or_LR_55_64,F_M2_BusTrm_or_LR_65_74,F_M2_BusTrm_or_LR_75ov,F_M2_BusTrm_or_LR_Tot,F_M2_BusCarAsDriv_15_24,F_M2_BusCarAsDriv_25_34,F_M2_BusCarAsDriv_35_44,F_M2_BusCarAsDriv_45_54,F_M2_BusCarAsDriv_55_64,F_M2_BusCarAsDriv_65_74,F_M2_BusCarAsDriv_75ov,F_M2_BusCarAsDriv_Tot,F_M2_BusCarAsPas_15_24,F_M2_BusCarAsPas_25_34,F_M2_BusCarAsPas_35_44,F_M2_BusCarAsPas_45_54,F_M2_BusCarAsPas_55_64,F_M2_BusCarAsPas_65_74,F_M2_BusCarAsPas_75ov,F_M2_BusCarAsPas_Tot,F_M2_BusOth_15_24,F_M2_BusOth_25_34,F_M2_BusOth_35_44,F_M2_BusOth_45_54,F_M2_BusOth_55_64,F_M2_BusOth_65_74,F_M2_BusOth_75ov,F_M2_BusOth_Tot,F_M2_BusTot_15_24,F_M2_BusTot_25_34,F_M2_BusTot_35_44,F_M2_BusTot_45_54,F_M2_BusTot_55_64,F_M2_BusTot_65_74,F_M2_BusTot_75ov,F_M2_BusTot_Tot,F_M2_Other_M2_15_24,F_M2_Other_M2_25_34,F_M2_Other_M2_35_44,F_M2_Other_M2_45_54,F_M2_Other_M2_55_64,F_M2_Other_M2_65_74,F_M2_Other_M2_75ov,F_M2_Other_M2_Tot,F_M2_Tot_M2_15_24,F_M2_Tot_M2_25_34,F_M2_Tot_M2_35_44,F_M2_Tot_M2_45_54,F_M2_Tot_M2_55_64,F_M2_Tot_M2_65_74,F_M2_Tot_M2_75ov,F_M2_Tot_M2_Tot,F_M3_Trn_and_2_oth_Ms_15_24,F_M3_Trn_and_2_oth_Ms_25_34,F_M3_Trn_and_2_oth_Ms_35_44,F_M3_Trn_and_2_oth_Ms_45_54,F_M3_Trn_and_2_oth_Ms_55_64,F_M3_Trn_and_2_oth_Ms_65_74,F_M3_Trn_and_2_oth_Ms_75ov,F_M3_Trn_and_2_oth_Ms_Tot,F_M3_Bus2othMs_ex_tn_15_24,F_M3_Bus2othMs_ex_tn_25_34,F_M3_Bus2othMs_ex_tn_35_44,F_M3_Bus2othMs_ex_tn_45_54,F_M3_Bus2othMs_ex_tn_55_64,F_M3_Bus2othMs_ex_tn_65_74,F_M3_Bus2othMs_ex_tn_75ov,F_M3_Bus2othMs_ex_tn_Tot,F_M3_Other_M3_15_24,F_M3_Other_M3_25_34,F_M3_Other_M3_35_44,F_M3_Other_M3_45_54,F_M3_Other_M3_55_64,F_M3_Other_M3_65_74,F_M3_Other_M3_75ov,F_M3_Other_M3_Tot,F_M3_Tot_M3_15_24,F_M3_Tot_M3_25_34,F_M3_Tot_M3_35_44,F_M3_Tot_M3_45_54,F_M3_Tot_M3_55_64,F_M3_Tot_M3_65_74,F_M3_Tot_M3_75ov,F_M3_Tot_M3_Tot,F_Wkd_at_home_15_24,F_Wkd_at_home_25_34,F_Wkd_at_home_35_44,F_Wkd_at_home_45_54,F_Wkd_at_home_55_64,F_Wkd_at_home_65_74,F_Wkd_at_home_75ov,F_Wkd_at_home_Tot,F_Did_not_go_to_work_15_24,F_Did_not_go_to_work_25_34,F_Did_not_go_to_work_35_44,F_Did_not_go_to_work_45_54,F_Did_not_go_to_work_55_64,F_Did_not_go_to_work_65_74,F_Did_not_go_to_work_75ov,F_Did_not_go_to_work_Tot,F_MT_NS_15_24,F_MT_NS_25_34,F_MT_NS_35_44,F_MT_NS_45_54,F_MT_NS_55_64,F_MT_NS_65_74,F_MT_NS_75ov,F_MT_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75ov,F_Tot_Tot,P_M1_Train_15_24,P_M1_Train_25_34,P_M1_Train_35_44,P_M1_Train_45_54,P_M1_Train_55_64,P_M1_Train_65_74,P_M1_Train_75ov,P_M1_Train_Tot,P_M1_Bus_15_24,P_M1_Bus_25_34,P_M1_Bus_35_44,P_M1_Bus_45_54,P_M1_Bus_55_64,P_M1_Bus_65_74,P_M1_Bus_75ov,P_M1_Bus_Tot,P_M1_Ferry_15_24,P_M1_Ferry_25_34,P_M1_Ferry_35_44,P_M1_Ferry_45_54,P_M1_Ferry_55_64,P_M1_Ferry_65_74,P_M1_Ferry_75ov,P_M1_Ferry_Tot
50101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,12,7,6,12,11,0,0,52,18,11,9,18,10,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,6,0,0,0,11,4,5,5,6,0,0,0,11,12,161,384,348,293,159,26,1393,356,303,387,283,370,127,3,1830,14,6,19,12,10,3,4,72,1574,1902,2946,2947,2285,615,74,12347,0,0,0,0,0,0,0,0,20,3,4,6,8,0,0,34,4,0,0,0,0,0,0,4
50102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,13,22,0,0,52,9,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,15,11,13,16,18,0,0,69,22,30,15,18,17,3,0,110,36,49,28,38,37,6,0,187,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,7,15,19,10,3,0,0,52,11,17,19,10,10,0,0,58,26,181,311,320,298,143,31,1303,683,640,643,583,591,143,16,3293,9,16,20,28,13,7,9,95,3454,4168,5099,5502,4013,910,97,23242,0,0,0,6,0,0,0,12,76,87,101,104,99,18,0,491,0,3,0,0,0,0,0,9
50103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,5,0,0,13,7,0,0,0,6,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,4,0,0,0,0,0,0,7,5,55,114,146,166,119,36,629,102,88,82,106,137,58,8,580,10,4,4,8,12,3,5,42,526,606,828,1071,1102,368,72,4568,0,0,0,0,0,0,0,0,11,23,20,23,13,3,0,98,0,0,0,0,0,0,0,0
50201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,14,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,32,14,4,12,9,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,27,3,0,0,3,0,0,32,4,0,0,0,0,0,0,10,28,4,0,3,3,0,0,44,16,16,16,9,10,0,0,63,72,38,26,23,15,0,0,182,9,13,4,4,0,0,0,23,3,0,0,0,0,0,0,10,17,7,12,4,5,0,0,38,29,15,15,3,5,0,0,72,34,200,294,330,283,117,29,1280,719,508,468,466,403,114,3,2682,14,8,15,6,12,5,6,65,3198,3140,3715,4111,3147,665,63,18036,13,20,8,8,11,0,0,66,133,33,42,22,22,9,0,263,0,0,0,0,0,0,0,4
50301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,8,9,9,3,0,53,5,8,3,0,4,0,0,27,0,0,3,3,0,0,0,11,106,149,98,117,86,31,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,16,12,27,5,0,107,19,20,4,8,6,0,0,54,4,10,6,6,3,0,0,27,41,58,29,22,36,6,0,189,20,41,18,26,21,5,0,129,161,249,151,161,142,46,0,905,41,66,51,62,52,14,0,289,3,3,6,0,3,0,0,14,13,29,21,14,4,0,0,86,64,101,74,75,62,13,0,387,61,246,501,633,439,195,67,2151,793,1160,987,643,635,204,34,4449,14,19,13,10,10,5,11,75,4261,6730,6204,5899,4648,1381,182,29304,125,130,95,65,54,15,0,479,261,425,255,179,202,63,10,1392,0,4,0,0,0,0,0,4
50302,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,449,935,1071,787,491,80,0,3820,120,208,158,128,89,13,0,707,15,30,36,10,15,0,0,112,1171,2125,2076,1540,1040,194,7,8153,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,47,109,85,75,59,3,0,389,52,99,53,37,23,11,0,270,27,50,28,18,10,0,0,140,125,268,164,133,94,19,0,803,56,119,93,86,52,12,0,427,1355,2515,2336,1762,1185,220,6,9379,244,353,307,216,129,22,4,1272,15,19,12,0,0,4,0,49,98,221,135,77,38,14,0,585,354,585,456,294,169,32,0,1902,377,2554,3933,2916,1405,394,53,11629,2034,3953,3712,1894,1713,588,48,13944,48,73,56,53,37,26,23,310,12259,29093,28216,21727,14048,3344,276,108960,2032,4853,5146,3839,2246,417,22,18554,2082,5508,4162,2668,1658,378,27,16479,3,24,13,10,6,0,0,62
50401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,13,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,35,26,20,11,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,3,0,0,12,16,7,0,3,3,0,0,31,5,0,0,0,0,0,0,9,23,14,4,4,9,0,0,52,20,10,14,3,7,0,0,54,76,54,41,21,18,0,0,200,11,12,6,3,0,0,0,39,9,0,0,0,0,0,0,14,17,26,16,5,3,0,0,68,39,40,20,10,8,3,0,120,26,187,277,282,175,94,13,1060,478,316,267,223,230,84,6,1617,8,13,9,7,4,4,0,49,2272,2516,2652,2565,1956,579,54,12594,37,49,28,15,10,0,0,140,165,83,62,48,34,14,0,399,0,3,0,0,0,0,0,3
50402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,4,3,5,4,0,0,0,22,6,4,11,8,5,0,0,38,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,6,3,0,5,0,0,0,15,6,3,3,3,0,0,0,17,12,84,154,186,176,65,17,692,174,110,100,102,112,45,9,647,0,0,4,0,10,3,0,18,792,774,964,1156,1005,281,43,5009,0,0,0,0,0,0,0,3,22,4,3,8,0,0,0,44,0,0,0,0,0,0,0,0
50403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,4,0,0,18,5,0,0,3,0,0,0,12,5,3,0,6,0,0,0,5,54,32,23,20,9,4,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,6,33,7,4,7,3,0,0,51,5,3,0,0,0,0,0,11,36,10,8,4,6,0,0,65,34,33,23,14,18,0,0,128,121,78,57,43,32,3,0,339,16,17,3,0,0,0,0,43,6,0,0,0,0,0,0,3,41,41,25,13,6,0,0,126,58,61,30,16,8,0,0,172,52,414,594,492,385,138,26,2092,947,901,706,557,498,141,19,3755,19,25,24,15,12,6,0,103,4967,6223,6161,5998,4327,949,99,28716,39,62,42,25,20,5,0,201,191,98,73,52,26,13,0,453,0,3,0,0,0,0,0,6
50501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,7,3,0,0,35,17,10,0,4,5,0,0,30,0,0,5,0,0,0,0,13,136,90,57,37,26,3,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,0,0,12,19,3,4,0,0,0,0,30,3,0,0,0,0,0,0,4,28,11,11,3,0,0,0,53,31,24,15,26,14,3,0,116,194,121,84,68,38,12,0,515,38,13,11,7,12,0,0,84,4,0,5,0,0,0,0,8,34,32,13,11,9,0,0,89,70,44,24,13,20,4,0,180,68,353,780,840,682,241,32,2992,1305,879,889,700,697,199,16,4685,17,15,8,15,8,6,4,61,5913,5568,6280,7036,5321,1186,82,31377,130,111,89,77,50,3,0,465,165,81,40,34,25,6,0,352,0,0,6,0,0,0,0,5
