POW_SA3_CODE_2021,CIII_IV_1250_1499_Mng,CIII_IV_1250_1499_Pro,CIII_IV_1250_1499_TecTW,CIII_IV_1250_1499_CoPSW,CIII_IV_1250_1499_ClAW,CIII_IV_1250_1499_SWks,CIII_IV_1250_1499_MaOpDv,CIII_IV_1250_1499_Lab,CIII_IV_1250_1499_IDNS,CIII_IV_1250_1499_Tot,CIII_IV_1500_1749_Mng,CIII_IV_1500_1749_Pro,CIII_IV_1500_1749_TecTW,CIII_IV_1500_1749_CoPSW,CIII_IV_1500_1749_ClAW,CIII_IV_1500_1749_SWks,CIII_IV_1500_1749_MaOpDv,CIII_IV_1500_1749_Lab,CIII_IV_1500_1749_IDNS,CIII_IV_1500_1749_Tot,CIII_IV_1750_1999_Mng,CIII_IV_1750_1999_Pro,CIII_IV_1750_1999_TecTW,CIII_IV_1750_1999_CoPSW,CIII_IV_1750_1999_ClAW,CIII_IV_1750_1999_SWks,CIII_IV_1750_1999_MaOpDv,CIII_IV_1750_1999_Lab,CIII_IV_1750_1999_IDNS,CIII_IV_1750_1999_Tot,CIII_IV_2000_2999_Mng,CIII_IV_2000_2999_Pro,CIII_IV_2000_2999_TecTW,CIII_IV_2000_2999_CoPSW,CIII_IV_2000_2999_ClAW,CIII_IV_2000_2999_SWks,CIII_IV_2000_2999_MaOpDv,CIII_IV_2000_2999_Lab,CIII_IV_2000_2999_IDNS,CIII_IV_2000_2999_Tot,CIII_IV_3000_3499_Mng,CIII_IV_3000_3499_Pro,CIII_IV_3000_3499_TecTW,CIII_IV_3000_3499_CoPSW,CIII_IV_3000_3499_ClAW,CIII_IV_3000_3499_SWks,CIII_IV_3000_3499_MaOpDv,CIII_IV_3000_3499_Lab,CIII_IV_3000_3499_IDNS,CIII_IV_3000_3499_Tot,CIII_IV_3500mo_Mng,CIII_IV_3500mo_Pro,CIII_IV_3500mo_TecTW,CIII_IV_3500mo_CoPSW,CIII_IV_3500mo_ClAW,CIII_IV_3500mo_SWks,CIII_IV_3500mo_MaOpDv,CIII_IV_3500mo_Lab,CIII_IV_3500mo_IDNS,CIII_IV_3500mo_Tot,CIII_IV_PINS_Mng,CIII_IV_PINS_Pro,CIII_IV_PINS_TecTW,CIII_IV_PINS_CoPSW,CIII_IV_PINS_ClAW,CIII_IV_PINS_SWks,CIII_IV_PINS_MaOpDv,CIII_IV_PINS_Lab,CIII_IV_PINS_IDNS,CIII_IV_PINS_Tot,CIII_IV_Tot_Mng,CIII_IV_Tot_Pro,CIII_IV_Tot_TecTW,CIII_IV_Tot_CoPSW,CIII_IV_Tot_ClAW,CIII_IV_Tot_SWks,CIII_IV_Tot_MaOpDv,CIII_IV_Tot_Lab,CIII_IV_Tot_IDNS,CIII_IV_Tot_Tot,CI_II_NNI_Mng,CI_II_NNI_Pro,CI_II_NNI_TecTW,CI_II_NNI_CoPSW,CI_II_NNI_ClAW,CI_II_NNI_SWks,CI_II_NNI_MaOpDv,CI_II_NNI_Lab,CI_II_NNI_IDNS,CI_II_NNI_Tot,CI_II_1_149_Mng,CI_II_1_149_Pro,CI_II_1_149_TecTW,CI_II_1_149_CoPSW,CI_II_1_149_ClAW,CI_II_1_149_SWks,CI_II_1_149_MaOpDv,CI_II_1_149_Lab,CI_II_1_149_IDNS,CI_II_1_149_Tot,CI_II_150_299_Mng,CI_II_150_299_Pro,CI_II_150_299_TecTW,CI_II_150_299_CoPSW,CI_II_150_299_ClAW,CI_II_150_299_SWks,CI_II_150_299_MaOpDv,CI_II_150_299_Lab,CI_II_150_299_IDNS,CI_II_150_299_Tot,CI_II_300_399_Mng,CI_II_300_399_Pro,CI_II_300_399_TecTW,CI_II_300_399_CoPSW,CI_II_300_399_ClAW,CI_II_300_399_SWks,CI_II_300_399_MaOpDv,CI_II_300_399_Lab,CI_II_300_399_IDNS,CI_II_300_399_Tot,CI_II_400_499_Mng,CI_II_400_499_Pro,CI_II_400_499_TecTW,CI_II_400_499_CoPSW,CI_II_400_499_ClAW,CI_II_400_499_SWks,CI_II_400_499_MaOpDv,CI_II_400_499_Lab,CI_II_400_499_IDNS,CI_II_400_499_Tot,CI_II_500_649_Mng,CI_II_500_649_Pro,CI_II_500_649_TecTW,CI_II_500_649_CoPSW,CI_II_500_649_ClAW,CI_II_500_649_SWks,CI_II_500_649_MaOpDv,CI_II_500_649_Lab,CI_II_500_649_IDNS,CI_II_500_649_Tot,CI_II_650_799_Mng,CI_II_650_799_Pro,CI_II_650_799_TecTW,CI_II_650_799_CoPSW,CI_II_650_799_ClAW,CI_II_650_799_SWks,CI_II_650_799_MaOpDv,CI_II_650_799_Lab,CI_II_650_799_IDNS,CI_II_650_799_Tot,CI_II_800_999_Mng,CI_II_800_999_Pro,CI_II_800_999_TecTW,CI_II_800_999_CoPSW,CI_II_800_999_ClAW,CI_II_800_999_SWks,CI_II_800_999_MaOpDv,CI_II_800_999_Lab,CI_II_800_999_IDNS,CI_II_800_999_Tot,CI_II_1000_1249_Mng,CI_II_1000_1249_Pro,CI_II_1000_1249_TecTW,CI_II_1000_1249_CoPSW,CI_II_1000_1249_ClAW,CI_II_1000_1249_SWks,CI_II_1000_1249_MaOpDv,CI_II_1000_1249_Lab,CI_II_1000_1249_IDNS,CI_II_1000_1249_Tot,CI_II_1250_1499_Mng,CI_II_1250_1499_Pro,CI_II_1250_1499_TecTW,CI_II_1250_1499_CoPSW,CI_II_1250_1499_ClAW,CI_II_1250_1499_SWks,CI_II_1250_1499_MaOpDv,CI_II_1250_1499_Lab,CI_II_1250_1499_IDNS,CI_II_1250_1499_Tot,CI_II_1500_1749_Mng,CI_II_1500_1749_Pro,CI_II_1500_1749_TecTW,CI_II_1500_1749_CoPSW,CI_II_1500_1749_ClAW,CI_II_1500_1749_SWks,CI_II_1500_1749_MaOpDv,CI_II_1500_1749_Lab,CI_II_1500_1749_IDNS,CI_II_1500_1749_Tot,CI_II_1750_1999_Mng,CI_II_1750_1999_Pro,CI_II_1750_1999_TecTW,CI_II_1750_1999_CoPSW,CI_II_1750_1999_ClAW,CI_II_1750_1999_SWks,CI_II_1750_1999_MaOpDv,CI_II_1750_1999_Lab,CI_II_1750_1999_IDNS,CI_II_1750_1999_Tot
50101,95,14,318,55,64,16,41,41,6,657,66,16,203,21,41,16,31,36,7,433,47,9,129,15,18,6,15,15,0,240,60,11,153,12,14,8,15,12,8,304,19,3,23,0,4,4,5,0,0,57,15,4,26,0,0,8,0,0,0,52,3,0,20,8,7,3,0,5,4,46,640,172,1806,855,532,385,271,578,74,5309,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,21,0,0,0,5,4,11,0,8,0,28,3,0,0,8,9,5,4,10,0,34,0,0,3,18,5,6,0,6,0,50,6,0,12,15,4,23,4,22,0,89,0,0,8,10,10,17,8,22,0,80,3,3,8,16,13,15,3,12,0,74,4,6,3,7,12,11,4,15,0,65,3,0,5,4,11,0,0,10,0,32,6,0,6,0,3,0,0,0,0,20,0,0,3,0,0,6,0,0,0,7
50102,116,77,572,148,187,38,168,132,22,1452,126,80,568,117,113,26,194,93,19,1341,99,50,612,60,60,19,244,80,23,1251,186,100,1388,60,92,16,392,104,50,2394,50,22,289,3,17,5,35,14,19,450,68,14,173,5,9,11,15,7,9,317,9,7,43,18,3,5,9,12,19,120,1034,601,5221,2069,1474,752,1409,1261,229,14048,3,0,0,0,0,0,0,5,0,7,0,0,0,13,6,13,0,8,0,41,0,0,4,10,9,21,0,14,0,57,0,5,10,12,8,19,3,14,0,67,9,0,6,17,17,21,0,21,0,86,7,5,26,33,18,29,10,31,0,154,4,0,26,32,30,37,9,34,0,166,11,8,23,30,37,31,11,44,6,195,23,3,22,17,48,13,17,30,0,176,5,0,14,8,30,5,16,22,0,105,13,5,9,7,13,4,15,10,0,73,5,4,3,0,5,6,5,5,0,29
50103,43,7,98,16,24,3,36,22,3,249,33,8,102,4,6,4,35,18,4,227,32,6,52,4,0,4,34,4,0,139,36,14,108,14,3,4,37,12,4,219,10,0,27,0,4,0,3,3,0,48,18,0,16,0,0,4,0,0,0,35,5,0,9,0,0,0,3,0,0,24,407,77,737,301,206,110,225,267,43,2381,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,4,0,13,0,0,0,4,0,0,0,9,0,15,3,0,0,0,0,3,0,0,0,12,0,0,0,8,0,3,0,4,0,17,6,0,6,3,4,5,0,12,0,37,4,0,6,11,6,6,0,13,0,47,3,5,3,4,5,10,0,12,0,37,3,0,0,0,6,5,4,4,0,25,0,0,0,0,5,0,3,0,0,19,7,0,0,0,6,0,0,0,0,12,5,0,0,0,0,0,0,0,0,5
50201,72,38,280,98,80,22,65,43,13,704,73,28,248,56,43,15,69,34,7,577,57,14,186,29,21,15,57,26,0,407,84,37,483,26,32,10,134,34,17,853,28,6,90,0,0,5,12,0,12,161,36,5,47,0,5,17,4,6,4,122,6,0,18,12,5,0,6,0,11,69,632,291,2449,1779,730,649,531,632,115,7819,0,0,0,3,0,0,0,4,0,8,0,0,0,13,0,14,3,13,0,48,3,0,3,7,0,27,6,16,0,77,0,0,10,7,11,12,3,11,0,60,0,4,3,16,12,18,0,22,0,80,4,0,22,27,8,24,5,22,0,116,3,0,8,18,15,17,0,17,0,83,6,0,9,19,15,20,6,18,0,100,7,5,7,18,18,10,3,8,0,77,8,0,4,11,6,4,3,4,0,35,3,0,0,4,0,0,0,0,0,16,3,0,0,0,0,3,0,0,0,11
50301,58,24,254,70,113,18,15,24,10,605,56,30,202,53,69,7,7,11,4,446,58,21,130,43,34,5,8,6,8,303,81,20,124,50,19,7,10,9,6,328,16,7,22,9,3,3,0,0,0,58,17,15,26,3,5,8,0,0,3,72,3,0,16,9,0,0,0,5,11,45,433,200,1431,1059,672,235,100,307,72,4503,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,3,0,4,0,15,0,4,0,6,3,11,0,3,0,36,0,0,4,9,3,4,0,0,0,19,0,0,8,10,0,10,0,4,0,40,0,0,6,12,10,8,0,0,0,48,7,0,7,10,11,4,3,10,0,47,4,0,7,12,18,9,0,9,0,47,4,0,8,8,19,4,4,4,0,60,3,4,0,9,23,6,0,4,0,49,5,3,3,6,3,4,0,0,0,24,5,0,5,0,6,3,0,0,0,14
50302,245,369,682,326,953,103,87,109,45,2911,251,406,662,230,697,82,98,104,43,2569,248,340,552,188,373,51,149,73,46,2006,624,642,1377,210,363,76,416,155,76,3930,198,188,545,12,94,19,108,27,28,1218,448,209,706,9,97,25,84,33,46,1653,15,9,62,20,20,4,8,16,61,208,2520,2779,6533,3415,5144,1084,1173,1286,482,24424,0,0,0,7,0,0,0,4,0,13,0,0,0,20,0,13,0,10,0,48,0,4,3,29,15,21,0,21,3,98,0,9,4,27,7,27,0,13,3,93,0,0,7,25,25,26,0,26,3,116,7,10,22,46,48,27,3,30,3,192,12,18,30,62,71,19,0,17,0,228,8,13,28,50,119,9,6,23,8,269,24,23,21,50,163,17,3,23,3,331,20,28,24,27,122,8,7,9,5,251,31,32,18,12,84,3,3,6,3,195,9,19,10,15,39,9,5,3,0,106
50401,79,31,412,62,87,28,47,60,13,823,67,25,372,48,42,29,47,33,12,681,61,12,279,31,28,7,23,14,3,453,134,32,303,20,27,17,39,20,11,596,43,6,45,0,0,0,6,6,0,113,43,6,23,0,3,0,3,5,4,88,0,5,25,7,0,0,0,3,9,55,615,208,2559,935,521,405,406,463,86,6195,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,10,0,5,0,23,0,0,0,12,5,17,0,7,0,42,0,0,3,9,0,10,0,6,0,34,0,0,4,3,0,9,0,6,0,25,0,4,6,17,0,4,0,16,0,46,4,0,7,9,13,11,4,8,0,52,6,4,15,15,14,6,6,13,0,85,7,0,15,5,13,9,7,12,0,68,5,0,5,3,8,6,3,3,0,29,3,0,0,0,6,0,0,0,0,9,0,0,0,0,5,6,0,0,0,13
50402,33,8,114,41,29,9,27,12,3,288,21,22,102,90,18,8,21,8,4,291,23,18,62,62,12,3,17,4,3,207,47,15,87,31,11,3,24,8,9,230,16,0,17,4,3,6,3,5,0,43,10,4,6,0,0,0,0,0,4,25,0,0,12,0,0,3,4,0,7,23,223,120,795,550,213,137,176,197,44,2449,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,15,0,0,0,3,0,6,0,4,0,13,0,0,0,5,0,0,0,0,0,11,0,0,0,0,5,6,0,9,0,20,0,0,4,5,0,5,0,10,0,25,7,0,4,6,7,3,0,4,0,31,0,0,5,5,3,7,0,5,0,23,3,0,5,0,6,0,5,3,0,30,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0,10
50403,186,76,846,138,250,72,218,142,23,1948,183,97,846,110,145,56,164,83,20,1711,167,77,574,103,71,34,146,44,26,1237,368,128,911,124,67,54,203,46,30,1914,108,28,163,9,21,9,40,3,10,388,133,22,125,4,14,6,20,10,5,346,7,6,53,21,8,7,8,14,30,155,1599,672,5590,2028,1451,948,1467,1191,229,15168,0,0,0,0,0,0,5,6,0,9,0,6,3,10,8,16,3,17,0,60,5,0,3,17,7,31,8,24,0,96,0,0,3,7,11,28,7,16,0,65,0,3,4,19,9,20,0,25,0,90,3,4,17,27,20,29,9,34,0,140,7,3,30,32,21,26,9,35,0,155,14,0,26,21,38,27,30,30,0,184,21,4,26,16,51,16,20,34,0,186,8,6,8,15,26,6,11,5,3,84,6,4,8,9,15,7,6,4,0,55,4,0,4,0,4,5,5,5,0,33
50501,110,47,347,134,128,35,34,53,7,893,79,45,318,73,77,18,31,42,18,697,67,37,156,39,34,4,18,19,5,382,93,37,198,41,37,19,18,20,15,480,26,5,39,10,9,3,0,0,0,88,22,16,36,3,4,5,0,3,7,98,9,0,34,13,0,11,0,3,12,94,719,382,2471,2132,974,831,260,630,125,8524,0,0,0,0,0,0,0,0,0,8,0,3,4,21,4,28,3,21,0,84,0,9,4,29,5,34,3,15,0,93,4,0,5,19,15,25,0,17,0,78,9,0,4,31,10,24,0,15,0,93,3,0,8,25,16,47,0,14,0,112,11,4,5,25,21,33,0,3,0,102,13,3,5,30,24,17,0,11,0,106,12,4,6,22,14,16,5,12,0,92,9,3,3,14,15,3,3,3,0,52,6,5,4,4,7,0,0,0,0,29,0,0,0,4,0,0,0,0,0,10
