POW_SA3_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
50101,263,44,67,87,148,127,81,0,10,832,40,3,6,5,5,13,3,0,7,82,56,15,8,22,32,42,22,0,4,196,80,12,13,15,31,25,21,0,16,217,1750,287,388,540,900,923,684,13,161,5644
50102,551,82,125,224,485,421,251,7,30,2172,27,5,10,8,14,11,12,0,0,92,101,25,16,55,80,52,27,0,10,373,85,4,19,35,90,70,52,8,29,395,3079,401,653,1071,2345,1985,1288,47,224,11089
50103,120,10,5,13,30,34,20,0,4,246,16,0,0,0,5,0,0,0,0,26,24,0,3,3,3,3,5,0,0,44,36,4,0,3,4,8,11,0,10,80,886,85,91,139,244,198,212,15,80,1946
50201,509,111,128,265,626,585,186,4,21,2441,35,3,11,21,29,28,11,0,0,134,92,17,22,42,123,107,48,0,9,452,94,18,19,38,101,81,47,0,21,425,2511,378,521,1040,2516,2151,879,14,146,10153
50301,2164,546,680,1028,1695,1397,827,43,72,8446,58,13,17,48,67,56,34,0,4,305,161,40,57,77,101,136,113,0,12,692,124,34,38,59,106,119,84,5,33,609,4926,1180,1629,2394,3661,3353,2616,78,222,20047
50302,3404,772,1053,1473,2727,2418,1505,61,129,13532,242,46,70,121,140,175,113,0,9,918,510,134,168,241,547,535,352,0,30,2530,607,153,261,465,849,828,763,23,192,4140,21476,5267,7587,11225,19883,17688,13094,315,1015,97556
50401,328,89,105,154,374,298,257,0,10,1620,37,6,6,11,23,26,25,0,0,138,186,35,45,67,154,146,95,0,13,745,153,51,59,73,164,137,117,8,35,794,2864,679,809,1080,2356,2124,1464,19,134,11522
50402,114,19,12,41,90,66,60,0,9,408,15,0,0,4,6,0,0,0,0,26,60,3,8,7,16,21,7,0,0,128,44,11,10,22,38,34,18,5,16,181,1120,172,205,293,586,431,253,12,49,3110
50403,755,189,221,390,895,792,453,12,36,3754,56,3,15,25,39,39,16,0,0,197,287,86,76,104,271,232,136,0,28,1230,363,108,111,150,413,300,193,3,75,1711,6103,1409,1755,2492,5904,4803,2778,62,356,25663
50501,1267,330,460,767,1335,1038,498,15,55,5761,63,20,21,43,83,54,24,0,3,308,243,67,90,136,269,241,126,0,5,1179,154,52,66,92,176,125,86,4,29,775,5282,1264,1739,2907,5227,3840,2114,41,214,22627
