POW_SA3_CODE_2021,ClAW_2000_2999_H_0,ClAW_2000_2999_H_1_19,ClAW_2000_2999_H_20_29,ClAW_2000_2999_H_30_34,ClAW_2000_2999_H_35_39,ClAW_2000_2999_H_40_44,ClAW_2000_2999_H_45_49,ClAW_2000_2999_H_50ov,ClAW_2000_2999_H_NS,ClAW_2000_2999_H_Tot,ClAW_3000_3499_H_0,ClAW_3000_3499_H_1_19,ClAW_3000_3499_H_20_29,ClAW_3000_3499_H_30_34,ClAW_3000_3499_H_35_39,ClAW_3000_3499_H_40_44,ClAW_3000_3499_H_45_49,ClAW_3000_3499_H_50ov,ClAW_3000_3499_H_NS,ClAW_3000_3499_H_Tot,ClAW_3500mo_H_0,ClAW_3500mo_H_1_19,ClAW_3500mo_H_20_29,ClAW_3500mo_H_30_34,ClAW_3500mo_H_35_39,ClAW_3500mo_H_40_44,ClAW_3500mo_H_45_49,ClAW_3500mo_H_50ov,ClAW_3500mo_H_NS,ClAW_3500mo_H_Tot,ClAW_PINS_H_0,ClAW_PINS_H_1_19,ClAW_PINS_H_20_29,ClAW_PINS_H_30_34,ClAW_PINS_H_35_39,ClAW_PINS_H_40_44,ClAW_PINS_H_45_49,ClAW_PINS_H_50ov,ClAW_PINS_H_NS,ClAW_PINS_H_Tot,ClAW_Tot_H_0,ClAW_Tot_H_1_19,ClAW_Tot_H_20_29,ClAW_Tot_H_30_34,ClAW_Tot_H_35_39,ClAW_Tot_H_40_44,ClAW_Tot_H_45_49,ClAW_Tot_H_50ov,ClAW_Tot_H_NS,ClAW_Tot_H_Tot,SWs_NNI_H_0,SWs_NNI_H_1_19,SWs_NNI_H_20_29,SWs_NNI_H_30_34,SWs_NNI_H_35_39,SWs_NNI_H_40_44,SWs_NNI_H_45_49,SWs_NNI_H_50ov,SWs_NNI_H_NS,SWs_NNI_H_Tot,SWs_1_149_H_0,SWs_1_149_H_1_19,SWs_1_149_H_20_29,SWs_1_149_H_30_34,SWs_1_149_H_35_39,SWs_1_149_H_40_44,SWs_1_149_H_45_49,SWs_1_149_H_50ov,SWs_1_149_H_NS,SWs_1_149_H_Tot,SWs_150_299_H_0,SWs_150_299_H_1_19,SWs_150_299_H_20_29,SWs_150_299_H_30_34,SWs_150_299_H_35_39,SWs_150_299_H_40_44,SWs_150_299_H_45_49,SWs_150_299_H_50ov,SWs_150_299_H_NS,SWs_150_299_H_Tot,SWs_300_399_H_0,SWs_300_399_H_1_19,SWs_300_399_H_20_29,SWs_300_399_H_30_34,SWs_300_399_H_35_39,SWs_300_399_H_40_44,SWs_300_399_H_45_49,SWs_300_399_H_50ov,SWs_300_399_H_NS,SWs_300_399_H_Tot,SWs_400_499_H_0,SWs_400_499_H_1_19,SWs_400_499_H_20_29,SWs_400_499_H_30_34,SWs_400_499_H_35_39,SWs_400_499_H_40_44,SWs_400_499_H_45_49,SWs_400_499_H_50ov,SWs_400_499_H_NS,SWs_400_499_H_Tot,SWs_500_649_H_0,SWs_500_649_H_1_19,SWs_500_649_H_20_29,SWs_500_649_H_30_34,SWs_500_649_H_35_39,SWs_500_649_H_40_44,SWs_500_649_H_45_49,SWs_500_649_H_50ov,SWs_500_649_H_NS,SWs_500_649_H_Tot,SWs_650_799_H_0,SWs_650_799_H_1_19,SWs_650_799_H_20_29,SWs_650_799_H_30_34,SWs_650_799_H_35_39,SWs_650_799_H_40_44,SWs_650_799_H_45_49,SWs_650_799_H_50ov,SWs_650_799_H_NS,SWs_650_799_H_Tot,SWs_800_999_H_0,SWs_800_999_H_1_19,SWs_800_999_H_20_29,SWs_800_999_H_30_34,SWs_800_999_H_35_39,SWs_800_999_H_40_44,SWs_800_999_H_45_49,SWs_800_999_H_50ov,SWs_800_999_H_NS,SWs_800_999_H_Tot,SWs_1000_1249_H_0,SWs_1000_1249_H_1_19,SWs_1000_1249_H_20_29,SWs_1000_1249_H_30_34,SWs_1000_1249_H_35_39,SWs_1000_1249_H_40_44,SWs_1000_1249_H_45_49,SWs_1000_1249_H_50ov,SWs_1000_1249_H_NS,SWs_1000_1249_H_Tot,SWs_1250_1499_H_0,SWs_1250_1499_H_1_19,SWs_1250_1499_H_20_29,SWs_1250_1499_H_30_34,SWs_1250_1499_H_35_39,SWs_1250_1499_H_40_44,SWs_1250_1499_H_45_49,SWs_1250_1499_H_50ov,SWs_1250_1499_H_NS,SWs_1250_1499_H_Tot,SWs_1500_1749_H_0,SWs_1500_1749_H_1_19,SWs_1500_1749_H_20_29,SWs_1500_1749_H_30_34,SWs_1500_1749_H_35_39,SWs_1500_1749_H_40_44,SWs_1500_1749_H_45_49,SWs_1500_1749_H_50ov,SWs_1500_1749_H_NS,SWs_1500_1749_H_Tot,SWs_1750_1999_H_0,SWs_1750_1999_H_1_19,SWs_1750_1999_H_20_29,SWs_1750_1999_H_30_34,SWs_1750_1999_H_35_39,SWs_1750_1999_H_40_44,SWs_1750_1999_H_45_49,SWs_1750_1999_H_50ov,SWs_1750_1999_H_NS,SWs_1750_1999_H_Tot,SWs_2000_2999_H_0,SWs_2000_2999_H_1_19,SWs_2000_2999_H_20_29,SWs_2000_2999_H_30_34,SWs_2000_2999_H_35_39,SWs_2000_2999_H_40_44,SWs_2000_2999_H_45_49,SWs_2000_2999_H_50ov,SWs_2000_2999_H_NS,SWs_2000_2999_H_Tot,SWs_3000_3499_H_0,SWs_3000_3499_H_1_19,SWs_3000_3499_H_20_29,SWs_3000_3499_H_30_34,SWs_3000_3499_H_35_39,SWs_3000_3499_H_40_44,SWs_3000_3499_H_45_49,SWs_3000_3499_H_50ov,SWs_3000_3499_H_NS,SWs_3000_3499_H_Tot,SWs_3500mo_H_0,SWs_3500mo_H_1_19,SWs_3500mo_H_20_29,SWs_3500mo_H_30_34,SWs_3500mo_H_35_39,SWs_3500mo_H_40_44,SWs_3500mo_H_45_49,SWs_3500mo_H_50ov,SWs_3500mo_H_NS,SWs_3500mo_H_Tot
50101,3,16,11,9,10,10,7,13,0,78,0,0,4,4,0,6,0,9,0,21,0,3,0,0,0,7,0,0,0,13,0,5,0,0,3,0,0,0,3,12,121,519,488,262,451,293,79,91,14,2313,5,10,3,0,0,0,0,0,0,21,26,322,0,0,0,0,0,0,6,350,6,157,12,0,7,0,0,0,6,187,10,78,37,3,3,0,0,0,0,132,9,70,79,11,4,8,3,3,0,189,6,69,146,48,23,10,0,5,0,303,16,55,103,96,71,30,4,3,5,380,8,25,49,52,99,36,4,11,0,284,14,20,25,17,68,48,13,17,4,224,3,9,4,7,19,37,12,11,0,108,4,3,4,10,17,30,10,12,0,94,0,3,7,0,4,9,0,12,0,44,9,3,0,6,9,21,5,15,0,56,0,0,0,0,0,8,0,10,0,25,3,5,7,0,0,6,0,15,0,37
50102,14,19,13,9,56,80,43,63,0,290,3,8,4,0,10,15,6,19,4,54,8,12,8,0,4,12,4,14,0,66,4,0,4,0,0,5,0,3,0,24,267,860,822,519,1322,928,206,371,41,5337,4,10,3,0,0,0,0,4,0,28,39,515,8,0,0,0,0,0,13,579,19,278,55,3,4,0,0,4,3,356,13,175,82,19,4,4,0,0,3,298,27,112,142,26,11,6,3,5,0,329,20,94,245,64,39,11,4,6,6,480,30,73,105,142,131,37,9,7,4,532,9,34,54,67,188,77,19,20,0,470,15,15,22,32,120,88,18,27,0,337,0,3,7,11,38,46,13,25,0,152,4,3,0,9,17,34,19,28,0,122,0,0,0,0,12,31,12,25,0,83,0,4,4,0,6,14,11,46,0,91,0,0,0,0,0,4,3,6,0,26,0,4,0,0,5,15,5,14,0,40
50103,0,4,0,0,3,9,0,7,0,25,0,0,0,0,0,0,0,3,0,7,0,4,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,41,178,161,99,161,151,30,59,5,882,0,0,0,0,0,0,0,0,0,7,0,72,0,0,0,0,0,0,0,79,3,47,9,4,0,0,0,0,0,63,0,18,6,0,0,0,0,0,0,29,0,17,24,8,0,0,0,0,0,51,6,14,40,12,9,4,0,4,0,91,3,8,23,16,15,8,0,4,0,91,5,5,11,17,34,20,4,4,0,98,0,4,0,3,15,17,4,9,3,58,0,0,0,0,3,9,0,6,0,23,0,0,0,5,3,6,0,6,0,18,0,0,0,0,4,5,4,0,0,15,0,0,0,0,3,6,3,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
50201,3,11,13,7,25,39,5,21,0,127,0,3,0,0,3,7,0,5,0,22,0,0,3,4,4,6,0,7,0,32,0,4,9,5,5,4,0,0,6,30,130,630,597,357,741,403,84,154,25,3122,3,25,0,0,0,0,0,0,0,27,24,528,16,0,0,0,0,0,5,574,21,384,53,6,3,3,0,0,4,477,15,232,102,14,5,0,0,0,3,381,13,178,166,25,13,5,0,0,7,411,24,122,229,79,39,14,0,3,18,531,24,76,108,119,104,29,5,12,8,474,11,31,54,56,161,50,16,10,0,390,15,19,29,25,102,70,11,23,0,295,7,8,5,11,48,39,7,16,0,138,0,4,0,6,18,26,10,17,0,80,0,3,0,4,9,10,5,18,0,45,0,3,0,9,11,17,8,23,0,61,0,4,0,0,0,5,5,6,0,21,0,6,5,0,4,8,4,29,0,49
50301,17,16,20,31,91,78,25,32,6,316,0,14,5,10,6,8,3,15,0,60,0,25,15,0,10,15,10,16,0,92,0,3,10,3,5,3,0,0,3,33,212,1019,920,612,1484,785,182,238,42,5491,3,10,0,0,0,0,0,0,0,17,26,321,0,0,0,0,0,0,0,352,10,260,30,0,0,0,0,0,0,308,4,175,59,10,0,5,0,0,3,250,11,118,87,11,3,4,0,3,3,243,10,103,136,32,16,5,4,5,0,307,9,39,86,47,51,20,0,5,3,267,12,32,51,50,101,35,9,4,0,297,5,19,27,28,75,48,18,11,3,226,6,11,15,3,50,44,8,13,0,147,0,13,6,10,20,23,8,13,0,93,0,3,6,4,15,18,5,8,0,67,0,14,12,0,17,25,9,40,0,119,0,4,0,3,3,6,0,7,0,36,0,13,14,12,11,24,8,56,0,126
50302,198,87,122,157,1146,1389,393,556,11,4058,30,30,31,34,138,289,93,195,6,843,35,36,53,32,171,437,207,460,4,1435,4,16,16,12,41,25,8,12,32,156,1724,3611,4617,3082,12087,8568,1855,2340,224,38119,8,19,4,6,0,4,0,3,3,56,38,570,14,5,0,3,0,0,4,633,21,541,86,14,5,0,0,0,15,681,28,396,185,19,3,3,0,5,12,654,25,296,223,35,15,11,4,4,9,620,29,249,442,92,41,26,7,9,14,910,31,120,285,170,216,62,9,8,9,922,25,75,144,115,363,128,22,29,10,905,18,39,72,71,385,231,48,45,8,914,22,18,39,38,214,221,38,54,11,657,13,18,20,31,163,191,40,55,3,539,13,4,19,23,90,118,37,74,3,379,25,25,18,22,145,218,77,107,0,638,0,10,3,5,24,68,22,61,0,205,7,7,16,9,35,117,44,177,0,415
50401,3,12,3,8,23,45,16,41,0,149,0,0,0,0,0,7,5,4,0,18,0,9,3,3,0,7,9,8,0,29,4,5,5,0,3,9,0,0,3,16,93,480,471,290,703,540,155,177,21,2920,3,18,0,0,3,0,0,0,0,17,16,315,12,4,0,0,0,0,3,348,11,259,47,0,5,0,0,0,5,324,12,173,66,13,4,0,0,0,0,267,9,111,97,18,3,4,0,5,3,246,21,84,162,55,28,14,0,3,5,368,12,51,82,67,79,19,4,8,8,327,7,23,39,48,118,38,16,18,4,310,6,16,18,22,73,63,14,15,3,222,3,6,10,6,45,56,15,20,4,173,0,5,4,10,24,37,17,16,0,116,0,0,0,8,14,14,8,20,0,56,4,0,3,3,15,15,19,30,0,88,0,0,0,0,0,4,3,3,0,14,0,0,0,3,0,0,4,16,0,28
50402,4,4,3,13,10,12,14,7,0,51,0,3,0,0,0,7,6,0,0,16,0,0,0,5,3,0,0,0,0,14,0,3,0,0,3,0,0,0,0,8,34,249,184,125,189,174,57,44,7,1071,0,7,0,0,0,0,0,0,0,7,8,143,3,0,0,0,0,0,0,156,6,94,8,4,0,0,0,0,0,116,0,40,14,0,0,0,0,0,0,65,0,38,30,8,3,0,0,5,0,76,0,34,43,18,4,3,0,0,0,114,0,11,27,19,11,13,0,0,0,90,6,4,13,14,29,22,8,0,0,106,3,0,10,6,21,28,9,10,0,75,3,0,0,0,11,23,3,9,0,51,0,8,3,3,3,9,4,8,0,31,0,0,0,3,0,4,3,8,0,17,0,0,0,0,3,6,4,13,0,32,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,5,0,7,0,7
50403,10,18,13,15,84,118,34,99,3,398,0,0,4,4,5,15,9,22,0,65,0,12,5,4,3,12,8,21,0,72,0,6,0,0,16,12,0,0,8,50,257,1016,1137,634,1994,1597,361,528,65,7586,9,32,3,0,0,0,3,0,0,57,42,655,21,0,0,0,0,0,9,733,23,515,87,13,4,8,0,0,0,653,16,343,144,14,4,0,0,3,0,519,11,211,227,25,11,12,0,0,5,511,20,179,325,111,54,14,0,10,7,721,27,91,196,152,152,49,8,12,4,685,12,32,90,93,288,107,19,21,7,668,24,20,32,48,208,136,40,44,3,560,13,7,14,11,98,114,41,40,4,337,3,4,8,6,75,98,28,45,4,273,4,5,7,4,24,51,17,39,3,155,3,3,10,0,27,50,22,74,0,195,0,3,0,0,6,9,4,17,0,39,0,6,0,3,0,12,4,30,0,54
50501,5,26,17,18,74,73,14,21,4,249,3,8,5,5,10,15,5,9,0,60,5,10,3,0,4,8,3,17,0,50,0,9,6,7,12,3,0,0,9,49,205,1289,1124,684,1410,750,153,184,46,5849,3,23,5,0,0,3,0,0,4,48,44,1019,26,3,0,0,0,0,3,1093,13,774,125,6,4,0,0,0,5,923,23,405,175,20,10,3,0,0,10,645,20,302,289,34,20,4,3,0,7,679,28,196,415,119,56,21,6,4,3,854,18,117,232,141,135,41,7,6,5,702,11,57,90,88,238,83,21,18,11,623,13,23,49,42,133,90,34,21,0,409,6,14,13,15,61,58,20,29,0,212,9,4,8,15,22,47,22,23,0,154,0,0,7,5,17,20,4,13,0,67,3,9,7,3,15,24,18,29,3,120,0,5,5,6,0,10,4,15,0,39,0,8,4,0,8,22,3,27,0,78
