POW_SA3_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
50101,23,3,13,43,0,84,369,4,14,9,0,400,200,3,30,11,3,252,164,14,56,15,6,251,271,18,62,26,3,378,416,43,129,30,8,627,605,53,131,28,14,823,859,107,180,24,18,1181,1190,130,241,26,14,1600,830,119,192,19,11,1177,628,153,143,17,8,951,429,116,106,10,6,678,630,187,142,10,7,978,119,63,35,0,0,216,138,121,86,11,4,360,64,12,13,13,6,105,6914,1154,1577,291,116,10057,42,0,11,48,0,97,519,7,58,25,0,610,424,11,80,27,4,540,485,16,98,23,9,626,685,21,132,29,14,876,1141,50,154,25,17,1389,1460,53,140,25,11,1686,1455,82,137,24,13,1703,1368,74,152,21,8,1627,826,58,99,15,8,1002,548,81,78,16,10,731,389,46,56,10,0,515,405,75,75,11,8,567,57,23,17,6,6,112,49,51,39,11,4,147,67,5,18,6,16,119,9912,652
50102,64,9,13,41,0,134,548,4,26,16,0,592,294,6,32,23,8,365,278,12,51,27,6,377,412,23,65,29,7,532,732,48,99,25,10,918,1023,63,121,21,13,1238,1717,86,148,25,16,1989,2395,153,197,22,16,2778,2136,112,172,7,17,2445,2194,164,162,20,8,2548,2267,114,99,12,8,2494,4479,240,139,11,12,4875,914,79,48,0,5,1052,830,184,122,9,16,1167,212,13,21,11,21,269,20486,1313,1512,297,166,23775,89,0,12,60,8,167,883,7,77,38,7,1010,857,8,83,34,3,990,939,22,102,31,17,1110,1268,12,114,31,9,1434,2134,49,131,32,17,2364,2625,62,114,32,14,2842,2962,77,137,22,13,3218,2877,73,135,15,10,3113,1981,60,96,10,8,2144,1518,85,74,17,9,1698,984,48,40,8,4,1083,1308,76,57,11,6,1461,137,38,9,7,0,183,157,60,39,3,3,262,134,8,11,9,11,169,20846,681
50103,16,7,6,48,0,77,84,0,9,22,0,118,67,8,28,34,0,141,57,11,31,29,3,131,94,13,44,28,5,184,191,24,74,25,4,314,254,37,70,18,3,374,445,49,100,26,10,632,471,60,101,32,7,670,379,54,64,16,9,514,346,49,58,16,3,478,269,42,47,13,6,371,445,53,49,8,7,567,87,17,13,0,0,110,73,38,31,11,9,163,34,3,10,7,8,63,3306,461,728,327,80,4909,17,8,9,52,0,74,170,3,15,15,3,214,176,8,43,35,4,260,179,16,52,20,4,262,235,7,48,24,4,315,415,25,77,18,5,539,474,25,66,14,0,584,539,17,47,22,4,631,443,27,70,18,4,564,271,20,29,11,0,336,200,26,23,12,6,263,135,7,20,7,5,174,171,22,29,4,0,232,15,11,3,0,0,34,25,15,10,8,0,55,27,4,9,12,0,46,3485,236
50201,45,7,10,36,0,98,500,4,17,10,3,534,376,4,28,15,4,422,289,17,49,16,0,374,359,28,70,11,5,476,593,41,95,22,5,765,675,64,125,6,7,880,907,61,127,12,8,1125,1163,110,184,23,11,1496,830,118,146,13,8,1114,844,113,106,10,6,1083,684,73,80,6,5,851,1640,158,124,4,11,1938,290,62,39,0,0,399,286,152,80,8,3,523,87,12,11,5,14,131,9573,1030,1295,202,101,12200,68,7,7,65,0,151,846,5,52,26,7,940,886,20,112,17,7,1045,943,25,113,25,11,1119,1143,36,114,22,7,1320,1822,41,154,13,13,2051,2048,61,133,19,17,2281,2099,49,124,12,3,2291,1999,70,138,12,9,2233,1196,61,65,10,6,1330,957,65,51,9,0,1082,650,41,43,4,4,738,841,79,45,6,3,974,101,19,19,0,0,136,89,60,34,4,3,183,129,6,14,4,10,166,15809,653
50301,35,8,8,25,0,76,555,5,20,10,3,583,530,6,31,5,0,572,406,17,30,13,0,469,443,32,32,9,9,522,643,35,59,9,0,752,657,47,65,10,3,794,990,77,95,11,8,1187,1503,116,122,16,12,1769,1332,103,113,12,9,1568,1339,148,110,8,3,1606,1198,117,93,18,5,1423,2510,309,128,20,0,2969,537,148,54,16,0,758,1167,612,257,27,0,2063,110,16,10,3,8,142,13951,1796,1234,207,66,17256,81,3,4,32,0,121,767,5,48,11,0,832,909,9,76,20,4,1014,903,11,78,14,0,1013,1026,26,50,15,9,1127,1818,30,111,10,3,1976,2148,44,106,21,9,2325,2543,64,118,22,3,2755,3590,78,130,31,14,3836,3406,77,95,9,4,3588,3061,90,85,15,9,3256,2175,61,75,16,4,2325,3033,149,128,18,8,3331,469,63,41,13,0,592,641,216,114,36,0,1013,150,5,6,5,14,186,26721,930
50302,167,32,16,76,7,292,861,19,23,24,3,924,1106,28,59,14,8,1215,1137,50,91,26,6,1310,1344,56,124,20,16,1554,2088,146,163,29,14,2448,2517,166,202,31,26,2946,4062,261,287,30,23,4673,7191,365,315,29,30,7932,7596,378,299,26,27,8323,8162,545,275,22,10,9006,8056,409,217,14,24,8718,23018,1114,432,18,27,24616,8185,614,160,13,7,8987,18423,2434,1040,32,32,21958,680,62,37,7,59,849,94593,6667,3745,409,326,105743,256,11,21,83,6,376,1420,14,102,37,13,1587,2206,35,126,35,12,2409,2483,50,157,36,27,2753,3077,72,182,37,20,3386,5294,114,237,48,24,5714,6860,126,208,35,27,7263,9528,208,265,37,30,10077,13416,219,274,26,32,13970,13203,194,211,20,21,13645,12155,263,223,14,17,12675,8699,215,138,8,9,9073,15605,398,289,17,17,16322,3165,187,100,9,7,3460,4671,513,318,24,9,5543,619,15,20,18,42,705,102656,2630
50401,30,14,18,30,0,81,347,3,20,3,0,374,310,10,42,9,5,373,277,27,62,13,7,381,402,33,86,6,5,534,608,39,121,14,11,794,787,87,132,11,3,1018,1369,95,163,13,19,1660,1714,174,203,10,10,2113,1479,169,141,11,9,1810,1183,182,124,10,12,1506,866,129,92,4,0,1086,1418,244,136,6,11,1813,228,103,43,0,0,382,239,192,55,4,0,491,104,17,7,4,16,154,11369,1512,1440,142,105,14564,42,0,5,33,4,88,498,3,43,16,0,565,604,19,68,12,3,705,625,16,85,16,12,752,653,20,89,17,10,791,1144,34,95,16,10,1299,1341,60,127,22,3,1553,1599,51,99,10,6,1759,1480,67,102,11,7,1669,989,58,72,5,4,1133,657,65,51,6,0,782,418,44,31,6,0,498,541,62,52,6,3,657,63,15,13,0,0,92,53,54,22,0,0,126,89,6,9,0,13,122,10808,578
50402,18,3,4,15,0,41,170,3,7,5,0,183,112,3,22,3,0,140,76,8,22,4,0,112,87,23,29,8,0,148,159,19,55,13,3,248,195,28,44,4,4,281,348,40,81,13,3,477,468,61,94,6,5,638,414,55,76,8,0,549,472,54,52,5,3,586,351,58,43,3,0,452,458,109,61,6,5,629,69,43,12,3,0,126,69,57,24,0,0,158,48,8,11,4,4,65,3515,566,636,82,39,4840,12,0,5,24,0,44,228,4,44,9,0,283,244,9,47,12,0,315,195,14,63,9,4,284,259,8,48,6,4,326,398,16,62,6,0,487,431,28,58,6,3,531,497,26,72,5,5,597,501,47,51,9,3,614,340,36,32,4,0,412,317,25,33,0,0,383,224,18,17,0,0,266,247,33,33,4,0,320,28,6,6,0,0,46,21,21,22,3,0,68,42,6,6,5,6,58,3984,293
50403,92,20,24,61,0,198,765,8,28,15,3,825,709,21,61,21,3,811,600,30,87,30,7,752,744,39,118,14,12,926,1185,86,191,34,13,1506,1639,148,202,31,19,2036,2927,197,281,33,30,3476,4363,348,346,34,27,5121,3560,294,276,22,21,4169,3232,350,237,11,21,3849,2585,264,160,11,6,3024,4503,445,209,13,7,5179,860,175,45,6,8,1095,941,348,105,13,3,1407,276,28,19,8,29,358,28966,2807,2375,365,211,34728,120,0,17,92,4,235,1077,6,83,39,8,1214,1214,25,140,38,3,1417,1223,47,130,49,7,1465,1405,41,155,39,4,1644,2381,68,195,36,6,2687,2841,100,189,30,20,3175,3465,104,186,24,20,3799,3648,113,161,18,6,3953,2468,101,105,11,3,2695,1958,121,95,16,4,2200,1334,72,52,12,4,1471,1670,123,85,14,0,1900,182,42,23,0,3,258,214,73,44,7,0,337,216,11,13,12,24,270,25411,1059
50501,61,15,19,34,3,127,1024,10,30,11,0,1078,737,14,44,16,9,816,540,27,71,22,4,667,565,37,95,17,4,721,781,71,155,21,0,1031,865,94,198,19,3,1173,1159,115,247,22,11,1549,1621,218,300,28,7,2165,1252,229,252,7,7,1742,1153,300,240,11,6,1715,918,200,141,5,5,1274,1812,384,240,19,9,2457,282,165,81,0,0,533,458,328,189,12,5,988,150,20,22,5,23,216,13388,2219,2313,250,94,18260,89,10,18,85,0,206,1554,11,117,30,5,1715,1655,15,177,24,7,1881,1425,51,208,42,7,1732,1738,51,168,27,11,1994,2690,92,210,28,10,3034,2935,108,235,23,11,3321,3310,102,215,26,10,3663,3422,133,228,17,8,3818,2375,111,144,15,0,2648,2054,123,109,17,3,2309,1504,80,91,9,4,1695,2090,123,121,15,4,2352,229,56,46,6,0,335,215,90,67,3,0,376,244,10,24,3,16,297,27544,1170
