POW_SA3_CODE_2021,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Taiwan_E,F_Taiwan_OM_IE,F_Taiwan_OM_UIE,F_Taiwan_CFW,F_Taiwan_ES_NS,F_Taiwan_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Afghanistan_E,P_Afghanistan_OM_IE,P_Afghanistan_OM_UIE,P_Afghanistan_CFW,P_Afghanistan_ES_NS,P_Afghanistan_Tot,P_Bangladesh_E,P_Bangladesh_OM_IE,P_Bangladesh_OM_UIE,P_Bangladesh_CFW,P_Bangladesh_ES_NS,P_Bangladesh_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Nepal_E,P_Nepal_OM_IE,P_Nepal_OM_UIE,P_Nepal_CFW,P_Nepal_ES_NS,P_Nepal_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot
50101,0,194,11,0,0,0,0,15,41,0,0,0,0,41,58,4,8,0,0,67,843,77,165,38,5,1128,44,4,7,3,0,63,24,5,7,0,0,39,353,20,66,7,3,449,73,7,11,5,3,105,9912,652,1352,321,102,12347,12484,1341,2146,439,151,16560,32,7,15,6,0,56,3,0,0,0,0,3,95,9,19,0,3,126,38,0,5,4,0,50,3,0,0,0,0,3,4,0,0,0,0,4,8,3,0,0,0,10,143,15,32,9,0,195,0,0,0,0,0,0,15,0,0,0,0,18,109,13,5,4,0,127,55,7,4,0,0,63,5,0,0,0,0,4,0,0,0,0,0,0,88,12,16,0,5,120,103,5,13,9,0,134,41,4,4,0,8,49,53,0,3,0,0,61,0,0,0,0,0,0,43,3,10,3,0,55,15,0,0,0,0,16,39,5,18,3,0,65,535,56,91,21,9,708
50102,3,571,30,0,0,0,0,31,85,0,0,0,0,85,72,0,4,0,4,80,1375,37,96,29,3,1555,51,3,9,0,0,65,42,0,8,0,0,54,585,26,45,3,3,657,108,3,7,5,5,131,20846,681,1233,354,130,23242,31313,1550,2043,514,215,35633,8,0,0,0,0,8,25,0,0,0,0,29,79,13,10,0,0,99,164,15,9,7,0,200,8,0,0,0,0,10,14,0,0,0,0,19,27,0,0,0,0,28,118,3,11,4,0,141,8,0,0,0,0,8,38,4,3,0,0,45,410,33,25,6,4,480,93,0,0,0,0,94,33,0,0,0,0,31,21,4,0,0,0,26,209,12,21,3,0,246,82,4,10,6,4,97,37,0,7,0,0,43,91,4,0,0,0,102,20,8,5,0,0,28,134,5,13,3,0,156,46,0,0,0,0,53,102,8,18,0,0,127,1532,34,74,11,13,1666
50103,0,40,0,0,0,0,0,0,30,0,0,0,0,28,17,0,0,0,0,15,276,17,55,26,4,377,12,0,6,0,0,18,13,0,0,0,0,9,105,9,11,8,0,135,46,4,3,5,4,64,3485,236,539,261,48,4568,5270,559,1020,453,92,7390,25,0,0,0,0,23,0,0,0,0,0,0,24,3,0,0,0,25,12,0,0,0,0,19,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,27,4,10,0,0,46,0,4,0,0,0,8,6,0,4,0,0,8,25,6,4,4,0,43,8,0,3,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,37,25,9,6,8,0,54,10,0,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,20,0,3,0,0,26,0,0,0,0,0,0,18,0,0,3,0,28,223,25,28,13,0,278
50201,0,452,18,0,3,0,0,25,7,0,0,0,0,11,126,3,5,0,3,140,2186,92,201,30,11,2518,61,4,5,3,0,67,46,3,8,3,0,70,474,17,50,0,3,548,90,6,9,5,6,109,15809,653,1212,259,107,18036,16868,1039,1535,316,135,19889,14,5,3,0,0,19,19,0,5,0,0,23,69,3,12,0,3,84,69,26,20,3,0,126,6,0,3,0,0,10,15,0,0,0,0,19,25,0,0,0,0,25,62,3,17,3,0,88,4,0,0,0,0,4,28,3,0,0,3,40,386,41,40,3,4,480,120,4,11,0,0,137,31,0,10,0,0,39,3,3,0,0,0,6,143,9,18,5,3,178,37,5,8,3,0,51,23,3,4,0,0,33,43,11,6,0,0,57,4,0,0,0,0,4,146,13,23,0,0,180,39,0,0,0,0,43,52,11,10,0,0,73,1086,65,97,12,11,1267
50301,0,757,144,3,5,0,0,155,69,9,0,0,0,71,129,3,8,0,0,136,2819,83,126,29,8,3070,200,10,10,0,0,219,178,3,12,4,3,196,2267,52,84,13,10,2421,56,5,11,0,8,80,26721,930,1275,286,92,29304,22813,1705,1476,305,65,26362,49,10,13,0,0,70,72,3,0,0,0,78,221,16,21,3,0,262,594,62,36,23,6,724,46,8,3,0,0,64,43,3,3,0,0,52,17,3,0,0,0,20,251,20,13,0,0,285,27,0,6,0,0,28,210,16,13,4,0,238,1401,40,25,12,10,1487,312,16,10,5,0,339,157,16,12,4,0,191,38,5,0,0,0,45,489,27,24,5,0,543,248,20,24,6,0,305,190,9,7,0,0,202,129,9,9,0,0,145,15,5,0,0,0,19,806,59,48,9,4,936,193,0,0,0,0,190,105,9,12,5,0,132,937,54,68,5,4,1066
50302,3,2773,546,8,9,0,0,565,315,4,11,4,4,339,595,14,28,8,9,652,9918,230,281,33,37,10487,590,16,31,0,0,635,872,71,84,18,10,1054,8398,168,258,42,42,8920,235,15,3,7,11,272,102656,2630,2866,496,311,108960,106876,5353,3682,439,273,116621,211,9,16,11,4,253,416,9,6,0,4,429,890,44,36,5,0,971,3234,244,120,52,17,3661,286,15,10,4,3,324,207,8,12,0,0,236,143,0,4,0,0,146,923,51,41,0,5,1018,94,17,16,0,0,131,942,59,39,7,0,1044,8226,273,128,24,27,8678,1824,55,28,7,9,1919,958,44,51,6,4,1052,151,10,8,0,3,172,2422,117,73,9,7,2626,1002,90,75,25,13,1195,799,34,41,8,4,879,812,89,36,0,3,938,81,10,6,0,4,94,4869,241,141,29,14,5291,907,18,11,0,5,939,496,33,21,3,0,555,5685,210,155,15,26,6090
50401,0,198,51,0,5,0,0,55,36,3,9,0,0,43,93,0,10,0,0,104,691,37,92,7,3,834,38,3,13,0,0,56,279,21,50,12,3,363,895,48,70,15,14,1041,23,0,0,4,8,31,10808,578,963,174,75,12594,12855,1190,1271,154,77,15554,83,18,6,5,0,111,46,4,5,0,0,50,43,0,10,0,0,57,392,66,56,17,3,533,35,4,7,4,0,48,14,0,4,0,0,14,19,0,0,0,0,16,86,10,12,0,0,107,12,0,3,3,0,28,96,15,11,0,0,126,934,77,62,9,11,1097,109,6,11,0,0,130,82,12,8,0,6,108,24,14,4,6,5,47,191,38,23,3,0,257,158,26,38,3,0,238,38,3,5,0,0,56,91,13,22,5,0,129,12,3,3,0,0,16,344,32,33,7,3,412,110,5,5,0,0,126,38,3,16,0,0,58,688,59,65,4,3,820
50402,0,83,11,3,5,0,0,18,6,0,0,0,0,3,18,0,10,0,0,26,423,37,75,14,4,560,14,4,6,0,0,26,18,0,8,0,0,25,153,7,25,0,0,194,10,4,0,0,3,22,3984,293,595,115,28,5009,5146,574,805,130,36,6697,14,0,6,0,0,20,4,0,0,0,0,4,18,8,6,0,0,31,45,5,0,4,0,56,3,0,0,0,0,7,8,0,0,0,0,9,4,0,0,0,0,4,28,9,5,0,0,51,0,0,0,0,0,4,14,5,0,0,0,12,214,21,9,3,5,246,18,0,4,0,0,17,11,0,0,0,0,7,5,0,0,0,0,13,39,7,10,0,0,60,25,8,13,0,0,45,11,0,3,0,0,16,7,3,0,0,0,16,0,0,0,0,0,0,45,7,7,0,0,57,26,0,0,0,0,26,16,3,11,4,0,33,262,22,41,10,3,345
50403,0,623,80,5,9,0,0,99,70,3,0,0,0,76,188,0,13,4,0,210,2240,133,161,33,11,2581,87,4,10,0,0,97,410,35,90,19,5,563,1686,76,118,30,9,1917,92,5,8,6,7,115,25411,1059,1678,445,123,28716,32618,2090,2218,435,148,37508,130,16,33,4,0,191,57,0,0,0,3,66,132,11,12,0,0,157,479,80,50,10,7,626,78,10,20,10,0,109,40,5,5,0,0,55,39,0,0,0,0,41,205,17,20,0,3,245,33,11,4,0,0,49,157,12,15,0,0,190,2190,263,197,34,28,2707,226,10,9,6,0,253,153,15,20,3,0,194,58,18,18,4,0,108,510,42,31,10,0,593,273,45,43,21,0,380,69,3,5,0,0,72,118,17,3,0,0,138,20,6,6,0,0,27,607,46,39,6,13,709,139,4,0,0,0,147,89,8,5,3,3,112,2267,131,124,27,10,2564
50501,3,1282,52,4,3,0,0,59,38,0,6,0,0,49,179,10,14,0,0,204,5266,207,414,71,12,5963,140,6,8,0,0,161,244,20,43,12,0,322,1621,71,146,21,18,1876,78,3,0,0,4,88,27544,1170,2172,377,107,31377,22579,1649,2223,319,100,26865,37,8,9,0,0,53,40,4,5,0,0,47,146,17,20,0,0,179,315,91,35,13,0,457,34,0,5,0,0,50,57,11,11,0,0,80,20,3,0,0,0,19,174,31,46,5,0,258,20,6,3,0,0,30,107,9,17,0,0,136,1105,73,40,19,0,1233,146,12,11,0,0,174,126,12,19,0,0,156,41,3,8,0,0,58,669,81,77,9,7,841,128,26,24,5,0,190,79,3,14,8,0,106,82,13,8,4,0,103,16,0,0,0,0,21,327,34,49,0,3,411,96,3,0,0,0,105,79,13,20,4,0,113,1160,106,139,20,4,1433
