POW_SA3_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
50101,21,0,0,0,0,18,163,0,0,0,0,167,11,5,4,0,0,14,32,0,3,0,0,38,267,35,56,10,0,370,19,0,0,0,0,25,57,0,0,0,0,63,67,4,8,0,0,75,1409,171,323,71,16,1996,80,14,19,7,0,119,39,8,17,3,0,73,644,49,105,13,5,816,120,23,26,15,8,193,16826,1807,2930,618,219,22399
50102,51,3,5,3,0,58,924,3,24,0,10,970,41,0,8,0,0,52,77,0,9,0,0,89,1020,45,62,8,3,1137,51,7,0,0,0,61,141,0,0,0,0,141,93,0,4,0,4,103,2781,118,243,45,16,3205,94,13,12,0,0,125,58,5,17,3,0,86,1172,61,83,8,3,1329,232,16,18,20,10,292,41332,1993,2745,644,295,47015
50103,7,0,0,0,0,10,66,0,4,5,5,71,0,0,0,0,0,5,5,4,6,0,0,12,59,6,7,6,0,87,0,0,0,0,0,3,37,0,0,0,0,38,17,0,0,0,0,22,521,48,109,42,7,729,20,5,8,3,0,32,15,0,3,3,0,22,216,11,36,17,0,285,87,16,12,13,12,140,6795,695,1274,586,126,9475
50201,31,3,0,0,0,32,625,19,16,4,7,675,10,3,0,0,0,17,64,8,10,0,0,81,598,68,69,14,0,755,42,7,3,0,0,52,18,0,0,0,0,25,149,4,11,0,3,165,3455,240,444,59,28,4230,102,5,12,3,0,118,71,11,17,5,0,99,760,48,85,10,4,912,153,17,12,3,10,196,25386,1683,2504,460,212,30240
50301,101,3,4,0,0,111,589,9,8,0,0,611,135,4,23,0,0,158,500,14,26,3,0,554,1016,89,82,12,4,1202,244,11,10,0,0,268,105,4,4,0,0,118,166,11,8,0,0,181,4263,289,296,56,6,4917,320,31,16,3,0,367,267,10,24,3,8,310,3486,146,163,21,12,3825,106,6,17,8,11,153,40675,2731,2505,498,156,46564
50302,914,36,21,8,3,978,3054,23,28,12,0,3110,606,19,34,3,7,664,2208,95,62,7,6,2380,5684,252,190,24,14,6158,1304,35,19,4,5,1371,457,13,23,7,4,502,796,26,37,8,15,886,21000,985,726,67,72,22849,1208,58,60,5,0,1324,1491,139,155,25,12,1830,15621,572,505,81,67,16844,439,29,24,6,27,528,197251,9298,6613,909,641,214707
50401,65,7,22,3,0,102,604,0,14,3,3,626,79,9,23,3,0,115,139,16,14,3,0,174,406,44,48,4,0,505,116,8,15,0,0,136,61,6,7,0,0,77,127,7,9,0,0,150,1683,173,235,19,11,2114,88,15,16,0,0,115,488,55,101,18,15,680,1744,150,203,25,23,2148,61,4,4,4,11,84,22177,2089,2405,317,176,27166
50402,15,3,0,0,0,25,149,0,4,7,0,156,8,6,0,0,0,21,16,0,0,0,0,25,127,17,13,0,0,159,18,3,5,0,0,24,4,0,0,0,0,9,29,0,10,0,0,37,764,101,194,26,8,1096,30,8,9,0,0,52,42,0,14,3,0,60,308,41,46,7,0,397,30,3,7,0,3,45,7500,856,1230,196,59,9849
50403,166,8,27,0,5,203,1356,22,34,17,4,1430,127,12,15,3,0,160,359,18,25,6,0,411,1210,106,77,12,0,1417,210,16,20,0,0,249,119,7,4,0,0,130,255,10,14,4,3,280,5071,399,415,66,22,5975,198,18,15,0,0,239,808,78,192,44,12,1135,3626,289,299,61,35,4311,200,20,15,12,30,275,54380,3866,4057,814,334,63447
50501,115,7,10,0,0,125,487,8,8,9,0,509,110,20,26,5,0,157,224,15,25,0,0,263,1554,206,235,17,5,2011,106,6,8,0,0,117,51,3,6,0,0,61,214,12,14,0,0,250,7384,648,976,111,33,9152,217,18,20,0,0,257,351,39,75,16,0,480,2428,198,283,46,26,2986,116,8,9,3,5,143,40932,3391,4487,625,201,49633
