POW_SA3_CODE_2021,Tot_16_Other_FT,Tot_16_Other_PT,Tot_16_Other_NS,Tot_16_Other_Tot,Tot_16_Not_Stated,Tot_16_Tot,Tot_17_TertVE_TPTP_FT,Tot_17_TertVE_TPTP_PT,Tot_17_TertVE_TPTP_NS,Tot_17_TertVE_TPTP_Tot,Tot_17_TertUni_or_OHE_FT,Tot_17_TertUni_or_OHE_PT,Tot_17_TertUni_or_OHE_NS,Tot_17_TertUni_or_OHE_Tot,Tot_17_Other_FT,Tot_17_Other_PT,Tot_17_Other_NS,Tot_17_Other_Tot,Tot_17_Not_Stated,Tot_17_Tot,Tot_18_TertVE_TPTP_FT,Tot_18_TertVE_TPTP_PT,Tot_18_TertVE_TPTP_NS,Tot_18_TertVE_TPTP_Tot,Tot_18_TertUni_or_OHE_FT,Tot_18_TertUni_or_OHE_PT,Tot_18_TertUni_or_OHE_NS,Tot_18_TertUni_or_OHE_Tot,Tot_18_Other_FT,Tot_18_Other_PT,Tot_18_Other_NS,Tot_18_Other_Tot,Tot_18_Not_Stated,Tot_18_Tot,Tot_19_TertVE_TPTP_FT,Tot_19_TertVE_TPTP_PT,Tot_19_TertVE_TPTP_NS,Tot_19_TertVE_TPTP_Tot,Tot_19_TertUni_or_OHE_FT,Tot_19_TertUni_or_OHE_PT,Tot_19_TertUni_or_OHE_NS,Tot_19_TertUni_or_OHE_Tot,Tot_19_Other_FT,Tot_19_Other_PT,Tot_19_Other_NS,Tot_19_Other_Tot,Tot_19_Not_Stated,Tot_19_Tot,Tot_20_24_TertVE_TPTP_FT,Tot_20_24_TertVE_TPTP_PT,Tot_20_24_TertVE_TPTP_NS,Tot_20_24_TertVE_TPTP_Tot,Tot_20_24_TertUni_or_OHE_FT,Tot_20_24_TertUni_or_OHE_PT,Tot_20_24_TertUni_or_OHE_NS,Tot_20_24_TertUni_or_OHE_Tot,Tot_20_24_Other_FT,Tot_20_24_Other_PT,Tot_20_24_Other_NS,Tot_20_24_Other_Tot,Tot_20_24_Not_Stated,Tot_20_24_Tot,Tot_25_29_TertVE_TPTP_FT,Tot_25_29_TertVE_TPTP_PT,Tot_25_29_TertVE_TPTP_NS,Tot_25_29_TertVE_TPTP_Tot,Tot_25_29_TertUni_or_OHE_FT,Tot_25_29_TertUni_or_OHE_PT,Tot_25_29_TertUni_or_OHE_NS,Tot_25_29_TertUni_or_OHE_Tot,Tot_25_29_Other_FT,Tot_25_29_Other_PT,Tot_25_29_Other_NS,Tot_25_29_Other_Tot,Tot_25_29_Not_Stated,Tot_25_29_Tot,Tot_30ov_TertVE_TPTP_FT,Tot_30ov_TertVE_TPTP_PT,Tot_30ov_TertVE_TPTP_NS,Tot_30ov_TertVE_TPTP_Tot,Tot_30ov_TertUni_or_OHE_FT,Tot_30ov_TertUni_or_OHE_PT,Tot_30ov_TertUni_or_OHE_NS,Tot_30ov_TertUni_or_OHE_Tot,Tot_30ov_Other_FT,Tot_30ov_Other_PT,Tot_30ov_Other_NS,Tot_30ov_Other_Tot,Tot_30ov_Not_Stated,Tot_30ov_Tot,Tot_Tot_TertVE_TPTP_FT,Tot_Tot_TertVE_TPTP_PT,Tot_Tot_TertVE_TPTP_NS,Tot_Tot_TertVE_TPTP_Tot,Tot_Tot_TertUni_or_OHE_FT,Tot_Tot_TertUni_or_OHE_PT,Tot_Tot_TertUni_or_OHE_NS,Tot_Tot_TertUni_or_OHE_Tot,Tot_Tot_Other_FT,Tot_Tot_Other_PT,Tot_Tot_Other_NS,Tot_Tot_Other_Tot,Tot_Tot_Not_Stated,Tot_Tot_Tot
50101,329,0,0,329,0,347,7,28,0,29,0,0,0,0,338,0,0,340,6,371,19,44,0,69,19,0,0,23,54,0,0,54,5,146,13,42,0,58,14,5,0,17,0,0,0,0,0,84,36,110,0,153,83,37,0,119,0,11,0,10,3,287,22,69,0,87,42,42,0,82,5,20,0,25,0,197,75,336,8,419,86,256,0,345,9,110,0,122,72,956,180,640,8,826,245,338,0,585,1048,144,3,1194,96,2703
50102,504,4,0,512,7,561,25,55,0,82,0,0,0,0,519,0,0,519,4,607,27,105,0,135,32,16,0,54,87,5,0,92,3,279,45,110,0,153,64,14,0,83,4,3,0,9,5,244,104,261,0,374,223,91,0,311,11,25,0,31,13,733,49,126,0,178,82,114,0,189,4,23,0,25,7,402,126,579,5,712,178,588,0,769,27,149,0,183,156,1821,403,1275,8,1684,575,828,0,1405,1573,216,3,1793,194,5083
50103,87,0,0,87,0,94,0,12,0,12,0,0,0,0,75,0,0,77,0,98,4,24,0,25,0,0,0,3,16,0,0,16,0,51,3,18,0,22,5,0,0,5,0,0,0,0,0,29,9,42,0,50,19,9,0,34,0,0,0,0,0,87,3,12,0,20,9,0,0,12,0,0,0,0,5,34,9,107,0,113,27,62,0,88,8,30,4,36,39,275,38,224,0,259,64,78,0,143,260,36,4,291,48,740
50201,428,0,0,428,0,469,20,26,0,45,0,0,0,6,492,4,0,493,0,543,26,81,0,103,166,27,0,191,70,5,0,74,3,378,41,78,0,119,165,20,0,189,4,4,0,9,0,319,100,176,0,281,499,117,0,617,19,15,0,34,11,942,53,84,0,141,82,79,0,159,11,29,0,44,10,356,100,370,4,469,154,328,4,479,13,123,0,144,76,1170,361,845,5,1208,1066,576,3,1639,1389,188,0,1571,107,4534
50301,261,0,0,261,0,271,6,4,0,9,6,0,0,10,278,0,0,276,4,301,29,24,0,50,436,20,0,463,45,0,0,45,3,560,25,36,0,57,537,44,0,579,4,3,0,8,0,651,136,114,0,244,1964,345,0,2306,38,25,0,63,6,2630,118,98,0,216,553,336,0,894,25,40,0,65,5,1177,166,354,0,521,514,1052,3,1575,60,170,0,233,56,2393,479,629,0,1111,4020,1804,10,5827,893,244,0,1137,81,8159
50302,505,0,0,505,0,537,15,21,0,40,14,4,0,17,579,0,0,579,0,636,54,74,0,127,642,38,0,681,102,8,0,106,3,916,71,113,0,184,843,102,0,949,20,10,0,31,3,1164,570,484,0,1056,4257,1291,8,5554,159,192,6,356,26,7002,494,499,0,988,1401,1306,4,2720,162,277,0,437,40,4192,711,1963,7,2686,1389,4535,15,5939,259,1065,9,1334,244,10206,1926,3172,14,5109,8552,7281,31,15864,2102,1541,19,3663,328,24979
50401,245,0,0,245,0,260,9,11,0,19,4,0,0,4,286,0,0,286,0,308,25,39,0,65,177,11,0,193,40,4,0,44,3,302,40,54,0,91,215,22,0,234,14,3,0,16,5,348,130,203,0,335,691,147,4,845,20,20,0,48,15,1237,92,87,0,175,176,109,0,283,26,27,0,56,4,521,124,351,5,472,162,261,0,423,58,117,0,169,47,1117,419,752,8,1178,1425,550,5,1981,865,166,3,1030,72,4262
50402,156,0,0,156,0,158,5,0,0,4,0,0,0,0,154,0,0,154,0,162,5,6,0,16,46,9,0,56,24,0,0,30,0,101,4,17,0,23,44,0,0,47,0,0,0,4,0,74,25,46,0,70,167,32,0,198,3,3,0,6,0,284,6,23,0,25,34,33,0,63,4,6,0,9,3,106,29,110,0,134,38,103,0,146,8,46,0,50,23,351,78,210,0,288,331,182,0,514,456,58,0,514,31,1349
50403,566,4,0,571,0,607,13,30,0,36,6,4,0,11,708,0,0,708,6,763,75,106,0,179,347,38,0,391,131,12,0,139,0,706,67,132,0,203,358,52,0,411,11,6,0,16,5,631,218,357,4,584,1204,309,3,1515,52,29,3,83,11,2202,129,208,0,337,314,222,0,535,34,46,0,81,11,966,190,677,6,877,318,744,5,1069,79,258,4,346,130,2419,719,1525,13,2252,2542,1367,9,3918,2022,367,5,2396,173,8751
50501,773,7,0,778,0,807,29,22,0,55,5,0,0,7,949,0,0,950,7,1017,91,64,0,157,458,50,0,505,129,10,0,135,0,796,55,65,0,129,536,58,0,588,13,7,0,20,6,739,204,201,0,400,1690,354,5,2046,62,48,0,105,12,2565,84,129,0,208,357,223,0,582,20,30,0,49,7,853,115,450,0,562,337,794,3,1134,62,206,0,271,67,2041,600,938,0,1542,3385,1475,7,4863,2622,303,0,2930,97,9441
