POW_SA3_CODE_2021,M_M2_BusTot_15_24,M_M2_BusTot_25_34,M_M2_BusTot_35_44,M_M2_BusTot_45_54,M_M2_BusTot_55_64,M_M2_BusTot_65_74,M_M2_BusTot_75ov,M_M2_BusTot_Tot,M_M2_Other_M2_15_24,M_M2_Other_M2_25_34,M_M2_Other_M2_35_44,M_M2_Other_M2_45_54,M_M2_Other_M2_55_64,M_M2_Other_M2_65_74,M_M2_Other_M2_75ov,M_M2_Other_M2_Tot,M_M2_Tot_M2_15_24,M_M2_Tot_M2_25_34,M_M2_Tot_M2_35_44,M_M2_Tot_M2_45_54,M_M2_Tot_M2_55_64,M_M2_Tot_M2_65_74,M_M2_Tot_M2_75ov,M_M2_Tot_M2_Tot,M_M3_Trn_and_2_oth_Ms_15_24,M_M3_Trn_and_2_oth_Ms_25_34,M_M3_Trn_and_2_oth_Ms_35_44,M_M3_Trn_and_2_oth_Ms_45_54,M_M3_Trn_and_2_oth_Ms_55_64,M_M3_Trn_and_2_oth_Ms_65_74,M_M3_Trn_and_2_oth_Ms_75ov,M_M3_Trn_and_2_oth_Ms_Tot,M_M3_Bus2othMs_ex_tn_15_24,M_M3_Bus2othMs_ex_tn_25_34,M_M3_Bus2othMs_ex_tn_35_44,M_M3_Bus2othMs_ex_tn_45_54,M_M3_Bus2othMs_ex_tn_55_64,M_M3_Bus2othMs_ex_tn_65_74,M_M3_Bus2othMs_ex_tn_75ov,M_M3_Bus2othMs_ex_tn_Tot,M_M3_Other_M3_15_24,M_M3_Other_M3_25_34,M_M3_Other_M3_35_44,M_M3_Other_M3_45_54,M_M3_Other_M3_55_64,M_M3_Other_M3_65_74,M_M3_Other_M3_75ov,M_M3_Other_M3_Tot,M_M3_Tot_M3_15_24,M_M3_Tot_M3_25_34,M_M3_Tot_M3_35_44,M_M3_Tot_M3_45_54,M_M3_Tot_M3_55_64,M_M3_Tot_M3_65_74,M_M3_Tot_M3_75ov,M_M3_Tot_M3_Tot,M_Wkd_at_home_15_24,M_Wkd_at_home_25_34,M_Wkd_at_home_35_44,M_Wkd_at_home_45_54,M_Wkd_at_home_55_64,M_Wkd_at_home_65_74,M_Wkd_at_home_75ov,M_Wkd_at_home_Tot,M_Did_not_go_to_work_15_24,M_Did_not_go_to_work_25_34,M_Did_not_go_to_work_35_44,M_Did_not_go_to_work_45_54,M_Did_not_go_to_work_55_64,M_Did_not_go_to_work_65_74,M_Did_not_go_to_work_75ov,M_Did_not_go_to_work_Tot,M_MT_NS_15_24,M_MT_NS_25_34,M_MT_NS_35_44,M_MT_NS_45_54,M_MT_NS_55_64,M_MT_NS_65_74,M_MT_NS_75ov,M_MT_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75ov,M_Tot_Tot,F_M1_Train_15_24,F_M1_Train_25_34,F_M1_Train_35_44,F_M1_Train_45_54,F_M1_Train_55_64,F_M1_Train_65_74,F_M1_Train_75ov,F_M1_Train_Tot,F_M1_Bus_15_24,F_M1_Bus_25_34,F_M1_Bus_35_44,F_M1_Bus_45_54,F_M1_Bus_55_64,F_M1_Bus_65_74,F_M1_Bus_75ov,F_M1_Bus_Tot,F_M1_Ferry_15_24,F_M1_Ferry_25_34,F_M1_Ferry_35_44,F_M1_Ferry_45_54,F_M1_Ferry_55_64,F_M1_Ferry_65_74,F_M1_Ferry_75ov,F_M1_Ferry_Tot,F_M1_Tram_or_LR_15_24,F_M1_Tram_or_LR_25_34,F_M1_Tram_or_LR_35_44,F_M1_Tram_or_LR_45_54,F_M1_Tram_or_LR_55_64,F_M1_Tram_or_LR_65_74,F_M1_Tram_or_LR_75ov,F_M1_Tram_or_LR_Tot,F_M1_Taxi_or_RSS_15_24,F_M1_Taxi_or_RSS_25_34,F_M1_Taxi_or_RSS_35_44,F_M1_Taxi_or_RSS_45_54,F_M1_Taxi_or_RSS_55_64,F_M1_Taxi_or_RSS_65_74,F_M1_Taxi_or_RSS_75ov,F_M1_Taxi_or_RSS_Tot,F_M1_CarAsDriv_15_24,F_M1_CarAsDriv_25_34,F_M1_CarAsDriv_35_44,F_M1_CarAsDriv_45_54,F_M1_CarAsDriv_55_64,F_M1_CarAsDriv_65_74,F_M1_CarAsDriv_75ov,F_M1_CarAsDriv_Tot,F_M1_CarAsPas_15_24,F_M1_CarAsPas_25_34,F_M1_CarAsPas_35_44,F_M1_CarAsPas_45_54,F_M1_CarAsPas_55_64,F_M1_CarAsPas_65_74,F_M1_CarAsPas_75ov,F_M1_CarAsPas_Tot,F_M1_Truck_15_24,F_M1_Truck_25_34,F_M1_Truck_35_44,F_M1_Truck_45_54,F_M1_Truck_55_64,F_M1_Truck_65_74,F_M1_Truck_75ov,F_M1_Truck_Tot,F_M1_MBikeScoot_15_24,F_M1_MBikeScoot_25_34,F_M1_MBikeScoot_35_44,F_M1_MBikeScoot_45_54,F_M1_MBikeScoot_55_64,F_M1_MBikeScoot_65_74,F_M1_MBikeScoot_75ov,F_M1_MBikeScoot_Tot,F_M1_Bicycle_15_24,F_M1_Bicycle_25_34,F_M1_Bicycle_35_44,F_M1_Bicycle_45_54,F_M1_Bicycle_55_64,F_M1_Bicycle_65_74,F_M1_Bicycle_75ov,F_M1_Bicycle_Tot,F_M1_Other_15_24,F_M1_Other_25_34,F_M1_Other_35_44,F_M1_Other_45_54,F_M1_Other_55_64,F_M1_Other_65_74,F_M1_Other_75ov,F_M1_Other_Tot,F_M1_WlkOnly_15_24,F_M1_WlkOnly_25_34,F_M1_WlkOnly_35_44,F_M1_WlkOnly_45_54,F_M1_WlkOnly_55_64,F_M1_WlkOnly_65_74,F_M1_WlkOnly_75ov,F_M1_WlkOnly_Tot,F_M1_Tot_M1_15_24,F_M1_Tot_M1_25_34,F_M1_Tot_M1_35_44,F_M1_Tot_M1_45_54,F_M1_Tot_M1_55_64,F_M1_Tot_M1_65_74,F_M1_Tot_M1_75ov,F_M1_Tot_M1_Tot,F_M2_TrnBus_15_24,F_M2_TrnBus_25_34,F_M2_TrnBus_35_44,F_M2_TrnBus_45_54,F_M2_TrnBus_55_64,F_M2_TrnBus_65_74,F_M2_TrnBus_75ov,F_M2_TrnBus_Tot
50101,0,0,0,0,0,0,0,4,19,16,7,15,11,0,0,81,27,19,7,16,16,5,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,3,0,0,0,20,8,6,3,3,0,0,0,23,23,57,153,223,234,194,54,937,287,132,168,143,172,104,14,1021,16,20,12,16,12,3,3,81,1544,1621,2019,2114,1833,786,131,10057,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,0,0,0,9,765,1275,1978,2112,1455,278,22,7874,316,76,67,79,48,14,4,611,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,14,18,21,17,5,0,87,4,7,11,9,6,5,0,35,58,57,77,64,71,24,4,349,1169,1427,2146,2281,1597,323,32,8985,0,0,0,0,0,0,0,0
50102,21,52,63,42,33,4,0,222,39,50,45,33,21,5,0,195,66,107,111,75,54,11,3,422,0,0,3,0,0,0,0,4,4,0,4,0,0,0,0,9,9,17,17,5,5,0,0,54,15,17,17,5,8,3,0,68,28,61,143,164,208,163,53,812,465,357,381,463,506,144,15,2337,24,27,28,22,22,11,13,150,3481,4334,4896,5133,4449,1285,200,23775,0,0,0,0,0,0,0,3,33,14,13,12,9,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,14,9,4,0,0,44,1930,2919,3827,4213,2838,552,35,16310,625,244,140,181,123,26,4,1342,0,0,0,3,0,0,0,11,8,5,0,0,5,0,0,12,12,10,9,9,9,0,0,51,6,18,19,13,13,8,0,82,71,67,67,89,68,37,10,401,2700,3280,4092,4540,3076,619,46,18352,0,0,0,0,0,0,0,0
50103,0,0,3,6,0,0,0,7,3,6,9,3,6,3,3,34,7,7,14,8,4,3,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,20,26,73,122,152,154,56,603,69,50,54,67,103,58,16,416,9,4,13,3,13,7,7,53,599,706,803,1011,1069,572,148,4909,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,256,379,560,726,681,142,9,2753,111,39,17,36,32,17,4,251,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,7,0,6,0,4,5,0,0,6,5,5,4,9,4,0,0,22,32,30,25,38,56,28,12,222,412,456,619,815,784,183,29,3287,0,0,0,0,0,0,0,0
50201,9,5,9,0,4,3,0,25,31,14,13,13,9,3,0,90,54,33,34,23,16,9,0,176,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,3,12,4,5,3,0,0,0,30,20,12,4,3,0,0,0,44,13,38,108,145,194,134,41,673,463,215,186,234,256,79,10,1444,11,18,21,15,14,4,8,84,2458,2154,2205,2318,2205,735,121,12200,3,13,4,5,3,0,0,34,80,9,25,18,14,9,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,5,4,0,0,0,34,1724,2181,2719,3075,2244,375,20,12332,473,112,91,124,100,22,0,927,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,8,4,5,10,8,3,0,34,6,11,20,5,10,0,0,57,42,30,32,51,45,12,0,216,2354,2374,2909,3285,2433,422,20,13792,28,7,5,5,4,0,0,50
50301,21,18,18,7,3,0,0,74,28,27,28,20,22,3,0,119,113,123,122,91,85,14,0,550,20,28,12,22,19,5,0,116,3,0,5,0,0,0,0,11,5,20,9,11,5,0,0,58,36,53,29,34,26,8,0,181,84,148,263,424,457,287,115,1791,466,257,214,163,201,119,31,1457,21,17,19,8,3,7,7,81,2712,3732,3558,3126,2708,1137,293,17256,77,79,45,35,36,12,0,278,170,280,156,121,140,46,4,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,12,11,3,0,0,71,2425,4171,3934,3826,2865,751,55,18022,277,239,186,209,194,68,10,1187,0,0,0,0,0,0,0,0,0,7,0,9,11,0,0,24,25,54,61,60,34,3,0,240,3,19,14,6,11,4,0,57,188,111,104,105,78,30,4,623,3180,4988,4506,4388,3376,917,69,21420,85,116,87,104,72,27,0,500
50302,108,227,212,115,86,14,4,784,70,190,178,125,83,17,0,661,1132,2517,3209,2427,1304,254,11,10858,190,297,378,222,131,27,4,1243,18,39,40,15,6,3,0,117,53,197,202,100,58,8,4,628,262,532,620,345,194,36,7,1993,282,2032,3847,3108,1704,572,103,11640,1370,1940,1995,1629,1304,436,54,8727,64,130,99,80,40,24,24,453,9373,24131,29248,23580,14771,4132,503,105743,1148,2635,2416,1790,1092,188,9,9279,1182,2763,1655,1120,749,163,11,7639,0,9,9,0,3,0,0,27,0,0,3,0,0,0,0,0,86,195,120,61,28,13,0,502,4434,11237,11781,10420,6546,1471,98,45998,896,1602,1164,952,762,192,12,5580,0,0,0,0,0,0,0,4,7,22,19,13,6,0,0,70,34,162,167,145,78,3,0,583,48,149,105,84,51,8,0,447,363,846,415,281,245,56,3,2220,8200,19622,17850,14877,9578,2091,145,72364,584,950,807,615,440,100,3,3502
50401,16,3,3,0,0,0,0,24,19,21,18,16,14,6,0,90,66,42,41,38,30,5,0,220,8,7,0,6,4,0,0,28,9,0,0,0,0,0,0,7,19,19,14,0,3,0,0,60,32,26,19,4,6,0,0,98,22,85,195,175,147,97,21,729,328,173,139,119,121,67,9,958,7,18,15,13,11,3,0,71,2422,2972,3098,2787,2364,807,111,14564,22,26,6,4,4,0,0,61,94,52,40,31,25,10,0,246,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,20,11,5,3,0,0,58,1163,1672,1847,1841,1397,336,19,8277,332,120,81,101,70,31,9,746,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,5,9,0,6,0,0,20,0,7,10,3,5,0,0,37,35,24,35,28,19,12,0,159,1662,1937,2042,2023,1530,389,30,9618,27,19,12,8,0,0,0,76
50402,7,0,0,0,0,0,0,5,5,12,11,4,4,7,0,42,13,15,15,7,9,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,5,0,0,0,19,11,6,0,5,0,0,0,23,7,25,64,109,121,86,23,432,138,56,58,60,86,32,7,431,5,6,8,7,10,3,0,36,817,820,883,966,931,367,63,4840,0,0,0,0,0,0,0,3,17,4,0,5,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,414,532,654,789,649,144,17,3207,144,20,23,34,29,10,0,264,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,5,4,5,5,4,0,0,15,19,8,8,25,15,8,0,87,598,568,692,861,707,164,18,3616,0,0,0,0,0,0,0,8
50403,28,10,8,4,5,0,0,55,49,52,36,37,24,7,0,206,116,108,75,68,41,8,0,425,18,14,9,5,0,0,0,45,4,0,0,0,0,0,0,10,37,44,31,20,14,0,0,141,58,59,38,25,10,0,0,197,37,144,268,299,284,160,46,1250,781,531,430,434,375,157,25,2733,25,30,33,28,18,10,4,151,5463,7567,7441,6934,5448,1626,248,34728,26,24,21,12,10,0,0,89,100,44,27,16,16,8,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19,11,4,0,0,98,2806,4345,4435,4541,3121,588,36,19872,747,248,198,202,161,40,14,1600,4,4,9,3,0,0,0,18,0,3,4,5,3,0,0,18,9,12,6,4,8,4,0,47,8,16,11,19,5,4,0,71,78,65,51,70,63,21,3,356,3807,4790,4779,4890,3399,659,52,22377,47,29,17,18,3,0,0,111
50501,9,5,0,8,0,0,0,29,30,18,22,15,13,4,0,98,130,93,65,48,39,13,0,384,26,11,9,0,6,3,0,48,0,0,0,0,0,0,0,5,21,16,9,6,3,0,0,63,50,25,12,10,8,7,0,112,50,175,339,484,503,325,58,1929,890,269,204,205,191,106,14,1887,14,20,14,19,10,3,0,82,4180,3474,3300,3247,2784,1131,148,18260,73,54,44,33,31,4,0,241,100,51,18,29,18,5,0,211,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,29,23,7,6,9,0,0,68,3158,3830,4200,5087,3587,658,21,20534,820,163,155,154,177,41,7,1516,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,7,10,0,9,10,5,0,0,36,7,10,6,10,8,5,0,48,102,52,63,63,62,19,0,365,4297,4190,4510,5396,3884,728,25,23028,108,72,38,30,15,0,0,268
