POW_SA3_CODE_2021,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
50101,0,0,0,0,0,77,71,8,15,176,344,1297,115,37,1803,705,532,62,28,1322,904,544,69,32,1546,1088,748,118,31,1983,1179,1043,119,33,2379,1365,1072,109,42,2589,1461,1024,84,42,2615,1370,946,106,27,2447,1143,919,129,24,2222,777,954,152,17,1903,318,576,61,7,965,120,276,23,8,436,54,116,14,11,204,10824,10073,1165,343,22399
50102,0,3,0,3,3,170,132,19,25,346,881,2194,160,66,3296,2266,1148,141,87,3640,2646,1077,197,83,4001,2764,1390,256,91,4499,3011,1686,219,93,5011,3196,1562,148,77,4986,3480,1543,178,84,5278,3562,1497,230,69,5352,3031,1378,290,48,4745,2089,1301,297,34,3718,688,786,113,19,1605,175,358,33,19,587,79,179,21,28,298,27855,16090,2273,790,47015
50103,0,0,0,0,0,41,35,8,3,82,182,355,12,20,571,354,147,37,16,554,374,177,31,24,609,421,233,38,5,709,486,271,33,14,797,538,261,27,18,836,642,326,33,13,1017,649,347,49,21,1064,677,376,67,16,1141,533,413,74,15,1029,269,288,47,11,617,120,174,20,12,321,87,108,11,13,216,5335,3464,471,205,9475
50201,0,3,0,0,0,98,99,6,20,219,437,2250,91,51,2831,1132,1539,89,62,2828,1425,968,118,65,2587,1360,1131,149,57,2710,1586,1271,135,45,3029,1596,1158,95,44,2886,1870,1168,105,49,3193,1882,1203,114,37,3238,1649,1185,161,43,3042,1043,1083,149,27,2306,353,575,65,11,1005,113,268,13,10,398,35,134,7,17,185,14473,13949,1292,520,30240
50301,0,3,0,0,3,130,109,13,20,260,167,1962,87,27,2245,1511,2981,156,80,4729,3148,1642,241,85,5119,3122,1750,406,78,5347,2901,1978,308,60,5250,2632,1691,150,47,4518,2752,1589,115,46,4499,2736,1621,133,43,4533,2381,1555,172,27,4133,1623,1404,174,23,3224,654,997,82,12,1748,217,490,48,12,762,85,348,24,20,471,23924,20005,2075,558,46564
50302,3,9,6,6,19,766,301,37,102,1209,765,3727,160,140,4788,8527,7500,496,319,16841,17743,5394,960,412,24502,20214,6147,1917,448,28721,21637,7146,1734,333,30845,19555,5963,840,254,26616,18097,4898,644,240,23869,16228,4258,755,193,21440,12287,3800,815,131,17029,7508,3510,662,106,11792,2880,2242,311,58,5501,721,1130,103,33,1975,223,452,41,58,779,146390,56161,9436,2725,214707
50401,0,0,0,0,3,86,56,5,9,164,339,1448,52,28,1869,1251,1424,74,79,2826,1659,903,80,68,2705,1779,835,112,64,2785,1841,1007,87,56,2996,1767,878,68,39,2750,1715,815,59,26,2618,1824,820,70,27,2735,1537,820,79,25,2458,1055,722,73,17,1864,427,483,44,13,964,138,256,18,4,423,35,118,4,4,163,15370,10530,816,443,27166
50402,0,5,0,0,5,32,25,3,6,68,135,685,20,9,849,338,386,20,15,765,483,243,27,14,773,513,245,57,13,823,562,319,23,12,920,574,306,27,17,923,638,335,29,14,1009,691,376,31,13,1112,661,394,42,15,1112,427,329,55,13,824,181,245,34,0,466,56,118,3,3,178,24,68,8,0,100,5281,4050,372,145,9849
50403,0,0,0,0,0,234,132,13,31,410,882,3347,129,66,4429,2956,2701,176,170,6004,4379,1768,275,147,6564,4717,2006,355,146,7219,4640,2059,240,127,7067,4474,1802,155,101,6533,4495,1704,177,84,6458,4580,1630,194,79,6478,3804,1556,214,61,5639,2498,1414,180,43,4131,923,871,96,13,1901,231,401,27,8,664,103,218,14,8,348,38680,21484,2224,1052,63447
50501,0,0,0,0,0,144,142,10,18,314,425,4309,120,48,4892,1720,3267,119,100,5202,2528,1661,188,74,4445,2439,1794,282,91,4598,2468,2100,250,73,4889,2420,2081,129,51,4683,2786,2112,104,50,5057,2911,2083,171,59,5219,2365,1965,172,45,4546,1566,1771,179,31,3551,546,1001,84,19,1650,147,484,31,4,665,30,178,13,4,228,22343,24803,1832,650,49633
