POW_SA3_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
50101,78,6353,25,6453,38,2928,15,2981,13,596,5,617,127,9881,43,10057,53,4297,19,4374,94,6968,24,7088,11,866,8,884,158,12138,55,12347,131,10650,46,10824,127,9900,39,10073,28,1463,12,1503,287,22020,98,22399
50102,328,17688,53,18072,115,4083,16,4216,43,1429,13,1484,488,23200,86,23775,218,9530,35,9787,271,11573,33,11876,47,1527,8,1580,541,22631,76,23242,545,27215,91,27855,386,15664,48,16090,93,2956,18,3065,1030,45834,158,47015
50103,75,3429,16,3524,25,1012,10,1044,20,321,6,343,115,4760,31,4909,31,1769,8,1805,57,2363,11,2425,3,327,3,339,90,4466,22,4568,104,5205,27,5335,80,3372,19,3464,21,650,7,681,198,9225,55,9475
50201,123,7655,19,7805,90,3574,13,3677,9,709,3,724,221,11940,38,12200,95,6562,13,6673,178,10070,24,10268,33,1055,8,1096,309,17686,47,18036,218,14220,34,14473,267,13646,40,13949,44,1762,8,1816,531,29627,81,30240
50301,65,10966,13,11045,44,5397,10,5457,10,740,8,754,122,17105,34,17256,105,12754,22,12883,85,14436,29,14549,21,1853,6,1873,211,29038,54,29304,175,23716,30,23924,127,19832,46,20005,33,2588,4,2632,338,46144,83,46564
50302,824,83563,128,84522,168,15894,34,16098,127,4974,22,5126,1122,104432,185,105743,942,60844,80,61864,386,39615,61,40065,142,6876,21,7034,1467,107331,161,108960,1765,144405,213,146390,553,55513,94,56161,265,11849,44,12160,2590,211763,352,214707
50401,131,10135,24,10287,39,3636,7,3686,12,574,7,596,176,14346,40,14564,56,5009,18,5082,78,6757,11,6852,16,649,3,666,149,12417,36,12594,183,15144,40,15370,115,10397,21,10530,25,1223,12,1262,328,26758,78,27166
50402,51,3231,12,3298,27,1265,5,1295,3,232,3,246,80,4736,25,4840,35,1950,0,1988,33,2711,10,2758,7,260,5,268,75,4925,9,5009,89,5185,12,5281,60,3978,12,4050,16,492,7,519,161,9658,38,9849
50403,316,25384,62,25766,127,7225,26,7368,45,1539,15,1592,483,34146,97,34728,229,12672,15,12921,220,13873,26,14116,46,1627,11,1683,486,28174,55,28716,539,38060,76,38680,343,21095,49,21484,88,3170,24,3278,973,62322,146,63447
50501,86,10770,21,10871,54,6511,18,6575,12,802,7,813,140,18079,40,18260,90,11366,19,11472,113,18070,47,18232,11,1652,4,1670,211,31094,71,31377,169,22137,37,22343,157,24582,61,24803,25,2449,11,2484,354,49167,114,49633
50502,214,27047,47,27305,85,9361,24,9468,32,1607,21,1660,331,38018,92,38437,171,17432,32,17637,162,19516,44,19725,35,2147,11,2191,363,39101,91,39555,384,44481,78,44945,245,28875,73,29195,65,3756,34,3852,692,77114,178,77993
50503,149,19605,43,19804,90,6443,24,6555,25,1215,5,1243,260,27271,73,27603,88,9602,18,9707,114,13459,22,13600,20,1283,7,1310,222,24343,51,24616,240,29209,62,29515,205,19905,42,20153,41,2497,16,2552,483,51614,123,52222
50601,80,6190,11,6278,45,2414,4,2468,14,425,9,442,134,9024,20,9185,80,4707,10,4793,107,6325,19,6444,15,745,8,771,199,11777,34,12008,153,10901,18,11076,152,8737,22,8914,29,1171,10,1206,336,20803,50,21189
50602,328,28682,57,29066,118,7901,24,8045,39,2122,9,2171,489,38707,87,39282,181,13134,23,13341,148,11891,19,12058,31,1790,9,1827,367,26814,52,27233,512,41815,82,42410,272,19798,43,20104,71,3907,17,4004,852,65517,138,66512
50603,370,31528,54,31957,97,8025,19,8147,31,1711,7,1753,502,41263,82,41849,201,13523,19,13743,138,13280,23,13448,26,1523,12,1556,362,28328,55,28747,572,45060,71,45697,236,21314,46,21589,61,3228,21,3311,871,69592,134,70598
50604,151,9913,14,10083,46,3439,5,3488,14,685,3,706,218,14040,22,14282,89,5521,8,5617,104,6893,12,7010,22,717,4,744,211,13133,20,13368,235,15434,23,15700,153,10331,16,10497,39,1402,7,1452,432,27171,49,27649
50605,84,6502,16,6605,22,1924,3,1944,9,388,0,398,113,8814,20,8944,38,3024,6,3074,40,3908,5,3953,6,403,0,412,84,7339,13,7436,125,9529,25,9680,58,5829,9,5900,14,792,0,807,197,16152,31,16384
50606,25,2057,4,2092,14,738,6,761,0,189,0,196,46,2990,13,3045,18,1238,4,1261,35,1839,4,1880,4,203,0,209,60,3284,7,3352,40,3301,9,3350,47,2577,14,2640,11,397,0,409,97,6278,20,6396
50607,40,3902,6,3947,19,1775,5,1801,12,258,0,269,71,5938,15,6019,44,3468,7,3516,31,4382,4,4419,10,457,0,468,77,8314,16,8401,76,7367,13,7465,46,6158,11,6219,15,714,4,733,143,14246,25,14419
