POW_SA3_CODE_2021,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000_3499_A_15_19,MaOpD_3000_3499_A_20_24,MaOpD_3000_3499_A_25_34,MaOpD_3000_3499_A_35_44,MaOpD_3000_3499_A_45_54,MaOpD_3000_3499_A_55_64,MaOpD_3000_3499_A_65_74,MaOpD_3000_3499_A_75ov,MaOpD_3000_3499_Tot,MaOpD_3500mo_A_15_19,MaOpD_3500mo_A_20_24,MaOpD_3500mo_A_25_34,MaOpD_3500mo_A_35_44,MaOpD_3500mo_A_45_54,MaOpD_3500mo_A_55_64,MaOpD_3500mo_A_65_74,MaOpD_3500mo_A_75ov,MaOpD_3500mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19,MaOpD_Tot_A_20_24,MaOpD_Tot_A_25_34,MaOpD_Tot_A_35_44,MaOpD_Tot_A_45_54,MaOpD_Tot_A_55_64,MaOpD_Tot_A_65_74,MaOpD_Tot_A_75ov,MaOpD_Tot_Tot,Lab_NNI_A_15_19,Lab_NNI_A_20_24,Lab_NNI_A_25_34,Lab_NNI_A_35_44,Lab_NNI_A_45_54,Lab_NNI_A_55_64,Lab_NNI_A_65_74,Lab_NNI_A_75ov,Lab_NNI_Tot,Lab_1_149_A_15_19,Lab_1_149_A_20_24,Lab_1_149_A_25_34,Lab_1_149_A_35_44,Lab_1_149_A_45_54,Lab_1_149_A_55_64,Lab_1_149_A_65_74,Lab_1_149_A_75ov,Lab_1_149_Tot,Lab_150_299_A_15_19,Lab_150_299_A_20_24,Lab_150_299_A_25_34,Lab_150_299_A_35_44,Lab_150_299_A_45_54,Lab_150_299_A_55_64,Lab_150_299_A_65_74,Lab_150_299_A_75ov,Lab_150_299_Tot,Lab_300_399_A_15_19,Lab_300_399_A_20_24,Lab_300_399_A_25_34,Lab_300_399_A_35_44,Lab_300_399_A_45_54,Lab_300_399_A_55_64,Lab_300_399_A_65_74,Lab_300_399_A_75ov,Lab_300_399_Tot,Lab_400_499_A_15_19,Lab_400_499_A_20_24,Lab_400_499_A_25_34,Lab_400_499_A_35_44,Lab_400_499_A_45_54,Lab_400_499_A_55_64,Lab_400_499_A_65_74,Lab_400_499_A_75ov,Lab_400_499_Tot,Lab_500_649_A_15_19,Lab_500_649_A_20_24,Lab_500_649_A_25_34,Lab_500_649_A_35_44,Lab_500_649_A_45_54,Lab_500_649_A_55_64,Lab_500_649_A_65_74,Lab_500_649_A_75ov,Lab_500_649_Tot,Lab_650_799_A_15_19,Lab_650_799_A_20_24,Lab_650_799_A_25_34,Lab_650_799_A_35_44,Lab_650_799_A_45_54,Lab_650_799_A_55_64,Lab_650_799_A_65_74,Lab_650_799_A_75ov,Lab_650_799_Tot,Lab_800_999_A_15_19,Lab_800_999_A_20_24,Lab_800_999_A_25_34,Lab_800_999_A_35_44,Lab_800_999_A_45_54,Lab_800_999_A_55_64,Lab_800_999_A_65_74,Lab_800_999_A_75ov,Lab_800_999_Tot,Lab_1000_1249_A_15_19,Lab_1000_1249_A_20_24,Lab_1000_1249_A_25_34,Lab_1000_1249_A_35_44,Lab_1000_1249_A_45_54,Lab_1000_1249_A_55_64,Lab_1000_1249_A_65_74,Lab_1000_1249_A_75ov,Lab_1000_1249_Tot,Lab_1250_1499_A_15_19,Lab_1250_1499_A_20_24,Lab_1250_1499_A_25_34,Lab_1250_1499_A_35_44,Lab_1250_1499_A_45_54,Lab_1250_1499_A_55_64,Lab_1250_1499_A_65_74,Lab_1250_1499_A_75ov,Lab_1250_1499_Tot,Lab_1500_1749_A_15_19,Lab_1500_1749_A_20_24,Lab_1500_1749_A_25_34,Lab_1500_1749_A_35_44,Lab_1500_1749_A_45_54,Lab_1500_1749_A_55_64,Lab_1500_1749_A_65_74,Lab_1500_1749_A_75ov,Lab_1500_1749_Tot,Lab_1750_1999_A_15_19,Lab_1750_1999_A_20_24,Lab_1750_1999_A_25_34,Lab_1750_1999_A_35_44,Lab_1750_1999_A_45_54,Lab_1750_1999_A_55_64,Lab_1750_1999_A_65_74,Lab_1750_1999_A_75ov,Lab_1750_1999_Tot,Lab_2000_2999_A_15_19,Lab_2000_2999_A_20_24,Lab_2000_2999_A_25_34,Lab_2000_2999_A_35_44,Lab_2000_2999_A_45_54,Lab_2000_2999_A_55_64,Lab_2000_2999_A_65_74,Lab_2000_2999_A_75ov,Lab_2000_2999_Tot,Lab_3000_3499_A_15_19,Lab_3000_3499_A_20_24,Lab_3000_3499_A_25_34,Lab_3000_3499_A_35_44,Lab_3000_3499_A_45_54,Lab_3000_3499_A_55_64,Lab_3000_3499_A_65_74,Lab_3000_3499_A_75ov,Lab_3000_3499_Tot,Lab_3500mo_A_15_19,Lab_3500mo_A_20_24,Lab_3500mo_A_25_34
50101,9,12,24,43,36,13,0,138,0,5,11,18,27,27,4,0,91,0,5,4,12,7,18,0,0,44,0,4,7,18,17,9,3,0,55,0,0,4,5,0,0,0,0,9,0,0,0,0,0,3,0,0,10,0,0,0,5,3,0,0,0,10,36,42,92,155,243,250,117,7,950,11,3,0,3,0,6,0,0,27,175,3,6,12,8,12,7,0,223,71,21,14,27,16,23,8,4,184,29,15,25,43,34,45,22,3,215,32,28,40,46,51,51,23,4,269,24,46,57,47,82,85,25,7,377,24,71,87,73,67,90,25,5,435,15,52,102,90,91,63,13,6,426,9,38,101,85,74,53,14,0,378,0,7,37,42,48,28,6,0,174,0,0,14,20,30,13,6,0,89,0,4,8,13,19,10,3,0,54,0,0,10,17,12,3,0,0,40,0,0,0,0,3,0,0,0,9,0,0,5
50102,45,102,127,138,135,31,0,589,0,38,108,163,149,156,26,0,639,4,16,94,163,173,148,21,0,623,0,18,130,265,315,261,30,0,1020,0,0,11,23,30,20,3,0,89,0,0,7,8,18,19,3,3,66,0,4,5,13,9,3,0,0,32,146,313,699,988,1101,1077,263,27,4617,17,5,7,6,5,0,4,0,45,374,9,14,19,7,17,0,0,442,144,20,30,31,37,29,8,0,310,50,32,39,65,53,59,21,4,321,40,30,62,56,67,82,32,10,380,59,70,98,96,115,111,40,10,603,51,100,153,124,143,104,35,7,719,54,175,259,171,170,132,30,0,998,28,100,265,167,161,108,22,0,842,9,37,124,104,88,63,13,0,451,3,28,70,93,63,65,10,0,329,4,16,52,57,60,46,9,0,248,0,16,52,90,71,53,11,0,299,0,0,6,11,10,9,3,0,37,0,0,3
50103,11,24,18,42,30,4,0,131,0,7,22,22,26,39,12,0,123,0,8,17,22,23,29,3,0,105,0,0,22,21,24,18,9,0,93,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,5,0,0,0,3,3,3,0,0,9,18,47,122,147,198,230,70,7,839,6,0,0,0,0,5,0,0,17,68,5,3,3,7,15,3,0,105,22,8,12,17,12,23,10,0,108,9,8,13,4,17,26,14,3,99,10,6,20,7,16,23,16,7,103,26,18,25,22,38,37,24,3,187,25,23,49,27,40,35,12,0,217,13,40,85,56,39,65,11,0,318,4,19,31,25,38,42,11,0,174,0,14,17,14,22,21,0,0,85,0,3,9,24,8,9,3,0,56,0,0,5,4,13,12,5,0,39,0,7,10,13,9,12,4,0,43,0,0,0,4,0,0,0,0,12,0,0,0
50201,8,28,33,58,40,11,0,183,0,5,29,31,41,67,19,0,204,0,0,32,36,59,45,0,0,168,0,12,64,85,127,93,10,0,383,0,0,4,8,9,12,0,0,41,0,0,0,6,5,9,0,0,19,0,0,3,0,0,0,0,0,9,125,96,255,320,436,466,127,25,1850,14,8,0,6,0,4,0,0,33,292,5,10,12,9,13,3,0,357,150,35,21,33,20,26,6,0,296,55,41,32,21,45,41,15,0,240,44,58,43,36,39,58,22,10,309,32,63,71,72,79,103,22,3,446,25,67,66,73,88,84,27,0,427,13,50,76,63,75,69,12,0,361,10,28,59,67,73,68,19,5,307,0,14,25,33,38,32,9,0,151,0,4,14,29,18,23,4,0,96,0,4,5,21,14,14,4,0,70,0,0,14,30,22,18,0,0,91,0,0,3,5,4,6,0,0,14,0,0,0
50301,4,11,16,20,27,7,0,88,0,5,5,7,3,6,3,0,29,0,0,4,7,3,9,5,0,28,0,0,0,9,12,0,0,0,28,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,4,0,5,52,86,99,102,103,114,47,10,603,6,3,4,0,0,0,0,0,10,155,23,4,6,3,7,3,0,202,77,45,19,10,12,18,5,0,180,37,44,29,13,15,17,4,0,172,28,39,50,30,17,19,17,4,204,15,46,76,58,39,51,23,6,303,0,45,64,57,51,63,30,5,306,4,40,79,68,70,69,26,3,348,6,9,70,61,77,61,21,0,303,3,7,28,31,27,23,0,5,135,0,0,21,12,12,10,0,0,58,0,0,3,8,11,8,0,0,21,0,0,0,4,4,10,0,0,22,0,0,0,0,0,0,0,0,3,0,0,0
50302,15,84,70,78,66,14,4,338,0,11,78,84,68,75,13,0,337,3,25,101,122,101,95,17,0,467,7,43,303,371,306,157,20,5,1216,0,3,64,91,83,52,10,0,305,0,0,41,86,85,56,8,0,271,3,6,11,11,16,4,0,0,45,102,291,963,1088,936,723,144,23,4272,21,3,13,9,9,13,0,0,60,346,62,26,28,11,16,4,3,493,199,139,72,50,40,42,22,0,575,97,139,135,66,75,71,25,8,607,80,145,213,115,105,81,36,8,786,48,183,307,193,155,112,58,8,1059,25,150,280,211,175,134,54,3,1024,23,120,314,192,165,150,40,4,1015,14,93,275,208,163,152,52,7,965,5,40,139,99,93,79,25,0,481,6,30,99,100,67,65,18,0,384,3,21,67,54,42,35,6,0,231,4,26,122,115,100,62,8,0,440,4,0,26,34,14,10,0,0,80,0,3,20
50401,8,38,48,66,55,15,0,234,0,4,21,39,40,44,11,0,166,0,4,20,32,19,19,5,0,94,0,0,16,30,29,24,11,0,109,0,0,5,6,6,0,0,0,10,0,0,6,0,13,0,0,0,13,0,0,5,4,6,3,0,0,18,85,172,354,368,398,345,112,9,1848,10,0,0,0,0,0,0,0,18,176,20,12,6,7,11,5,0,228,95,45,17,24,21,30,8,0,240,37,41,29,29,19,30,6,0,200,33,42,43,23,28,28,15,4,222,27,51,60,49,51,58,34,3,328,24,48,70,59,60,69,22,0,359,14,66,104,90,80,66,32,0,461,8,38,80,74,55,68,13,0,342,0,13,49,52,50,33,11,3,210,0,12,29,24,18,17,6,0,108,4,4,15,27,10,7,0,0,69,0,8,14,14,12,3,0,0,48,0,0,0,0,3,5,0,0,12,0,0,0
50402,3,15,19,17,32,8,0,106,0,5,11,23,24,23,3,0,82,0,3,11,5,10,10,7,0,54,0,0,15,24,16,10,3,0,70,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,30,53,114,136,134,158,46,4,687,3,0,0,0,0,0,0,0,8,114,6,6,5,0,4,0,0,132,62,16,3,6,6,12,4,3,109,22,9,0,11,14,19,7,0,77,13,9,7,7,8,9,0,0,62,7,13,11,15,20,21,8,0,94,9,10,18,7,25,25,11,0,110,17,14,25,27,27,23,8,0,148,7,14,38,30,30,29,11,0,151,0,9,16,11,19,11,4,0,68,0,6,13,10,10,8,0,0,45,0,0,3,5,5,5,0,0,19,0,0,5,5,3,3,0,0,26,0,0,0,3,3,0,0,0,6,0,0,0
50403,46,175,209,225,176,45,0,891,0,28,144,153,144,131,32,4,635,3,20,101,132,115,97,27,4,495,0,26,121,165,136,115,25,0,590,0,4,24,31,33,18,5,0,104,0,0,5,22,13,14,6,0,55,4,6,9,5,11,13,3,0,50,292,534,1299,1378,1339,1145,331,28,6341,26,10,14,3,8,4,0,0,70,435,40,4,12,13,20,8,0,531,228,72,48,43,42,43,17,9,509,78,79,57,48,53,57,24,7,413,69,104,101,71,77,66,31,11,528,75,112,130,115,123,114,47,13,730,49,102,151,154,141,131,34,9,770,36,132,227,177,219,161,42,3,992,26,97,212,163,176,156,27,3,860,8,43,114,104,95,74,14,0,453,5,20,73,64,65,41,5,0,268,0,28,52,29,33,29,3,0,171,0,12,47,48,24,17,0,0,155,0,0,11,5,6,0,0,0,18,0,4,5
50501,0,18,21,31,42,6,0,125,0,0,14,19,30,40,9,0,110,0,0,6,13,5,13,5,0,39,0,0,4,16,11,14,4,0,48,0,0,0,0,4,0,0,0,5,0,0,0,0,4,3,0,0,8,0,0,0,3,0,5,0,0,11,152,113,178,152,188,251,75,11,1118,22,5,5,3,0,0,5,0,36,554,46,9,7,11,13,8,0,638,271,96,23,30,22,36,24,6,491,87,91,37,41,31,44,15,4,347,44,81,49,48,53,53,29,5,350,28,87,89,48,78,60,31,4,432,19,67,87,54,82,104,29,9,445,7,41,103,63,85,74,24,4,402,0,32,73,73,96,70,30,0,373,0,5,38,36,32,31,13,0,156,0,5,21,25,18,33,9,0,111,0,0,13,12,11,10,6,0,50,0,0,18,27,14,15,6,0,76,0,0,4,0,5,0,0,0,7,0,0,6
