POW_SA3_CODE_2021,TaTW_650_799_H_0,TaTW_650_799_H_1_19,TaTW_650_799_H_20_29,TaTW_650_799_H_30_34,TaTW_650_799_H_35_39,TaTW_650_799_H_40_44,TaTW_650_799_H_45_49,TaTW_650_799_H_50ov,TaTW_650_799_H_NS,TaTW_650_799_H_Tot,TaTW_800_999_H_0,TaTW_800_999_H_1_19,TaTW_800_999_H_20_29,TaTW_800_999_H_30_34,TaTW_800_999_H_35_39,TaTW_800_999_H_40_44,TaTW_800_999_H_45_49,TaTW_800_999_H_50ov,TaTW_800_999_H_NS,TaTW_800_999_H_Tot,TaTW_1000_1249_H_0,TaTW_1000_1249_H_1_19,TaTW_1000_1249_H_20_29,TaTW_1000_1249_H_30_34,TaTW_1000_1249_H_35_39,TaTW_1000_1249_H_40_44,TaTW_1000_1249_H_45_49,TaTW_1000_1249_H_50ov,TaTW_1000_1249_H_NS,TaTW_1000_1249_H_Tot,TaTW_1250_1499_H_0,TaTW_1250_1499_H_1_19,TaTW_1250_1499_H_20_29,TaTW_1250_1499_H_30_34,TaTW_1250_1499_H_35_39,TaTW_1250_1499_H_40_44,TaTW_1250_1499_H_45_49,TaTW_1250_1499_H_50ov,TaTW_1250_1499_H_NS,TaTW_1250_1499_H_Tot,TaTW_1500_1749_H_0,TaTW_1500_1749_H_1_19,TaTW_1500_1749_H_20_29,TaTW_1500_1749_H_30_34,TaTW_1500_1749_H_35_39,TaTW_1500_1749_H_40_44,TaTW_1500_1749_H_45_49,TaTW_1500_1749_H_50ov,TaTW_1500_1749_H_NS,TaTW_1500_1749_H_Tot,TaTW_1750_1999_H_0,TaTW_1750_1999_H_1_19,TaTW_1750_1999_H_20_29,TaTW_1750_1999_H_30_34,TaTW_1750_1999_H_35_39,TaTW_1750_1999_H_40_44,TaTW_1750_1999_H_45_49,TaTW_1750_1999_H_50ov,TaTW_1750_1999_H_NS,TaTW_1750_1999_H_Tot,TaTW_2000_2999_H_0,TaTW_2000_2999_H_1_19,TaTW_2000_2999_H_20_29,TaTW_2000_2999_H_30_34,TaTW_2000_2999_H_35_39,TaTW_2000_2999_H_40_44,TaTW_2000_2999_H_45_49,TaTW_2000_2999_H_50ov,TaTW_2000_2999_H_NS,TaTW_2000_2999_H_Tot,TaTW_3000_3499_H_0,TaTW_3000_3499_H_1_19,TaTW_3000_3499_H_20_29,TaTW_3000_3499_H_30_34,TaTW_3000_3499_H_35_39,TaTW_3000_3499_H_40_44,TaTW_3000_3499_H_45_49,TaTW_3000_3499_H_50ov,TaTW_3000_3499_H_NS,TaTW_3000_3499_H_Tot,TaTW_3500mo_H_0,TaTW_3500mo_H_1_19,TaTW_3500mo_H_20_29,TaTW_3500mo_H_30_34,TaTW_3500mo_H_35_39,TaTW_3500mo_H_40_44,TaTW_3500mo_H_45_49,TaTW_3500mo_H_50ov,TaTW_3500mo_H_NS,TaTW_3500mo_H_Tot,TaTW_PINS_H_0,TaTW_PINS_H_1_19,TaTW_PINS_H_20_29,TaTW_PINS_H_30_34,TaTW_PINS_H_35_39,TaTW_PINS_H_40_44,TaTW_PINS_H_45_49,TaTW_PINS_H_50ov,TaTW_PINS_H_NS,TaTW_PINS_H_Tot,TaTW_Tot_H_0,TaTW_Tot_H_1_19,TaTW_Tot_H_20_29,TaTW_Tot_H_30_34,TaTW_Tot_H_35_39,TaTW_Tot_H_40_44,TaTW_Tot_H_45_49,TaTW_Tot_H_50ov,TaTW_Tot_H_NS,TaTW_Tot_H_Tot,CoPSW_NNI_H_0,CoPSW_NNI_H_1_19,CoPSW_NNI_H_20_29,CoPSW_NNI_H_30_34,CoPSW_NNI_H_35_39,CoPSW_NNI_H_40_44,CoPSW_NNI_H_45_49,CoPSW_NNI_H_50ov,CoPSW_NNI_H_NS,CoPSW_NNI_H_Tot,CoPSW_1_149_H_0,CoPSW_1_149_H_1_19,CoPSW_1_149_H_20_29,CoPSW_1_149_H_30_34,CoPSW_1_149_H_35_39,CoPSW_1_149_H_40_44,CoPSW_1_149_H_45_49,CoPSW_1_149_H_50ov,CoPSW_1_149_H_NS,CoPSW_1_149_H_Tot,CoPSW_150_299_H_0,CoPSW_150_299_H_1_19,CoPSW_150_299_H_20_29,CoPSW_150_299_H_30_34,CoPSW_150_299_H_35_39,CoPSW_150_299_H_40_44,CoPSW_150_299_H_45_49,CoPSW_150_299_H_50ov,CoPSW_150_299_H_NS,CoPSW_150_299_H_Tot,CoPSW_300_399_H_0,CoPSW_300_399_H_1_19,CoPSW_300_399_H_20_29,CoPSW_300_399_H_30_34,CoPSW_300_399_H_35_39,CoPSW_300_399_H_40_44,CoPSW_300_399_H_45_49,CoPSW_300_399_H_50ov,CoPSW_300_399_H_NS,CoPSW_300_399_H_Tot,CoPSW_400_499_H_0,CoPSW_400_499_H_1_19,CoPSW_400_499_H_20_29,CoPSW_400_499_H_30_34,CoPSW_400_499_H_35_39,CoPSW_400_499_H_40_44,CoPSW_400_499_H_45_49,CoPSW_400_499_H_50ov,CoPSW_400_499_H_NS,CoPSW_400_499_H_Tot,CoPSW_500_649_H_0,CoPSW_500_649_H_1_19,CoPSW_500_649_H_20_29,CoPSW_500_649_H_30_34,CoPSW_500_649_H_35_39,CoPSW_500_649_H_40_44,CoPSW_500_649_H_45_49,CoPSW_500_649_H_50ov,CoPSW_500_649_H_NS,CoPSW_500_649_H_Tot,CoPSW_650_799_H_0,CoPSW_650_799_H_1_19,CoPSW_650_799_H_20_29,CoPSW_650_799_H_30_34,CoPSW_650_799_H_35_39,CoPSW_650_799_H_40_44,CoPSW_650_799_H_45_49,CoPSW_650_799_H_50ov,CoPSW_650_799_H_NS,CoPSW_650_799_H_Tot,CoPSW_800_999_H_0,CoPSW_800_999_H_1_19,CoPSW_800_999_H_20_29,CoPSW_800_999_H_30_34,CoPSW_800_999_H_35_39,CoPSW_800_999_H_40_44,CoPSW_800_999_H_45_49,CoPSW_800_999_H_50ov,CoPSW_800_999_H_NS,CoPSW_800_999_H_Tot,CoPSW_1000_1249_H_0,CoPSW_1000_1249_H_1_19,CoPSW_1000_1249_H_20_29,CoPSW_1000_1249_H_30_34,CoPSW_1000_1249_H_35_39,CoPSW_1000_1249_H_40_44,CoPSW_1000_1249_H_45_49,CoPSW_1000_1249_H_50ov,CoPSW_1000_1249_H_NS,CoPSW_1000_1249_H_Tot
50101,19,27,64,42,66,66,21,21,5,328,26,26,45,62,115,117,23,38,5,460,28,27,38,46,174,197,47,77,9,632,16,10,22,25,100,170,59,76,5,477,14,11,13,5,53,123,31,62,3,312,9,0,0,8,33,70,19,37,0,191,3,3,5,12,18,74,26,64,4,214,0,6,0,7,0,5,3,11,0,34,0,0,0,0,4,0,7,17,0,27,0,3,3,0,5,8,0,5,9,27,127,297,327,277,653,915,254,440,49,3337,3,10,3,0,5,0,0,0,3,18,33,229,0,0,0,0,0,4,3,271,12,119,19,7,0,0,0,0,0,155,7,103,40,8,8,6,0,5,4,181,19,109,71,17,6,10,0,3,0,235,23,89,129,46,22,12,8,5,3,345,30,88,152,119,73,31,5,12,3,504,28,45,113,118,116,52,14,16,9,507,15,32,63,69,99,69,15,29,3,389
50102,17,34,81,67,118,125,37,54,9,542,21,36,69,54,203,184,57,84,11,708,46,33,44,60,259,312,93,135,22,1004,34,22,24,35,176,271,97,179,12,853,29,16,12,22,133,229,123,243,14,816,33,7,19,20,106,230,117,265,7,799,96,19,28,30,231,484,217,638,20,1765,26,4,4,4,51,89,55,163,10,404,21,4,3,3,31,38,36,131,0,265,0,4,0,0,5,24,9,23,13,74,366,509,469,340,1446,2154,867,2001,127,8280,8,15,0,0,0,0,0,0,0,26,25,230,10,0,0,0,0,0,4,265,18,177,34,4,0,0,0,0,7,244,8,156,57,16,7,13,0,0,9,264,24,184,122,31,18,7,0,3,3,393,33,214,284,90,52,17,14,16,3,722,43,113,313,195,114,58,4,25,16,877,28,69,172,205,239,74,15,34,10,843,43,43,104,128,207,107,35,69,11,739
50103,6,10,6,16,20,26,4,6,0,96,6,8,3,20,35,26,13,22,0,131,6,12,6,6,35,62,25,31,3,193,0,0,4,4,32,47,23,33,5,139,3,0,3,0,12,32,11,53,0,134,0,0,0,0,14,19,8,30,0,71,9,4,0,9,8,30,18,76,0,145,0,0,0,0,0,5,3,30,0,37,0,0,0,0,0,3,0,17,0,22,0,0,0,0,0,4,0,4,4,20,50,130,63,69,177,275,113,331,18,1236,0,4,0,0,0,0,0,0,0,8,3,41,0,0,0,0,0,0,0,53,4,33,5,0,0,0,0,0,0,44,3,28,8,0,0,0,0,0,0,48,6,44,23,7,4,0,0,0,0,83,10,44,46,21,9,3,0,7,3,134,10,25,38,39,18,9,4,7,0,150,3,12,20,40,29,21,6,5,6,147,8,5,9,25,29,17,5,6,0,114
50201,16,35,82,64,104,77,12,30,4,423,14,30,54,70,149,100,28,34,3,485,17,25,47,50,221,214,52,62,0,695,13,9,19,22,130,138,43,66,3,446,9,7,9,15,91,108,47,80,8,372,9,3,6,7,71,69,37,55,4,260,32,3,25,10,196,120,71,150,6,616,3,0,4,3,41,25,20,43,0,128,7,5,0,0,10,7,14,28,0,76,0,5,4,0,3,6,3,5,18,36,159,404,418,313,1146,969,347,603,67,4432,3,12,0,0,0,0,0,3,0,25,21,273,9,4,0,3,0,0,3,307,10,267,33,7,0,0,0,0,7,330,13,217,83,14,9,7,4,0,6,341,16,213,133,29,11,9,5,5,5,423,26,214,292,74,47,25,0,12,5,693,49,131,300,150,135,49,3,15,7,837,31,90,188,180,217,65,17,37,10,838,26,43,119,131,209,91,26,41,5,686
50301,10,51,96,61,70,34,14,10,8,355,9,27,72,62,153,85,21,30,6,475,12,30,45,68,271,198,37,38,6,716,22,19,38,48,246,171,46,49,3,645,13,12,17,23,174,154,43,49,5,482,11,10,11,14,72,80,29,44,3,261,7,20,7,6,67,83,20,65,8,290,0,0,0,5,9,10,3,14,0,43,0,3,5,3,4,4,4,25,0,40,0,3,0,0,4,8,0,5,8,24,117,468,431,321,1132,876,228,336,55,3964,9,16,3,4,0,0,0,0,0,41,37,472,12,0,0,0,0,5,0,528,22,474,47,10,4,0,0,0,0,558,22,287,87,15,4,0,0,0,3,428,17,251,156,22,12,7,0,0,4,471,21,252,270,72,35,16,4,6,12,691,30,142,257,132,101,38,16,10,8,731,35,92,186,176,176,90,19,30,5,803,28,66,115,144,271,199,33,52,3,899
50302,24,84,224,148,257,124,33,48,19,958,48,84,177,172,506,347,64,85,17,1510,57,81,138,136,728,690,155,204,28,2213,56,47,80,95,564,653,171,203,17,1897,69,37,63,63,434,542,136,310,22,1678,76,24,39,41,301,417,126,296,22,1336,224,52,53,86,448,906,313,914,31,3025,95,15,23,9,99,309,143,378,5,1085,223,29,25,22,116,296,135,556,15,1424,8,4,3,3,20,27,5,16,62,149,954,1062,1249,892,3652,4489,1302,3078,281,16954,19,37,6,4,0,3,4,6,4,90,46,581,30,0,0,0,0,4,9,671,69,782,103,18,4,10,0,4,22,1012,51,734,225,37,17,9,4,5,17,1099,56,603,430,66,35,18,6,18,15,1248,78,594,819,216,91,67,11,20,38,1938,92,369,750,420,299,121,28,57,38,2167,86,224,551,442,664,276,59,101,36,2430,85,142,330,333,717,530,154,186,21,2486
50401,8,39,74,55,121,102,27,36,4,470,11,25,52,55,207,176,27,53,10,614,19,23,40,48,254,282,86,106,8,863,11,15,22,35,201,227,80,108,6,704,14,11,6,21,100,212,63,129,11,560,9,7,8,12,56,128,61,109,0,385,17,9,10,17,39,101,86,194,4,469,0,0,3,0,0,18,13,33,0,71,0,4,0,0,3,4,6,21,3,46,0,0,3,0,6,9,0,8,11,45,112,325,385,294,1098,1379,476,845,68,4977,0,9,5,0,0,0,0,0,0,18,7,170,7,0,0,0,0,0,0,182,3,178,25,0,5,0,0,0,6,226,3,150,46,8,0,3,0,0,0,221,3,115,101,15,13,3,4,5,3,264,18,141,192,44,31,14,0,8,8,449,14,87,188,79,82,26,8,11,6,493,18,51,121,128,160,63,17,15,8,584,20,32,77,101,155,86,11,57,10,543
50402,3,15,31,21,20,28,15,11,0,141,5,13,23,27,54,44,10,16,0,198,9,9,16,13,62,57,22,29,0,223,0,10,4,3,53,55,17,43,3,194,6,5,8,4,23,42,20,41,0,151,3,0,0,0,9,28,20,33,0,98,0,0,6,0,15,21,12,59,0,116,5,0,0,0,3,4,3,8,0,16,3,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,9,7,19,47,156,146,87,266,312,130,278,17,1444,0,0,0,0,0,0,0,0,0,4,3,72,5,0,0,0,0,0,0,82,4,65,5,3,0,0,0,0,0,85,0,41,17,5,0,4,0,0,0,67,0,31,35,4,0,3,0,7,0,92,5,44,71,16,3,8,0,0,0,152,7,35,60,29,25,6,0,6,0,167,6,20,41,37,63,14,4,11,0,199,9,13,22,29,53,17,4,10,4,152
50403,10,72,149,92,189,198,44,64,7,825,33,49,95,124,392,340,87,90,20,1227,44,55,78,96,489,608,167,229,26,1787,29,36,28,50,319,509,161,243,14,1402,11,22,34,32,256,442,145,279,18,1244,20,19,15,15,148,241,114,270,4,847,36,21,18,21,141,235,162,581,12,1236,19,5,3,0,15,30,22,128,5,218,16,6,0,0,13,29,9,106,0,183,0,5,6,3,21,17,10,12,23,95,269,636,713,545,2179,2879,970,2098,159,10450,3,13,6,5,5,4,0,0,0,38,21,338,8,3,0,0,0,3,7,378,19,352,50,4,3,0,0,0,3,445,19,227,94,10,7,15,0,5,6,387,20,234,144,40,13,3,7,7,12,479,28,235,301,102,60,21,9,28,9,795,45,160,323,186,165,67,21,21,13,1007,44,89,211,216,320,115,16,39,12,1070,35,45,128,171,316,156,42,86,19,994
50501,18,75,149,95,104,75,20,24,3,559,12,58,79,89,187,115,33,41,7,622,25,38,53,86,222,274,42,81,7,829,21,35,33,43,156,202,56,84,0,623,16,16,22,37,105,173,51,98,7,522,11,10,8,18,53,83,34,47,0,254,17,6,9,17,41,92,35,97,4,318,3,6,3,0,10,15,11,28,0,70,0,0,0,0,10,12,5,36,0,63,3,3,10,0,3,9,0,6,20,59,157,634,651,458,1010,1157,307,578,70,5031,9,21,5,4,0,5,0,0,0,45,29,585,19,6,0,0,0,0,6,644,20,508,95,14,5,8,0,3,8,657,21,379,134,19,7,11,0,3,5,590,27,360,229,48,24,19,0,7,13,728,46,349,415,110,68,28,6,16,18,1063,49,181,405,226,122,63,15,31,6,1097,29,105,295,283,387,169,25,38,10,1341,31,65,154,196,373,232,44,60,10,1168
