POW_SA3_CODE_2021,M_Tot_H_0,M_Tot_H_1_19,M_Tot_H_20_29,M_Tot_H_30_34,M_Tot_H_35_39,M_Tot_H_40_44,M_Tot_H_45_49,M_Tot_H_50ov,M_Tot_H_NS,M_Tot_H_Tot,F_AgFF_H_0,F_AgFF_H_1_19,F_AgFF_H_20_29,F_AgFF_H_30_34,F_AgFF_H_35_39,F_AgFF_H_40_44,F_AgFF_H_45_49,F_AgFF_H_50ov,F_AgFF_H_NS,F_AgFF_H_Tot,F_Min_H_0,F_Min_H_1_19,F_Min_H_20_29,F_Min_H_30_34,F_Min_H_35_39,F_Min_H_40_44,F_Min_H_45_49,F_Min_H_50ov,F_Min_H_NS,F_Min_H_Tot,F_Mnf_H_0,F_Mnf_H_1_19,F_Mnf_H_20_29,F_Mnf_H_30_34,F_Mnf_H_35_39,F_Mnf_H_40_44,F_Mnf_H_45_49,F_Mnf_H_50ov,F_Mnf_H_NS,F_Mnf_H_Tot,F_EGWWS_H_0,F_EGWWS_H_1_19,F_EGWWS_H_20_29,F_EGWWS_H_30_34,F_EGWWS_H_35_39,F_EGWWS_H_40_44,F_EGWWS_H_45_49,F_EGWWS_H_50ov,F_EGWWS_H_NS,F_EGWWS_H_Tot,F_Const_H_0,F_Const_H_1_19,F_Const_H_20_29,F_Const_H_30_34,F_Const_H_35_39,F_Const_H_40_44,F_Const_H_45_49,F_Const_H_50ov,F_Const_H_NS,F_Const_H_Tot,F_WST_H_0,F_WST_H_1_19,F_WST_H_20_29,F_WST_H_30_34,F_WST_H_35_39,F_WST_H_40_44,F_WST_H_45_49,F_WST_H_50ov,F_WST_H_NS,F_WST_H_Tot,F_RetT_H_0,F_RetT_H_1_19,F_RetT_H_20_29,F_RetT_H_30_34,F_RetT_H_35_39,F_RetT_H_40_44,F_RetT_H_45_49,F_RetT_H_50ov,F_RetT_H_NS,F_RetT_H_Tot,F_AcFd_H_0,F_AcFd_H_1_19,F_AcFd_H_20_29,F_AcFd_H_30_34,F_AcFd_H_35_39,F_AcFd_H_40_44,F_AcFd_H_45_49,F_AcFd_H_50ov,F_AcFd_H_NS,F_AcFd_H_Tot,F_TPW_H_0,F_TPW_H_1_19,F_TPW_H_20_29,F_TPW_H_30_34,F_TPW_H_35_39,F_TPW_H_40_44,F_TPW_H_45_49,F_TPW_H_50ov,F_TPW_H_NS,F_TPW_H_Tot,F_IMT_H_0,F_IMT_H_1_19,F_IMT_H_20_29,F_IMT_H_30_34,F_IMT_H_35_39,F_IMT_H_40_44,F_IMT_H_45_49,F_IMT_H_50ov,F_IMT_H_NS,F_IMT_H_Tot,F_FinIns_H_0,F_FinIns_H_1_19,F_FinIns_H_20_29,F_FinIns_H_30_34,F_FinIns_H_35_39,F_FinIns_H_40_44,F_FinIns_H_45_49,F_FinIns_H_50ov,F_FinIns_H_NS,F_FinIns_H_Tot,F_RHRE_H_0,F_RHRE_H_1_19,F_RHRE_H_20_29,F_RHRE_H_30_34,F_RHRE_H_35_39,F_RHRE_H_40_44,F_RHRE_H_45_49,F_RHRE_H_50ov,F_RHRE_H_NS,F_RHRE_H_Tot,F_ProSTS_H_0,F_ProSTS_H_1_19,F_ProSTS_H_20_29,F_ProSTS_H_30_34,F_ProSTS_H_35_39,F_ProSTS_H_40_44,F_ProSTS_H_45_49,F_ProSTS_H_50ov,F_ProSTS_H_NS,F_ProSTS_H_Tot,F_AdSup_H_0,F_AdSup_H_1_19,F_AdSup_H_20_29,F_AdSup_H_30_34,F_AdSup_H_35_39,F_AdSup_H_40_44,F_AdSup_H_45_49,F_AdSup_H_50ov,F_AdSup_H_NS,F_AdSup_H_Tot,F_PubAS_H_0,F_PubAS_H_1_19,F_PubAS_H_20_29,F_PubAS_H_30_34,F_PubAS_H_35_39,F_PubAS_H_40_44,F_PubAS_H_45_49,F_PubAS_H_50ov,F_PubAS_H_NS,F_PubAS_H_Tot,F_EdTrn_H_0,F_EdTrn_H_1_19,F_EdTrn_H_20_29,F_EdTrn_H_30_34,F_EdTrn_H_35_39,F_EdTrn_H_40_44,F_EdTrn_H_45_49,F_EdTrn_H_50ov,F_EdTrn_H_NS,F_EdTrn_H_Tot,F_HltHC_SA_H_0,F_HltHC_SA_H_1_19,F_HltHC_SA_H_20_29,F_HltHC_SA_H_30_34,F_HltHC_SA_H_35_39,F_HltHC_SA_H_40_44,F_HltHC_SA_H_45_49,F_HltHC_SA_H_50ov,F_HltHC_SA_H_NS,F_HltHC_SA_H_Tot,F_ArtsR_H_0,F_ArtsR_H_1_19,F_ArtsR_H_20_29,F_ArtsR_H_30_34,F_ArtsR_H_35_39,F_ArtsR_H_40_44,F_ArtsR_H_45_49,F_ArtsR_H_50ov,F_ArtsR_H_NS,F_ArtsR_H_Tot,F_OthSvs_H_0,F_OthSvs_H_1_19,F_OthSvs_H_20_29,F_OthSvs_H_30_34,F_OthSvs_H_35_39,F_OthSvs_H_40_44,F_OthSvs_H_45_49,F_OthSvs_H_50ov,F_OthSvs_H_NS,F_OthSvs_H_Tot
50101,434,1290,920,769,1638,2308,768,1739,184,10057,18,92,65,35,44,54,30,42,8,398,4,9,6,3,0,8,4,6,0,33,43,118,134,77,127,93,28,34,0,662,0,6,7,3,11,9,0,0,0,38,13,103,71,40,44,55,5,19,8,353,0,33,31,19,19,22,0,4,3,136,106,545,395,218,256,149,54,63,11,1796,99,632,356,200,220,192,49,96,25,1864,9,37,51,17,20,19,4,9,0,175,0,11,6,6,7,12,0,3,0,49,10,25,33,27,29,26,9,9,0,168,7,42,23,23,68,42,11,25,0,252,19,125,97,76,88,68,15,31,0,525,25,164,107,46,61,51,15,24,5,504,35,65,50,36,94,63,15,11,0,376,102,291,320,200,212,215,103,151,10,1608,178,451,528,372,370,225,61,107,17,2312,13,76,32,14,28,21,4,9,0,190,20,142,91,58,72,56,16,20,5,490
50102,1046,1923,1267,1025,3779,5892,2513,5879,442,23775,27,113,94,35,94,65,20,67,4,525,35,21,43,22,47,147,32,70,0,419,62,153,122,87,298,294,113,97,12,1238,13,24,29,14,57,37,9,15,0,207,31,146,95,69,111,153,36,92,3,738,9,46,28,19,47,47,17,19,6,233,169,900,630,343,508,268,81,97,20,3016,75,791,399,155,202,136,33,78,28,1903,24,74,82,40,84,85,13,55,11,471,4,34,15,12,27,16,12,3,0,125,20,51,62,34,82,79,20,29,3,378,8,47,50,22,115,60,12,30,0,341,26,149,116,88,145,111,25,60,0,721,18,197,120,68,95,65,21,28,7,614,90,144,179,124,387,232,63,86,11,1316,170,630,646,454,538,446,181,291,27,3388,379,918,1184,915,1142,658,146,281,56,5676,15,116,55,38,48,21,11,24,8,326,37,274,172,102,177,88,45,63,10,963
50103,225,464,329,245,655,1065,358,1437,115,4909,35,133,80,78,73,110,35,105,22,669,11,6,10,0,9,36,8,40,0,119,5,35,11,17,28,16,5,16,0,133,0,0,9,3,0,0,0,3,0,17,5,20,13,4,9,20,4,17,0,92,3,22,11,10,17,12,0,6,0,76,25,160,107,67,77,47,15,35,10,537,16,188,80,50,44,40,12,46,9,484,6,19,29,9,13,13,4,8,0,94,0,5,0,0,0,0,3,0,0,7,0,7,7,0,10,8,0,0,0,42,0,15,4,12,13,10,3,6,0,65,4,22,24,23,29,15,3,6,0,128,3,45,28,17,21,16,0,9,0,133,11,30,48,31,44,56,6,11,0,227,32,112,118,88,68,78,26,72,4,599,70,161,147,132,106,106,28,34,9,785,0,10,10,10,4,0,5,6,0,56,8,37,23,22,22,15,6,8,4,135
50201,443,1783,1162,737,2457,2502,948,1901,273,12200,5,29,15,17,8,20,3,15,8,111,4,12,14,6,18,10,6,14,0,81,28,124,86,47,129,110,40,35,3,603,0,15,9,5,20,8,4,10,0,67,10,99,69,45,53,44,7,25,5,354,0,24,18,11,29,11,8,7,0,101,155,1132,654,328,473,220,65,80,29,3132,42,831,386,162,163,110,28,60,25,1812,24,50,61,29,38,31,10,18,3,261,3,15,11,3,15,7,0,0,0,62,21,29,41,26,55,39,8,15,4,238,10,64,45,31,99,63,15,33,3,363,18,113,95,69,101,77,12,37,3,521,18,190,92,48,95,44,12,30,10,537,37,96,106,66,228,112,19,41,5,711,121,460,468,326,487,444,163,264,7,2745,282,808,1049,744,956,446,103,237,39,4656,13,155,58,28,28,13,4,12,5,315,24,231,190,85,140,91,22,33,9,821
50301,488,2776,1543,1141,3319,3902,1159,2666,271,17256,0,21,12,5,10,5,0,3,0,52,5,21,3,5,4,13,8,9,0,66,5,70,51,26,24,27,8,15,0,238,0,3,0,0,3,8,4,0,0,18,4,53,34,24,41,38,4,22,3,220,0,20,21,8,20,18,0,5,0,105,72,763,434,205,294,156,50,64,12,2052,64,664,357,156,193,137,46,55,18,1686,7,15,14,6,20,16,4,9,3,81,0,22,12,5,16,17,0,7,0,81,13,87,63,30,61,56,14,23,0,346,12,101,58,49,89,106,24,47,0,487,77,339,337,228,362,315,97,144,5,1908,12,114,105,35,54,43,4,20,0,390,40,115,94,77,159,129,44,33,5,706,246,1047,791,479,970,777,289,539,21,5165,963,1808,2389,2024,2946,2052,487,737,77,13487,21,154,77,37,80,63,23,27,0,479,34,275,213,121,227,141,38,48,7,1112
50302,3632,6404,5612,4086,21188,32700,9883,20748,1490,105743,4,16,17,11,30,37,9,11,0,142,459,278,595,506,1044,2300,715,1237,49,7185,32,202,135,90,272,249,68,104,9,1169,97,72,155,141,562,370,105,82,5,1595,84,163,237,165,419,870,167,277,9,2388,25,91,110,58,180,183,43,67,0,755,182,1394,1029,442,886,531,134,233,50,4874,207,1952,1440,641,994,697,245,381,73,6641,73,87,133,106,254,582,72,85,7,1403,72,110,134,93,350,277,69,87,12,1209,584,461,943,766,2596,2204,474,668,47,8738,76,169,230,147,549,505,128,169,7,1981,931,1528,2121,1572,4014,4621,1204,1937,72,18006,204,701,851,375,936,769,190,280,29,4333,855,788,1323,1086,4579,2493,689,781,55,12658,253,1109,932,580,1135,808,278,536,24,5642,1302,3254,3969,2940,5139,3052,692,1181,155,21683,82,414,259,124,336,215,61,78,10,1585,155,607,599,394,835,567,161,222,31,3572
50401,332,1662,1186,835,2840,3502,1314,2623,265,14564,0,0,8,0,4,0,0,0,0,20,7,18,11,4,9,31,6,12,0,86,23,111,99,56,180,136,30,41,3,684,0,8,0,3,11,10,3,7,0,40,10,77,55,37,55,83,14,33,3,376,8,45,51,38,60,45,11,14,0,269,94,688,421,216,342,151,49,57,21,2044,33,466,253,93,138,98,27,43,15,1156,3,35,22,15,34,24,5,9,0,154,0,24,8,5,3,12,3,0,0,64,10,23,43,26,39,33,5,19,0,191,5,36,30,15,43,44,12,13,4,200,13,122,103,64,108,97,22,43,7,578,12,76,75,21,70,49,14,15,0,336,29,51,88,39,152,89,20,24,0,496,89,413,332,237,310,258,123,157,11,1923,95,434,531,343,530,243,57,124,20,2373,5,115,50,28,47,30,6,14,3,292,29,184,138,69,109,95,31,48,10,708
50402,165,633,397,269,784,1118,403,992,79,4840,0,7,7,4,5,3,0,5,0,37,8,12,13,4,24,14,3,10,0,79,0,56,33,18,42,52,13,12,0,225,0,0,0,3,0,3,0,0,0,15,10,47,27,8,17,13,0,13,0,141,0,23,16,15,9,32,7,4,0,96,22,200,119,70,76,53,18,25,0,580,12,223,88,41,32,16,9,22,3,442,6,23,35,12,9,22,11,16,4,138,0,0,7,3,0,0,0,3,0,15,0,8,4,0,7,0,4,0,0,25,0,16,17,13,7,12,5,13,0,75,10,57,52,50,24,37,18,17,3,265,0,39,17,6,14,8,3,3,3,87,31,33,51,30,128,104,31,24,0,441,47,228,213,144,153,159,62,103,3,1110,35,156,154,96,138,79,21,52,0,722,0,33,9,3,7,5,6,9,0,76,12,92,49,19,33,21,3,19,4,251
50403,977,3314,2419,1636,6650,8824,3187,7106,621,34728,5,96,78,42,67,62,6,26,5,386,27,24,28,19,56,97,26,55,3,338,38,213,218,129,335,208,60,79,11,1287,3,13,22,9,35,46,23,21,0,169,40,176,174,102,239,240,57,69,13,1098,52,90,132,80,241,310,48,87,3,1039,159,1379,870,368,703,354,100,114,36,4082,75,989,486,233,207,144,51,120,20,2323,33,101,118,62,227,173,63,66,3,846,3,24,35,16,17,31,3,10,0,147,17,51,72,25,63,65,13,14,3,315,10,50,57,23,84,59,20,33,0,339,22,151,147,79,199,199,44,65,0,904,19,199,156,80,132,82,22,32,19,738,125,158,243,135,504,424,97,84,11,1784,181,660,617,485,692,527,223,427,33,3852,345,948,1166,841,1530,732,149,343,52,6114,10,138,73,38,50,33,9,17,4,370,48,324,255,151,291,193,44,84,20,1401
50501,497,3449,1901,1221,3183,4131,1125,2428,320,18260,5,11,6,4,4,4,0,7,0,44,0,8,18,10,8,9,0,4,0,66,9,147,81,31,42,30,12,19,0,364,0,4,4,6,16,9,0,0,0,47,9,172,113,51,58,63,9,22,4,502,0,41,34,22,25,22,0,7,0,150,159,1912,1114,426,621,295,93,89,29,4744,71,1361,516,226,227,152,33,91,30,2704,10,46,44,8,31,20,11,6,6,184,0,60,29,19,21,16,4,3,7,153,32,87,100,60,128,88,20,29,0,540,11,94,76,57,111,93,26,42,4,500,31,260,211,112,161,154,30,66,0,1020,31,232,131,76,141,65,24,20,7,724,105,167,206,135,446,291,37,48,9,1456,297,1099,1204,718,1257,1011,353,607,35,6577,451,1602,2006,1388,1851,842,176,343,63,8731,24,235,100,35,42,33,9,14,5,497,65,441,334,193,300,177,57,63,16,1645
