POW_SA3_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
50101,61,323,177,86,101,87,32,100,7,965,23,159,85,36,24,34,16,50,8,436,14,78,27,18,12,21,6,19,11,204,1165,4337,3423,2312,3457,3738,1204,2432,343,22399
50102,113,387,252,151,160,199,94,233,19,1605,33,215,106,48,33,69,14,64,19,587,21,113,43,18,13,32,4,27,28,298,2273,6881,5483,3729,8072,8968,3407,7405,790,47015
50103,47,147,86,58,58,76,22,117,11,617,20,96,43,28,13,48,3,59,12,321,11,52,34,19,13,32,3,39,13,216,471,1529,1115,816,1251,1682,526,1875,205,9475
50201,65,294,195,93,131,107,25,90,11,1005,13,168,67,21,33,40,7,33,10,398,7,84,32,11,6,14,0,9,17,185,1292,6397,4717,2847,5652,4466,1470,2881,520,30240
50301,82,466,344,188,248,193,64,158,12,1748,48,274,149,66,70,71,11,63,12,762,24,231,59,51,26,23,5,31,20,471,2075,8584,6715,4709,8988,8100,2317,4521,558,46564
50302,311,959,842,444,1003,1001,273,607,58,5501,103,626,347,156,254,256,67,143,33,1975,41,285,121,49,65,87,28,51,58,779,9436,20257,21309,14589,46880,54647,15487,29368,2725,214707
50401,44,236,152,93,147,148,46,86,13,964,18,156,71,32,52,38,15,41,4,423,4,66,40,21,5,11,5,8,4,163,816,4721,3600,2208,5187,5097,1772,3314,443,27166
50402,34,115,90,46,42,64,26,52,0,466,3,70,39,14,13,27,5,15,3,178,8,46,17,8,4,12,0,16,0,100,372,1916,1323,812,1548,1774,622,1334,145,9849
50403,96,364,353,150,327,282,76,236,13,1901,27,237,124,45,66,76,28,60,8,664,14,137,54,29,27,27,9,34,8,348,2224,9321,7512,4649,12515,12978,4271,8920,1052,63447
50501,84,517,327,156,196,185,43,127,19,1650,31,295,126,60,39,63,17,26,4,665,13,131,39,11,6,7,3,9,4,228,1832,11607,8350,4849,8759,7588,2040,3955,650,49633
50502,141,654,463,241,414,350,96,233,21,2609,44,424,202,110,96,94,27,92,16,1109,17,241,90,26,37,29,9,18,27,501,2668,12729,10140,6325,16020,15575,4572,8775,1180,77993
50503,64,340,254,131,206,204,66,147,18,1430,25,165,95,40,47,52,12,58,8,501,5,87,38,13,12,18,3,15,12,202,1721,9003,7062,4092,9600,10157,3089,6664,833,52222
50601,45,160,112,62,92,93,27,64,5,665,11,99,36,22,24,28,5,18,0,244,4,39,22,12,5,12,0,11,3,103,844,3885,2983,2045,3869,3736,1162,2303,365,21189
50602,85,336,266,124,290,313,110,213,17,1755,35,193,113,37,84,80,22,42,13,615,19,94,40,8,18,29,6,21,13,242,2901,8375,7203,4524,13137,14804,4760,9711,1102,66512
50603,92,394,328,164,414,343,117,234,18,2094,29,232,118,55,78,96,23,68,13,714,18,139,55,14,17,27,8,16,24,318,2180,9311,7660,4623,15213,15639,5077,9765,1132,70598
50604,52,208,159,78,145,152,49,104,12,952,19,117,59,24,36,38,17,23,5,343,4,71,28,9,0,8,0,8,9,145,972,4551,3747,2202,5379,5303,1661,3354,484,27649
50605,30,157,101,41,90,96,37,63,17,638,5,106,38,18,17,23,15,31,7,265,0,57,16,9,5,11,0,8,7,118,531,2703,1951,1249,2776,3181,1242,2475,274,16384
50606,20,46,32,17,19,28,15,27,6,203,6,33,13,10,4,14,0,12,0,91,0,16,11,7,4,0,0,7,0,55,264,1220,851,573,956,1115,404,872,139,6396
50607,21,177,120,48,86,66,20,51,4,588,16,109,63,20,22,28,6,19,7,295,4,58,18,8,6,9,5,10,7,124,545,2713,2213,1296,2688,2473,748,1554,195,14419
50701,62,289,189,97,207,234,71,160,15,1321,18,135,65,42,56,57,16,44,7,423,6,74,35,12,13,31,0,15,6,193,1630,6830,5308,3310,9167,11423,3593,7552,736,49546
50702,60,292,205,85,146,138,51,112,18,1096,19,182,87,40,47,41,11,26,5,452,5,86,40,16,14,17,3,14,4,199,1256,5013,4063,2632,5820,5787,1797,3354,399,30124
50703,32,73,48,24,83,100,54,71,9,495,9,31,27,9,18,16,4,20,4,133,3,20,3,3,3,0,0,0,6,43,757,1743,1443,980,3163,4049,1737,3361,293,17533
50704,84,450,288,123,202,207,46,135,14,1554,23,277,131,38,47,57,12,34,11,624,13,140,47,21,7,13,0,11,10,274,1934,8571,6491,4233,8272,8164,2292,4586,608,45144
50705,54,199,170,86,115,114,33,76,12,858,14,118,50,21,23,24,3,14,0,268,5,64,20,7,4,13,0,4,8,118,1514,6508,4940,3054,6219,6193,1798,4023,576,34820
50901,94,312,206,113,124,176,60,211,29,1322,44,206,100,37,42,72,28,96,18,656,38,116,54,38,17,44,13,34,26,378,1304,4195,3283,2263,4060,4602,1737,3841,503,25781
50902,97,237,164,116,119,179,64,274,26,1286,33,142,109,48,49,60,30,155,30,644,22,114,82,37,10,55,11,72,38,450,1070,2964,2396,1521,2917,3929,1612,5573,480,22475
50903,46,91,78,41,49,91,38,161,9,603,22,70,46,22,17,31,17,85,9,312,9,51,36,22,14,36,6,43,13,233,715,1151,1020,640,1182,1854,849,3388,232,11036
51001,37,84,62,42,93,93,19,126,9,566,9,37,15,17,27,26,6,41,8,181,5,22,13,5,11,8,0,13,3,72,792,1286,1127,1056,3059,2900,1024,3519,396,15170
51002,96,28,27,11,41,44,27,279,12,568,6,16,0,16,12,11,5,46,3,122,5,0,0,0,0,6,3,9,3,31,2963,1342,1060,610,1987,2256,2088,14800,660,27768
51003,81,28,16,14,36,55,39,254,8,534,14,11,9,10,8,13,4,46,0,113,3,8,6,0,0,3,0,8,4,36,2887,1643,1239,840,2077,3063,2163,13366,552,27827
51101,24,57,46,17,34,38,17,76,4,311,6,31,19,17,3,8,0,27,3,109,7,28,8,4,0,9,3,25,3,97,471,956,737,506,972,1328,528,2110,177,7790
51102,11,16,24,10,27,31,10,42,3,181,3,20,14,3,5,3,3,15,3,78,0,6,3,0,3,0,0,14,7,30,226,486,459,332,820,927,309,1016,136,4703
51103,45,79,75,36,87,94,52,242,7,719,7,39,23,10,25,28,11,39,3,189,8,21,5,6,0,9,0,20,4,75,1811,1851,1637,946,2664,3380,2329,11432,604,26655
51104,82,182,153,85,103,153,59,264,19,1105,14,121,65,28,34,60,17,76,7,418,14,73,38,20,12,31,8,36,27,263,1577,3283,2643,1873,3680,4114,1782,7168,502,26622
59797,9,0,0,0,0,0,0,10,0,25,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,235,39,21,17,40,63,31,905,27,1386
