POW_SA3_CODE_2021,NG_NNI_Mng,NG_NNI_Pro,NG_NNI_TecTW,NG_NNI_CoPSW,NG_NNI_ClAW,NG_NNI_SWks,NG_NNI_MaOpDv,NG_NNI_Lab,NG_NNI_IDNS,NG_NNI_Tot,NG_1_149_Mng,NG_1_149_Pro,NG_1_149_TecTW,NG_1_149_CoPSW,NG_1_149_ClAW,NG_1_149_SWks,NG_1_149_MaOpDv,NG_1_149_Lab,NG_1_149_IDNS,NG_1_149_Tot,NG_150_299_Mng,NG_150_299_Pro,NG_150_299_TecTW,NG_150_299_CoPSW,NG_150_299_ClAW,NG_150_299_SWks,NG_150_299_MaOpDv,NG_150_299_Lab,NG_150_299_IDNS,NG_150_299_Tot,NG_300_399_Mng,NG_300_399_Pro,NG_300_399_TecTW,NG_300_399_CoPSW,NG_300_399_ClAW,NG_300_399_SWks,NG_300_399_MaOpDv,NG_300_399_Lab,NG_300_399_IDNS,NG_300_399_Tot,NG_400_499_Mng,NG_400_499_Pro,NG_400_499_TecTW,NG_400_499_CoPSW,NG_400_499_ClAW,NG_400_499_SWks,NG_400_499_MaOpDv,NG_400_499_Lab,NG_400_499_IDNS,NG_400_499_Tot,NG_500_649_Mng,NG_500_649_Pro,NG_500_649_TecTW,NG_500_649_CoPSW,NG_500_649_ClAW,NG_500_649_SWks,NG_500_649_MaOpDv,NG_500_649_Lab,NG_500_649_IDNS,NG_500_649_Tot,NG_650_799_Mng,NG_650_799_Pro,NG_650_799_TecTW,NG_650_799_CoPSW,NG_650_799_ClAW,NG_650_799_SWks,NG_650_799_MaOpDv,NG_650_799_Lab,NG_650_799_IDNS,NG_650_799_Tot,NG_800_999_Mng,NG_800_999_Pro,NG_800_999_TecTW,NG_800_999_CoPSW,NG_800_999_ClAW,NG_800_999_SWks,NG_800_999_MaOpDv,NG_800_999_Lab,NG_800_999_IDNS,NG_800_999_Tot,NG_1000_1249_Mng,NG_1000_1249_Pro,NG_1000_1249_TecTW,NG_1000_1249_CoPSW,NG_1000_1249_ClAW,NG_1000_1249_SWks,NG_1000_1249_MaOpDv,NG_1000_1249_Lab,NG_1000_1249_IDNS,NG_1000_1249_Tot,NG_1250_1499_Mng,NG_1250_1499_Pro,NG_1250_1499_TecTW,NG_1250_1499_CoPSW,NG_1250_1499_ClAW,NG_1250_1499_SWks,NG_1250_1499_MaOpDv,NG_1250_1499_Lab,NG_1250_1499_IDNS,NG_1250_1499_Tot,NG_1500_1749_Mng,NG_1500_1749_Pro,NG_1500_1749_TecTW,NG_1500_1749_CoPSW,NG_1500_1749_ClAW,NG_1500_1749_SWks,NG_1500_1749_MaOpDv,NG_1500_1749_Lab,NG_1500_1749_IDNS,NG_1500_1749_Tot,NG_1750_1999_Mng,NG_1750_1999_Pro,NG_1750_1999_TecTW,NG_1750_1999_CoPSW,NG_1750_1999_ClAW,NG_1750_1999_SWks,NG_1750_1999_MaOpDv,NG_1750_1999_Lab,NG_1750_1999_IDNS,NG_1750_1999_Tot,NG_2000_2999_Mng,NG_2000_2999_Pro,NG_2000_2999_TecTW,NG_2000_2999_CoPSW,NG_2000_2999_ClAW,NG_2000_2999_SWks,NG_2000_2999_MaOpDv,NG_2000_2999_Lab,NG_2000_2999_IDNS,NG_2000_2999_Tot,NG_3000_3499_Mng,NG_3000_3499_Pro,NG_3000_3499_TecTW,NG_3000_3499_CoPSW,NG_3000_3499_ClAW,NG_3000_3499_SWks,NG_3000_3499_MaOpDv,NG_3000_3499_Lab,NG_3000_3499_IDNS,NG_3000_3499_Tot,NG_3500mo_Mng,NG_3500mo_Pro,NG_3500mo_TecTW,NG_3500mo_CoPSW,NG_3500mo_ClAW,NG_3500mo_SWks,NG_3500mo_MaOpDv,NG_3500mo_Lab,NG_3500mo_IDNS,NG_3500mo_Tot,NG_PINS_Mng,NG_PINS_Pro,NG_PINS_TecTW,NG_PINS_CoPSW,NG_PINS_ClAW,NG_PINS_SWks,NG_PINS_MaOpDv,NG_PINS_Lab,NG_PINS_IDNS,NG_PINS_Tot,NG_Tot_Mng,NG_Tot_Pro,NG_Tot_TecTW,NG_Tot_CoPSW,NG_Tot_ClAW,NG_Tot_SWks,NG_Tot_MaOpDv,NG_Tot_Lab,NG_Tot_IDNS,NG_Tot_Tot,SG_NNI_Mng,SG_NNI_Pro,SG_NNI_TecTW,SG_NNI_CoPSW,SG_NNI_ClAW,SG_NNI_SWks,SG_NNI_MaOpDv,SG_NNI_Lab,SG_NNI_IDNS,SG_NNI_Tot,SG_1_149_Mng,SG_1_149_Pro,SG_1_149_TecTW,SG_1_149_CoPSW,SG_1_149_ClAW,SG_1_149_SWks,SG_1_149_MaOpDv,SG_1_149_Lab,SG_1_149_IDNS,SG_1_149_Tot,SG_150_299_Mng,SG_150_299_Pro,SG_150_299_TecTW,SG_150_299_CoPSW,SG_150_299_ClAW,SG_150_299_SWks,SG_150_299_MaOpDv,SG_150_299_Lab,SG_150_299_IDNS,SG_150_299_Tot
50101,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,3,0,0,4,0,0,0,0,9,0,0,0,3,0,5,0,0,0,7,0,0,0,9,6,3,0,0,0,18,0,0,0,0,5,0,0,0,0,14,0,0,0,3,8,4,0,0,0,9,0,0,0,0,12,3,0,0,0,16,0,5,0,0,10,4,0,0,0,20,0,0,0,0,6,0,0,0,0,12,0,3,0,0,0,0,0,0,0,7,0,6,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,21,0,18,59,18,0,4,0,135,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,5,0,11,5,4,0,7,0,0,0,4,0,21
50102,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,0,0,12,3,3,0,4,5,0,0,0,0,16,0,0,0,0,16,0,0,0,0,21,0,4,0,6,19,3,0,0,0,29,5,6,0,4,37,0,0,0,0,61,0,4,0,5,68,0,4,4,4,89,0,23,3,3,101,5,0,0,0,135,3,12,0,3,89,0,0,0,0,115,3,19,4,4,40,0,0,0,4,77,7,26,0,0,19,0,0,0,0,51,11,16,0,0,4,0,0,0,0,35,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,37,131,16,36,408,19,8,7,16,667,0,6,0,4,5,0,0,0,0,13,0,8,0,16,7,0,0,0,0,31,0,16,7,33,3,0,0,8,0,66
50103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,23,9,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,5,0,0,4,0,4,0,0,6,0,15
50201,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,4,0,5,8,3,0,0,0,15,0,0,0,4,5,0,0,0,0,13,0,0,0,0,6,5,0,0,0,17,0,4,0,3,10,0,0,0,0,26,0,6,3,7,33,5,6,0,0,57,0,5,0,4,24,0,0,0,0,35,0,3,0,4,11,0,0,0,0,22,3,3,0,0,5,0,0,0,0,11,3,16,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,41,8,45,98,17,4,4,4,237,0,0,0,0,0,0,0,0,0,5,0,5,0,7,0,0,0,0,0,12,0,10,0,15,5,0,0,11,0,34
50301,0,5,0,0,0,0,0,0,0,3,0,5,0,8,0,0,0,0,0,19,6,10,0,12,9,0,0,0,3,32,0,11,0,14,8,0,0,0,3,33,5,12,4,12,6,0,0,0,3,35,0,24,0,7,13,0,0,4,4,59,5,28,5,11,15,0,0,0,3,71,10,22,3,14,25,5,0,6,4,88,12,46,8,20,31,4,4,4,0,133,14,55,19,28,58,0,5,0,4,189,27,69,32,34,50,0,7,0,8,223,40,105,13,43,25,0,0,0,5,229,122,174,22,128,26,4,7,0,6,484,34,36,4,21,5,0,0,0,0,94,27,51,0,7,0,0,0,0,0,86,0,8,0,0,0,0,0,0,0,8,294,652,115,364,253,17,30,20,42,1786,0,11,0,0,0,0,0,0,0,16,0,36,10,16,12,0,0,0,0,70,8,56,10,16,10,0,7,21,0,119
50302,0,3,0,4,10,0,0,0,0,20,0,7,0,5,6,0,0,0,0,21,0,14,0,5,23,0,0,0,0,38,0,26,0,9,26,0,0,0,0,72,0,15,7,10,34,0,0,6,9,73,4,40,9,3,64,5,0,4,0,129,4,55,5,12,145,3,4,3,10,244,18,76,4,11,300,10,0,4,6,433,26,180,24,31,505,13,8,4,17,801,46,269,33,21,714,11,0,4,28,1129,96,402,31,28,507,5,0,0,30,1106,128,326,26,32,277,0,0,0,18,809,357,575,32,85,276,3,0,0,17,1340,71,90,6,12,13,0,0,0,0,185,97,116,5,3,24,0,0,0,5,242,0,10,0,0,11,0,0,0,8,28,845,2197,180,266,2930,60,10,34,148,6676,4,20,0,9,11,0,0,0,0,43,0,15,0,16,16,0,0,0,0,47,7,43,8,32,49,0,0,19,0,156
50401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,8,0,0,0,4,5,0,0,0,0,9,0,0,0,8,11,0,0,0,0,18,0,0,0,5,31,6,5,0,0,42,3,3,0,0,37,0,0,0,0,42,5,3,0,0,6,0,0,0,0,22,0,5,0,0,3,0,0,0,0,11,4,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,0,19,103,12,6,0,3,182,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,8,0,8,0,8,0,0,0,10,0,28
50402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,8,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,20,7,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,5,0,3,7,0,0,6,0,23
50403,0,0,0,0,3,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,3,6,0,4,6,0,0,0,0,13,0,3,0,0,3,0,0,0,0,12,0,0,0,4,0,0,0,0,0,8,0,4,0,4,16,9,6,0,0,33,9,9,0,6,14,3,4,0,0,40,0,5,4,9,40,0,18,5,3,83,0,15,4,13,90,0,20,0,0,147,14,24,12,38,78,3,9,0,3,174,17,69,22,21,40,0,4,0,3,178,14,39,13,11,15,0,7,0,0,98,36,87,11,14,13,0,3,3,0,168,9,23,0,3,0,0,0,0,0,31,8,20,0,0,0,0,0,0,0,33,0,0,0,0,4,0,0,0,0,5,116,298,70,124,320,20,60,6,16,1035,0,5,0,4,7,0,0,0,0,14,3,3,0,8,0,0,0,5,0,26,0,5,3,15,6,0,0,34,0,69
50501,0,4,0,0,0,0,0,0,0,4,0,16,0,0,4,0,0,0,0,26,0,11,0,11,13,3,0,0,0,35,0,8,0,0,9,0,0,0,0,27,3,20,0,4,11,0,0,0,0,38,0,37,0,5,34,8,0,0,0,80,3,47,7,4,39,4,0,3,0,108,0,46,9,7,39,4,0,0,0,107,3,70,7,10,87,4,0,0,0,187,14,85,19,3,134,0,0,0,0,254,27,129,36,14,89,0,4,0,5,299,27,151,10,0,42,0,0,0,5,233,85,338,4,0,26,3,0,0,5,458,18,48,0,0,0,0,0,0,0,68,32,53,0,0,5,0,0,0,0,92,0,3,0,0,7,0,0,0,0,16,217,1058,96,68,532,27,9,5,19,2036,0,9,0,0,0,0,0,0,4,9,0,9,0,6,0,0,0,7,0,17,0,16,0,29,5,0,0,18,0,65
