POW_SA3_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
50101,11,1269,4,1286,7,160,0,164,10,1704,7,1720,0,181,0,189,25,1943,8,1973,6,326,0,336,40,2733,17,2789,55,3120,13,3187,7,532,0,538,0,97,0,101,4,274,0,274,0,392,3,399,5,941,5,950,18,854,6,876,7,690,0,700,32,1974,7,2010,27,2781,6,2812,5,341,3,353,9,863,4,875,15,843,7,866,287,22020,98,22399
50102,10,1439,8,1461,56,2375,4,2435,99,5254,15,5368,26,1101,4,1131,111,4696,18,4825,15,782,4,802,114,4466,7,4592,81,2887,12,2976,31,1800,12,1841,5,256,0,262,8,562,0,566,4,565,0,568,24,1382,0,1404,39,970,7,1022,69,2496,3,2571,85,4119,16,4226,149,6636,23,6807,13,493,0,510,29,1858,7,1897,58,1695,15,1766,1030,45834,158,47015
50103,32,2032,14,2080,17,558,10,589,13,461,0,471,0,85,0,90,22,595,9,623,0,170,0,169,17,804,3,823,20,689,0,714,7,307,0,315,0,19,0,19,0,55,0,54,0,86,0,87,0,245,0,245,12,227,7,241,11,508,0,522,12,713,3,727,15,914,4,934,0,98,0,98,3,286,0,296,20,371,3,389,198,9225,55,9475
50201,5,333,3,341,11,504,0,511,36,2298,0,2335,9,282,3,290,30,1941,9,1982,0,267,0,272,95,4551,8,4653,53,2937,7,2999,17,782,0,801,0,123,0,120,3,333,0,339,3,527,0,533,9,854,0,871,19,853,0,876,39,1272,3,1319,56,3327,4,3391,71,5356,15,5443,14,503,0,514,17,1396,3,1414,31,1184,16,1230,531,29627,81,30240
50301,0,110,0,113,0,278,0,276,3,452,0,454,4,113,0,117,20,1368,4,1389,0,197,0,197,13,3250,10,3273,19,3057,6,3082,6,292,0,303,0,161,0,162,4,728,0,732,3,853,4,856,28,3460,3,3489,4,707,0,714,17,1760,4,1777,61,7932,12,8001,115,17482,25,17621,9,1005,5,1020,10,1608,0,1625,18,1342,7,1359,338,46144,83,46564
50302,0,335,0,339,510,21762,36,22307,26,2983,5,3010,55,3738,10,3801,92,8875,25,8993,7,1910,4,1915,54,8384,12,8451,116,12437,13,12571,49,4726,3,4776,26,3141,3,3169,91,15959,21,16065,15,3781,5,3800,358,42568,55,42979,67,7144,11,7220,466,22212,30,22716,98,7985,15,8099,336,27486,41,27862,45,2853,3,2898,59,5651,11,5726,131,7840,44,8017,2590,211763,352,214707
50401,0,59,0,63,12,482,5,495,33,2973,4,3015,3,233,0,233,33,2526,9,2579,7,802,0,812,40,3505,9,3552,18,2014,0,2039,10,846,0,853,5,181,0,184,3,295,0,296,6,437,0,444,4,1213,0,1223,7,690,0,705,19,1156,4,1180,32,2519,4,2556,42,2932,10,2984,13,537,0,547,15,1682,3,1702,31,1656,16,1699,328,26758,78,27166
50402,5,87,0,90,4,361,4,372,6,617,0,627,0,60,0,64,19,806,0,826,0,274,0,274,8,994,0,1003,13,737,8,755,7,495,0,511,0,32,0,32,0,54,0,54,5,118,0,116,4,511,0,517,3,192,0,195,24,965,3,995,18,1348,6,1376,14,882,0,894,0,121,0,127,11,514,0,521,9,487,13,512,161,9658,38,9849
50403,13,818,5,832,40,1864,3,1910,55,4970,11,5030,8,679,3,693,92,6036,14,6143,40,3633,4,3685,93,6940,14,7050,50,3995,6,4058,48,4047,10,4111,6,518,0,532,10,509,4,520,0,721,3,728,17,2163,3,2188,37,1613,0,1648,86,4185,9,4279,101,4864,4,4970,150,7483,12,7649,12,698,0,715,38,3035,11,3081,79,3540,19,3638,973,62322,146,63447
50501,0,95,0,95,4,237,0,240,3,703,0,706,3,156,0,157,25,2802,10,2831,0,322,0,325,76,7249,18,7342,29,4832,10,4869,9,753,4,767,0,351,0,349,0,890,0,896,5,746,0,752,6,2102,0,2109,4,1279,0,1287,41,3023,5,3061,61,8526,25,8608,46,10289,29,10367,10,898,0,908,12,2389,4,2408,18,1530,10,1558,354,49167,114,49633
50502,0,388,0,393,14,858,0,871,12,3767,10,3793,30,922,5,951,98,9129,18,9242,13,2185,0,2201,80,9950,28,10062,29,4712,11,4757,14,1615,5,1640,3,1381,3,1385,4,1574,4,1578,3,1281,0,1286,26,5773,7,5808,23,2538,8,2574,79,4005,9,4092,71,7242,11,7333,100,11214,23,11339,14,1270,0,1293,17,3435,0,3462,53,3866,27,3945,692,77114,178,77993
