POW_SA3_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
50101,3330,3731,3337,3025,2313,2451,950,2945,316,22399
50102,4627,7733,8280,5579,5337,3940,4617,6106,792,47015
50103,2131,1107,1236,901,882,646,839,1580,156,9475
50201,2908,4962,4432,5304,3122,3984,1850,3234,443,30240
50301,4997,19178,3964,6481,5491,2879,603,2296,677,46564
50302,32740,82663,16954,18750,38119,9181,4272,8375,3656,214707
50401,3113,4294,4977,3769,2920,2939,1848,2878,423,27166
50402,1109,1775,1444,1558,1071,958,687,1064,181,9849
50403,7347,10237,10450,7646,7586,6210,6341,6555,1080,63447
50501,4695,12735,5031,8869,5849,6702,1118,3967,673,49633
50502,10065,16645,11322,9640,10619,8443,3270,6684,1294,77993
50503,6162,7384,9628,6812,5770,5254,4004,6376,827,52222
50601,1962,4553,2990,3268,2258,2319,1289,2235,330,21189
50602,8693,11345,9013,9641,8927,5117,7180,5471,1136,66512
50603,8807,12295,11199,6024,9382,6306,8472,6863,1247,70598
50604,2799,4556,4431,4550,2883,2815,2375,2808,432,27649
50605,1890,2530,2717,1872,2083,1280,2075,1679,265,16384
50606,765,927,1033,1007,615,486,493,951,115,6396
50607,1681,4542,1466,2553,1805,998,209,936,233,14419
50701,6138,7549,10444,4963,6062,3993,4591,4942,864,49546
50702,4105,7382,3611,4262,3835,2262,1509,2723,435,30124
50703,1786,2475,4004,1890,1616,906,2382,2136,354,17533
50704,4464,14909,4689,5605,5344,4590,1469,3473,594,45144
50705,3484,6544,5097,6306,3323,4325,1710,3511,528,34820
50901,4719,4176,3316,3173,2680,2172,1550,3582,411,25781
50902,5228,2604,3137,2002,2240,1333,2289,3251,402,22475
50903,2744,1229,1714,824,878,457,1703,1288,200,11036
51001,2065,3418,1871,2371,1738,874,863,1591,367,15170
51002,1857,3307,8610,1259,1731,630,7152,2620,595,27768
51003,2095,3522,8604,1544,2009,774,5634,3028,616,27827
51101,1406,963,1297,639,800,559,995,947,188,7790
51102,794,619,684,602,521,350,309,719,110,4703
51103,2252,3802,6371,1834,2251,1106,6204,2353,480,26655
51104,3501,4182,4663,2964,2680,1923,3327,2937,442,26622
59797,61,233,528,45,42,6,168,258,46,1386
59999,3764,6520,18753,6741,2582,2143,7579,11109,1375,60566
