POW_SA3_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
50101,1352,321,102,12347,63,3,24,88,0,185,881,13,76,40,0,1005,620,9,116,41,7,791,648,31,148,37,7,871,954,42,191,55,16,1251,1551,95,285,64,24,2015,2063,108,267,52,20,2512,2309,191,312,47,26,2889,2554,201,397,52,26,3226,1659,175,290,33,16,2182,1176,233,222,34,16,1682,817,164,169,25,11,1193,1031,260,218,19,19,1547,176,89,52,3,6,327,185,172,126,23,4,503,133,22,35,16,21,225,16826,1807,2930,618,219,22399
50102,1233,354,130,23242,155,13,26,104,6,299,1434,9,100,53,7,1606,1146,16,116,61,16,1352,1220,32,154,55,25,1488,1678,40,177,57,17,1967,2868,100,230,54,23,3275,3645,120,235,52,25,4079,4682,161,282,46,29,5205,5267,223,333,39,32,5894,4114,168,263,18,25,4589,3713,249,236,36,14,4248,3250,163,138,20,10,3579,5784,317,196,22,14,6331,1048,116,58,6,8,1237,982,246,162,16,15,1429,348,23,35,14,31,440,41332,1993,2745,644,295,47015
50103,539,261,48,4568,26,15,16,95,0,152,257,3,27,37,3,332,240,19,63,70,4,401,234,24,81,45,6,398,328,24,91,53,7,500,605,47,149,39,13,846,731,63,130,30,4,958,981,65,144,47,19,1258,917,85,167,50,13,1233,650,70,94,26,9,848,548,72,85,26,10,737,401,50,60,15,11,544,625,74,76,17,7,800,100,24,21,0,0,146,96,51,41,18,4,218,62,7,16,19,8,108,6795,695,1274,586,126,9475
50201,1212,259,107,18036,116,16,20,96,0,244,1341,14,70,38,12,1479,1257,29,140,32,15,1471,1228,42,157,46,10,1489,1502,66,183,34,15,1797,2421,82,254,37,18,2811,2724,125,258,32,17,3160,3013,112,249,30,15,3416,3158,188,324,33,26,3723,2021,174,218,25,11,2443,1804,180,149,14,13,2161,1335,116,120,12,4,1589,2480,232,164,11,16,2912,393,84,58,4,3,539,378,213,108,10,8,707,218,21,24,16,30,298,25386,1683,2504,460,212,30240
50301,1275,286,92,29304,115,13,18,57,0,202,1316,4,67,12,7,1411,1439,15,107,22,9,1593,1305,32,112,31,5,1483,1474,55,89,26,11,1650,2464,65,168,21,6,2728,2807,94,177,31,13,3122,3537,142,215,36,8,3946,5088,192,253,47,26,5605,4744,182,207,19,12,5160,4397,236,189,25,15,4862,3372,175,166,25,7,3747,5541,456,263,33,8,6306,1006,214,93,26,0,1347,1807,823,371,70,7,3076,255,21,21,3,27,331,40675,2731,2505,498,156,46564
50302,2866,496,311,108960,420,52,39,158,4,670,2288,24,122,62,16,2511,3306,63,180,47,23,3625,3621,100,245,60,31,4067,4420,124,299,54,34,4939,7385,256,400,76,40,8162,9375,289,413,66,51,10204,13589,471,557,74,51,14749,20610,587,588,51,62,21900,20798,572,510,44,52,21969,20316,802,497,34,34,21678,16757,625,352,23,33,17791,38623,1505,722,38,45,40936,11347,800,260,24,16,12445,23096,2947,1359,62,41,27499,1298,78,56,25,94,1551,197251,9298,6613,909,641,214707
50401,963,174,75,12594,77,17,23,55,4,167,849,6,61,20,0,936,917,30,110,18,7,1078,903,46,151,27,10,1137,1058,58,175,21,17,1326,1757,70,213,32,19,2096,2134,146,258,30,9,2574,2968,143,259,25,22,3421,3201,247,305,18,15,3783,2473,229,216,15,14,2940,1839,246,174,17,12,2284,1285,172,117,7,7,1588,1959,303,188,13,9,2471,290,117,57,3,0,474,289,243,79,0,3,616,198,24,20,8,25,271,22177,2089,2405,317,176,27166
50402,595,115,28,5009,25,3,9,40,0,86,391,7,60,7,0,470,356,11,69,16,5,453,279,22,89,7,7,393,351,29,76,13,3,472,562,39,117,20,0,738,631,59,101,15,5,809,846,64,145,23,3,1077,969,110,147,10,10,1249,756,82,110,10,3,960,780,82,88,4,9,963,578,76,59,8,0,721,707,142,89,11,5,948,93,55,23,3,0,174,93,73,42,0,0,220,88,6,14,5,7,123,7500,856,1230,196,59,9849
50403,1678,445,123,28716,205,19,40,155,3,435,1844,17,112,57,10,2043,1923,49,199,63,10,2232,1828,78,226,74,16,2218,2151,74,268,56,13,2567,3566,161,381,69,23,4190,4480,247,390,55,39,5210,6391,307,466,62,50,7267,8007,463,506,54,35,9072,6036,389,383,36,22,6862,5187,474,335,30,29,6049,3916,337,216,18,11,4497,6173,574,287,31,15,7075,1040,219,68,12,9,1350,1154,420,148,22,3,1744,494,35,35,20,52,632,54380,3866,4057,814,334,63447
50501,2172,377,107,31377,153,18,32,122,4,334,2577,19,149,38,11,2793,2393,29,215,47,14,2694,1959,82,280,67,11,2397,2303,85,268,44,15,2719,3471,166,366,49,17,4060,3801,203,432,40,11,4491,4468,223,465,47,16,5220,5046,350,529,43,14,5987,3625,335,396,24,12,4388,3210,426,349,28,17,4022,2430,279,240,12,9,2971,3909,509,355,31,7,4809,515,222,123,8,0,867,678,422,250,10,5,1368,395,31,46,4,38,512,40932,3391,4487,625,201,49633
