POW_SA3_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
50101,1750,287,388,540,900,923,684,13,161,5644
50102,3079,401,653,1071,2345,1985,1288,47,224,11089
50103,886,85,91,139,244,198,212,15,80,1946
50201,2511,378,521,1040,2516,2151,879,14,146,10153
50301,4926,1180,1629,2394,3661,3353,2616,78,222,20047
50302,21476,5267,7587,11225,19883,17688,13094,315,1015,97556
50401,2864,679,809,1080,2356,2124,1464,19,134,11522
50402,1120,172,205,293,586,431,253,12,49,3110
50403,6103,1409,1755,2492,5904,4803,2778,62,356,25663
50501,5282,1264,1739,2907,5227,3840,2114,41,214,22627
50502,7955,1963,2547,3706,7019,6311,4350,58,396,34303
50503,5073,1380,1769,3069,6340,4802,2394,50,303,25185
50601,2111,405,525,881,2027,1597,778,18,96,8424
50602,6182,1574,2043,3178,7046,6094,4375,59,401,30953
50603,7110,1590,2110,3261,7800,6421,4615,61,370,33341
50604,2882,615,792,1198,3045,2504,1393,19,152,12605
50605,1711,273,376,574,1389,1054,639,17,78,6114
50606,558,94,133,209,461,379,200,4,35,2066
50607,1459,300,410,615,1247,1104,954,5,49,6140
50701,4545,1013,1327,1985,4915,4312,2340,38,253,20718
50702,2953,628,765,1139,2218,2066,1476,36,136,11426
50703,1862,349,452,655,1761,1377,559,14,90,7111
50704,4687,1039,1500,2217,4197,3569,2262,52,200,19718
50705,3140,570,821,1321,3234,2559,1060,34,155,12901
50901,2039,250,330,484,976,693,576,50,128,5530
50902,1571,214,318,455,796,802,737,93,135,5131
50903,653,100,129,167,348,335,247,22,68,2060
51001,860,154,193,260,645,646,869,58,83,3770
51002,1871,409,669,873,2177,1873,1099,45,180,9197
51003,1931,403,599,819,2081,1814,1001,35,172,8861
51101,451,57,118,144,282,245,204,10,43,1552
51102,366,42,71,86,157,176,354,18,43,1314
51103,1604,346,575,832,2086,1815,1293,46,155,8763
51104,1463,245,395,522,1184,1010,654,29,132,5629
59797,116,31,45,56,97,76,47,0,14,480
59999,6105,1200,1702,2320,4460,3800,2728,65,414,22790
