POW_SA3_CODE_2021,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20mo_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20mo_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
50101,101,29,0,8,129,2183,702,32,22,2930
50102,96,28,0,0,124,1930,774,27,13,2745
50103,42,14,0,0,55,871,388,8,12,1274
50201,94,32,0,0,123,1882,579,29,12,2504
50301,104,11,4,0,117,1995,467,39,3,2505
50302,260,49,6,9,326,4694,1453,449,15,6613
50401,111,17,0,0,126,1915,462,21,3,2405
50402,52,10,0,0,57,993,226,7,0,1230
50403,158,39,0,0,198,3179,809,54,12,4057
50501,168,14,0,0,189,3730,719,31,12,4487
50502,195,30,3,0,236,4520,903,63,13,5501
50503,212,38,0,0,254,4304,921,49,13,5286
50601,90,18,0,0,106,1458,351,23,3,1832
50602,108,21,0,3,134,2032,424,36,11,2501
50603,166,31,3,0,202,2321,562,46,4,2933
50604,86,17,0,0,100,1877,432,15,3,2327
50605,43,8,0,0,50,1179,308,5,3,1493
50606,41,5,0,0,45,677,165,0,4,850
50607,41,10,0,0,52,894,205,7,3,1107
50701,138,27,0,0,165,2496,604,24,3,3132
50702,84,13,0,0,107,1744,440,31,4,2216
50703,34,7,0,0,44,654,157,6,3,822
50704,111,10,0,0,120,2405,554,26,10,2989
50705,97,13,0,0,115,2137,482,18,9,2638
50901,60,16,0,0,82,1946,1117,33,20,3120
50902,54,19,0,0,73,1609,850,14,37,2500
50903,22,0,0,0,27,673,583,0,10,1266
51001,22,6,0,0,21,452,190,7,0,647
51002,26,5,0,0,29,296,55,4,0,358
51003,18,7,0,0,25,352,91,0,0,448
51101,28,4,0,3,30,423,337,6,8,776
51102,15,0,0,0,20,257,146,4,3,415
51103,24,8,0,0,37,429,179,8,10,623
51104,60,10,0,0,72,1190,631,15,13,1843
59797,7,0,0,0,7,18,4,0,0,17
59999,486,35,4,7,535,15566,1650,50,78,17340
