POW_SA3_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
50101,34,182,121,76,147,174,54,74,12,875,36,146,111,74,106,134,31,91,134,866,1165,4337,3423,2312,3457,3738,1204,2432,343,22399
50102,69,337,211,148,339,322,161,292,16,1897,73,220,125,78,254,286,113,287,335,1766,2273,6881,5483,3729,8072,8968,3407,7405,790,47015
50103,10,46,34,29,42,56,22,45,5,296,18,65,33,13,39,78,17,48,72,389,471,1529,1115,816,1251,1682,526,1875,205,9475
50201,34,281,232,114,264,249,72,150,14,1414,53,205,133,80,151,184,54,131,231,1230,1292,6397,4717,2847,5652,4466,1470,2881,520,30240
50301,39,337,259,153,360,262,79,124,7,1625,44,224,149,89,182,212,46,149,265,1359,2075,8584,6715,4709,8988,8100,2317,4521,558,46564
50302,222,794,790,532,1324,1101,331,580,62,5726,279,757,714,437,1255,1854,454,904,1371,8017,9436,20257,21309,14589,46880,54647,15487,29368,2725,214707
50401,51,263,220,128,312,360,130,216,19,1702,37,241,162,106,313,340,75,198,213,1699,816,4721,3600,2208,5187,5097,1772,3314,443,27166
50402,20,111,70,28,86,86,32,77,9,521,20,65,46,27,86,91,32,70,83,512,372,1916,1323,812,1548,1774,622,1334,145,9849
50403,77,434,359,229,648,646,218,443,29,3081,92,425,305,222,691,758,185,445,506,3638,2224,9321,7512,4649,12515,12978,4271,8920,1052,63447
50501,79,528,407,248,433,373,133,188,28,2408,43,290,181,100,213,240,59,149,289,1558,1832,11607,8350,4849,8759,7588,2040,3955,650,49633
50502,98,561,474,270,745,691,233,361,26,3462,93,509,404,218,727,818,194,400,576,3945,2668,12729,10140,6325,16020,15575,4572,8775,1180,77993
50503,92,515,364,186,481,584,165,327,31,2739,85,385,254,186,606,675,171,379,369,3101,1721,9003,7062,4092,9600,10157,3089,6664,833,52222
50601,30,191,148,95,152,157,48,104,8,939,22,138,85,61,197,195,48,108,190,1039,844,3885,2983,2045,3869,3736,1162,2303,365,21189
50602,69,267,232,146,433,468,154,315,30,2114,83,297,246,165,565,745,177,359,502,3137,2901,8375,7203,4524,13137,14804,4760,9711,1102,66512
50603,75,386,350,187,730,817,281,456,33,3313,88,503,406,274,1022,1274,318,544,566,5001,2180,9311,7660,4623,15213,15639,5077,9765,1132,70598
