POW_SA3_CODE_2021,M_M1_Train_15_24,M_M1_Train_25_34,M_M1_Train_35_44,M_M1_Train_45_54,M_M1_Train_55_64,M_M1_Train_65_74,M_M1_Train_75ov,M_M1_Train_Tot,M_M1_Bus_15_24,M_M1_Bus_25_34,M_M1_Bus_35_44,M_M1_Bus_45_54,M_M1_Bus_55_64,M_M1_Bus_65_74,M_M1_Bus_75ov,M_M1_Bus_Tot,M_M1_Ferry_15_24,M_M1_Ferry_25_34,M_M1_Ferry_35_44,M_M1_Ferry_45_54,M_M1_Ferry_55_64,M_M1_Ferry_65_74,M_M1_Ferry_75ov,M_M1_Ferry_Tot,M_M1_Tram_or_LR_15_24,M_M1_Tram_or_LR_25_34,M_M1_Tram_or_LR_35_44,M_M1_Tram_or_LR_45_54,M_M1_Tram_or_LR_55_64,M_M1_Tram_or_LR_65_74,M_M1_Tram_or_LR_75ov,M_M1_Tram_or_LR_Tot,M_M1_Taxi_or_RSS_15_24,M_M1_Taxi_or_RSS_25_34,M_M1_Taxi_or_RSS_35_44,M_M1_Taxi_or_RSS_45_54,M_M1_Taxi_or_RSS_55_64,M_M1_Taxi_or_RSS_65_74,M_M1_Taxi_or_RSS_75ov,M_M1_Taxi_or_RSS_Tot,M_M1_CarAsDriv_15_24,M_M1_CarAsDriv_25_34,M_M1_CarAsDriv_35_44,M_M1_CarAsDriv_45_54,M_M1_CarAsDriv_55_64,M_M1_CarAsDriv_65_74,M_M1_CarAsDriv_75ov,M_M1_CarAsDriv_Tot,M_M1_CarAsPas_15_24,M_M1_CarAsPas_25_34,M_M1_CarAsPas_35_44,M_M1_CarAsPas_45_54,M_M1_CarAsPas_55_64,M_M1_CarAsPas_65_74,M_M1_CarAsPas_75ov,M_M1_CarAsPas_Tot,M_M1_Truck_15_24,M_M1_Truck_25_34,M_M1_Truck_35_44,M_M1_Truck_45_54,M_M1_Truck_55_64,M_M1_Truck_65_74,M_M1_Truck_75ov,M_M1_Truck_Tot,M_M1_MBikeScoot_15_24,M_M1_MBikeScoot_25_34,M_M1_MBikeScoot_35_44,M_M1_MBikeScoot_45_54,M_M1_MBikeScoot_55_64,M_M1_MBikeScoot_65_74,M_M1_MBikeScoot_75ov,M_M1_MBikeScoot_Tot,M_M1_Bicycle_15_24,M_M1_Bicycle_25_34,M_M1_Bicycle_35_44,M_M1_Bicycle_45_54,M_M1_Bicycle_55_64,M_M1_Bicycle_65_74,M_M1_Bicycle_75ov,M_M1_Bicycle_Tot,M_M1_Other_15_24,M_M1_Other_25_34,M_M1_Other_35_44,M_M1_Other_45_54,M_M1_Other_55_64,M_M1_Other_65_74,M_M1_Other_75ov,M_M1_Other_Tot,M_M1_WlkOnly_15_24,M_M1_WlkOnly_25_34,M_M1_WlkOnly_35_44,M_M1_WlkOnly_45_54,M_M1_WlkOnly_55_64,M_M1_WlkOnly_65_74,M_M1_WlkOnly_75ov,M_M1_WlkOnly_Tot,M_M1_Tot_M1_15_24,M_M1_Tot_M1_25_34,M_M1_Tot_M1_35_44,M_M1_Tot_M1_45_54,M_M1_Tot_M1_55_64,M_M1_Tot_M1_65_74,M_M1_Tot_M1_75ov,M_M1_Tot_M1_Tot,M_M2_TrnBus_15_24,M_M2_TrnBus_25_34,M_M2_TrnBus_35_44,M_M2_TrnBus_45_54,M_M2_TrnBus_55_64,M_M2_TrnBus_65_74,M_M2_TrnBus_75ov,M_M2_TrnBus_Tot,M_M2_TrnFer_15_24,M_M2_TrnFer_25_34,M_M2_TrnFer_35_44,M_M2_TrnFer_45_54,M_M2_TrnFer_55_64,M_M2_TrnFer_65_74,M_M2_TrnFer_75ov,M_M2_TrnFer_Tot,M_M2_TrnTrm_or_LR_15_24,M_M2_TrnTrm_or_LR_25_34,M_M2_TrnTrm_or_LR_35_44,M_M2_TrnTrm_or_LR_45_54,M_M2_TrnTrm_or_LR_55_64,M_M2_TrnTrm_or_LR_65_74,M_M2_TrnTrm_or_LR_75ov,M_M2_TrnTrm_or_LR_Tot,M_M2_TrnCarAsDriv_15_24,M_M2_TrnCarAsDriv_25_34,M_M2_TrnCarAsDriv_35_44,M_M2_TrnCarAsDriv_45_54,M_M2_TrnCarAsDriv_55_64,M_M2_TrnCarAsDriv_65_74,M_M2_TrnCarAsDriv_75ov,M_M2_TrnCarAsDriv_Tot,M_M2_TrnCarAsPas_15_24,M_M2_TrnCarAsPas_25_34,M_M2_TrnCarAsPas_35_44,M_M2_TrnCarAsPas_45_54,M_M2_TrnCarAsPas_55_64,M_M2_TrnCarAsPas_65_74,M_M2_TrnCarAsPas_75ov,M_M2_TrnCarAsPas_Tot,M_M2_TrnOth_15_24,M_M2_TrnOth_25_34,M_M2_TrnOth_35_44,M_M2_TrnOth_45_54,M_M2_TrnOth_55_64,M_M2_TrnOth_65_74,M_M2_TrnOth_75ov,M_M2_TrnOth_Tot,M_M2_Train_and_Tot_15_24,M_M2_Train_and_Tot_25_34,M_M2_Train_and_Tot_35_44,M_M2_Train_and_Tot_45_54,M_M2_Train_and_Tot_55_64,M_M2_Train_and_Tot_65_74,M_M2_Train_and_Tot_75ov,M_M2_Train_and_Tot_Tot,M_M2_BusFer_15_24,M_M2_BusFer_25_34,M_M2_BusFer_35_44,M_M2_BusFer_45_54,M_M2_BusFer_55_64,M_M2_BusFer_65_74,M_M2_BusFer_75ov,M_M2_BusFer_Tot,M_M2_BusTrm_or_LR_15_24,M_M2_BusTrm_or_LR_25_34,M_M2_BusTrm_or_LR_35_44,M_M2_BusTrm_or_LR_45_54,M_M2_BusTrm_or_LR_55_64,M_M2_BusTrm_or_LR_65_74,M_M2_BusTrm_or_LR_75ov,M_M2_BusTrm_or_LR_Tot,M_M2_BusCarAsDriv_15_24,M_M2_BusCarAsDriv_25_34,M_M2_BusCarAsDriv_35_44,M_M2_BusCarAsDriv_45_54,M_M2_BusCarAsDriv_55_64,M_M2_BusCarAsDriv_65_74,M_M2_BusCarAsDriv_75ov,M_M2_BusCarAsDriv_Tot,M_M2_BusCarAsPas_15_24,M_M2_BusCarAsPas_25_34,M_M2_BusCarAsPas_35_44,M_M2_BusCarAsPas_45_54,M_M2_BusCarAsPas_55_64,M_M2_BusCarAsPas_65_74,M_M2_BusCarAsPas_75ov,M_M2_BusCarAsPas_Tot,M_M2_BusOth_15_24,M_M2_BusOth_25_34,M_M2_BusOth_35_44,M_M2_BusOth_45_54,M_M2_BusOth_55_64,M_M2_BusOth_65_74,M_M2_BusOth_75ov,M_M2_BusOth_Tot
50101,0,0,0,0,0,0,0,0,18,3,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,0,14,744,1215,1498,1534,1242,403,41,6678,294,90,60,39,24,8,0,513,8,4,14,22,20,9,0,80,0,5,5,8,6,0,0,27,68,32,28,38,25,16,0,204,3,9,14,17,16,4,0,73,56,49,50,50,70,40,10,323,1193,1403,1671,1710,1407,488,59,7926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50102,4,0,0,6,0,0,0,10,40,68,89,94,87,16,0,397,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,10,15,3,0,0,0,36,2103,3250,3766,3953,3247,830,89,17233,602,245,193,163,112,14,5,1339,3,47,54,47,64,20,4,239,19,21,8,27,16,11,4,96,50,27,21,30,25,4,0,169,7,26,20,21,22,14,0,112,61,71,55,60,87,50,12,391,2897,3773,4232,4403,3659,951,115,20031,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,46,57,42,33,4,0,191,3,0,4,0,0,0,0,14,0,0,3,0,0,0,0,6
50103,0,0,0,0,0,0,0,0,10,20,20,23,14,3,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,488,538,675,655,264,34,2968,123,54,38,16,23,12,0,265,3,8,17,15,30,7,4,76,3,0,7,12,9,7,5,31,4,4,3,5,4,0,0,28,5,7,9,11,9,10,3,47,37,34,30,48,56,53,21,288,494,615,659,810,795,354,63,3787,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0
50201,13,10,4,0,6,0,0,32,55,19,16,11,8,0,0,109,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,7,0,3,0,0,0,21,1342,1649,1693,1758,1565,443,58,8498,379,85,66,36,29,10,3,604,5,13,28,34,49,19,5,154,16,8,6,16,13,3,0,53,15,22,7,13,9,4,0,68,7,15,11,14,15,4,0,76,66,23,10,26,31,19,3,182,1908,1844,1849,1903,1725,510,65,9802,10,10,7,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,3,0,0,22,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,7,19,13,15,10,3,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,5,3,0,0,0,0,13,4,0,0,0,0,0,0,4
50301,48,55,44,27,19,4,0,199,88,145,100,64,62,19,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,8,11,0,0,0,39,1434,2572,2426,2079,1593,599,111,10824,200,89,50,40,39,8,7,438,0,3,13,5,17,4,0,48,10,32,34,31,24,9,0,132,48,85,114,96,92,22,0,459,12,16,8,14,14,0,0,63,150,130,119,54,72,31,11,558,2001,3148,2916,2411,1939,696,134,13253,49,60,61,57,52,11,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,3,0,0,0,32,5,0,5,0,0,0,0,10,0,5,3,3,5,0,0,19,65,75,71,66,59,12,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,8,7,3,0,0,43,12,5,6,0,0,0,0,21,5,4,5,0,0,0,0,11
50302,884,2221,2727,2042,1154,231,15,9273,901,2744,2505,1553,907,208,14,8836,0,14,7,9,0,0,0,33,0,0,0,0,0,0,0,5,49,151,150,79,46,8,6,481,3344,9127,11521,10184,6828,2086,257,43346,621,801,569,453,297,81,10,2822,5,25,23,33,39,8,0,136,28,178,200,212,146,19,0,789,90,443,767,775,366,45,4,2498,100,493,522,359,198,29,3,1711,303,944,678,384,293,105,8,2714,6321,17154,19669,16092,10280,2825,307,72649,477,944,1303,1019,554,127,5,4435,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,376,949,1290,999,476,83,5,4177,73,126,118,93,70,4,0,490,17,76,102,71,39,4,0,308,953,2099,2813,2185,1133,223,11,9418,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,45,113,125,73,56,10,5,425,39,38,31,17,19,5,0,149,20,76,55,26,18,0,0,193
50401,21,22,18,9,6,0,0,85,77,24,19,20,9,3,0,155,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,19,14,12,0,0,0,0,48,1498,2379,2488,2268,1879,601,62,11172,287,110,59,36,36,6,5,530,0,23,34,39,38,8,4,144,8,7,12,20,16,3,0,61,11,14,32,28,16,6,0,97,10,19,24,20,27,7,3,98,57,29,19,20,26,8,6,152,1980,2647,2704,2449,2052,638,82,12546,22,16,13,9,14,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,4,0,14,0,0,0,4,0,0,0,5,0,0,0,3,0,0,0,11,25,18,17,17,18,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,5,13,0,0,0,0,0,0,10,4,0,0,0,0,0,0,8
50402,0,0,0,0,0,0,0,0,5,4,0,3,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,12,472,640,675,728,623,203,26,3375,137,28,13,8,14,4,0,202,0,19,18,28,30,11,0,109,3,3,0,0,5,6,0,28,5,5,10,3,9,0,0,28,7,8,8,7,5,0,0,36,16,10,6,3,14,16,5,62,647,714,743,790,705,236,28,3867,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
50403,17,37,26,13,7,3,0,111,91,55,43,36,11,4,0,245,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,27,32,21,17,5,0,0,99,3465,6071,6096,5610,4322,1160,161,26882,701,263,152,102,78,13,3,1317,15,72,96,109,110,44,0,449,15,25,34,50,33,4,0,158,25,28,30,33,41,6,0,164,29,80,81,70,56,16,0,327,100,71,43,61,52,24,10,362,4476,6731,6622,6098,4721,1285,174,30106,34,33,28,25,6,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,3,3,0,0,28,0,0,0,0,0,0,0,5,0,0,4,3,3,0,0,11,43,45,32,28,10,6,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,0,0,14,24,7,0,0,0,0,0,27,3,3,6,0,0,0,0,15
50501,52,58,41,43,19,0,0,223,71,28,23,7,13,3,0,143,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,8,3,6,0,0,43,2181,2588,2428,2256,1826,605,63,11955,582,102,51,41,29,9,0,816,3,19,29,40,57,18,4,175,14,12,10,15,17,5,0,75,26,20,23,24,21,5,0,110,10,13,22,26,19,3,0,99,106,48,35,39,28,25,3,282,3064,2901,2672,2493,2037,677,75,13916,72,52,23,13,23,9,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,10,7,3,0,0,33,14,8,3,0,0,0,0,24,3,5,5,4,5,0,0,16,88,72,42,22,29,9,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,12,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3
