POW_SA3_CODE_2021,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
50101,45,27,27,31,12,16,10,26,29,225,3330,3731,3337,3025,2313,2451,950,2945,316,22399
50102,41,31,74,49,24,25,32,60,104,440,4627,7733,8280,5579,5337,3940,4617,6106,792,47015
50103,37,0,20,3,3,4,9,12,12,108,2131,1107,1236,901,882,646,839,1580,156,9475
50201,21,24,36,49,30,36,9,18,72,298,2908,4962,4432,5304,3122,3984,1850,3234,443,30240
50301,33,81,24,39,33,18,5,12,84,331,4997,19178,3964,6481,5491,2879,603,2296,677,46564
50302,117,339,149,122,156,53,45,81,490,1551,32740,82663,16954,18750,38119,9181,4272,8375,3656,214707
50401,21,33,45,19,16,25,18,25,71,271,3113,4294,4977,3769,2920,2939,1848,2878,423,27166
50402,13,13,19,10,8,16,3,12,34,123,1109,1775,1444,1558,1071,958,687,1064,181,9849
50403,46,67,95,61,50,44,50,56,167,632,7347,10237,10450,7646,7586,6210,6341,6555,1080,63447
50501,33,76,59,71,49,54,11,35,110,512,4695,12735,5031,8869,5849,6702,1118,3967,673,49633
50502,63,97,117,69,54,52,24,39,183,704,10065,16645,11322,9640,10619,8443,3270,6684,1294,77993
50503,54,55,108,59,45,43,31,57,141,591,6162,7384,9628,6812,5770,5254,4004,6376,827,52222
50601,11,32,28,23,13,20,12,12,55,203,1962,4553,2990,3268,2258,2319,1289,2235,330,21189
50602,46,69,83,63,40,36,59,44,169,606,8693,11345,9013,9641,8927,5117,7180,5471,1136,66512
50603,56,69,98,49,48,42,48,42,175,624,8807,12295,11199,6024,9382,6306,8472,6863,1247,70598
50604,13,15,46,27,23,22,17,33,72,266,2799,4556,4431,4550,2883,2815,2375,2808,432,27649
50605,17,13,29,12,16,6,24,3,47,168,1890,2530,2717,1872,2083,1280,2075,1679,265,16384
50606,8,9,19,9,0,7,6,7,17,79,765,927,1033,1007,615,486,493,951,115,6396
50607,5,18,5,8,4,4,5,8,32,91,1681,4542,1466,2553,1805,998,209,936,233,14419
50701,35,46,94,51,35,38,30,45,122,496,6138,7549,10444,4963,6062,3993,4591,4942,864,49546
50702,17,43,28,33,16,20,14,22,59,249,4105,7382,3611,4262,3835,2262,1509,2723,435,30124
50703,8,10,31,18,10,3,21,30,41,163,1786,2475,4004,1890,1616,906,2382,2136,354,17533
50704,22,64,30,34,30,34,17,26,88,351,4464,14909,4689,5605,5344,4590,1469,3473,594,45144
50705,30,25,52,43,23,28,15,35,84,333,3484,6544,5097,6306,3323,4325,1710,3511,528,34820
50901,69,15,20,16,21,18,24,25,36,259,4719,4176,3316,3173,2680,2172,1550,3582,411,25781
50902,100,17,35,17,23,17,27,42,54,325,5228,2604,3137,2002,2240,1333,2289,3251,402,22475
50903,71,12,21,8,11,6,20,15,35,196,2744,1229,1714,824,878,457,1703,1288,200,11036
51001,24,36,27,38,23,11,26,41,76,292,2065,3418,1871,2371,1738,874,863,1591,367,15170
51002,16,24,73,7,7,13,69,33,81,324,1857,3307,8610,1259,1731,630,7152,2620,595,27768
51003,9,24,85,15,15,3,52,36,55,286,2095,3522,8604,1544,2009,774,5634,3028,616,27827
51101,20,9,28,7,6,11,9,14,20,130,1406,963,1297,639,800,559,995,947,188,7790
51102,20,10,4,0,8,3,4,8,22,75,794,619,684,602,521,350,309,719,110,4703
51103,15,18,64,18,14,11,72,24,80,325,2252,3802,6371,1834,2251,1106,6204,2353,480,26655
51104,37,30,40,21,14,8,36,32,58,280,3501,4182,4663,2964,2680,1923,3327,2937,442,26622
59797,0,0,0,0,0,0,0,6,8,18,61,233,528,45,42,6,168,258,46,1386
59999,51,50,206,53,42,20,87,100,174,776,3764,6520,18753,6741,2582,2143,7579,11109,1375,60566
