POW_SA3_CODE_2021,Tot_150_299_A_55_64,Tot_150_299_A_65_74,Tot_150_299_A_75ov,Tot_150_299_Tot,Tot_300_399_A_15_19,Tot_300_399_A_20_24,Tot_300_399_A_25_34,Tot_300_399_A_35_44,Tot_300_399_A_45_54,Tot_300_399_A_55_64,Tot_300_399_A_65_74,Tot_300_399_A_75ov,Tot_300_399_Tot,Tot_400_499_A_15_19,Tot_400_499_A_20_24,Tot_400_499_A_25_34,Tot_400_499_A_35_44,Tot_400_499_A_45_54,Tot_400_499_A_55_64,Tot_400_499_A_65_74,Tot_400_499_A_75ov,Tot_400_499_Tot,Tot_500_649_A_15_19,Tot_500_649_A_20_24,Tot_500_649_A_25_34,Tot_500_649_A_35_44,Tot_500_649_A_45_54,Tot_500_649_A_55_64,Tot_500_649_A_65_74,Tot_500_649_A_75ov,Tot_500_649_Tot,Tot_650_799_A_15_19,Tot_650_799_A_20_24,Tot_650_799_A_25_34,Tot_650_799_A_35_44,Tot_650_799_A_45_54,Tot_650_799_A_55_64,Tot_650_799_A_65_74,Tot_650_799_A_75ov,Tot_650_799_Tot,Tot_800_999_A_15_19,Tot_800_999_A_20_24,Tot_800_999_A_25_34,Tot_800_999_A_35_44,Tot_800_999_A_45_54,Tot_800_999_A_55_64,Tot_800_999_A_65_74,Tot_800_999_A_75ov,Tot_800_999_Tot,Tot_1000_1249_A_15_19,Tot_1000_1249_A_20_24,Tot_1000_1249_A_25_34,Tot_1000_1249_A_35_44,Tot_1000_1249_A_45_54,Tot_1000_1249_A_55_64,Tot_1000_1249_A_65_74,Tot_1000_1249_A_75ov,Tot_1000_1249_Tot,Tot_1250_1499_A_15_19,Tot_1250_1499_A_20_24,Tot_1250_1499_A_25_34,Tot_1250_1499_A_35_44,Tot_1250_1499_A_45_54,Tot_1250_1499_A_55_64,Tot_1250_1499_A_65_74,Tot_1250_1499_A_75ov,Tot_1250_1499_Tot,Tot_1500_1749_A_15_19,Tot_1500_1749_A_20_24,Tot_1500_1749_A_25_34,Tot_1500_1749_A_35_44,Tot_1500_1749_A_45_54,Tot_1500_1749_A_55_64,Tot_1500_1749_A_65_74,Tot_1500_1749_A_75ov,Tot_1500_1749_Tot,Tot_1750_1999_A_15_19,Tot_1750_1999_A_20_24,Tot_1750_1999_A_25_34,Tot_1750_1999_A_35_44,Tot_1750_1999_A_45_54,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000_3499_A_15_19,Tot_3000_3499_A_20_24,Tot_3000_3499_A_25_34,Tot_3000_3499_A_35_44,Tot_3000_3499_A_45_54,Tot_3000_3499_A_55_64,Tot_3000_3499_A_65_74,Tot_3000_3499_A_75ov,Tot_3000_3499_Tot,Tot_3500mo_A_15_19,Tot_3500mo_A_20_24,Tot_3500mo_A_25_34,Tot_3500mo_A_35_44,Tot_3500mo_A_45_54,Tot_3500mo_A_55_64,Tot_3500mo_A_65_74,Tot_3500mo_A_75ov,Tot_3500mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
50101,105,57,15,791,109,61,105,170,155,168,81,18,871,169,94,176,226,205,250,114,13,1251,166,176,285,383,408,380,180,31,2015,116,273,423,512,499,497,173,16,2512,64,276,585,631,614,528,171,24,2889,31,194,634,789,813,582,164,21,3226,4,97,433,552,550,422,104,14,2182,6,29,274,483,478,319,87,9,1682,0,17,186,298,388,227,57,9,1193,4,15,206,444,473,318,79,13,1547,0,0,26,91,122,72,25,3,327,0,0,27,110,171,133,54,5,503,16,12,32,47,44,50,19,3,225,1803,1322,3527,4964,5063,4119,1402,204,22399
50102,141,70,10,1352,260,146,219,291,202,218,124,24,1488,258,194,309,347,333,338,150,34,1967,383,372,525,586,607,549,209,47,3275,277,554,749,759,855,620,228,28,4079,174,771,1125,1008,1046,831,224,31,5205,90,612,1326,1224,1316,1035,259,31,5894,29,333,1061,1028,1089,873,170,5,4589,10,213,873,1039,1077,856,166,11,4248,8,111,689,895,963,780,121,12,3579,0,115,994,1702,1903,1391,213,16,6331,0,10,162,324,398,278,59,4,1237,3,7,110,369,473,340,105,21,1429,48,38,60,97,78,78,25,14,440,3296,3640,8492,9996,10633,8465,2194,298,47015
50103,85,52,19,401,20,20,55,56,72,102,63,6,398,59,23,60,68,89,119,67,21,500,83,54,95,119,165,192,112,26,846,63,75,134,159,179,207,116,23,958,32,118,211,234,258,275,108,26,1258,15,103,185,209,286,314,107,14,1233,0,62,143,162,209,206,56,14,848,3,30,122,157,195,175,48,11,737,0,12,77,109,158,136,40,6,544,0,13,101,193,245,176,60,9,800,0,0,24,27,36,39,11,5,146,0,0,19,47,50,54,33,9,218,9,13,11,13,22,19,18,3,108,571,554,1315,1631,2079,2168,939,216,9475
50201,136,51,9,1471,288,234,241,204,213,208,94,11,1489,247,280,276,292,259,300,123,20,1797,233,415,454,485,495,506,184,34,2811,144,467,597,590,607,534,189,22,3160,67,460,705,704,759,560,156,15,3416,34,285,785,831,895,737,136,24,3723,7,183,559,511,613,475,96,12,2443,3,100,454,515,528,464,80,5,2161,0,24,321,362,519,316,49,5,1589,0,41,446,755,896,658,109,7,2912,0,0,83,166,150,123,17,0,539,0,7,58,177,221,181,50,9,707,31,33,42,49,58,58,15,7,298,2831,2828,5289,5918,6432,5349,1404,185,30240
50301,100,46,9,1593,225,485,230,172,147,132,86,20,1483,173,449,324,227,170,182,105,27,1650,119,606,607,447,376,346,179,46,2728,58,533,754,572,458,493,210,36,3122,55,505,1007,789,671,622,251,45,3946,28,527,1552,1182,1030,973,279,43,5605,13,469,1547,1117,969,766,233,38,5160,3,194,1417,1184,1005,809,214,35,4862,0,59,1103,969,833,587,174,17,3747,7,39,1268,1808,1710,1139,293,46,6306,6,10,161,360,377,312,104,22,1347,11,10,183,673,1063,769,297,67,3076,8,45,76,52,67,54,18,6,331,2245,4729,10460,9765,9025,7358,2516,471,46564
50302,239,130,24,3625,566,1188,815,526,400,375,170,32,4067,438,1295,1172,736,529,479,228,56,4939,383,1789,2108,1438,1020,896,448,80,8162,291,1853,2861,2099,1406,1148,489,59,10204,224,2325,4491,3127,2194,1702,607,72,14749,115,2867,7139,4869,3371,2688,767,84,21900,53,1887,7619,5181,3731,2733,724,53,21969,39,996,7179,5783,4107,2884,636,58,21678,10,412,5148,5209,3921,2529,540,28,17791,15,445,9407,13749,10257,5873,1120,72,40936,0,42,2027,4480,3633,1843,394,21,12445,7,49,2107,9208,9903,5054,1073,105,27499,58,146,369,349,324,202,71,32,1551,4788,16841,53224,57463,45311,28819,7480,779,214707
50401,89,33,3,1078,198,252,151,177,120,149,77,10,1137,168,258,238,164,200,194,75,16,1326,172,386,384,346,337,279,154,25,2096,113,421,553,514,430,372,158,17,2574,64,491,850,664,650,515,173,19,3421,31,345,947,837,758,684,170,13,3783,13,157,734,734,668,502,117,8,2940,5,80,542,602,528,410,104,7,2284,4,30,349,454,381,299,68,6,1588,0,31,392,724,695,492,136,4,2471,0,0,55,134,146,107,28,3,474,0,7,45,150,224,133,42,16,616,18,32,56,49,56,38,19,3,271,1869,2826,5489,5754,5358,4321,1383,163,27166
50402,51,20,5,453,67,53,42,56,55,73,38,6,393,61,73,54,60,86,72,42,12,472,61,97,101,125,134,140,60,13,738,52,105,135,139,166,136,67,12,809,30,124,209,189,234,211,69,10,1077,11,90,255,255,295,264,80,4,1249,3,48,201,202,222,216,58,6,960,0,35,198,203,233,226,54,18,963,0,15,139,172,191,170,41,0,721,0,6,132,247,277,210,64,12,948,0,0,21,42,47,43,7,0,174,0,0,19,50,73,60,19,0,220,12,17,18,22,23,25,8,3,123,849,765,1593,1844,2122,1939,643,100,9849
50403,181,80,19,2232,430,453,356,345,264,240,99,28,2218,355,500,484,394,337,322,138,32,2567,429,728,804,693,652,596,236,48,4190,259,907,1133,1024,854,738,273,33,5210,198,984,1822,1478,1446,1028,292,24,7267,123,846,2392,1967,1868,1487,355,33,9072,27,455,1871,1655,1493,1087,248,24,6862,14,266,1568,1478,1420,1044,234,20,6049,9,114,1075,1178,1158,813,144,6,4497,3,96,1335,1992,1987,1417,229,21,7075,0,14,232,365,412,254,55,11,1350,6,12,179,508,576,339,105,19,1744,42,91,128,123,135,96,25,6,632,4429,6004,13789,13602,12938,9775,2570,348,63447
50501,186,83,12,2694,489,579,289,317,281,295,121,26,2397,356,573,411,397,420,385,160,19,2719,288,765,727,612,737,620,277,38,4060,156,712,944,822,821,748,266,31,4491,92,686,1225,991,1083,853,262,26,5220,35,547,1488,1250,1356,1017,282,11,5987,8,248,1011,1027,1068,833,184,13,4388,5,131,986,962,1020,752,150,10,4022,0,49,655,751,818,572,117,5,2971,0,17,707,1378,1498,1024,173,14,4809,0,10,78,240,270,218,55,6,867,0,5,93,333,454,358,101,17,1368,41,64,86,80,110,95,30,3,512,4892,5202,9043,9579,10281,8100,2313,228,49633
