POW_SA3_CODE_2021,Lab_3500mo_A_35_44,Lab_3500mo_A_45_54,Lab_3500mo_A_55_64,Lab_3500mo_A_65_74,Lab_3500mo_A_75ov,Lab_3500mo_Tot,Lab_PINS_A_15_19,Lab_PINS_A_20_24,Lab_PINS_A_25_34,Lab_PINS_A_35_44,Lab_PINS_A_45_54,Lab_PINS_A_55_64,Lab_PINS_A_65_74,Lab_PINS_A_75ov,Lab_PINS_Tot,Lab_Tot_A_15_19,Lab_Tot_A_20_24,Lab_Tot_A_25_34,Lab_Tot_A_35_44,Lab_Tot_A_45_54,Lab_Tot_A_55_64,Lab_Tot_A_65_74,Lab_Tot_A_75ov,Lab_Tot_Tot,OIDNS_NNI_A_15_19,OIDNS_NNI_A_20_24,OIDNS_NNI_A_25_34,OIDNS_NNI_A_35_44,OIDNS_NNI_A_45_54,OIDNS_NNI_A_55_64,OIDNS_NNI_A_65_74,OIDNS_NNI_A_75ov,OIDNS_NNI_T,OIDNS_1_149_A_15_19,OIDNS_1_149_A_20_24,OIDNS_1_149_A_25_34,OIDNS_1_149_A_35_44,OIDNS_1_149_A_45_54,OIDNS_1_149_A_55_64,OIDNS_1_149_A_65_74,OIDNS_1_149_A_75ov,OIDNS_1_149_T,OIDNS_150_299_A_15_19,OIDNS_150_299_A_20_24,OIDNS_150_299_A_25_34,OIDNS_150_299_A_35_44,OIDNS_150_299_A_45_54,OIDNS_150_299_A_55_64,OIDNS_150_299_A_65_74,OIDNS_150_299_A_75ov,OIDNS_150_299_T,OIDNS_300_399_A_15_19,OIDNS_300_399_A_20_24,OIDNS_300_399_A_25_34,OIDNS_300_399_A_35_44,OIDNS_300_399_A_45_54,OIDNS_300_399_A_55_64,OIDNS_300_399_A_65_74,OIDNS_300_399_A_75ov,OIDNS_300_399_T,OIDNS_400_499_A_15_19,OIDNS_400_499_A_20_24,OIDNS_400_499_A_25_34,OIDNS_400_499_A_35_44,OIDNS_400_499_A_45_54,OIDNS_400_499_A_55_64,OIDNS_400_499_A_65_74,OIDNS_400_499_A_75ov,OIDNS_400_499_T,OIDNS_500_649_A_15_19,OIDNS_500_649_A_20_24,OIDNS_500_649_A_25_34,OIDNS_500_649_A_35_44,OIDNS_500_649_A_45_54,OIDNS_500_649_A_55_64,OIDNS_500_649_A_65_74,OIDNS_500_649_A_75ov,OIDNS_500_649_T,OIDNS_650_799_A_15_19,OIDNS_650_799_A_20_24,OIDNS_650_799_A_25_34,OIDNS_650_799_A_35_44,OIDNS_650_799_A_45_54,OIDNS_650_799_A_55_64,OIDNS_650_799_A_65_74,OIDNS_650_799_A_75ov,OIDNS_650_799_T,OIDNS_800_999_A_15_19,OIDNS_800_999_A_20_24,OIDNS_800_999_A_25_34,OIDNS_800_999_A_35_44,OIDNS_800_999_A_45_54,OIDNS_800_999_A_55_64,OIDNS_800_999_A_65_74,OIDNS_800_999_A_75ov,OIDNS_800_999_T,OIDNS_1000_1249_A_15_19,OIDNS_1000_1249_A_20_24,OIDNS_1000_1249_A_25_34,OIDNS_1000_1249_A_35_44,OIDNS_1000_1249_A_45_54,OIDNS_1000_1249_A_55_64,OIDNS_1000_1249_A_65_74,OIDNS_1000_1249_A_75ov,OIDNS_1000_1249_T,OIDNS_1250_1499_A_15_19,OIDNS_1250_1499_A_20_24,OIDNS_1250_1499_A_25_34,OIDNS_1250_1499_A_35_44,OIDNS_1250_1499_A_45_54,OIDNS_1250_1499_A_55_64,OIDNS_1250_1499_A_65_74,OIDNS_1250_1499_A_75ov,OIDNS_1250_1499_T,OIDNS_1500_1749_A_15_19,OIDNS_1500_1749_A_20_24,OIDNS_1500_1749_A_25_34,OIDNS_1500_1749_A_35_44,OIDNS_1500_1749_A_45_54,OIDNS_1500_1749_A_55_64,OIDNS_1500_1749_A_65_74,OIDNS_1500_1749_A_75ov,OIDNS_1500_1749_T,OIDNS_1750_1999_A_15_19,OIDNS_1750_1999_A_20_24,OIDNS_1750_1999_A_25_34,OIDNS_1750_1999_A_35_44,OIDNS_1750_1999_A_45_54,OIDNS_1750_1999_A_55_64,OIDNS_1750_1999_A_65_74,OIDNS_1750_1999_A_75ov,OIDNS_1750_1999_T,OIDNS_2000_2999_A_15_19,OIDNS_2000_2999_A_20_24,OIDNS_2000_2999_A_25_34,OIDNS_2000_2999_A_35_44,OIDNS_2000_2999_A_45_54,OIDNS_2000_2999_A_55_64,OIDNS_2000_2999_A_65_74,OIDNS_2000_2999_A_75ov,OIDNS_2000_2999_T,OIDNS_3000_3499_A_15_19,OIDNS_3000_3499_A_20_24,OIDNS_3000_3499_A_25_34,OIDNS_3000_3499_A_35_44,OIDNS_3000_3499_A_45_54,OIDNS_3000_3499_A_55_64,OIDNS_3000_3499_A_65_74,OIDNS_3000_3499_A_75ov,OIDNS_3000_3499_T,OIDNS_3500mo_A_15_19,OIDNS_3500mo_A_20_24,OIDNS_3500mo_A_25_34,OIDNS_3500mo_A_35_44,OIDNS_3500mo_A_45_54,OIDNS_3500mo_A_55_64,OIDNS_3500mo_A_65_74,OIDNS_3500mo_A_75ov,OIDNS_3500mo_T,OIDNS_PINS_A_15_19,OIDNS_PINS_A_20_24,OIDNS_PINS_A_25_34,OIDNS_PINS_A_35_44,OIDNS_PINS_A_45_54,OIDNS_PINS_A_55_64,OIDNS_PINS_A_65_74,OIDNS_PINS_A_75ov,OIDNS_PINS_T,OIDNS_Tot_A_15_19,OIDNS_Tot_A_20_24,OIDNS_Tot_A_25_34,OIDNS_Tot_A_35_44,OIDNS_Tot_A_45_54,OIDNS_Tot_A_55_64,OIDNS_Tot_A_65_74,OIDNS_Tot_A_75ov,OIDNS_Tot_Tot,Tot_NNI_A_15_19,Tot_NNI_A_20_24,Tot_NNI_A_25_34,Tot_NNI_A_35_44,Tot_NNI_A_45_54,Tot_NNI_A_55_64,Tot_NNI_A_65_74,Tot_NNI_A_75ov,Tot_NNI_Tot,Tot_1_149_A_15_19,Tot_1_149_A_20_24,Tot_1_149_A_25_34,Tot_1_149_A_35_44,Tot_1_149_A_45_54,Tot_1_149_A_55_64,Tot_1_149_A_65_74,Tot_1_149_A_75ov,Tot_1_149_Tot,Tot_150_299_A_15_19,Tot_150_299_A_20_24,Tot_150_299_A_25_34,Tot_150_299_A_35_44,Tot_150_299_A_45_54
50101,6,0,4,0,0,17,3,0,6,3,0,6,0,0,26,400,280,515,522,525,507,155,30,2945,4,3,0,5,0,0,0,0,12,6,0,0,0,0,0,0,0,12,3,0,0,0,4,0,0,0,7,5,0,5,3,0,0,0,0,18,4,3,0,4,4,3,3,0,24,0,0,3,0,0,4,4,0,23,3,0,3,9,0,9,3,0,24,0,3,12,14,9,8,9,0,47,0,0,3,10,4,4,0,0,26,0,3,3,5,6,13,0,0,31,0,0,3,9,6,5,0,0,24,0,0,0,5,4,0,0,0,9,0,0,0,4,4,4,0,0,18,0,0,0,0,4,0,0,0,4,0,0,0,4,0,4,0,0,8,5,0,9,11,6,7,0,0,29,24,14,42,76,54,68,32,12,316,36,12,15,35,31,30,20,4,185,788,13,37,61,43,40,26,4,1005,285,41,77,132,82
50102,8,4,4,3,0,20,9,4,10,11,7,10,6,0,60,846,646,1246,1116,1073,898,249,33,6106,0,7,9,4,7,3,3,6,30,14,0,0,5,0,0,0,0,23,7,0,0,4,5,4,0,0,24,3,6,8,4,0,6,6,4,23,0,3,5,4,9,3,3,8,32,7,4,7,9,7,0,0,0,43,5,3,11,10,4,0,0,0,39,0,10,19,19,10,4,6,0,68,0,4,15,20,21,12,6,3,72,3,3,14,6,20,12,4,0,66,0,0,14,18,14,13,7,4,62,0,0,7,21,20,10,0,0,62,0,0,11,33,25,11,5,0,87,0,0,4,5,10,8,0,0,31,0,0,3,8,10,9,0,0,24,14,7,15,32,24,11,0,0,104,50,48,134,188,183,105,46,24,792,50,21,48,50,56,49,29,8,299,1198,51,77,99,63,72,41,5,1606,519,99,172,178,163
50103,0,5,0,0,0,10,0,0,0,0,5,0,0,0,12,182,151,284,226,277,323,110,25,1580,0,0,0,0,0,0,0,0,10,6,0,4,0,0,0,0,0,7,0,0,0,0,0,3,0,0,15,0,0,0,0,0,5,3,0,16,0,0,0,0,5,5,0,0,9,0,0,0,6,3,0,0,0,11,0,0,7,0,0,0,5,0,12,0,0,7,0,0,5,0,0,17,0,0,3,3,5,0,0,0,15,0,0,0,0,4,0,0,0,12,0,0,0,8,0,7,0,0,10,0,0,0,4,0,0,0,0,6,0,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,3,0,5,0,0,0,0,0,0,12,12,15,31,31,24,31,11,6,156,15,0,9,14,38,40,19,10,152,196,9,20,19,19,37,20,9,332,76,24,36,50,52
50201,0,3,0,0,0,17,5,3,0,0,4,0,0,0,18,638,371,453,498,534,563,157,18,3234,0,0,0,0,3,0,0,0,14,4,0,0,0,0,0,0,0,14,5,0,0,0,0,5,0,0,14,0,3,0,0,4,5,0,0,13,4,3,0,0,0,0,0,6,19,4,8,4,4,3,4,3,3,37,5,3,12,5,10,4,0,0,39,0,0,10,4,9,8,3,0,34,0,3,16,8,9,9,4,4,40,0,3,4,8,6,5,4,0,28,0,0,8,4,6,3,0,0,19,0,3,3,9,4,0,0,0,26,0,0,11,8,15,9,4,0,44,0,0,3,3,3,5,0,0,17,0,0,0,5,0,5,3,0,10,11,10,14,13,12,9,0,0,72,33,43,92,79,86,64,25,18,443,48,17,28,34,44,44,18,8,244,1109,75,85,77,52,50,31,6,1479,611,211,158,165,129
50301,0,5,3,6,0,11,0,0,0,0,0,3,0,0,12,327,301,447,370,332,365,127,27,2296,4,0,0,6,0,3,0,0,13,15,0,0,3,0,0,0,0,20,10,10,4,0,3,0,0,0,27,0,8,9,6,0,0,0,5,21,4,0,4,5,0,0,3,0,24,3,4,6,10,4,3,3,0,26,0,7,6,5,9,10,3,0,47,0,10,13,9,14,14,0,0,54,0,4,10,12,19,9,0,0,65,0,8,12,20,15,6,6,0,64,0,0,12,9,12,10,0,7,45,0,4,11,7,12,6,5,0,40,0,0,10,12,13,12,4,3,60,0,0,0,4,0,3,3,0,14,0,0,0,11,16,17,16,8,72,0,15,20,18,15,4,4,5,84,34,70,128,119,126,109,54,36,677,39,10,35,36,30,30,9,8,202,938,256,67,53,40,44,9,5,1411,570,524,148,112,85
50302,18,30,12,9,0,87,10,8,20,8,13,10,4,5,81,885,1171,2108,1501,1263,1046,361,49,8375,8,5,19,19,17,8,4,0,76,34,14,12,4,0,6,3,0,72,21,19,11,13,7,11,0,5,81,11,22,17,7,12,7,5,7,88,9,16,21,27,0,7,8,3,102,9,29,43,23,23,15,7,6,157,11,23,55,38,27,11,3,3,172,10,29,87,41,52,16,8,5,252,0,38,123,82,64,43,10,6,357,5,33,100,91,60,33,12,0,329,5,12,102,87,80,41,12,0,332,0,3,74,81,66,34,5,0,263,0,6,104,159,121,68,15,0,477,0,0,24,47,40,16,0,0,131,0,3,30,103,84,35,14,9,277,23,47,136,119,77,42,16,20,490,133,303,959,935,736,399,124,66,3656,81,45,147,166,123,80,33,7,670,1496,421,162,172,106,94,54,7,2511,1015,1078,473,364,297
50401,0,0,4,0,0,8,3,0,5,0,11,3,0,0,25,430,404,515,483,437,431,161,18,2878,0,0,8,4,6,0,0,0,20,0,0,0,0,5,0,0,0,11,5,6,0,0,0,0,0,0,13,0,0,0,4,0,3,5,0,12,0,6,3,6,0,0,0,0,19,0,3,7,3,0,5,3,0,25,4,9,5,7,5,4,0,0,28,0,3,14,8,7,5,0,0,44,0,8,14,19,7,8,0,0,54,0,0,10,13,12,4,0,0,45,0,0,7,9,10,3,0,0,30,0,0,9,7,7,0,3,0,21,0,0,3,8,9,4,0,0,25,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,8,0,15,16,19,12,8,0,0,71,22,47,106,106,81,50,14,3,423,30,9,27,32,27,21,9,3,167,669,93,40,45,34,33,26,3,936,388,226,118,127,96
50402,0,0,3,0,0,4,5,0,4,0,0,0,0,0,12,257,114,156,141,161,178,53,3,1064,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,8,0,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,3,5,0,0,4,0,0,10,0,0,0,3,0,0,0,0,11,0,0,0,4,0,3,0,0,17,0,4,6,5,11,0,0,0,24,0,0,5,6,5,3,0,0,16,0,0,0,5,5,3,0,0,12,0,0,3,0,5,9,0,0,16,0,0,0,3,5,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,5,5,4,8,4,6,0,0,34,11,22,30,38,39,29,12,4,181,12,6,8,17,16,15,3,3,86,348,23,15,29,23,24,9,3,470,190,61,49,40,44
50403,7,8,5,0,0,31,3,8,8,8,9,18,0,0,56,1042,863,1264,1050,1091,923,269,57,6555,5,0,5,3,7,4,0,0,24,20,0,6,6,0,0,0,0,35,6,3,3,9,4,4,0,0,27,7,10,8,5,4,5,0,0,38,0,3,3,10,0,9,0,0,23,9,11,13,9,12,11,0,0,60,4,8,8,12,19,4,3,0,71,0,16,15,24,17,17,0,0,94,4,11,48,36,20,14,7,0,141,0,11,35,30,16,20,0,0,116,0,7,19,20,15,8,4,0,80,0,0,19,11,23,4,0,0,70,0,0,9,39,28,10,7,0,93,0,0,9,7,5,4,0,0,26,0,0,8,10,6,3,0,0,28,13,33,39,39,30,14,4,3,167,65,112,243,272,200,134,34,10,1080,83,27,68,72,75,67,31,4,435,1529,146,83,102,71,69,38,10,2043,919,377,253,220,192
50501,3,4,0,0,4,17,8,4,3,7,5,0,4,0,35,1032,554,560,468,553,551,220,30,3967,3,0,7,9,3,0,4,0,25,8,0,3,3,0,5,0,0,22,10,4,0,3,5,0,3,0,25,3,5,0,0,0,9,3,0,24,4,5,9,3,4,0,4,0,35,6,12,6,8,3,0,0,0,32,4,9,8,9,7,3,5,0,45,5,0,19,5,12,7,8,0,64,0,14,16,18,12,7,4,0,66,0,4,21,12,13,5,0,0,51,0,0,12,16,15,12,4,0,57,0,0,11,10,16,3,0,0,44,0,0,10,6,5,8,4,0,39,0,0,0,5,6,0,4,0,10,0,0,0,8,9,4,3,0,24,7,12,18,25,28,14,8,0,110,38,68,157,135,147,77,41,11,673,76,28,43,53,55,49,29,4,334,2158,221,90,113,87,86,28,4,2793,1192,551,226,254,193
