POW_SA3_CODE_2021,M_15_19_EWFT,M_15_19_EWPT,M_15_19_EAFW,M_15_19_EHW_NS,M_15_19_Tot,M_20_24_EWFT,M_20_24_EWPT,M_20_24_EAFW,M_20_24_EHW_NS,M_20_24_Tot,M_25_29_EWFT,M_25_29_EWPT,M_25_29_EAFW,M_25_29_EHW_NS,M_25_29_Tot,M_30_34_EWFT,M_30_34_EWPT,M_30_34_EAFW,M_30_34_EHW_NS,M_30_34_Tot,M_35_39_EWFT,M_35_39_EWPT,M_35_39_EAFW,M_35_39_EHW_NS,M_35_39_Tot,M_40_44_EWFT,M_40_44_EWPT,M_40_44_EAFW,M_40_44_EHW_NS,M_40_44_Tot,M_45_49_EWFT,M_45_49_EWPT,M_45_49_EAFW,M_45_49_EHW_NS,M_45_49_Tot,M_50_54_EWFT,M_50_54_EWPT,M_50_54_EAFW,M_50_54_EHW_NS,M_50_54_Tot,M_55_59_EWFT,M_55_59_EWPT,M_55_59_EAFW,M_55_59_EHW_NS,M_55_59_Tot,M_60_64_EWFT,M_60_64_EWPT,M_60_64_EAFW,M_60_64_EHW_NS,M_60_64_Tot,M_65_69_EWFT,M_65_69_EWPT,M_65_69_EAFW,M_65_69_EHW_NS,M_65_69_Tot,M_70_74_EWFT,M_70_74_EWPT,M_70_74_EAFW,M_70_74_EHW_NS,M_70_74_Tot,M_75ov_EWFT,M_75ov_EWPT,M_75ov_EAFW,M_75ov_EHW_NS,M_75ov_Tot,M_Tot_EWFT,M_Tot_EWPT,M_Tot_EAFW,M_Tot_EHW_NS,M_Tot_Tot,F_15_19_EWFT,F_15_19_EWPT,F_15_19_EAFW,F_15_19_EHW_NS,F_15_19_Tot,F_20_24_EWFT,F_20_24_EWPT,F_20_24_EAFW,F_20_24_EHW_NS,F_20_24_Tot,F_25_29_EWFT,F_25_29_EWPT,F_25_29_EAFW,F_25_29_EHW_NS,F_25_29_Tot,F_30_34_EWFT,F_30_34_EWPT,F_30_34_EAFW,F_30_34_EHW_NS,F_30_34_Tot,F_35_39_EWFT,F_35_39_EWPT,F_35_39_EAFW,F_35_39_EHW_NS,F_35_39_Tot,F_40_44_EWFT,F_40_44_EWPT,F_40_44_EAFW,F_40_44_EHW_NS,F_40_44_Tot,F_45_49_EWFT,F_45_49_EWPT,F_45_49_EAFW,F_45_49_EHW_NS,F_45_49_Tot,F_50_54_EWFT,F_50_54_EWPT,F_50_54_EAFW,F_50_54_EHW_NS,F_50_54_Tot,F_55_59_EWFT,F_55_59_EWPT,F_55_59_EAFW,F_55_59_EHW_NS,F_55_59_Tot,F_60_64_EWFT,F_60_64_EWPT,F_60_64_EAFW,F_60_64_EHW_NS,F_60_64_Tot,F_65_69_EWFT,F_65_69_EWPT,F_65_69_EAFW,F_65_69_EHW_NS,F_65_69_Tot,F_70_74_EWFT,F_70_74_EWPT,F_70_74_EAFW,F_70_74_EHW_NS,F_70_74_Tot,F_75ov_EWFT,F_75ov_EWPT,F_75ov_EAFW,F_75ov_EHW_NS,F_75ov_Tot,F_Tot_EWFT,F_Tot_EWPT,F_Tot_EAFW,F_Tot_EHW_NS,F_Tot_Tot,P_15_19_EWFT,P_15_19_EWPT,P_15_19_EAFW,P_15_19_EHW_NS,P_15_19_Tot,P_20_24_EWFT,P_20_24_EWPT,P_20_24_EAFW,P_20_24_EHW_NS,P_20_24_Tot,P_25_29_EWFT,P_25_29_EWPT,P_25_29_EAFW,P_25_29_EHW_NS,P_25_29_Tot,P_30_34_EWFT,P_30_34_EWPT,P_30_34_EAFW,P_30_34_EHW_NS,P_30_34_Tot,P_35_39_EWFT,P_35_39_EWPT,P_35_39_EAFW,P_35_39_EHW_NS,P_35_39_Tot,P_40_44_EWFT,P_40_44_EWPT,P_40_44_EAFW,P_40_44_EHW_NS,P_40_44_Tot,P_45_49_EWFT,P_45_49_EWPT,P_45_49_EAFW,P_45_49_EHW_NS,P_45_49_Tot,P_50_54_EWFT,P_50_54_EWPT,P_50_54_EAFW,P_50_54_EHW_NS,P_50_54_Tot,P_55_59_EWFT,P_55_59_EWPT,P_55_59_EAFW,P_55_59_EHW_NS,P_55_59_Tot,P_60_64_EWFT,P_60_64_EWPT,P_60_64_EAFW,P_60_64_EHW_NS,P_60_64_Tot,P_65_69_EWFT,P_65_69_EWPT,P_65_69_EAFW,P_65_69_EHW_NS,P_65_69_Tot,P_70_74_EWFT,P_70_74_EWPT,P_70_74_EAFW,P_70_74_EHW_NS,P_70_74_Tot
50101,205,588,53,24,872,430,205,22,9,676,494,168,22,13,702,677,190,34,20,924,732,179,33,16,951,831,172,38,19,1062,846,192,31,18,1088,748,219,42,16,1024,656,254,46,15,968,479,324,56,5,865,227,265,32,6,523,95,151,16,7,264,42,71,14,9,131,6453,2981,434,184,10057,139,709,66,15,926,271,320,33,18,643,408,376,52,9,842,408,562,82,14,1061,449,869,87,19,1420,535,898,69,23,1526,618,838,54,15,1531,622,724,69,15,1422,490,668,82,15,1252,301,631,91,11,1036,94,316,30,4,442,30,129,17,4,176,16,48,0,5,74,4374,7088,727,162,12347,344,1297,115,37,1803,705,532,62,28,1322,904,544,69,32,1546,1088,748,118,31,1983,1179,1043,119,33,2379,1365,1072,109,42,2589,1461,1024,84,42,2615,1370,946,106,27,2447,1143,919,129,24,2222,777,954,152,17,1903,318,576,61,7,965,120,276,23,8,436
50102,575,885,84,28,1572,1372,433,66,47,1914,1603,321,55,54,2045,1862,288,72,61,2286,2048,254,79,50,2437,2090,247,81,44,2461,2157,241,87,43,2522,2203,257,116,35,2609,1972,276,161,26,2432,1460,382,150,21,2012,523,331,62,3,927,141,176,25,12,358,63,108,14,13,200,18072,4216,1046,442,23775,301,1308,73,38,1726,895,716,78,38,1723,1040,751,141,27,1956,902,1102,182,29,2207,965,1432,136,38,2571,1106,1315,72,31,2523,1325,1308,90,40,2758,1360,1238,118,29,2742,1059,1098,133,22,2309,623,918,149,17,1709,165,460,51,14,682,32,179,6,3,228,14,68,6,8,97,9787,11876,1233,353,23242,881,2194,160,66,3296,2266,1148,141,87,3640,2646,1077,197,83,4001,2764,1390,256,91,4499,3011,1686,219,93,5011,3196,1562,148,77,4986,3480,1543,178,84,5278,3562,1497,230,69,5352,3031,1378,290,48,4745,2089,1301,297,34,3718,688,786,113,19,1605,175,358,33,19,587
50103,123,143,7,5,285,240,47,13,13,317,267,53,13,19,349,287,50,14,4,358,334,45,14,8,398,336,50,14,9,403,388,73,19,7,489,412,69,23,13,520,425,95,31,8,557,345,129,28,6,511,208,124,27,10,362,88,97,10,11,203,65,68,11,6,148,3524,1044,225,115,4909,55,212,5,13,285,113,101,20,3,239,105,122,19,8,258,134,187,24,3,345,149,229,18,3,396,199,212,16,8,433,256,250,16,0,526,236,283,22,11,545,255,282,39,5,582,188,287,39,3,518,66,162,19,6,253,31,70,6,5,114,23,40,0,4,72,1805,2425,249,92,4568,182,355,12,20,571,354,147,37,16,554,374,177,31,24,609,421,233,38,5,709,486,271,33,14,797,538,261,27,18,836,642,326,33,13,1017,649,347,49,21,1064,677,376,67,16,1141,533,413,74,15,1029,269,288,47,11,617,120,174,20,12,321
50201,284,914,45,24,1261,612,525,34,28,1198,738,282,36,39,1091,795,203,29,29,1059,893,195,30,24,1138,829,185,28,26,1065,918,185,41,31,1174,905,190,38,25,1146,903,240,60,21,1223,603,297,59,14,982,221,239,28,11,500,83,142,7,5,244,24,88,4,11,121,7805,3677,443,273,12200,154,1335,46,27,1571,523,1015,56,35,1628,681,687,86,31,1487,568,930,125,28,1650,687,1081,107,18,1894,767,972,64,18,1818,956,982,60,25,2024,979,1022,73,11,2090,751,946,100,18,1822,443,784,93,9,1329,129,342,35,8,514,26,119,3,0,151,5,44,3,8,63,6673,10268,844,249,18036,437,2250,91,51,2831,1132,1539,89,62,2828,1425,968,118,65,2587,1360,1131,149,57,2710,1586,1271,135,45,3029,1596,1158,95,44,2886,1870,1168,105,49,3193,1882,1203,114,37,3238,1649,1185,161,43,3042,1043,1083,149,27,2306,353,575,65,11,1005,113,268,13,10,398
50301,87,831,41,13,965,548,1112,54,37,1747,1201,555,41,44,1840,1413,387,49,47,1889,1498,331,48,38,1913,1330,256,32,24,1646,1275,234,37,17,1558,1253,268,26,19,1565,1085,305,52,8,1450,831,368,54,12,1258,337,378,32,9,753,127,232,14,5,380,69,200,15,8,293,11045,5457,488,271,17256,81,1132,49,14,1273,965,1870,107,44,2983,1946,1090,195,40,3274,1705,1364,352,32,3457,1405,1651,260,25,3334,1298,1438,115,20,2872,1476,1356,74,26,2936,1482,1351,109,25,2970,1296,1249,121,17,2684,791,1038,115,17,1967,320,621,52,4,989,94,259,24,9,383,22,141,8,12,182,12883,14549,1588,284,29304,167,1962,87,27,2245,1511,2981,156,80,4729,3148,1642,241,85,5119,3122,1750,406,78,5347,2901,1978,308,60,5250,2632,1691,150,47,4518,2752,1589,115,46,4499,2736,1621,133,43,4533,2381,1555,172,27,4133,1623,1404,174,23,3224,654,997,82,12,1748,217,490,48,12,762
50302,380,1535,73,65,2046,3913,3054,194,160,7323,8560,1924,315,221,11015,11030,1378,459,243,13120,13443,1299,523,197,15464,12153,1114,366,156,13781,10965,968,365,134,12429,9711,948,385,109,11150,7266,991,399,76,8725,4575,1079,338,54,6052,1838,943,138,32,2952,527,584,52,20,1180,172,277,24,27,503,84522,16098,3632,1490,105743,387,2186,88,81,2739,4619,4445,300,157,9516,9182,3466,650,191,13487,9185,4764,1456,203,15605,8196,5837,1208,136,15379,7407,4857,471,103,12840,7131,3933,275,106,11439,6519,3313,369,87,10285,5027,2808,415,56,8308,2933,2433,324,47,5740,1036,1304,180,25,2546,197,544,49,17,794,53,177,17,35,276,61864,40065,5802,1228,108960,765,3727,160,140,4788,8527,7500,496,319,16841,17743,5394,960,412,24502,20214,6147,1917,448,28721,21637,7146,1734,333,30845,19555,5963,840,254,26616,18097,4898,644,240,23869,16228,4258,755,193,21440,12287,3800,815,131,17029,7508,3510,662,106,11792,2880,2242,311,58,5501,721,1130,103,33,1975
50401,262,608,26,10,907,802,628,30,41,1509,1040,375,20,43,1484,1181,241,27,42,1489,1292,268,30,31,1620,1213,213,27,22,1479,1094,217,28,17,1357,1178,206,34,15,1432,1042,237,35,13,1335,727,257,33,6,1024,320,209,17,8,549,101,148,8,5,259,31,73,9,0,111,10287,3686,332,265,14564,81,839,24,17,966,448,796,35,33,1316,619,528,52,25,1220,597,595,81,24,1295,556,742,55,28,1383,551,663,38,12,1274,619,603,33,9,1262,647,604,39,6,1302,489,585,41,8,1126,325,466,37,14,839,114,270,28,8,418,42,112,9,3,163,3,45,0,0,54,5082,6852,486,186,12594,339,1448,52,28,1869,1251,1424,74,79,2826,1659,903,80,68,2705,1779,835,112,64,2785,1841,1007,87,56,2996,1767,878,68,39,2750,1715,815,59,26,2618,1824,820,70,27,2735,1537,820,79,25,2458,1055,722,73,17,1864,427,483,44,13,964,138,256,18,4,423
50402,95,298,7,6,405,213,178,10,11,411,292,89,7,6,398,340,59,24,6,428,376,64,9,7,461,345,59,13,7,424,370,68,16,6,461,406,86,10,3,509,397,88,26,3,520,273,105,31,11,407,136,111,14,0,258,41,60,4,3,106,18,41,3,0,63,3298,1295,165,79,4840,35,387,14,3,444,127,206,8,6,352,190,158,21,6,370,174,184,34,6,399,189,247,22,8,463,229,251,15,6,495,266,269,9,3,551,289,292,17,9,606,266,301,16,8,592,154,222,30,9,411,52,136,11,0,207,15,57,4,0,73,6,30,7,0,43,1988,2758,204,63,5009,135,685,20,9,849,338,386,20,15,765,483,243,27,14,773,513,245,57,13,823,562,319,23,12,920,574,306,27,17,923,638,335,29,14,1009,691,376,31,13,1112,661,394,42,15,1112,427,329,55,13,824,181,245,34,0,466,56,118,3,3,178
50403,638,1478,71,19,2207,1866,1209,68,108,3256,2784,685,98,84,3656,3177,554,90,90,3916,3202,516,95,73,3881,3040,378,65,73,3559,2854,404,97,47,3406,2982,413,96,40,3528,2542,435,119,37,3136,1705,485,95,26,2313,696,408,58,11,1170,184,240,13,11,455,83,151,8,6,248,25766,7368,977,621,34728,249,1873,61,41,2220,1086,1495,103,63,2746,1597,1080,171,63,2911,1543,1449,261,61,3308,1441,1546,146,51,3188,1428,1430,95,29,2978,1638,1304,75,34,3045,1597,1217,104,36,2949,1258,1121,96,28,2508,793,928,82,18,1821,228,460,38,10,730,42,160,15,0,215,17,69,6,4,99,12921,14116,1251,433,28716,882,3347,129,66,4429,2956,2701,176,170,6004,4379,1768,275,147,6564,4717,2006,355,146,7219,4640,2059,240,127,7067,4474,1802,155,101,6533,4495,1704,177,84,6458,4580,1630,194,79,6478,3804,1556,214,61,5639,2498,1414,180,43,4131,923,871,96,13,1901,231,401,27,8,664
50501,214,1742,44,22,2022,781,1283,42,52,2152,1149,549,32,44,1776,1246,361,52,48,1704,1370,291,53,35,1751,1229,261,33,23,1548,1248,282,34,28,1595,1281,290,53,31,1654,1082,331,43,17,1472,831,412,52,16,1314,323,400,35,12,769,89,259,16,0,365,23,108,12,5,148,10871,6575,497,320,18260,205,2567,73,22,2871,939,1978,77,49,3046,1372,1109,151,32,2672,1189,1432,226,42,2896,1094,1805,200,41,3142,1192,1825,93,26,3133,1536,1834,71,31,3461,1626,1793,120,29,3570,1287,1629,135,28,3079,737,1355,130,17,2237,223,600,44,9,883,54,222,14,5,302,11,67,5,4,82,11472,18232,1338,334,31377,425,4309,120,48,4892,1720,3267,119,100,5202,2528,1661,188,74,4445,2439,1794,282,91,4598,2468,2100,250,73,4889,2420,2081,129,51,4683,2786,2112,104,50,5057,2911,2083,171,59,5219,2365,1965,172,45,4546,1566,1771,179,31,3551,546,1001,84,19,1650,147,484,31,4,665
