POW_SA3_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
50101,54,116,14,11,204,10824,10073,1165,343,22399
50102,79,179,21,28,298,27855,16090,2273,790,47015
50103,87,108,11,13,216,5335,3464,471,205,9475
50201,35,134,7,17,185,14473,13949,1292,520,30240
50301,85,348,24,20,471,23924,20005,2075,558,46564
50302,223,452,41,58,779,146390,56161,9436,2725,214707
50401,35,118,4,4,163,15370,10530,816,443,27166
50402,24,68,8,0,100,5281,4050,372,145,9849
50403,103,218,14,8,348,38680,21484,2224,1052,63447
50501,30,178,13,4,228,22343,24803,1832,650,49633
50502,93,362,17,27,501,44945,29195,2668,1180,77993
50503,45,142,5,12,202,29515,20153,1721,833,52222
50601,33,68,4,3,103,11076,8914,844,365,21189
50602,67,140,19,13,242,42410,20104,2901,1102,66512
50603,68,208,18,24,318,45697,21589,2180,1132,70598
50604,23,109,4,9,145,15700,10497,972,484,27649
50605,32,77,0,7,118,9680,5900,531,274,16384
50606,13,38,0,0,55,3350,2640,264,139,6396
50607,23,85,4,7,124,7465,6219,545,195,14419
50701,57,120,6,6,193,31735,15447,1630,736,49546
50702,43,141,5,4,199,16756,11706,1256,399,30124
50703,12,26,3,6,43,12314,4172,757,293,17533
50704,41,207,13,10,274,23306,19295,1934,608,45144
50705,19,84,5,8,118,18233,14505,1514,576,34820
50901,111,211,38,26,378,14236,9739,1304,503,25781
50902,161,233,22,38,450,14034,6889,1070,480,22475
50903,98,110,9,13,233,7277,2811,715,232,11036
51001,32,35,5,3,72,10505,3470,792,396,15170
51002,20,0,5,3,31,21136,3004,2963,660,27768
51003,12,13,3,4,36,20666,3724,2887,552,27827
51101,44,41,7,3,97,4938,2198,471,177,7790
51102,12,10,0,7,30,3069,1275,226,136,4703
51103,34,32,8,4,75,19807,4431,1811,604,26655
51104,91,134,14,27,263,16744,7803,1577,502,26622
59797,0,0,0,0,0,1046,77,235,27,1386
59999,81,326,76,36,516,31634,23168,4409,1359,60566
